work_id,title,title_official,title_en,title_aliases,title_category,title_cast,broadcaster,air_period,air_status,location_count,location_geocoded,region_count,top_region,wikidata_qid,wiki_lang_count,en_wiki_title,en_views_12m,score_global,score_interest,score_data,score_total,rank,is_top100,poster_url,description,kdramamap_url,last_updated
w_0316,오징어게임,오징어 게임,Squid Game,오징어 게임;Squid Game;イカゲーム;魷魚遊戲;Ojing-eo geim;Ojingeo Geim;Round Six;오겜,drama,이정재;박해수,Netflix,2021-09-17 ~ 2021-09-17,방영종료,21,20,2,서울특별시,Q106582931,104,Squid Game,1421155,40.0,37.42,12.64,90.06,1,Y,https://kdramamap.com/wp-content/uploads/kdramamap/posters/%EC%98%A4%EC%A7%95%EC%96%B4%EA%B2%8C%EC%9E%84.webp,,https://kdramamap.com/drama/%ec%98%a4%ec%a7%95%ec%96%b4%ea%b2%8c%ec%9e%84/,2026-07-29
w_0295,여신강림,여신강림,True Beauty,True Beauty;女神降臨;女神降临;Yeosingangrim;Yeosin gangrim;Yeosin gangnim;Yeosingangnim;Yeosin-gangnim,drama,문가영;차은우;황인엽,tvN,2020-12-09 ~ 2021-02-04,방영종료,73,73,1,서울특별시,Q65272745,56,True Beauty (South Korean TV series),435240,40.0,28.49,20.0,88.49,2,Y,https://kdramamap.com/wp-content/uploads/kdramamap/posters/%EC%97%AC%EC%8B%A0%EA%B0%95%EB%A6%BC.webp,,https://kdramamap.com/drama/%ec%97%ac%ec%8b%a0%ea%b0%95%eb%a6%bc/,2026-07-29
w_0317,오징어게임2,오징어 게임,Squid Game,오징어 게임;Squid Game;イカゲーム;魷魚遊戲;Ojing-eo geim;Ojingeo Geim;Round Six;오겜,drama,이정재;이병헌;위하준;임시완,Netflix,2024-12-26 ~ 2024-12-26,방영종료,48,48,5,서울특별시,Q106582931,104,Squid Game season 2,414127,40.0,28.11,20.0,88.11,3,Y,https://kdramamap.com/wp-content/uploads/kdramamap/posters/%EC%98%A4%EC%A7%95%EC%96%B4%EA%B2%8C%EC%9E%842.webp,,https://kdramamap.com/drama/%ec%98%a4%ec%a7%95%ec%96%b4%ea%b2%8c%ec%9e%842/,2026-07-29
w_0118,도깨비,쓸쓸하고 찬란하神 - 도깨비,Guardian: The Lonely and Great God,쓸쓸하고 찬란하神 - 도깨비;Guardian: The Lonely and Great God;トッケビ〜君がくれた愛しい日々〜;鬼怪;Goblin;Goblin: The Lonely and Shining God;Sseul-sseul-ha-go cha-ran-ha-sin-do-ggae-bi;The Lonely Shining Goblin,drama,공유;김고은;이동욱;유인나,tvN,2016-12-02 ~ 2017-01-21,방영종료,63,57,2,서울특별시,Q24859151,54,Guardian: The Lonely and Great God,359788,40.0,27.05,19.52,86.57,4,Y,https://kdramamap.com/wp-content/uploads/kdramamap/posters/%EB%8F%84%EA%B9%A8%EB%B9%84.webp,,https://kdramamap.com/drama/%eb%8f%84%ea%b9%a8%eb%b9%84/,2026-07-29
w_0207,사랑의불시착,사랑의 불시착,Crash Landing on You,사랑의 불시착;Crash Landing on You;愛の不時着;愛的迫降;Crash Landing of Love;Love's Crash Landing;Sa-rang-eui bul-shi-chak,drama,현빈;손예진,tvN,2019-12-14 ~ 2020-02-16,방영종료,17,17,3,서울특별시,Q65258113,57,Crash Landing on You,565545,40.0,30.46,11.38,81.84,5,Y,https://kdramamap.com/wp-content/uploads/kdramamap/posters/%EC%82%AC%EB%9E%91%EC%9D%98%EB%B6%88%EC%8B%9C%EC%B0%A9.webp,,https://kdramamap.com/drama/%ec%82%ac%eb%9e%91%ec%9d%98%eb%b6%88%ec%8b%9c%ec%b0%a9/,2026-07-29
w_0318,오징어게임3,오징어 게임,Squid Game,오징어 게임;Squid Game;イカゲーム;魷魚遊戲;Ojing-eo geim;Ojingeo Geim;Round Six;오겜,drama,이정재;이병헌;임시완;강하늘,Netflix,2025-06-27 ~ 2025-06-27,방영종료,9,6,5,경기도,Q106582931,104,Squid Game season 3,715813,40.0,32.24,6.71,78.95,6,Y,https://kdramamap.com/wp-content/uploads/kdramamap/posters/%EC%98%A4%EC%A7%95%EC%96%B4%EA%B2%8C%EC%9E%843.webp,,https://kdramamap.com/drama/%ec%98%a4%ec%a7%95%ec%96%b4%ea%b2%8c%ec%9e%843/,2026-07-29
w_0385,지금우리학교는,지금 우리 학교는,All of Us Are Dead,지금 우리 학교는;All of Us Are Dead;今、私たちの学校は…;現在我們學校,drama,박지후;윤찬영;조이현;로몬,Netflix,2022-01-28 ~ 2022-01-28,방영종료,6,6,3,경기도,Q96414952,42,All of Us Are Dead,603323,40.0,30.95,7.25,78.2,7,Y,https://kdramamap.com/wp-content/uploads/kdramamap/posters/%EC%A7%80%EA%B8%88%EC%9A%B0%EB%A6%AC%ED%95%99%EA%B5%90%EB%8A%94.webp,,https://kdramamap.com/drama/%ec%a7%80%ea%b8%88%ec%9a%b0%eb%a6%ac%ed%95%99%ea%b5%90%eb%8a%94/,2026-07-29
w_0247,스타트업,스타트업,Start-Up,Start-Up;スタートアップ: 夢の扉;Seutateueob;샌드박스,drama,배수지;남주혁,tvN,2020-10-17 ~ 2020-12-06,방영종료,30,30,2,서울특별시,Q79997521,41,Start-Up (South Korean TV series),176070,40.0,21.65,16.25,77.9,8,Y,https://kdramamap.com/wp-content/uploads/kdramamap/posters/%EC%8A%A4%ED%83%80%ED%8A%B8%EC%97%85.webp,,https://kdramamap.com/drama/%ec%8a%a4%ed%83%80%ed%8a%b8%ec%97%85/,2026-07-29
w_0214,사이코지만괜찮아,사이코지만 괜찮아,It's Okay to Not Be Okay,사이코지만 괜찮아;It's Okay to Not Be Okay;サイコだけど大丈夫;雖然是精神病但沒關係;Psycho But It's Okay,drama,김수현;서예지,tvN,2020-06-20 ~ 2020-08-09,방영종료,17,16,2,인천광역시,Q79997183,51,It's Okay to Not Be Okay,264153,40.0,24.72,11.08,75.8,9,Y,https://kdramamap.com/wp-content/uploads/kdramamap/posters/%EC%82%AC%EC%9D%B4%EC%BD%94%EC%A7%80%EB%A7%8C%EA%B4%9C%EC%B0%AE%EC%95%84.webp,,https://kdramamap.com/drama/%ec%82%ac%ec%9d%b4%ec%bd%94%ec%a7%80%eb%a7%8c%ea%b4%9c%ec%b0%ae%ec%95%84/,2026-07-29
w_0466,호텔델루나,호텔 델루나,Hotel del Luna,호텔 델루나;Hotel del Luna;ホテルデルーナ;德魯納酒店;Hotel delluna,drama,아이유;여진구,tvN,2019-07-13 ~ 2019-09-01,방영종료,24,23,1,서울특별시,Q61981835,43,Hotel del Luna,176091,40.0,21.66,13.79,75.45,10,Y,https://kdramamap.com/wp-content/uploads/kdramamap/posters/%ED%98%B8%ED%85%94%EB%8D%B8%EB%A3%A8%EB%82%98.webp,,https://kdramamap.com/drama/%ed%98%b8%ed%85%94%eb%8d%b8%eb%a3%a8%eb%82%98/,2026-07-29
