title_key,title_표기,category,후보_장소명,정규화,언급_글수,촬영단서_글수,제목등장_글수,저자수,corpus_글수
갯마을차차차,갯마을 차차차,drama,사방기념공원,사방기념공원,44,37,18,40,88
갯마을차차차,갯마을 차차차,drama,청하시장,청하시장,34,31,6,30,88
이태원클라쓰,이태원클라쓰,drama,남산타워,남산타워,33,28,5,32,90
이태원클라쓰,이태원클라쓰,drama,녹사평역,녹사평역,34,27,2,34,90
선재업고튀어,선재업고튀어,drama,행리단길,행리단길,30,22,8,29,101
도깨비,도깨비,drama,영진해변,영진해변,24,21,10,22,61
미스터션샤인,미스터 션샤인,drama,선샤인스튜디오,선샤인스튜디오,23,19,9,23,77
미스터션샤인,미스터 션샤인,drama,선샤인랜드,선샤인랜드,21,16,15,21,77
국가대표,국가대표,movie,운리단길,운리단길,19,15,10,18,78
이태원클라쓰,이태원클라쓰,drama,이태원역,이태원역,29,13,1,29,90
도깨비,도깨비,drama,주문진항,주문진항,16,13,2,15,61
연인,연인,drama,효원공원,효원공원,15,13,9,15,107
선재업고튀어,선재업고튀어,drama,수원행궁,수원행궁,14,13,7,14,101
나의아저씨,나의아저씨,drama,기찻길,기찻길,16,12,10,16,63
더킹,더킹,drama,킹더랜드,킹더랜드,22,12,22,16,79
언젠가는슬기로울전공의생활,언젠가는 슬기로울 전공의생활,drama,율제병원,율제병원,17,11,2,16,35
슬기로운의사생활,슬기로운의사생활,drama,율제병원,율제병원,14,11,2,14,38
더글로리,더글로리,drama,바둑공원,바둑공원,11,11,8,11,51
폭싹속았수다,폭싹 속았수다,drama,김녕해변,김녕해변,11,11,2,11,79
나의아저씨,나의아저씨,drama,용산역,용산역,19,10,1,19,63
갯마을차차차,갯마을 차차차,drama,오징어탑,오징어탑,10,10,1,10,88
지금우리학교는,지금우리학교는,drama,효산고등학교,효산고등학교,13,9,3,13,44
디어엠,디어엠,drama,서연대학교,서연대학교,11,9,1,11,21
갯마을차차차,갯마을 차차차,drama,빨간등대,빨간등대,11,9,2,10,88
스물다섯스물하나,스물다섯스물하나,drama,전주제일고등학교,전주제일고등학교,10,9,1,10,106
스물다섯스물하나,스물다섯스물하나,drama,산책길,산책길,9,8,1,9,106
이상한변호사우영우,이상한변호사우영우,drama,신도포구,신도포구,9,8,4,9,77
이태원클라쓰,이태원클라쓰,drama,경리단길,경리단길,14,7,3,14,90
국제시장,국제시장,movie,깡통시장,깡통시장,16,7,6,13,75
도깨비,도깨비,drama,수산시장,수산시장,12,7,1,11,61
선재업고튀어,선재업고튀어,drama,행궁동카페,행궁동카페,10,7,4,10,101
갯마을차차차,갯마을 차차차,drama,청진항,청진항,9,7,3,9,88
시그널,시그널,drama,빨차카페,빨차카페,8,7,7,8,91
중증외상센터,중증외상센터,drama,대학병원,대학병원,10,7,1,8,53
실미도,실미도,movie,하나개해수욕장,하나개해수욕장,20,6,7,20,101
변호인,변호인,movie,흰여울길,흰여울길,17,6,6,17,38
선재업고튀어,선재업고튀어,drama,화성행궁,화성행궁,14,6,1,13,101
터널,터널,movie,가는길,가는길,12,6,1,12,93
빈센조,빈센조,drama,중앙탑,중앙탑,11,6,8,11,68
터널,터널,movie,전주한옥마을,전주한옥마을,10,6,2,10,93
실미도,실미도,movie,가는길,가는길,9,6,2,9,101
택시운전사,택시운전사,movie,보령청소역,보령청소역,9,6,5,9,72
히말라야,히말라야,movie,엄홍길,엄홍길,9,6,1,9,54
나쁜엄마,나쁜엄마,drama,남천고택,남천고택,8,6,1,8,41
조립식가족,조립식가족,drama,기찻길,기찻길,8,6,2,8,64
조립식가족,조립식가족,drama,골목길,골목길,8,6,1,8,64
케이팝데몬헌터스,케이팝 데몬 헌터스,movie,남산타워,남산타워,8,6,1,8,24
맨끝줄소년,맨끝줄소년,drama,연서대학교,연서대학교,7,6,2,7,46
선재업고튀어,선재업고튀어,drama,수원카페,수원카페,7,6,1,7,101
신입사원강회장,신입사원강회장,drama,경주카페,경주카페,7,6,4,7,44
국제시장,국제시장,movie,자갈치시장,자갈치시장,17,5,1,15,75
해적바다로간산적,해적: 바다로 간 산적,movie,김남길,김남길,15,5,1,15,31
기생충,기생충,movie,경복궁역,경복궁역,14,5,1,13,70
국제시장,국제시장,movie,부평깡통시장,부평깡통시장,14,5,5,12,75
부산행,부산행,movie,서울역,서울역,12,5,1,12,61
실미도,실미도,movie,실미해수욕장,실미해수욕장,11,5,1,11,101
마이네임,마이네임,drama,파도리해수욕장,파도리해수욕장,9,5,4,9,81
시그널,시그널,drama,금진해변,금진해변,9,5,3,9,91
응답하라1988,응답하라1988,drama,잉글랜드,잉글랜드,9,5,5,9,77
빈센조,빈센조,drama,중앙탑사적공원,중앙탑사적공원,8,5,4,8,68
