id,title,place_name,tier,유효언급_글수,저자수,popularity_score,근거_URL_상위3
mv_2668,1987,연희네 슈퍼,S,20,20,100.0,https://blog.naver.com/axax79/224337762157 | https://blog.naver.com/wlstn291/224359752660 | https://blog.naver.com/chunwya/222326059278
st_00101,21세기대군부인,아원고택,S,19,18,100.0,https://blog.naver.com/majara78/224335814455 | https://blog.naver.com/elelash_/224298723459 | https://blog.naver.com/baenadj/224286866661
st_00114,21세기대군부인,무진정,S,13,12,68.4,https://blog.naver.com/urjj/224251239675 | https://blog.naver.com/maneros_camping/224249459485 | https://blog.naver.com/bladekwon/224232583524
st_00100,21세기대군부인,백제문화단지,S,11,11,57.9,https://blog.naver.com/dw00414/224038775042 | https://blog.naver.com/urjj/224251239675 | https://blog.naver.com/maneros_camping/224249459485
st_00102,21세기대군부인,소양고택,S,11,10,57.9,https://blog.naver.com/baenadj/224286866661 | https://blog.naver.com/baenadj/224284540126 | https://blog.naver.com/firehouse79/224337014460
st_00050,21세기대군부인,경복궁,S,8,8,42.1,https://blog.naver.com/urjj/224251239675 | https://blog.naver.com/maneros_camping/224249459485 | https://blog.naver.com/1asset1/224267682716
st_00057,21세기대군부인,경희대학교,S,8,8,42.1,https://blog.naver.com/dw00414/224038775042 | https://blog.naver.com/urjj/224251239675 | https://blog.naver.com/maneros_camping/224249459485
st_00103,21세기대군부인,광한루원,S,8,7,42.1,https://blog.naver.com/kk46521/224249393213 | https://blog.naver.com/bladekwon/224232583524 | https://blog.naver.com/kk4652/224277875014
st_00106,21세기대군부인,예천진호국제양궁장,S,7,7,36.8,https://blog.naver.com/urjj/224251239675 | https://blog.naver.com/maneros_camping/224249459485 | https://blog.naver.com/1asset1/224267682716
st_00086,21세기대군부인,화서문,S,6,6,31.6,https://blog.naver.com/urjj/224251239675 | https://blog.naver.com/maneros_camping/224249459485 | https://blog.naver.com/1asset1/224267682716
st_00043,21세기대군부인,국립중앙박물관,A,5,4,26.3,https://blog.naver.com/kk46521/224249393213 | https://blog.naver.com/bladekwon/224232583524 | https://blog.naver.com/l_j_0115/224249265908
st_20279,21세기 대군부인,수영만 요트경기장,A,5,4,26.3,https://blog.naver.com/dw00414/224038775042 | https://blog.naver.com/cozytip/224039019128 | https://blog.naver.com/somang9006/224257218172
st_00034,21세기대군부인,고척스카이돔,A,3,3,15.8,https://blog.naver.com/bladekwon/224232583524 | https://blog.naver.com/esilverjin/224257722099 | https://blog.naver.com/auavvvs8/224287828191
st_00096,21세기대군부인,더한옥헤리티지,A,3,3,15.8,https://blog.naver.com/maneros_camping/224249459485 | https://blog.naver.com/bladekwon/224232583524 | https://blog.naver.com/urjj/224252217307
