title_key,표기,category,수집_글수,전체_성지수,S,A,B,C,채택수,대표성지_TOP5
월간남친,월간남친,drama,37,106,19,21,42,24,38,보롬왓(9) / 이노시뮬레이션(6) / 그랜드 하얏트 제주(5) / 삼육대학교(5) / 별마로천문대(5)
멋진신세계,멋진 신세계 / 멋진신세계,drama,44,118,17,15,32,54,31,경복궁(10) / 청계천(7) / 창덕궁(6) / 영문빌딩(5) / 이노88타워(5)
유미의세포들3,유미의 세포들 3 / 유미의세포들3,drama,51,74,19,13,26,16,31,보수동 책방골목(7) / 카페385(7) / 아난티 앳 부산 코브(6) / 페이지37(5) / 칠링더데이(5)
미지의서울,미지의 서울 / 미지의서울,drama,88,147,15,18,25,89,30,반포한강공원(14) / 동작대교(13) / 을지로(8) / 을지로(1)(8) / 을지로(2)(8)
선재업고튀어,선재 업고 튀어 / 선재업고튀어,drama,101,96,3,27,22,44,28,몽테드(51) / 방화수류정(23) / 수원천(18) / 화홍마트(14) / 수원천로392번길(13)
웰컴투삼달리,웰컴투 삼달리 / 웰컴투삼달리,drama,56,86,17,12,14,43,28,명월국민학교(10) / 비밀의숲(8) / 광치기해변(7) / 도두봉(7) / 세기알해변(7)
조립식가족,조립식 가족 / 조립식가족,drama,64,82,6,23,16,37,28,감포 해국길(22) / 아르볼(19) / 감포항(17) / 근화여자고등학교(15) / 읍천항(9)
엄마친구아들,엄마친구아들,drama,61,120,7,19,32,62,25,구와우마을(12) / 남산타워(5) / NGT빌딩(5) / 감고당길(4) / 만화속으로(4)
신입사원강회장,신입사원 강회장 / 신입사원강회장,drama,44,49,4,20,14,11,24,브레스커피웍스(17) / 인제스피디움(8) / 롯데인재개발원 오산캠퍼스(6) / 조선팰리스 서울 강남(6) / 긴자 송도유원지점(4)
김부장,김부장,drama,55,88,16,10,13,49,23,소낭구펜션(9) / 호텔리베라 거제(9) / 세람저축은행 본점(5) / SBS일산제작센터(4) / 마포소금구이(4)
21세기대군부인,21세기 대군부인 / 21세기대군부인,drama,35,98,10,12,39,37,21,아원고택(19) / 무진정(13) / 백제문화단지(11) / 소양고택(11) / 경복궁(8)
폭싹속았수다,폭싹 속았수다,drama,79,78,11,9,7,51,20,성산일출봉(20) / 고창 학원농장(16) / 제주목 관아(15) / 계산성당(주교좌계산대성당)(11) / 오라동메밀밭(10)
언더커버미쓰홍,언더커버 미쓰홍 / 언더커버미쓰홍,drama,29,89,9,10,18,52,19,개항로통닭(5) / 다원레스토랑(5) / 국회의사당(4) / 서강대교(3) / 여의도따로국밥(3)
참교육,참교육,drama,66,64,10,9,12,33,19,계명대학교 대명캠퍼스(15) / 대구상원고등학교(12) / 전주공업고등학교(10) / 원화여자고등학교(10) / 대구이현초등학교(9)
다이루어질지니,다 이루어질지니 / 다이루어질지니,drama,63,80,3,17,19,41,18,의림지(14) / 두바이몰(6) / 의림지파크랜드(5) / 제천역(4) / 대통교(4)
스프링피버,스프링 피버 / 스프링피버,drama,41,102,7,17,14,64,18,죽도시장(1)(20) / 죽도시장(2)(20) / 죽도시장(3)(20) / 청하중학교(19) / 철길숲(11)
오징어게임2,오징어게임2,drama,52,48,7,11,8,22,18,탑골공원(13) / 서울랜드(6) / 카프리모텔(6) / 종로구(5) / 종각역(4)
이태원클라쓰,이태원 클라쓰 / 이태원클라쓰,drama,90,39,6,12,4,17,18,녹사평육교(19) / 단밤2호점(오리올)(16) / 용산구청(9) / G게스트하우스(9) / 이태원거리(세계음식문화거리)(9)
캐셔로,캐셔로,drama,43,56,8,10,11,27,18,수원대학교(학군단앞연못쪽)(5) / 경희초등학교(5) / 순천드라마촬영장(5) / 로우포레스트(폐업)(5) / 검암역로열파크씨티푸르지오(4)
키스는괜히해서,키스는 괜히 해서! / 키스는괜히해서,drama,44,87,9,9,12,57,18,비밀의숲(9) / 자유공원(7) / 인터불고엑스코 그랑파티오(5) / 노량진역(4) / 동화마을슈퍼(4)
동궁,동궁,drama,55,20,12,5,3,0,17,용인대장금파크(11) / 도솔암(11) / 경복궁(10) / 남사예담촌(10) / 광한루원(8)
반짝이는워터멜론,반짝이는 워터멜론 / 반짝이는워터멜론,drama,45,89,6,11,28,44,17,전북대학교(6) / 이월드(5) / 배재고등학교(4) / 신선대(4) / 제민천(3)
판사이한영,판사 이한영 / 판사이한영,drama,53,128,6,13,10,99,17,장안대학교(6) / 트레이드타워(5) / 호텔나루서울 엠갤러리(레스토랑 부아쟁)(4) / 운보의집(4) / 반포한강공원(3)
북극성,북극성,drama,48,45,5,12,12,16,16,광화문광장(5) / 청와대(4) / 온빛자연휴양림(4) / 소월로(4) / 소월로(어반클리프쪽)(4)
태풍상사,태풍상사,drama,60,105,2,15,13,75,16,브라운핸즈 개항로(21) / 더포레(9) / 인천역(4) / 디와이(4) / 연희숲속쉼터(3)
눈물의여왕,눈물의 여왕 / 눈물의여왕,drama,105,152,19,12,18,103,15,일월수목원(20) / Schloss Sanssouci(상수시궁전)(19) / 용연리마을(용두리)(19) / Eiserner Steg(아이젤너 다리)(9) / 더현대대구(9)
지옥에서온판사,지옥에서 온 판사,drama,56,100,5,10,12,73,15,삽교호놀이동산(9) / 광탄성당(6) / 히든캠프(6) / 카페낙타(4) / 갈남항(3)
킹더랜드,킹더랜드,drama,73,82,8,12,28,34,15,소노캄제주(16) / 탄도항(탄도바닷길)(11) / 탄도항(10) / 파르나스호텔 제주(8) / 가파도(6)
맨끝줄소년,맨 끝줄 소년 / 맨끝줄소년,drama,46,34,8,6,4,16,14,한미서점(8) / 계명대학교 성서캠퍼스(6) / 계명대학교 대명캠퍼스(4) / 템스커피(4) / 레스케이프 라망 시크레(3)
미스터션샤인,미스터 션샤인,drama,77,17,5,8,1,3,13,글로리호텔(27) / 한성전기(12) / 원수부(양품점)(12) / 홍예문(홍예교)(11) / 해드리오(10)
환혼,환혼,drama,56,19,5,8,3,3,13,쌍산재(14) / 성흥산성(가림성)(13) / 농월정(6) / 마성 오픈세트장(5) / 용머리해안(5)
모범택시3,모범택시3,drama,61,138,7,5,17,109,12,문화교통(9) / 신선중학교(8) / 대성사(4) / 로또분식(4) / 부남해변(4)
친애하는X,친애하는 X / 친애하는X,drama,20,97,8,4,9,76,12,평안교회(6) / 중앙고등학교(5) / 47625커피(3) / 경희대학교(3) / 세이지우드 홍천(3)
스터디그룹,스터디그룹,drama,36,28,4,8,8,8,11,인천대중예술고등학교(6) / 성남외국어고등학교(4) / 교보문고 일산점(3) / 단국대학교 죽전캠퍼스(3) / 고려빌라(2)
중증외상센터,중증외상센터,drama,53,36,2,10,4,20,11,이대서울병원(21) / 베스티안병원(12) / 오송첨단의료산업진흥재단(6) / 반도아이비밸리(6) / 용산역(6)
스물다섯스물하나,스물다섯 스물하나 / 스물다섯스물하나,drama,106,30,4,6,4,16,10,한벽굴(한벽터널)(59) / 전주한옥마을(33) / 크로싱 게스트하우스(오목대)(31) / 소리방앗간(만화방)(19) / 논산여자상업고등학교(태양고)(14)
조각도시,조각도시,drama,51,89,2,8,6,73,10,(구)광주교도소(3) / 장흥교도소(3) / 광탄성당(2) / 마임비전빌리지(2) / 서소문역사공원(2)
케이팝데몬헌터스,케이팝 데몬 헌터스,movie,24,12,7,3,2,0,10,낙산공원(17) / 북촌한옥마을(15) / 명동거리(11) / 자양역(9) / 청담대교(9)
갯마을차차차,갯마을 차차차,drama,88,17,7,2,3,5,9,보라슈퍼(41) / 윤치과(청진3리어민복지회관)(41) / 청호철물(32) / 오윤카페(한낮에 커피 달밤에 맥주)(27) / 청하공진시장(25)
아파트,아파트,drama,90,21,2,7,11,1,9,e편한세상 송도(5) / 더링크서울 트리뷰트 포트폴리오 호텔(3) / 도봉산(2) / 로이터 커피 셸터(2) / 스테이트타워 남산(2)
약한영웅2,약한영웅2,drama,43,40,4,5,6,25,9,대전대신고등학교(5) / 로얄볼링장(3) / 서울역사박물관(3) / 한남대학교(3) / 영등포경찰서(2)
이상한변호사우영우,이상한 변호사 우영우 / 이상한변호사우영우,drama,77,20,6,3,1,10,9,우영김밥(카자구루마)(12) / 카자구루마(12) / 관음사(11) / 창원 북부리 팽나무(6) / 새연교(새섬)(4)
폭군의셰프,폭군의 셰프 / 폭군의셰프,drama,30,16,9,1,1,5,9,고산정(10) / 부안영상테마파크(8) / 쁘띠프랑스(8) / 문경새재 오픈세트장(6) / 고산정 나루터(5)
기생충,기생충,movie,70,13,9,2,1,1,8,스카이피자(19) / 스카이피자(19) / 돼지쌀슈퍼(16) / 돼지슈퍼(15) / 자하문터널 계단(13)
