title_key,title_표기,category,수집_글수,전체_성지수,언급된_성지수,필터통과_성지수,대표성지_TOP5
연인,연인,drama,107,19,15,11,보리나라 학원농장(청보리밭)(5) / 서동요테마파크(4) / 고석정(3) / 무릉계곡(3) / 남양주종합촬영소(2)
해운대,해운대,movie,107,13,8,6,광안대교(35) / 해운대해수욕장(30) / 동백섬(16) / 오륙도(12) / 해운대전통시장(5)
스물다섯스물하나,스물다섯 스물하나 / 스물다섯스물하나,drama,106,30,14,12,한벽굴(한벽터널)(62) / 전주한옥마을(46) / 크로싱 게스트하우스(오목대)(39) / 소리방앗간(만화방)(23) / 수원화성(교동)(14)
눈물의여왕,눈물의 여왕 / 눈물의여왕,drama,105,152,50,4,Schloss Sanssouci(상수시궁전)(23) / 일월수목원(22) / 용연리마을(용두리)(21) / Eiserner Steg(아이젤너 다리)(13) / 더현대대구(11)
선재업고튀어,선재 업고 튀어 / 선재업고튀어,drama,101,96,52,14,몽테드(54) / 방화수류정(29) / 수원천(24) / 화홍마트(16) / 행궁동벽화마을(15)
실미도,실미도,movie,101,1,1,1,실미도(84)
터널,터널,movie,93,2,1,2,옥천터널(폐터널)(3) / 증약터널(0)
호텔델루나,호텔델루나,drama,92,43,20,9,목포근대역사관 1관(31) / 성흥산성 사랑나무(11) / 호텔세느장(10) / 파라다이스시티(8) / 서울책보고(6)
시그널,시그널,drama,91,25,6,6,헌화로(9) / 정동진(8) / 금진항(6) / 노원경찰서(5) / GS25 중계에이스점(4)
아파트,아파트,drama,90,21,20,11,e편한세상 송도(7) / 아트센터 인천(4) / 코코에르 밤리단길카페점(3) / 더링크서울 트리뷰트 포트폴리오 호텔(3) / 콘코디언빌딩(3)
이태원클라쓰,이태원 클라쓰 / 이태원클라쓰,drama,90,39,26,15,녹사평육교(21) / 단밤2호점(오리올)(18) / 용산구청(14) / 이태원거리(세계음식문화거리)(11) / G게스트하우스(10)
갯마을차차차,갯마을 차차차,drama,88,17,12,9,윤치과(청진3리어민복지회관)(46) / 보라슈퍼(45) / 청호철물(35) / 오윤카페(한낮에 커피 달밤에 맥주)(29) / 청하공진시장(28)
미지의서울,미지의 서울 / 미지의서울,drama,88,147,61,12,반포한강공원(16) / 동작대교(13) / 은행회관(9) / 을지로(2)(9) / 을지로(9)
친구,친구,movie,85,8,2,3,대변항(2) / 영도대교(1) / 국제시장(0) / 매축지마을 철길·육교(0) / 부산국제관광호텔(0)
마이네임,마이네임,drama,81,8,4,4,해동용궁사(27) / 깡깡이예술마을(6) / 부산해양경찰서 (경찰서 세트)(6) / 부산대교(4) / 돈화문로 고깃집(0)
