id,title,title_aliases,title_category,title_cast,place_name,place_type,place_address,place_latitude,place_longitude,place_image_url,place_naver_url,scene_description,source_url,last_updated,famous_rank,recent_rank,place_kakao_url,audience_acc,award,evidence_url_1,evidence_url_2,evidence_summary,source_quality,codex_notes,codex_status
st_20278,신과함께-죄와 벌,Along with the Gods: The Two Worlds,movie,하정우;차태현;주지훈;김향기;김동욱,KNN타워,방송국,부산 해운대구 센텀서로 30,35.172810,129.129090,,https://map.naver.com/p/search/KNN%ED%83%80%EC%9B%8C,오프닝에서 소방관 김자홍이 고층 빌딩 화재 현장에서 소녀를 구출하는 장면.,https://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0500&key=20180104.22002000982,2026-07-30,,,,,,https://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0500&key=20180104.22002000982,https://mapcarta.com/W569507592,"국제신문이 제작사 취재를 바탕으로 오프닝 고층 빌딩 화재 장면을 센텀시티 KNN 빌딩에서 촬영했다고 설명하며, 공개 지도 자료로 좌표를 확인했다.",C+D,,verified
st_20279,신과함께-죄와 벌,Along with the Gods: The Two Worlds,movie,하정우;차태현;주지훈;김향기;김동욱,기장소방서,소방서,부산 기장군 정관읍 용수로 7,35.324980,129.179920,,https://map.naver.com/p/search/%EA%B8%B0%EC%9E%A5%EC%86%8C%EB%B0%A9%EC%84%9C,"김자홍이 화재 신고를 받고 동료 소방관들과 긴급 출동하고, 강림이 건너편에서 소방서를 내려다보는 장면.",https://www.nongmin.com/article/20180118286347,2026-07-30,,,,,,https://www.nongmin.com/article/20180118286347,https://119.busan.go.kr/gijang/119gijaler01/1726771,"농민신문의 현장 취재가 긴급출동 장면과 강림의 시점 위치를 설명하고, 부산소방 공식 페이지가 주소를 확인한다.",C+A,,verified
st_20280,신과함께-죄와 벌,Along with the Gods: The Two Worlds,movie,하정우;차태현;주지훈;김향기;김동욱,구 부산해사고등학교,폐교·훈련시설,부산 영도구 와치로 34,35.087942,129.058423,,https://map.naver.com/p/search/%EA%B5%AC%20%EB%B6%80%EC%82%B0%ED%95%B4%EC%82%AC%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,엔딩에서 토네이도 속 군인들이 사투를 벌이는 군부대 장면.,https://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0500&key=20180104.22002000982,2026-07-30,,,,,,https://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0500&key=20180104.22002000982,https://www.bfc.or.kr/upload/magazine/2019.%201%2B2%2B3%EC%9B%94%ED%98%B8%20vol.28.pdf,"국제신문이 구 해사고 오픈세트에서 엔딩 토네이도 군부대 장면을 촬영했다고 설명하고, 부산영상위원회가 군부대 촬영지임을 확인한다.",C+B,현재는 남해지방해양경찰청 특공대 훈련시설로 바뀌어 일반 촬영지 방문 대상이 아니다.,verified
st_20281,국제시장,Ode to My Father,movie,황정민;김윤진;오달수;정진영;장영남,국제시장 꽃분이네,시장·상점,부산 중구 중구로 42 국제시장3공구,35.100243,129.028240,,https://map.naver.com/p/search/%EA%B5%AD%EC%A0%9C%EC%8B%9C%EC%9E%A5%20%EA%BD%83%EB%B6%84%EC%9D%B4%EB%84%A4,덕수가 고생 끝에 국제시장에 자신의 가게 ‘꽃분이네’를 열고 감격하는 장면.,https://www.busan.go.kr/news/totalnews01/view?curPage=78&dataNo=57228&srchKey=sj,2026-07-30,,,,,,https://www.busan.go.kr/news/totalnews01/view?curPage=78&dataNo=57228&srchKey=sj,https://www.visitbusan.net/index.do?lang_cd=ko&menuCd=DOM_000000201013001000&uc_seq=399,"부산시가 덕수가 꽃분이네를 열고 감격하는 장면의 촬영지라고 설명하고, 비짓부산이 국제시장 안 꽃분이네의 현존 위치를 확인한다.",A+A,좌표는 국제시장 중심 좌표이며 점포 출입구 단위 좌표는 후속 현장 대조 대상이다.,verified
st_20282,국제시장,Ode to My Father,movie,황정민;김윤진;오달수;정진영;장영남,용두산공원,공원,부산 중구 용두산길 37-55,35.100556,129.032778,,https://map.naver.com/p/search/%EC%9A%A9%EB%91%90%EC%82%B0%EA%B3%B5%EC%9B%90,덕수와 영자가 말다툼하다 국기 하강식 애국가가 나오자 싸움을 멈추고 국기에 경례하는 장면.,https://www.busan.go.kr/news/totalnews01/view?curPage=78&dataNo=57228&srchKey=sj,2026-07-30,,,,,,https://www.busan.go.kr/news/totalnews01/view?curPage=78&dataNo=57228&srchKey=sj,https://www.ytn.co.kr/_ln/0115_201501021615011249,부산시와 YTN이 덕수와 영자의 말다툼 중 국기 하강식 경례 장면을 용두산공원 촬영 장면으로 일치되게 설명한다.,A+C,,verified
st_20283,서울의 봄,12.12: THE DAY,movie,황정민;정우성;이성민;박해준;김성균,조선대학교 본관,대학교,광주 동구 조선대길 146,35.142361,126.934217,,https://map.naver.com/p/search/%EC%A1%B0%EC%84%A0%EB%8C%80%ED%95%99%EA%B5%90%20%EB%B3%B8%EA%B4%80,"영화 초반 이태신과 전두광이 육군본부 복도에서 신경전을 벌이고, 병사들이 B2 벙커를 지키는 장면.",https://eng.chosun.ac.kr/sites/chosun/files/news_2023/%EC%A1%B0%EC%84%A0%EB%8C%80_%EC%84%9C%EC%9A%B8%EC%9D%98%EB%B4%84.pdf,2026-07-30,,,,,,https://news.sbs.co.kr/news/endPage.do?news_id=N1007453847,https://eng.chosun.ac.kr/sites/chosun/files/news_2023/%EC%A1%B0%EC%84%A0%EB%8C%80_%EC%84%9C%EC%9A%B8%EC%9D%98%EB%B4%84.pdf,"SBS가 육군본부 복도와 B2 벙커를 조선대 본관에서 촬영했다고 보도하고, 조선대 자료가 본관 1~3층 복도 촬영을 확인한다.",C+B,복도와 본관 뒤편 대피소가 서로 다른 세부 지점이지만 동일 본관 시설군으로 한 행에 묶었다.,verified
st_20284,서울의 봄,12.12: THE DAY,movie,황정민;정우성;이성민;박해준;김성균,씨스테인웨그 로지스틱스 코리아 광양항 물류창고,물류창고·항만,전남 광양시 항만10로 23,34.923452,127.690496,,https://map.naver.com/p/search/%EC%94%A8%EC%8A%A4%ED%85%8C%EC%9D%B8%EC%9B%A8%EA%B7%B8%20%EB%A1%9C%EC%A7%80%EC%8A%A4%ED%8B%B1%EC%8A%A4%20%EC%BD%94%EB%A6%AC%EC%95%84%20%EA%B4%91%EC%96%91%ED%95%AD%20%EB%AC%BC%EB%A5%98%EC%B0%BD%EA%B3%A0,영화 후반 반란군과 진압군이 세종로에서 대치하고 전차가 오가는 장면.,https://www.jnfilm.or.kr/sys_board2/board.php?bbs_code=storytelling&mode=view&uid=853,2026-07-30,,,,,,https://www.jnfilm.or.kr/sys_board2/board.php?bbs_code=storytelling&mode=view&uid=853,https://imnews.imbc.com/replay/2023/nwtoday/article/6550025_36207.html,"전남영상위원회와 MBC가 광양항에서 반란군·진압군의 세종로 대치와 전차 이동 장면을 촬영했다고 설명하고, 후속 영화제 자료가 해당 창고 주소를 확인한다.",B+C,"현장 명칭은 과거 기사에서 ‘스타인벡코리아’, 현재 사업자 표기는 ‘씨스테인웨그 로지스틱스 코리아’로 확인된다.",verified
st_20285,도둑들,The Thieves,movie,김윤석;김혜수;이정재;전지현;임달화,부산데파트,상가·아파트,부산 중구 중앙대로 21,35.099571,129.036389,,https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8D%B0%ED%8C%8C%ED%8A%B8,영화 후반 부산 도심의 아파트를 배경으로 총격전이 벌어지는 장면.,https://www.busan.go.kr/news/totalnews01/view?curPage=78&dataNo=57228&srchBgnde=2016-04-28&srchEndde=2017-04-29&srchKey=sj,2026-07-30,,,,,,https://www.busan.go.kr/news/totalnews01/view?curPage=78&dataNo=57228&srchBgnde=2016-04-28&srchEndde=2017-04-29&srchKey=sj,https://jusoga.com/b/2611011100100010010006867/%EB%B6%80%EC%82%B0%EA%B4%91%EC%97%AD%EC%8B%9C-%EC%A4%91%EA%B5%AC-%EC%A4%91%EC%95%99%EB%8C%80%EB%A1%9C-21-%EC%A4%91%EC%95%99%EB%8F%996%EA%B0%80,"부산시가 도둑들의 총격 장면 촬영지로 부산데파트를 명시하고, 도로명주소 자료로 현행 주소와 건물 좌표를 확인했다.",A+D,,verified
st_20286,도둑들,The Thieves,movie,김윤석;김혜수;이정재;전지현;임달화,자갈치공영주차장,공영주차장,부산 중구 구덕로 93,35.096438,129.026008,,https://map.naver.com/p/search/%EC%9E%90%EA%B0%88%EC%B9%98%EA%B3%B5%EC%98%81%EC%A3%BC%EC%B0%A8%EC%9E%A5,도둑 일행이 주차장에서 남항을 바라보며 보석을 훔칠 계획을 세우는 장면.,https://www.busan.go.kr/news/totalnews01/view?curPage=78&dataNo=57228&srchBgnde=2016-04-28&srchEndde=2017-04-29&srchKey=sj,2026-07-30,,,,,,https://www.busan.go.kr/news/totalnews01/view?curPage=78&dataNo=57228&srchBgnde=2016-04-28&srchEndde=2017-04-29&srchKey=sj,https://megojigo.com/bbs/board.php?bo_table=evcharging&wr_id=260914,"부산시가 자갈치시장 공영주차장에서 주인공들이 남항을 바라보며 보석 절도 모의를 하는 장면을 촬영했다고 설명하고, 주차장 시설 자료로 주소와 좌표를 확인했다.",A+D,2012년 촬영 당시와 현재 주차장 시설의 세부 구조가 달라졌을 수 있어 방문 전 현장 대조가 필요하다.,verified
st_20287,7번방의 선물,Miracle in Cell No.7,movie,류승룡;박신혜;갈소원;오달수;박원상,익산교도소세트장,촬영세트장,전북특별자치도 익산시 성당면 함낭로 207,36.069523,126.930683,,https://map.naver.com/p/search/%EC%9D%B5%EC%82%B0%EA%B5%90%EB%8F%84%EC%86%8C%EC%84%B8%ED%8A%B8%EC%9E%A5,용구가 누명을 쓰고 수감된 뒤 7번방 수감자들과 생활하는 교도소 장면.,https://data.visitkorea.or.kr/resource/2594360,2026-07-30,,,,,,https://data.visitkorea.or.kr/resource/2594360,https://www.jjan.kr/article/20130311464193,"한국관광공사가 익산교도소세트장을 7번방의 선물 촬영지로 명시하고 주소·좌표를 제공하며, 전북일보가 교도소 비중이 큰 작품의 주 촬영지임을 확인한다.",A+C,장면 설명은 작품의 교도소 생활 장면군을 요약한 것으로 특정 컷 한 장면만을 뜻하지 않는다.,verified
