id,title,place_name,place_address,scene_description
st_07372,미지의서울,쏭타이치앙마이 마곡직영점,서울 강서구 마곡동로 62,
st_07373,미지의서울,덕산중학교.두산위브아파트 정류장(12499),서울 은평구 신사동 292-5,
st_07374,미지의서울,증산서길,서울 은평구 증산로13길 10,
st_07375,미지의서울,증산동 골목,서울 은평구 증산서길 153-2,
st_07376,미지의서울,안짱,서울 서대문구 통일로39길 32,
st_07377,미지의서울,광산맨션,서울 서대문구 모래내로 455,
st_07378,미지의서울,스위스그랜드호텔,서울 서대문구 연희로 353,
st_07379,미지의서울,담솥 신촌점,서울 서대문구 연세로4길 1,
st_07380,미지의서울,데스툴 연희,서울 서대문구 연희로25길 98,
st_07381,미지의서울,홍대채움공인중개사사무소,서울 마포구 연남로 89,
st_07382,미지의서울,준무 연남,서울 마포구 동교로38길 6,
st_07383,미지의서울,브라운 프론트 도어,서울 마포구 포은로 94,
st_07384,미지의서울,채그로,서울 마포구 마포대로4다길 31,
st_07385,미지의서울,미스터리브루잉컴퍼니,서울 마포구 독막로 311,
st_07386,미지의서울,마포대교,서울 영등포구 여의도동 85-2,
st_07387,미지의서울,여의대로(LG트윈타워앞),서울 영등포구 여의대로 122-2,
st_07388,미지의서울,원효대교,서울 영등포구 여의도동 87-2,
st_07389,미지의서울,맨홀커피,서울 영등포구 영신로 247,
st_07390,미지의서울,JK아트컨벤션,서울 영등포구 문래로 164,
st_07391,미지의서울,다이어메이커 문래,서울 영등포구 도림로 440-23,
st_07392,미지의서울,비닐하우스,서울 영등포구 도림로128가길 13-8,
st_07393,미지의서울,테이블스 영등포구청점,서울 영등포구 당산로 83,
st_07394,미지의서울,강변북로,서울 용산구 청암동 170-1,
st_07395,미지의서울,더큐어링,서울 동작구 서달로14길 12,
st_07396,미지의서울,동작대교,서울 용산구 이촌동 385,
st_07397,미지의서울,녹트,서울 용산구 올림픽대로 2085-96,
st_07398,미지의서울,서빙고초등학교 정류장,서울 용산구 서빙고로51길 17,
st_07399,미지의서울,서울역(15번출구쪽),서울 용산구 청파로 378,
st_07400,미지의서울,퇴계로20길,서울 중구 남산동2가 24-2,
st_07401,미지의서울,필로소피라운지,서울 중구 충무로 21-21,
st_07402,미지의서울,을지로(1),서울 중구 을지로2가 9-7,
st_07403,미지의서울,을지로(2),서울 중구 을지로2가 17,
st_07404,미지의서울,을지로5길,서울 중구 을지로2가 17,
st_07405,미지의서울,SK텔레콤빌딩앞 택시정류장,서울 중구 을지로 65,
st_07406,미지의서울,명동11길,서울 중구 을지로2가 185-1,
st_07407,미지의서울,은행회관,서울 중구 명동11길 19,
st_07408,미지의서울,명동고로케,서울 중구 명동11길 9,
st_07409,미지의서울,을지로2가교차로,서울 중구 을지로2가,
st_07410,미지의서울,시그니쳐타워,서울 중구 청계천로 100,
st_07411,미지의서울,센트로폴리스,서울 종로구 우정국로 26,
st_07412,미지의서울,광통교,서울 중구 다동 17,
st_07413,미지의서울,서린동.SK서린빌딩 정류장,서울 종로구 종로 26,
st_07414,미지의서울,한화빌딩앞,서울 중구 수하동 68-4,
st_07415,미지의서울,청계천한빛광장,서울 중구 삼각동 118,
st_07416,미지의서울,디디피,서울 중구 을지로 281,
st_07417,미지의서울,신당역1번출구,서울 중구 황학동 756,
st_07418,미지의서울,퇴계로83길,서울 중구 퇴계로83길 14,
st_07419,미지의서울,모아주방설비,서울 중구 마장로 108,
st_07420,미지의서울,어글리베이커스베이글 신당본점,서울 중구 다산로40길 17,
st_07421,미지의서울,교보문고 광화문점,서울 종로구 종로 1,
st_07422,미지의서울,청진공원,서울 종로구 청진동 146-3,
st_07423,미지의서울,북촌로5길,서울 종로구 북촌로5길 19-7,
st_07424,미지의서울,티테라피,서울 종로구 윤보선길 74,
st_07425,미지의서울,감고당길(1),서울 종로구 율곡로3길 64,
st_07426,미지의서울,감고당길(2),서울 종로구 율곡로3길 78,
st_07427,미지의서울,북촌5가길,서울 종로구 북촌로5가길 12,
st_07428,미지의서울,북촌여행,서울 종로구 북촌로5가길 28,
st_07429,미지의서울,진닭강정 앞,서울 종로구 익선동 166-96,
st_07430,미지의서울,포토이즘박스 익선동점 앞,서울 종로구 돈화문로11나길 27,
st_07431,미지의서울,청수당 베이커리,서울 종로구 돈화문로11나길 31-9,
st_07432,미지의서울,온지심 옆,서울 종로구 돈화문로11다길 17,
st_07433,미지의서울,아트몬스터 익선동점 앞,서울 종로구 돈화문로11다길 30,
st_07434,미지의서울,빻 앞,서울 종로구 돈화문로11다길 40,
st_07435,미지의서울,아씨방앗간 앞,서울 종로구 돈화문로11다길 47,
st_07436,미지의서울,뜰안 앞,서울 종로구 수표로28길 17-35,
st_07437,미지의서울,익선슈팅클럽 앞,서울 종로구 수표로28길 21-13,
st_07438,미지의서울,낙원역 앞,서울 종로구 수표로28길 33-5,
st_07439,미지의서울,치즈인더스트리 앞(폐업),서울 종로구 수표로28길 33-7,
st_07440,미지의서울,에일당 앞,서울 종로구 수표로28길 33-9,
st_07441,미지의서울,통돼지집 앞,서울 종로구 수표로28길 44,
st_07442,미지의서울,마전교지하쇼핑센터(대신사),서울 종로구 동호로 398,
st_07443,미지의서울,이화동벽화마을,서울 종로구 이화동 9-441,
st_07444,미지의서울,개뿔,서울 종로구 낙산성곽서1길 26,
st_07445,미지의서울,성신여자대학교 운정그린캠퍼스,서울 강북구 도봉로76가길 55,
st_07446,미지의서울,티틸 CAFE+BAR,서울 강북구 노해로 42,
st_07447,미지의서울,미즐카페엠,서울 강북구 4.19로 107,
st_07448,미지의서울,이설함흥냉면 수유본점,서울 강북구 4.19로 42,
st_07449,미지의서울,서울의료원,서울 중랑구 신내로 156,
st_07450,미지의서울,어메이징브루잉컴퍼니,서울 성동구 성수일로4길 4,
st_07451,미지의서울,클래식 해례커피,서울 성동구 연무장길 28-20,
st_07452,미지의서울,C156,서울 광진구 동일로 156,
st_07453,미지의서울,성수낙낙,서울 성동구 아차산로17길 48,
st_07454,미지의서울,커먼그라운드,서울 광진구 아차산로 200,
st_07455,미지의서울,쎈느 건국,서울 광진구 아차산로 207,
st_07456,미지의서울,시립서울천문대,서울 광진구 구천면로 2,
st_07457,미지의서울,서울여자대학교,서울 노원구 화랑로 621,
st_07458,미지의서울,삼육대학교,서울 노원구 화랑로 815,
st_07459,미지의서울,반포한강공원,서울 서초구 반포동 649-1,
st_07460,미지의서울,GS25 한강반포2호점,서울 서초구 신반포로11길 40,
st_07461,미지의서울,서울중앙지방법원,서울 서초구 서초중앙로 157,
st_07462,미지의서울,선샤인호텔,서울 강남구 도산대로 205,
st_07463,미지의서울,세로수길,서울 강남구 강남대로158길 45,
st_07464,미지의서울,스노우폭스 플라워 가로수길점,서울 강남구 도산대로11길 43,
st_07465,미지의서울,고디바 가로수길 플래그십,서울 강남구 가로수길 46,
