title,category,matched_title,year,director,poster_url,status
21세기대군부인,drama,,,,,not_found
S라인,drama,S라인,2025,안주영,https://image.tmdb.org/t/p/w500/o9ENFFvHnU08zy8GbElxGLbrm87.jpg,ok
경이로운소문2,drama,경이로운 소문,2020,You Sun-dong,https://image.tmdb.org/t/p/w500/xwXgYXqxLRAYfVGUaS1STEFnmzZ.jpg,ok
광장,drama,광장,2025,최성은,https://image.tmdb.org/t/p/w500/moKcq3vV0WlYkqln1g48cIgOPue.jpg,ok
기생충,movie,기생충,2019,봉준호,https://image.tmdb.org/t/p/w500/jjHccoFjbqlfr4VGLVLT7yek0Xn.jpg,ok
김부장,drama,김부장,2026,이승영;이소은,https://image.tmdb.org/t/p/w500/eKJNWq4akdrviR9qEF6xPhzKQU.jpg,ok
김비서가왜그럴까,drama,What's Wrong With Secretary Kim,2024,Chad Vidanes,https://image.tmdb.org/t/p/w500/2NUtA4ODZphAknsXna84Nk9rq6F.jpg,ok
나빌레라,drama,나빌레라,2021,한동화,https://image.tmdb.org/t/p/w500/8XNj2fN7TwSazpRfvE27VJA65SJ.jpg,ok
나쁜엄마,drama,나쁜 엄마,2023,심나연,https://image.tmdb.org/t/p/w500/o8h8BJz85BNI6g6ty47jbpEDAiK.jpg,ok
나의아저씨,drama,나의 아저씨,2018,김원석,https://image.tmdb.org/t/p/w500/aPjpO3UBZ8v4rmj1RmMS1CkypDq.jpg,ok
낭만닥터김사부3,drama,,,,,not_found
내남편과결혼해줘,drama,30 Days Till I Marry My Husband's Nemesis,2024,,https://image.tmdb.org/t/p/w500/w5G3moxAKQrgsRgqdMbizduHXxX.jpg,ok
눈물의여왕,drama,눈물의 여왕,2024,김희원;장영우,https://image.tmdb.org/t/p/w500/3x8GHyMTMsuXVX8pZ1OhUUHgOBx.jpg,ok
뉴토피아,drama,뉴토피아,2025,윤성현,https://image.tmdb.org/t/p/w500/ilBndopP8kfpmhmlWDoR6xs5fKa.jpg,ok
다이루어질지니,drama,다 이루어질지니,2025,이병헌;안길호,https://image.tmdb.org/t/p/w500/zq84x5kmwomvmmJ03hzl389UGeb.jpg,ok
당신이잠든사이에,drama,On rit la nuit!,2014,,https://image.tmdb.org/t/p/w500/gGnYHQkrtHqyAgW0OldfIelj0Ql.jpg,ok
더글로리,drama,Beyond the Glory,2001,,,ok
더킹,drama,더킹 투하츠,2012,Song Ji-won;JQ Lee;Jung Dae-yoon,https://image.tmdb.org/t/p/w500/tekVzYihVCcf5fsnxDR1diNYQOj.jpg,ok
도깨비,drama,도깨비,2016,윤종호;권혁찬;이응복,https://image.tmdb.org/t/p/w500/qZMEiTsNlCQV27hHQE27ZtlPWyv.jpg,ok
동궁,drama,동궁,2026,최정규,https://image.tmdb.org/t/p/w500/wJoNpRjonE3B5vSWMNuBvaIPZvl.jpg,ok
