id,place_name,scene_description,desc_source_url
st_02408,스카이피자,기택 가족이 피자 상자를 접다가 문광을 쫓아낼 계략을 꾸미는 장면,https://v.daum.net/v/20200213205115036;https://opengov.seoul.go.kr/seoullove/19932986
st_02409,돼지슈퍼,기우가 친구 민혁에게서 박사장 딸 과외 자리를 제안받으며 소주를 마시는 장면,https://www.joongang.co.kr/article/23702201;https://www.chosun.com/site/data/html_dir/2020/02/11/2020021102535.html
st_02410,기택동네계단,기정이 문광을 쫓아내려 복숭아를 사 들고 박사장 집으로 향하는 장면,https://biz.heraldcorp.com/article/2229866;https://opengov.seoul.go.kr/seoullove/19932986
st_02411,북아현동계단,기정이 문광을 쫓아내려 복숭아를 훔친 후 계단을 오르는 장면,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=645e1de9-97d5-4c64-92a6-831fa424c130
st_02412,박사장집,기우가 위조 서류를 들고 박사장 집 과외 면접을 보러 언덕길을 오르는 장면,https://blog.naver.com/mcst_pr/221818916668;https://opengov.seoul.go.kr/seoullove/19932986
st_02413,올가홀푸드,연교가 아들 생일파티를 준비하며 기택과 함께 장을 보는 장면,https://news.pulmuone.co.kr/pulmuone/newsroom/viewEsg.do?id=1806;https://opengov.seoul.go.kr/seoullove/19932986
st_02414,대호빌라옆다리,폭우 속 집으로 돌아가는 길에 기우와 기정 남매가 도닥다리에서 말다툼하는 장면,https://blog.naver.com/mcst_pr/221818916668;https://www.fnnews.com/news/201906190931409237
st_02415,자하문터널계단,박사장 가족이 예정보다 일찍 돌아오자 기택 가족이 폭우 속 계단을 뛰어 내려가는 장면,https://opengov.seoul.go.kr/seoullove/19932986;https://blog.naver.com/mcst_pr/221818916668
st_02416,높은계단,기택 가족이 폭우 속 집으로 뛰어가며 창신동 계단을 지나는 장면,https://www.fnnews.com/news/201906190931409237;https://blog.naver.com/mcst_pr/221818916668
mv_3810_02,기택 동네 계단,기정이 문광을 쫓아내려 복숭아를 사 들고 박사장 집으로 향하는 장면,https://biz.heraldcorp.com/article/2229866;https://opengov.seoul.go.kr/seoullove/19932986
mv_2319_01,합천영상테마파크,북한군 점령하 인천 시가지로 꾸며진 세트에서 첩보부대가 총격전을 벌이는 장면,http://www.sportsq.co.kr/news/articleView.html?idxno=191434;https://www.m-i.kr/news/articleView.html?idxno=245319
mv_2319_02,삽교호함상공원,맥아더 장군이 함상에서 인천상륙작전을 진두지휘하는 장면,https://www.facebook.com/dangjin/posts/1264037766964208;https://blog.naver.com/cconworld/223963654279
mv_2319_03,광천토굴새우젓시장,,
mv_2319_04,계명대학교 성서캠퍼스,,
mv_2319_05,마시안해변,,
mv_2319_06,설매재자연휴양림,,
mv_0921_03,다대포해수욕장,,
mv_0921_04,부산사직종합운동장 사직야구장,연희와 승현이 사직야구장에서 관중이 잡은 파울볼을 '아주라'며 뺏는 장면,https://cine21.com/news/view/?mag_id=106156;https://zoommastory.com/1070
mv_0921_09,동백섬,유진과 휘가 국제행사 업무로 동백섬 누리마루APEC하우스에서 자주 마주치는 장면,https://cine21.com/news/view/?mag_id=106156
mv_0921_11,오륙도,,
mv_0921_13,팔레드시즈,,
mv_1747_01,천관산,장사정이 옥새를 찾으면 출세한다는 소식에 해적으로 전향해 수하들과 바다로 향하는 장면,http://www.jhnews.co.kr/news/articleView.html?idxno=445686;https://ko.wikipedia.org/wiki/%ED%95%B4%EC%A0%81:_%EB%B0%94%EB%8B%A4%EB%A1%9C_%EA%B0%84_%EC%82%B0%EC%A0%81
mv_1747_03,고양아쿠아스튜디오,산적과 해적 무리가 배 위에서 전투를 벌이는 장면을 촬영한 수조 세트장,https://www.mygoyang.com/news/articleView.html?idxno=36673;https://www.news1.kr/local/gyeonggi/2017102
mv_0254_01,실미도,684부대원들이 실미도에 세운 부대 막사 세트에서 혹독한 지옥훈련을 받는 장면,https://www.kmib.co.kr/article/viewDetail.asp?newsClusterNo=01100201.20030505000001501;https://blog.naver.com/dal4829/223357053578
mv_1552_02,힌터툭스 빙하,요나와 티미가 처음으로 기차에서 내려 눈 덮인 산과 북극곰을 바라보는 마지막 장면,https://www.natgeotraveler.co.kr/article.php?type=s&idx=56;https://blog.naver.com/jeanie7027/70172861023
mv_2273_02,문경새재오픈세트장,일본 경찰들이 김장옥을 붙잡으려 한옥 지붕 위를 넘나들며 쫓는 오프닝 추격 장면,https://cine21.com/news/view/?mag_id=85101;https://www.tvdaily.co.kr/read.php3?aid=14732905061156631008
