id,place_name,search_key,naver_url,naver_lat,naver_lng,confidence,matched_name
st_00022,마곡중앙로(2),마곡중앙2로,https://map.naver.com/p/entry/place/35792905,37.557625,126.8309289,mid,마곡중앙2로
st_00030,여의대로,여의대로,https://map.naver.com/p/entry/place/20618897,37.5289845,126.9292931,mid,여의대로
st_00032,스위치22 여의도점,Switch22,,,,failed,
st_04135,스위치22 여의도점,Switch22,,,,failed,
st_06380,스위치22 여의도점,Switch22,,,,failed,
st_10211,스위치22 여의도점,Switch22,,,,failed,
st_17454,스위치22 여의도점,Switch22,,,,failed,
st_17822,스위치22 여의도점,Switch22,,,,failed,
st_00036,올림픽대로,올림픽대로,,,,failed,
st_00038,노들로,노들로,https://map.naver.com/p/entry/place/34144483,37.5146728,126.9390147,mid,노들로2길
st_00039,강변북로,강변북로,,,,failed,
st_00047,청춘식당(폐업),청춘식당,,,,failed,
st_00051,"경복궁,국립민속박물관 정류장(01540)",경복궁.국립민속박물관,https://map.naver.com/p/entry/place/36501062,37.5814057,126.9798572,mid,경복궁국립민속박물관화장실
st_00052,삼청로,삼청로,https://map.naver.com/p/entry/place/20618890,37.5846562,126.9820991,mid,삼청로
st_00064,서초대로,서초대로,,,,failed,
st_00082,로케이션 이음,로케이션 이음,,,,failed,
st_07472,로케이션 이음,로케이션 이음,,,,failed,
st_17866,로케이션 이음,로케이션 이음,,,,failed,
st_00083,얼반웍스 스튜디오,얼반웍스 스튜디오,,,,failed,
st_03721,얼반웍스 스튜디오,얼반웍스 스튜디오,,,,failed,
st_06293,얼반웍스 스튜디오,얼반웍스 스튜디오,,,,failed,
st_06450,얼반웍스 스튜디오,얼반웍스 스튜디오,,,,failed,
st_06956,얼반웍스 스튜디오,얼반웍스 스튜디오,,,,failed,
st_10298,얼반웍스 스튜디오,얼반웍스 스튜디오,,,,failed,
st_16424,얼반웍스 스튜디오,얼반웍스 스튜디오,,,,failed,
st_16969,얼반웍스 스튜디오,얼반웍스 스튜디오,,,,failed,
st_17522,얼반웍스 스튜디오,얼반웍스 스튜디오,,,,failed,
st_17582,얼반웍스 스튜디오,얼반웍스 스튜디오,,,,failed,
st_18536,얼반웍스 스튜디오,얼반웍스 스튜디오,,,,failed,
st_00091,선향재 한옥 스튜디오,다온재 한옥스튜디오 | 돌사진 | 돌스냅 | 돌잔치,,,,failed,
st_06459,선향재 한옥 스튜디오,다온재 한옥스튜디오 | 돌사진 | 돌스냅 | 돌잔치,,,,failed,
st_18543,선향재 한옥 스튜디오,다온재 한옥스튜디오 | 돌사진 | 돌스냅 | 돌잔치,,,,failed,
st_00094,세트장(치악산드림랜드부지),드림랜드,,,,failed,
st_00097,우암산로,우암산로,https://map.naver.com/p/entry/place/17772549,36.6393484,127.4925059,mid,우암산로
st_00107,오릉,오릉,https://map.naver.com/p/entry/place/20098998,35.8234594,129.2088209,high,경주 오릉
