place_name,place_address,photo_url,status
마곡중앙로(2),서울 강서구 마곡동 721-7,,no_photo
여의대로,서울 영등포구 여의도동 2-11,,no_photo
올림픽대로,서울 영등포구 여의도동 87-5,,no_photo
노들로,서울 동작구 노량진동 320-1,,no_photo
나라약국,서울 용산구 청파로47길 7,,no_photo
제이에스티나빌딩,서울 송파구 양재대로62길 53,,no_photo
써브웨이 인천송도8공구점,인천 연수구 랜드마크로 20,,no_photo
양주한국병원,경기 양주시 화합로 1489,,no_photo
로케이션 이음,경기 파주시 탄현면 새오리로286번길 48-70,,no_photo
얼반웍스 스튜디오,경기 고양시 덕양구 호원길 3-2,,no_photo
마성오픈세트장,경북 문경시 마성면 가은로 311-18,,no_photo
연세로5가길,서울 서대문구 연세로5가길 8-6,,no_photo
연세로7안길,서울 서대문구 연세로7안길 6,,no_photo
연세로4길,서울 서대문구 연세로4길 6,,no_photo
인생네컷 신촌점(폐업),서울 서대문구 명물길 46,,no_photo
더쿠스,인천 미추홀구 경인남길30번길 65,,no_photo
도래울파크뷰,경기 고양시 덕양구 도래울로 16,,no_photo
경인자동차 공업사 앞,서울 구로구 경인로 536,,no_photo
공덕역주차장,서울 마포구 독막로 319,,no_photo
하마천경로당,서울 송파구 성내천로23길 12,,no_photo
은행나무집 영양탕,인천 계양구 장제로 955-10,,no_photo
수봉남로,인천 미추홀구 수봉남로18번길 81-59,,no_photo
헤이리사거리,경기 파주시 탄현면 법흥리 1647,,no_photo
초롱유치원,경기 고양시 일산서구 송포로 292-24,,no_photo
리븐델게스트하우스,경기 가평군 청평면 고재길 262-46,,no_photo
고덕두레 어린이 공원,경기 평택시 고덕동 1894-5,,no_photo
성지펜션,인천 강화군 양도면 강화남로721번길 61,,no_photo
뜨인돌 출판사,경기 파주시 회동길 337-9,,no_photo
성모의원,경기 가평군 가평읍 가화로 75,,no_photo
남부상가아파트,충북 청주시 서원구 구룡산로405번길 54,,no_photo
대호빌라옆다리,서울 용산구 후암동 402-1,,no_photo
대성정밀,서울 구로구 경인로55길 61,,no_photo
동문열쇠건물,서울 종로구 창신길 25,,no_photo
정릉로8길,서울 성북구 정릉로8길 50,,no_photo
대웅빌딩,서울 노원구 한글비석로 273,,no_photo
길주로,인천 부평구 길주로 382,,no_photo
남계로,경기 연천군 군남면 남계리 1161-9,,no_photo
새한오토바이,경기 파주시 광탄면 혜음로 1163,,no_photo
등원로,경기 파주시 광탄면 신산리 582-4,,no_photo
팔송로(2),경기 파주시 탄현면 성동리 692-18,,no_photo
얼반웍스스튜디오,경기 고양시 덕양구 호원길 3-2,,no_photo
덕은로,경기 고양시 덕양구 덕은로 36,,no_photo
포유포레,경기 남양주시 화도읍 북한강로1191번길 30,,no_photo
북한강로,경기 남양주시 화도읍 금남리 674-4,,no_photo
북한강로,경기 양평군 서종면 문호리 산 151-326,,no_photo
수대울길,경기 양평군 서종면 수대울길 20,,no_photo
북한강로,경기 양평군 서종면 북한강로 577,,no_photo
원미로149번길,경기 부천시 원미구 원미로149번길 23,,no_photo
원미지구대,경기 부천시 원미구 원미로149번길 4,,no_photo
원미로155번길,경기 부천시 원미구 원미로155번길 28,,no_photo
민들레어린이집,경기 안양시 동안구 관악대로339번길 52-19,,no_photo
명동타운 정류장(32092),경기 이천시 중리천로 58,,no_photo
설악금강대교로,강원 속초시 청호로 121-15,,no_photo
내장산문화광장,전북 정읍시 내장산로 390,,no_photo
항만9로(2),전남광주 광양시 중동 1816-6,,no_photo
커피베이,서울 마포구 매봉산로2길 15,,no_photo
세븐일레븐,서울 마포구 월드컵북로60길 13,,no_photo
별장아파트,서울 중구 퇴계로12길 88,,no_photo
한솔빌리지,서울 마포구 연남로3길 62,,no_photo
배터지는날,서울 용산구 원효로48길 11,,no_photo
자유로통일리그 성동구장,경기 파주시 탄현면 성동리 709,,no_photo
너에게 반하다,경기 파주시 가재울로93번길 14,,no_photo
호남농약사,전남광주통합특별시 보성군 득량면 예당중앙길 4-1,,no_photo
신흥떡방앗간,전남광주통합특별시 보성군 득량면 예당중앙길 14-7,,no_photo
한성목욕탕,경북 예천군 예천읍 맛고을길 47,,no_photo
까막고무신,경북 안동시 대안로 135-1,,no_photo
중앙농약종묘사,경북 안동시 풍산읍 장터3길 3,,no_photo
구남연식품,경북 상주시 중앙시장길 40,,no_photo
신세계양품/은장상회,경북 상주시 중앙시장길 50,,no_photo
울진항수산,경북 울진군 울진읍 현내항길 252-8,,no_photo
구미여자상업고,경북 구미시 형곡로38길 9-14,,no_photo
대전슈퍼,인천 제물포구 안송로 70,,no_photo
명인빌딩,인천 미추홀구 소성로185번길 28,,no_photo
너없는이곳너없는하루,인천 미추홀구 학익소로 62,,no_photo
연안아파트상가,인천 제물포구 축항대로 234,,no_photo
남영빌딩,서울 은평구 통일로 697,,no_photo
낙토,인천 강화군 선원면 연동로99번길 43,,no_photo
참사랑어린이집,경기 고양시 덕양구 원당로125번길 40-12,,no_photo
월드컵북로60길,서울 마포구 월드컵북로60길 24,,no_photo
미래하이빌,서울 마포구 토정로11길 19,,no_photo
일흥정공 앞,서울 영등포구 경인로77길 38,,no_photo
모아시스템 앞,서울 용산구 새창로49길 7,,no_photo
새창로49길 지하도,서울 용산구 새창로 156,,no_photo
서울시립대학교 자작마루,서울 동대문구 서울시립대로 163,,no_photo
서울시립대학교 대강당앞,서울 동대문구 서울시립대로 163,,no_photo
복싱인사이드짐 역삼직영점,서울 강남구 역삼로 159 지하2층,,no_photo
