place_name,place_address,google_place_id
마곡중앙로(2),서울 강서구 마곡동 721-7,ChIJHW4h0GacfDURPwzs3FjhK-o
여의대로,서울 영등포구 여의도동 2-11,ChIJP-Tt8TyffDURwzbtnZUC6R0
올림픽대로,서울 영등포구 여의도동 87-5,ChIJ4af2bIGhfDURpXqDsfrPuOE
노들로,서울 동작구 노량진동 320-1,ChIJgbcP72mffDURw79DkoggSVs
나라약국,서울 용산구 청파로47길 7,ChIJE8YDd2yifDURBw_m9Ru_1Uo
제이에스티나빌딩,서울 송파구 양재대로62길 53,ChIJ5YlFRwClfDURytuUvyXzdc8
써브웨이 인천송도8공구점,인천 연수구 랜드마크로 20,ChIJCedgVAB3ezURXnaStHTJoPI
양주한국병원,경기 양주시 화합로 1489,ChIJf6d_ifjEfDURKWyH4irIkCA
로케이션 이음,경기 파주시 탄현면 새오리로286번길 48-70,ChIJHRNSkqWLfDUR1_kJvPbG3zM
얼반웍스 스튜디오,경기 고양시 덕양구 호원길 3-2,ChIJM7Q4XZyZfDURTkKyFQyn9ec
마성오픈세트장,경북 문경시 마성면 가은로 311-18,ChIJ9x4-PQBbZDURyr7PiE1Auv0
연세로5가길,서울 서대문구 연세로5가길 8-6,ChIJHSPdW5SYfDURhUlXzgfAQc8
연세로7안길,서울 서대문구 연세로7안길 6,ChIJv8ChiZSYfDURPkEcqWnrSGY
연세로4길,서울 서대문구 연세로4길 6,ChIJ312OSZGYfDURRyKXHsmS82k
인생네컷 신촌점(폐업),서울 서대문구 명물길 46,ChIJveXaBwCZfDUR51rzZ6PGj1A
더쿠스,인천 미추홀구 경인남길30번길 65,ChIJe_Xh43l5ezURCWcXp-9y4VY
도래울파크뷰,경기 고양시 덕양구 도래울로 16,ChIJ09zP0f2ZfDURIii8lgbJeRk
경인자동차 공업사 앞,서울 구로구 경인로 536,ChIJN8P5Sg2efDURIWjhXaU6SyE
공덕역주차장,서울 마포구 독막로 319,ChIJb5zmaqGYfDURSBSxDLGMF2g
하마천경로당,서울 송파구 성내천로23길 12,ChIJJataxJivfDURPDOvnkw1GAg
은행나무집 영양탕,인천 계양구 장제로 955-10,ChIJ4bq2lPSCfDUR9leR9SC8Rqw
수봉남로,인천 미추홀구 수봉남로18번길 81-59,ChIJK6up6gN5ezUR4vDw_iSFrG8
헤이리사거리,경기 파주시 탄현면 법흥리 1647,ChIJF-mg0wmMfDURA2bGwUDMawQ
초롱유치원,경기 고양시 일산서구 송포로 292-24,ChIJmW06XGOPfDURBO-K43QJen0
리븐델게스트하우스,경기 가평군 청평면 고재길 262-46,ChIJR6GG2tskYzUR2VHbR9semJY
고덕두레 어린이 공원,경기 평택시 고덕동 1894-5,ChIJrVq0FgA5ezUR6h72ooANBFo
성지펜션,인천 강화군 양도면 강화남로721번길 61,ChIJPT_OtOl3fDURaC78ajoz0LA
뜨인돌 출판사,경기 파주시 회동길 337-9,ChIJuSbW29CYfDURrl7S32j2DFc
성모의원,경기 가평군 가평읍 가화로 75,ChIJOfMpIHcnYzURfJL9j4s5QcA
남부상가아파트,충북 청주시 서원구 구룡산로405번길 54,ChIJIdyWxAVJZTUR9Px3M2cUxo0
대호빌라옆다리,서울 용산구 후암동 402-1,ChIJ93TJMrqYfDURGUoviQj5NtU
대성정밀,서울 구로구 경인로55길 61,ChIJP3mgcRyefDURx457UnBuhcs
동문열쇠건물,서울 종로구 창신길 25,ChIJtZIgezqjfDUR8q9lpHicDVk
정릉로8길,서울 성북구 정릉로8길 50,ChIJkxP-9OO8fDURmMBYEuJPddQ
대웅빌딩,서울 노원구 한글비석로 273,ChIJ_TGxce-jfDURoqhGhHZBHCg
길주로,인천 부평구 길주로 382,ChIJ585WurJiezURNEjc-Ll4D2U
남계로,경기 연천군 군남면 남계리 1161-9,ChIJN9UB5g3ffDURhGLhcuvapF4
새한오토바이,경기 파주시 광탄면 혜음로 1163,ChIJFbFaHLqTfDURGrjyhf2D-to
등원로,경기 파주시 광탄면 신산리 582-4,ChIJnd_g0_2SfDURJq0JbsSY6_8
팔송로(2),경기 파주시 탄현면 성동리 692-18,ChIJL_mP9zyRaDURhPrysz1rR9I
얼반웍스스튜디오,경기 고양시 덕양구 호원길 3-2,ChIJM7Q4XZyZfDURTkKyFQyn9ec
덕은로,경기 고양시 덕양구 덕은로 36,ChIJY5up1mSZfDURFtDD6mArNnc
포유포레,경기 남양주시 화도읍 북한강로1191번길 30,ChIJ19ZlBgA1YzURJ2cf0bJ-W7o
북한강로,경기 남양주시 화도읍 금남리 674-4,ChIJi70kILI1YzUR9obuOr5ixXQ
북한강로,경기 양평군 서종면 문호리 산 151-326,ChIJi70kILI1YzUR9obuOr5ixXQ
수대울길,경기 양평군 서종면 수대울길 20,ChIJQxpXWkFKYzURSELurESdQVU
북한강로,경기 양평군 서종면 북한강로 577,ChIJi70kILI1YzUR9obuOr5ixXQ
원미로149번길,경기 부천시 원미구 원미로149번길 23,ChIJhUp2KLZiezURi_O9-tWYf5Y
원미지구대,경기 부천시 원미구 원미로149번길 4,ChIJU5us27diezURkw5XL3of24M
원미로155번길,경기 부천시 원미구 원미로155번길 28,ChIJi6MqxrdiezUR2gGBmqWI-JA
민들레어린이집,경기 안양시 동안구 관악대로339번길 52-19,ChIJT-rWCCdeezURvLR4wn3WWzk
명동타운 정류장(32092),경기 이천시 중리천로 58,ChIJe7Mce95XYzUR9oP9Hc8vRGc
설악금강대교로,강원 속초시 청호로 121-15,ChIJhz9UIoa72F8RPB36kwgLCVs
내장산문화광장,전북 정읍시 내장산로 390,ChIJ0TUmneG5cTURecqsDc6qSpU
항만9로(2),전남광주 광양시 중동 1816-6,ChIJXfpbKmxybjURU-ljzuNEtmo
커피베이,서울 마포구 매봉산로2길 15,ChIJ9bZb1FSYfDURTp59t_9Ks7o
세븐일레븐,서울 마포구 월드컵북로60길 13,ChIJXaA5hHKZfDUR2k8959Frcw8
별장아파트,서울 중구 퇴계로12길 88,ChIJoRZVpliifDUR8n84NfZO1Pg
한솔빌리지,서울 마포구 연남로3길 62,ChIJIcUbf9y8fDURij5ESn1AH6o
배터지는날,서울 용산구 원효로48길 11,ChIJ0yJyvwWifDURy4JLIG6-1aU
자유로통일리그 성동구장,경기 파주시 탄현면 성동리 709,ChIJ3VJp_rGLfDURepYvd1VC8vc
너에게 반하다,경기 파주시 가재울로93번길 14,ChIJ69svcV-FfDURZxxA-mKQfyQ
호남농약사,전남광주통합특별시 보성군 득량면 예당중앙길 4-1,ChIJmW40EiYPcjURd_XJ7RLFTMg
신흥떡방앗간,전남광주통합특별시 보성군 득량면 예당중앙길 14-7,ChIJHaXD1wxQcjURdCa_4x5KlEA
한성목욕탕,경북 예천군 예천읍 맛고을길 47,ChIJEZ_wp3oAZDURo0iLbWvT464
까막고무신,경북 안동시 대안로 135-1,ChIJTWnOvlGhZjURtPRg-DxnDDg
중앙농약종묘사,경북 안동시 풍산읍 장터3길 3,ChIJe3bhsDYfZDURBmGjdW5HIwQ
구남연식품,경북 상주시 중앙시장길 40,ChIJZazwkLSyZTUReorh-DOHE5g
신세계양품/은장상회,경북 상주시 중앙시장길 50,ChIJA44zObOyZTURhuDyCbHhYfo
울진항수산,경북 울진군 울진읍 현내항길 252-8,ChIJj3hei2_7YDURv3SY3NDbFQE
구미여자상업고,경북 구미시 형곡로38길 9-14,ChIJRQURbOrAZTUR3BXXEgmoUZQ
대전슈퍼,인천 제물포구 안송로 70,ChIJ_aTFwNx4ezURCeVeaIsGHis
명인빌딩,인천 미추홀구 소성로185번길 28,ChIJPSu1WKF5ezURcbFwKC-ALKQ
너없는이곳너없는하루,인천 미추홀구 학익소로 62,ChIJg4mSYKF5ezURGv4I3El6byk
연안아파트상가,인천 제물포구 축항대로 234,ChIJxwHBb6d5ezURykto5EvJU9I
남영빌딩,서울 은평구 통일로 697,ChIJFVKGwGuifDUR4xIknzICoHA
낙토,인천 강화군 선원면 연동로99번길 43,ChIJSfA4y597fDUR_L-NrcIqT8c
참사랑어린이집,경기 고양시 덕양구 원당로125번길 40-12,ChIJOdfxFwOTaDURHL9tSNmav7I
월드컵북로60길,서울 마포구 월드컵북로60길 24,ChIJaUZgP3KZfDUR4i0x6OWeyb4
미래하이빌,서울 마포구 토정로11길 19,ChIJwbqRnyqYfDURwvZ9gUh8MkU
일흥정공 앞,서울 영등포구 경인로77길 38,ChIJGSn751-efDUR2fVg9bfqscc
모아시스템 앞,서울 용산구 새창로49길 7,ChIJMfFzuBqifDURhbQPdaV6FAY
새창로49길 지하도,서울 용산구 새창로 156,ChIJbd4pVwWifDURaAKkoXWZvIg
서울시립대학교 자작마루,서울 동대문구 서울시립대로 163,ChIJzcgDw0G7fDURc3SETujBnWM
서울시립대학교 대강당앞,서울 동대문구 서울시립대로 163,ChIJ-ddInlG7fDURSymEKUbn4hc
복싱인사이드짐 역삼직영점,서울 강남구 역삼로 159 지하2층,ChIJUymSblShfDURp6RmC8qgIZ8
롯데백화점 인천점 문화센터,인천 미추홀구 연남로 35 5층,ChIJP4jB1tB7ezURiQ4D8mdtqnY
GS25 출판행복도시점,경기 파주시 문발로 415,ChIJJVm2Zu6JfDURDSbEhG8yYw0
이채사거리,경기 파주시 문발로 220,ChIJDeLh4baIfDURomtOs5M-B5k
가평북중학교,경기 가평군 북면 석장모루길 13,ChIJsYoz-jXZYjURaNOn6otIcRY
계성학교 핸더슨관,대구 중구 달성로 35,ChIJmxwBy5LjZTURFOJBDeNzxzg
서울면남초등학교,서울 중랑구 면목로30나길 38,ChIJ1ccs_uO6fDURXtF-xJ1-wTU
식현1리,경기 파주시 적성면 국사로54번길 59,ChIJFzbNC1zmfDURLSPH5A1vX9c
식현1리 마을회관,경기 파주시 적성면 국사로54번길 72,ChIJFzbNC1zmfDURLSPH5A1vX9c
예담원 장례식장,경기 파주시 문산읍 화석정로 31,ChIJ5w8Fyd_tfDURMta9Efidhcc
동우여자고등학교,경기 수원시 장안구 장안로 426-1,ChIJy8wfxshdezURaG_-mL05QT0
