id,place_name,image_url,commons_page,license,author,distance_m
st_05199,카페 화요일,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Former_Jemulpo_Club_191124003.jpg/960px-Former_Jemulpo_Club_191124003.jpg,https://commons.wikimedia.org/wiki/File%3AFormer%20Jemulpo%20Club%20191124003.jpg,CC BY-SA 4.0,Jjw,11.4
st_05407,아로미마실,,,,,
st_06384,영문빌딩,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/234_sindorim_02.jpg/960px-234_sindorim_02.jpg,https://commons.wikimedia.org/wiki/File%3A234%20sindorim%2002.jpg,CC BY 3.0,분당선M,38.3
st_09523,인천강화경찰서,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Yongheung-gung.jpg/960px-Yongheung-gung.jpg,https://commons.wikimedia.org/wiki/File%3AYongheung-gung.jpg,CC BY-SA 3.0,Jjw,31.9
st_16952,인천강화경찰서,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Yongheung-gung.jpg/960px-Yongheung-gung.jpg,https://commons.wikimedia.org/wiki/File%3AYongheung-gung.jpg,CC BY-SA 3.0,Jjw,31.9
st_18121,인천강화경찰서,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Yongheung-gung.jpg/960px-Yongheung-gung.jpg,https://commons.wikimedia.org/wiki/File%3AYongheung-gung.jpg,CC BY-SA 3.0,Jjw,31.9
st_09548,화홍마트,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Hwaseong_fortress_walls.jpg/960px-Hwaseong_fortress_walls.jpg,https://commons.wikimedia.org/wiki/File%3AHwaseong%20fortress%20walls.jpg,CC BY-SA 4.0,Adil,76.7
st_10354,구평리집,,,,,
st_10850,조선팰리스 서울 강남,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Yeoksam-dong%2C_Gangnam-gu%2C_Seoul%2C_South_Korea_-_panoramio_%281%29.jpg/960px-Yeoksam-dong%2C_Gangnam-gu%2C_Seoul%2C_South_Korea_-_panoramio_%281%29.jpg,https://commons.wikimedia.org/wiki/File%3AYeoksam-dong%2C%20Gangnam-gu%2C%20Seoul%2C%20South%20Korea%20-%20panoramio%20%281%29.jpg,CC BY 3.0,Fumihiko Ueno,10.5
st_17968,조선팰리스 서울 강남,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Yeoksam-dong%2C_Gangnam-gu%2C_Seoul%2C_South_Korea_-_panoramio_%281%29.jpg/960px-Yeoksam-dong%2C_Gangnam-gu%2C_Seoul%2C_South_Korea_-_panoramio_%281%29.jpg,https://commons.wikimedia.org/wiki/File%3AYeoksam-dong%2C%20Gangnam-gu%2C%20Seoul%2C%20South%20Korea%20-%20panoramio%20%281%29.jpg,CC BY 3.0,Fumihiko Ueno,10.5
st_12221,Y&아니마,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Nightlife_In_Seoul_Korea_%28148012137%29.jpeg/960px-Nightlife_In_Seoul_Korea_%28148012137%29.jpeg,https://commons.wikimedia.org/wiki/File%3ANightlife%20In%20Seoul%20Korea%20%28148012137%29.jpeg,CC BY-SA 3.0,"
William Anderson",82.1
st_13171,사이버고시원,,,,,
st_13212,약수역,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Seoul_-_panoramio.jpg/960px-Seoul_-_panoramio.jpg,https://commons.wikimedia.org/wiki/File%3ASeoul%20-%20panoramio.jpg,CC BY-SA 3.0,masanori shiratori,118.8
st_13243,양양공항,,,,,
st_14170,양양공항,,,,,
st_13953,밀화당 강서직영점(폐업),,,,,
st_13974,백범로90다길,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/%EC%A1%B0%EC%A7%81%EA%B1%B0%EB%B2%84%EB%84%8C%EC%8A%A4.jpg/960px-%EC%A1%B0%EC%A7%81%EA%B1%B0%EB%B2%84%EB%84%8C%EC%8A%A4.jpg,https://commons.wikimedia.org/wiki/File%3A%EC%A1%B0%EC%A7%81%EA%B1%B0%EB%B2%84%EB%84%8C%EC%8A%A4.jpg,CC BY-SA 4.0,Dominic.jg.lee,8.3
st_14162,인천공항 제2여객터미널,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/2025-10-14_17.17.48_Incheon_International_Airport.jpg/960px-2025-10-14_17.17.48_Incheon_International_Airport.jpg,https://commons.wikimedia.org/wiki/File%3A2025-10-14%2017.17.48%20Incheon%20International%20Airport.jpg,CC0,Choikwangmo25,71.7
st_14163,일백집서울포차 구월점,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/%EA%B5%AC%EC%9B%94%EB%8F%99_%EC%9D%B8%ED%95%98%EB%A1%9C507%EB%B2%88%EA%B8%B8_23-1_%EB%89%B4%EC%9A%95%ED%94%84%EB%9D%BC%EC%9E%90_2025.jpg/960px-%EA%B5%AC%EC%9B%94%EB%8F%99_%EC%9D%B8%ED%95%98%EB%A1%9C507%EB%B2%88%EA%B8%B8_23-1_%EB%89%B4%EC%9A%95%ED%94%84%EB%9D%BC%EC%9E%90_2025.jpg,https://commons.wikimedia.org/wiki/File%3A%EA%B5%AC%EC%9B%94%EB%8F%99%20%EC%9D%B8%ED%95%98%EB%A1%9C507%EB%B2%88%EA%B8%B8%2023-1%20%EB%89%B4%EC%9A%95%ED%94%84%EB%9D%BC%EC%9E%90%202025.jpg,CC BY 4.0,Narubaru7,26.1
st_14188,신한당약국,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Kia_ev6_1gen_back.jpg/960px-Kia_ev6_1gen_back.jpg,https://commons.wikimedia.org/wiki/File%3AKia%20ev6%201gen%20back.jpg,CC BY-SA 4.0,Nord794ub,52.6
st_14220,한마음식당,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Korean_melons_4.jpg/960px-Korean_melons_4.jpg,https://commons.wikimedia.org/wiki/File%3AKorean%20melons%204.jpg,CC BY-SA 2.0,Mohamed Yahya,67.1
st_14377,스카이어드벤처,,,,,
st_14693,최규하대통령가옥,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Seogyo-dong_Community_Service_Center_20140524_175246.jpg/960px-Seogyo-dong_Community_Service_Center_20140524_175246.jpg,https://commons.wikimedia.org/wiki/File%3ASeogyo-dong%20Community%20Service%20Center%2020140524%20175246.jpg,CC BY-SA 4.0,안우석,26.3
st_14698,공군회관,,,,,
st_14909,네버마인드,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Wikipedian_reading_and_edit_meeting_20190330.jpg/960px-Wikipedian_reading_and_edit_meeting_20190330.jpg,https://commons.wikimedia.org/wiki/File%3AWikipedian%20reading%20and%20edit%20meeting%2020190330.jpg,CC BY-SA 4.0,Jjw,33.5
