id,place_name,image_url,commons_page,license,author,distance_m
st_00030,여의대로,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/%EC%97%AC%EC%9D%98%EB%8F%84%ED%99%98%EC%8A%B9%EC%84%BC%ED%84%B0.jpg/960px-%EC%97%AC%EC%9D%98%EB%8F%84%ED%99%98%EC%8A%B9%EC%84%BC%ED%84%B0.jpg,https://commons.wikimedia.org/wiki/File%3A%EC%97%AC%EC%9D%98%EB%8F%84%ED%99%98%EC%8A%B9%EC%84%BC%ED%84%B0.jpg,CC BY-SA 4.0,AndyKim-2008,34.3
st_04167,오크우드 프리미어 인천,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/South_Korea%2C_Incheon%2C_Songdo%2C_the_Sharp_Central_Park_Towers_and_Prugio_Central_Park_Towers.jpg/960px-South_Korea%2C_Incheon%2C_Songdo%2C_the_Sharp_Central_Park_Towers_and_Prugio_Central_Park_Towers.jpg,https://commons.wikimedia.org/wiki/File%3ASouth%20Korea%2C%20Incheon%2C%20Songdo%2C%20the%20Sharp%20Central%20Park%20Towers%20and%20Prugio%20Central%20Park%20Towers.jpg,CC BY-SA 4.0,Vincent van Zeijst,15.9
st_04289,마방로10길,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Yangjae_2-dong_Comunity_Service_Center_20140613_200156.JPG/960px-Yangjae_2-dong_Comunity_Service_Center_20140613_200156.JPG,https://commons.wikimedia.org/wiki/File%3AYangjae%202-dong%20Comunity%20Service%20Center%2020140613%20200156.JPG,CC BY-SA 3.0,안우석,89.2
st_00044,르가드더메인한남,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Nudging%2C_Seoul_toilet.jpg/960px-Nudging%2C_Seoul_toilet.jpg,https://commons.wikimedia.org/wiki/File%3ANudging%2C%20Seoul%20toilet.jpg,CC BY-SA 4.0,Christian Bolz,94.5
st_04145,르가드더메인한남,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Nudging%2C_Seoul_toilet.jpg/960px-Nudging%2C_Seoul_toilet.jpg,https://commons.wikimedia.org/wiki/File%3ANudging%2C%20Seoul%20toilet.jpg,CC BY-SA 4.0,Christian Bolz,94.5
st_06011,르가드더메인한남,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Nudging%2C_Seoul_toilet.jpg/960px-Nudging%2C_Seoul_toilet.jpg,https://commons.wikimedia.org/wiki/File%3ANudging%2C%20Seoul%20toilet.jpg,CC BY-SA 4.0,Christian Bolz,94.5
st_00066,0914 도산공원 플래그십 스토어,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chevrolet_Express_Explorer_Limited_SE_GMT610_FL_Black.jpg/960px-Chevrolet_Express_Explorer_Limited_SE_GMT610_FL_Black.jpg,https://commons.wikimedia.org/wiki/File%3AChevrolet%20Express%20Explorer%20Limited%20SE%20GMT610%20FL%20Black.jpg,CC BY-SA 4.0,Damian B Oh,102.1
st_00477,연세로4길,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/20230624_Wikimedia_Korea_Common_Editathon.jpg/960px-20230624_Wikimedia_Korea_Common_Editathon.jpg,https://commons.wikimedia.org/wiki/File%3A20230624%20Wikimedia%20Korea%20Common%20Editathon.jpg,CC BY-SA 4.0,Jjw,38.9
st_00484,호텔나루서울 엠겔러리,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/2025-03-22_%EB%82%B4%EB%9E%80%EC%88%98%EA%B4%B4_%EC%9C%A4%EC%84%9D%EC%97%B4_%ED%8C%8C%EB%A9%B4_%EC%B4%89%EA%B5%AC_%EB%8D%94%EB%B6%88%EC%96%B4%EB%AF%BC%EC%A3%BC%EB%8B%B9_%EA%B5%AD%ED%9A%8C%EC%9D%98%EC%9B%90_%EB%8F%84%EB%B3%B4%ED%96%89%EC%A7%84_051.jpg/960px-2025-03-22_%EB%82%B4%EB%9E%80%EC%88%98%EA%B4%B4_%EC%9C%A4%EC%84%9D%EC%97%B4_%ED%8C%8C%EB%A9%B4_%EC%B4%89%EA%B5%AC_%EB%8D%94%EB%B6%88%EC%96%B4%EB%AF%BC%EC%A3%BC%EB%8B%B9_%EA%B5%AD%ED%9A%8C%EC%9D%98%EC%9B%90_%EB%8F%84%EB%B3%B4%ED%96%89%EC%A7%84_051.jpg,https://commons.wikimedia.org/wiki/File%3A2025-03-22%20%EB%82%B4%EB%9E%80%EC%88%98%EA%B4%B4%20%EC%9C%A4%EC%84%9D%EC%97%B4%20%ED%8C%8C%EB%A9%B4%20%EC%B4%89%EA%B5%AC%20%EB%8D%94%EB%B6%88%EC%96%B4%EB%AF%BC%EC%A3%BC%EB%8B%B9%20%EA%B5%AD%ED%9A%8C%EC%9D%98%EC%9B%90%20%EB%8F%84%EB%B3%B4%ED%96%89%EC%A7%84%20051.jpg,CC BY 4.0,ChongDae,93.2
st_02410,기택동네계단,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Doijissal_Supermarket.jpg/960px-Doijissal_Supermarket.jpg,https://commons.wikimedia.org/wiki/File%3ADoijissal%20Supermarket.jpg,CC BY-SA 4.0,Aaaatu,33
