id,title,place_name,place_address
st_02408,기생충,스카이피자,서울 동작구 노량진로6길 86
st_02409,기생충,돼지슈퍼,서울 마포구 손기정로 32
st_02410,기생충,기택동네계단,서울 마포구 손기정로6길
st_02411,기생충,북아현동계단,서울 서대문구 북아현동 3-560
st_02412,기생충,박사장집,서울 성북구 선잠로8길 18
st_02413,기생충,올가홀푸드,서울 송파구 방이동 185-8
st_02414,기생충,대호빌라옆다리,서울 용산구 후암동 402-1
st_02415,기생충,자하문터널계단,서울 종로구 자하문로 219
st_02416,기생충,높은계단,서울 종로구 지봉로11길 38
mv_0069_03,친구,영도대교,부산광역시 영도구 태종로 46
mv_0069_05,친구,대변항,부산광역시 기장군 기장읍 대변로 153 일대
mv_0069_06,친구,우암동 산동네,부산광역시 남구 우암동 189 일대
mv_0069_07,친구,국제시장,부산광역시 중구 신창동4가 1-2 일대
mv_0069_08,친구,용두산공원,부산광역시 중구 용두산길 37-55
mv_0254_01,실미도,실미도,인천광역시 영종구 큰무리로 99 앞 실미도
mv_0921_03,해운대,다대포해수욕장,부산 사하구 다대동
mv_0921_04,해운대,부산사직종합운동장 사직야구장,부산 동래구 사직로 45
mv_0921_09,해운대,동백섬,부산 해운대구 우동 708-3
mv_0921_11,해운대,오륙도,부산 남구 용호동 936
mv_0921_13,해운대,팔레드시즈,부산 해운대구 해운대해변로298번길 24
mv_1229_02,최종병기 활,황매산,경남 합천군 가회면 둔내리 산 219
mv_1363_01,"광해, 왕이 된 남자",문경새재 오픈세트장,경북 문경시 문경읍 새재로 1037
mv_1363_03,"광해, 왕이 된 남자",순천 낙안읍성,전라남도 순천시 낙안면 충민길 30
mv_1363_04,"광해, 왕이 된 남자",안동 옥연정사,경북 안동시 풍천면 광덕솔밭길 86
mv_1363_06,"광해, 왕이 된 남자",남원 광한루원,전북특별자치도 남원시 요천로 1447
mv_1552_02,설국열차,힌터툭스 빙하,"Hintertux 794, 6293 Tux, Austria"
mv_1571_01,베를린,인천서구보건소,인천 서해구 탁옥로 39
mv_1611_04,관상,궁남지,충청남도 부여군 부여읍 궁남로 52
mv_1747_01,해적: 바다로 간 산적,천관산,전라남도 장흥군 관산읍 칠관로 842-1150 일대
mv_1747_03,해적: 바다로 간 산적,고양아쿠아스튜디오,경기도 고양시 덕양구 통일로396번길 250
mv_1798_05,수상한 그녀,오동나무집사철탕,서울특별시 송파구 송파대로37길 4-29
mv_1798_07,수상한 그녀,마천중앙시장,서울특별시 송파구 마천로45길 23
mv_1798_08,수상한 그녀,잠실실내체육관(잠실학생체육관),서울특별시 송파구 올림픽로 25
mv_2273_02,밀정,문경새재오픈세트장,경북 문경시 문경읍 새재로 1037
mv_2319_01,인천상륙작전,합천영상테마파크,경남 합천군 용주면 합천호수로 757
mv_2319_02,인천상륙작전,삽교호함상공원,충남 당진시 신평면 삽교천3길 79
mv_2319_03,인천상륙작전,광천토굴새우젓시장,충남 홍성군 광천읍 광천리 227-6
mv_2319_04,인천상륙작전,계명대학교 성서캠퍼스,대구 달서구 달구벌대로 1095
mv_2319_05,인천상륙작전,마시안해변,인천 영종구 덕교동 662-8
mv_2319_06,인천상륙작전,설매재자연휴양림,경기 양평군 옥천면 용천로 510
mv_2333_01,마스터,서울중부경찰서,서울 중구 퇴계로 67
mv_2333_02,마스터,안양시청,경기 안양시 동안구 시민대로 235
mv_2333_03,마스터,트라이보울,인천 연수구 인천타워대로 250
mv_2333_04,마스터,위례터널,경기 성남시 수정구 창곡동 497-51
mv_2333_05,마스터,더케이트윈타워,서울 종로구 종로1길 50
mv_2333_07,마스터,봉은사,서울 강남구 봉은사로 531
mv_2333_08,마스터,서대문형무소역사관,서울 서대문구 통일로 251
mv_3201_01,신과함께-인과 연,설매재자연휴양림,경기도 양평군 옥천면 용천로 510
mv_3201_02,신과함께-인과 연,문경새재 오픈세트장,경상북도 문경시 문경읍 새재로 932
mv_3201_03,신과함께-인과 연,김룡사,경상북도 문경시 산북면 김용길 372
mv_3201_04,신과함께-인과 연,문경석탄박물관,경상북도 문경시 가은읍 왕능길 112
mv_3201_05,신과함께-인과 연,가은오픈세트장,경상북도 문경시 가은읍 왕능길 112
mv_3201_06,신과함께-인과 연,온달오픈세트장,충청북도 단양군 영춘면 온달로 23
mv_3201_07,신과함께-인과 연,화암사,강원특별자치도 고성군 토성면 화암사길 100
mv_3201_08,신과함께-인과 연,대관령 삼양라운드힐,강원특별자치도 평창군 대관령면 꽃밭양지길 708-9
mv_3201_09,신과함께-인과 연,익산교도소세트장,전북특별자치도 익산시 성당면 함낭로 207
mv_3810_02,기생충,기택 동네 계단,서울특별시 마포구 손기정로6길 일대
mv_5816_02,범죄도시2,인천항 연안부두,인천 제물포구 연안부두로 70
mv_5816_03,범죄도시2,남항유어선부두,인천 제물포구 축항대로 138
mv_5816_06,범죄도시2,국립광주과학관,전남광주통합특별시 북구 첨단과기로 235
mv_5884_02,한산: 용의 출현,흥국사,전남광주통합특별시 여수시 흥국사길 160
