id,title,place_name,place_address
st_18427,판사이한영,홍지문길,서울 서대문구 홍은동 5-98
st_18428,판사이한영,연안리버빌 골목(추정),서울 서대문구 홍지문2길 18
st_18429,판사이한영,홍지문길 놀이터,서울 서대문구 홍은동 5-93
st_18430,판사이한영,홍지문2길(좌우반전),서울 서대문구 홍지문2길 31
st_18431,판사이한영,개미마을,서울 서대문구 세검정로4길 127
st_18432,판사이한영,월드컵북로(상암고앞),서울 마포구 상암동 1715
st_18433,판사이한영,월드컵북로(4단지앞),서울 마포구 상암동 1715
st_18434,판사이한영,YTN본사,서울 마포구 상암산로 76
st_18435,판사이한영,난지한강공원,서울 마포구 상암동 482-271
st_18436,판사이한영,호텔 나루 서울 레스토랑 부아쟁,서울 마포구 마포대로 8
st_18437,판사이한영,서강대교,서울 영등포구 여의도동 83-1
st_18438,판사이한영,국회의사당,서울 영등포구 여의도동 의사당대로 1
st_18439,판사이한영,의사당대로,서울 영등포구 여의도동 1-6
st_18440,판사이한영,여의도공원,서울 영등포구 여의공원로 68
st_18442,판사이한영,대륭포스트타워7차,서울 구로구 디지털로33길 48
st_18443,판사이한영,영등포고등학교,서울 동작구 등용로8길 5-13
st_18444,판사이한영,노량진로26길,서울 동작구 노량진로26길 16-6
st_18445,판사이한영,용양봉저정공원,서울 동작구 본동 산 3-9
st_18446,판사이한영,노량진로32길(1),서울 동작구 본동 17-2
st_18447,판사이한영,노량진로30길,서울 동작구 노량진로32길 68
st_18448,판사이한영,노량진로32길,서울 동작구 노량진로26길 65
st_18449,판사이한영,녹트,서울 용산구 올림픽대로 2085-96
st_18450,판사이한영,용산역 달주차장,서울 용산구 한강대로23길 55
st_18452,판사이한영,기찻길주점(폐업),서울 용산구 이촌로29길 35
st_18453,판사이한영,세종대로,서울 중구 남대문로5가 84-15
st_18454,판사이한영,센트레빌아스테리움서울,서울 용산구 동자동 49
st_18455,판사이한영,서울역앞,서울 중구 한강대로 405
st_18456,판사이한영,남산공원,서울 중구 남창동 205-4
st_18457,판사이한영,삼순이계단,서울 중구 소파로 46
st_18458,판사이한영,한국의집,서울 중구 퇴계로36길 10
st_18459,판사이한영,KT 광화문 빌딩 West,서울 종로구 세종대로 178
st_18460,판사이한영,필운대로,서울 종로구 필운대로 15
st_18461,판사이한영,"부암동주민센터,무계원 정류장(01138)",서울 종로구 창의문로 145
st_18462,판사이한영,성신여자대학교 운정그린캠퍼스,서울 강북구 도봉로76가길 55
st_18463,판사이한영,대도식당 왕십리본점,서울 성동구 무학로12길 3
st_18464,판사이한영,아차산지하차도,서울 광진구 광장동 399-12
st_18465,판사이한영,아차산로,서울 광진구 아차산로 546
st_18466,판사이한영,자양로,서울 광진구 자양로 112
st_18467,판사이한영,곱창이야기 강변점,서울 광진구 구의강변로7길 3
st_18468,판사이한영,비스타워커힐,서울 광진구 워커힐로 177
st_18469,판사이한영,한강공원서래섬나들목 진출입로1,서울 서초구 반포동 1338
st_18470,판사이한영,서래섬,서울 서초구 반포동 137-41
st_18471,판사이한영,잠수교,서울 서초구 반포동 649
st_18472,판사이한영,반포한강공원,서울 서초구 반포동 115-5
st_18473,판사이한영,역삼역사거리,서울 강남구 테헤란로 152
st_18474,판사이한영,역삼빌딩,서울 강남구 테헤란로 205
st_18475,판사이한영,브그즈트컬렉션,서울 강남구 테헤란로 231
st_18476,판사이한영,선릉역사거리,서울 강남구 테헤란로 401
