id,place_name,kakao_url,kakao_lat,kakao_lng,verdict
st_00054,서순라길,http://place.map.kakao.com/2088609864,37.5728085419,126.9931174628,adopt
st_01448,한길육교,http://place.map.kakao.com/103886338,37.7270872901,126.7603095194,adopt
st_02533,남계대교,http://place.map.kakao.com/1325875301,38.0037328346,127.0120371623,adopt
st_02899,한밤마을,http://place.map.kakao.com/25392559,36.0581112535,128.6515355716,adopt
st_03650,서울로인 여의도점,http://place.map.kakao.com/104844448,37.5218050224,126.9256513576,adopt
st_03710,한류월드로,http://place.map.kakao.com/26201160,37.6604673725,126.7585110906,adopt
st_03716,일산수목장,http://place.map.kakao.com/596087834,37.7039844152,126.8259430849,adopt
st_04212,용연리(1),http://place.map.kakao.com/25329035,36.7773064978,128.1758889538,adopt
st_04222,위만리(1),http://place.map.kakao.com/25336532,36.6364730425,128.3029672227,adopt
st_04223,위만리(2),http://place.map.kakao.com/25336532,36.6364730425,128.3029672227,adopt
st_04237,사유원,http://place.map.kakao.com/1901668504,36.0921530061,128.6811606019,adopt
st_04300,강남역사거리,http://place.map.kakao.com/8160898,37.4979521721,127.0276383484,adopt
st_05098,공촌4교,http://place.map.kakao.com/27401855,37.5417223681,126.6118058509,adopt
st_05125,금광테크노벨리,http://place.map.kakao.com/40296335,37.6397017567,126.6818567559,adopt
st_05171,세종호수공원,http://place.map.kakao.com/18397976,36.4980696378,127.2733013065,adopt
st_05217,미추홀타워,http://place.map.kakao.com/1091150051,37.3817744013,126.6537563961,adopt
st_05260,덕수궁돌담길,http://place.map.kakao.com/23209304,37.5649765828,126.9756646289,adopt
st_05400,오름,http://place.map.kakao.com/2129204021,37.2798607858,127.0064498391,adopt
st_05407,아로미마실,http://place.map.kakao.com/1629783340,35.8443956323,127.1302295146,adopt
st_06028,논현로,http://place.map.kakao.com/26522819,37.5054574713,127.0347617556,adopt
st_06051,자작도해수욕장,http://place.map.kakao.com/8056959,38.3086839105,128.5427295799,adopt
st_06379,여의도IFC,http://place.map.kakao.com/1937697445,37.5251355579,126.9249081985,adopt
st_06381,여의도한강공원,http://place.map.kakao.com/1075952894,37.5170278971,126.9347890259,adopt
st_06394,용산아이파크몰 달주차장,http://place.map.kakao.com/1678245449,37.5309773874,126.964896046,adopt
st_06419,그랜드 워커힐 서울 더파빌리온,http://place.map.kakao.com/13564451,37.5551331745,127.1108980909,adopt
st_06427,인천공항,http://place.map.kakao.com/27502646,37.4540777221,126.4178501563,adopt
st_06428,인천공항 2터미널,http://place.map.kakao.com/698163025,37.4688011263,126.4336431422,adopt
st_06451,가평대교,http://place.map.kakao.com/2146968579,37.7046865905,127.4956455321,adopt
st_06478,신창풍차해안도로,http://place.map.kakao.com/26239274,33.3430810267,126.1742060466,adopt
st_06978,군산초등학교,http://place.map.kakao.com/8201427,35.9906986892,126.7065863398,adopt
st_07213,새마을금고,http://place.map.kakao.com/27367053,37.6016161655,126.9300281267,adopt
