id,title,place_name,place_address
st_08272,북극성,홍제유연,서울 서대문구 통일로 484 지하
st_08273,북극성,YTN본사,서울 마포구 상암산로 76
st_08274,북극성,킨트헤어,서울 마포구 와우산로 83
st_08275,북극성,여의도IFC몰,서울 영등포구 국제금융로 10
st_08276,북극성,노들섬,서울 용산구 양녕로 445
st_08277,북극성,소월로(어반클리프쪽),서울 용산구 후암동 406-97
st_08278,북극성,금세기빌딩,서울 중구 무교로 6
st_08279,북극성,"을지로입구역3,4번출구쪽",서울 중구 을지로2가 1-1
st_08280,북극성,삼풍상가,서울 중구 인현동2가 120-22
st_08281,북극성,동대문디자인플라자,서울 중구 을지로 281
st_08282,북극성,광화문광장,서울 종로구 세종로 1-68
st_08283,북극성,서울경찰청,서울 종로구 사직로8길 31
st_08284,북극성,청와대,서울 종로구 청와대로 1
st_08285,북극성,평창40길,서울 종로구 평창동 411-5
st_08286,북극성,평창7길,서울 종로구 평창7길 89
st_08287,북극성,이엔갤러리,서울 종로구 평창길 224
st_08288,북극성,경희대학교 서울캠퍼스,서울 동대문구 경희대로 26
st_08289,북극성,잠수교,서울 서초구 반포동 649
st_08290,북극성,노보텔 앰배서더 서울강남,서울 강남구 봉은사로 130
st_08291,북극성,강남대로,서울 강남구 강남대로 446
st_08292,북극성,윤빌딩,서울 서초구 서초대로74길 3
st_08293,북극성,청담나들목,서울 강남구 청담동 139-36
st_08294,북극성,코엑스(아셈타워쪽),서울 강남구 영동대로 511
st_08295,북극성,인천공항,인천 영종구 공항로 272
st_08296,북극성,조이마당스튜디오,경기 파주시 파주읍 봉서산로 245
