id,place_name,scene_description,desc_source_url
st_08272,홍제유연,폭파 후 피신장소,https://m.blog.naver.com/hsc_one1/224029227514
st_08273,YTN본사,,
st_08274,킨트헤어,,
st_08275,여의도IFC몰,,
st_08276,노들섬,,
st_08277,소월로(어반클리프쪽),서문주와 백산호의 버스정류장 만남 장면,https://m.blog.naver.com/hsc_one1/224029227514
st_08278,금세기빌딩,장준익 선거사무실 촬영지,https://m.blog.naver.com/hsc_one1/224029227514
st_08279,을지로입구역3,4번출구쪽,,
st_08280,삼풍상가,공중전화 시장상가 세트장,https://m.blog.naver.com/hsc_one1/224003516212
st_08281,동대문디자인플라자,장준익 대선 선거유세장 촬영지,https://m.blog.naver.com/hsc_one1/224029227514
st_08282,광화문광장,서문주 대선 유세장 촬영지,https://m.blog.naver.com/hsc_one1/224029227514
st_08283,서울경찰청,,
st_08284,청와대,대통령 채경신 관저 촬영지,https://m.blog.naver.com/hsc_one1/224029227514
st_08285,평창40길,서문주 아섬해운 일가의 집,https://m.blog.naver.com/hsc_one1/224029227514
st_08286,평창7길,,
st_08287,이엔갤러리,서문주의 안전가옥,https://m.blog.naver.com/hsc_one1/224029227514
st_08288,경희대학교 서울캠퍼스,경희대학교 평화의 전당,https://m.blog.naver.com/hsc_one1/224029227514
st_08289,잠수교,서문주와 백산호 만남 장소,https://m.blog.naver.com/hsc_one1/224003516212
st_08290,노보텔 앰배서더 서울강남,,
st_08291,강남대로,,
st_08292,윤빌딩,,
st_08293,청담나들목,안기부 요원들과의 격투 장면 터널,https://m.blog.naver.com/hsc_one1/224029227514
st_08294,코엑스(아셈타워쪽),,
st_08295,인천공항,서문주 한국 입국장,https://m.blog.naver.com/hsc_one1/223988922485
st_08296,조이마당스튜디오,,
