id,place_name,scene_description,desc_source_url
st_08272,홍제유연,"5화, 총상 입은 문주가 산호의 도움으로 몸을 숨기는 안전가옥 장면",https://blog.naver.com/hsc_one1/224012899955;https://blog.naver.com/hsc_one1/224029227514
st_08273,YTN본사,,
st_08274,킨트헤어,인물들이 대화를 나누는 미용실 장면으로 촬영된 홍대 킨트헤어,https://blog.naver.com/doslzhf4921/224053389368
st_08275,여의도IFC몰,,
st_08276,노들섬,,
st_08277,소월로(어반클리프쪽),"1화, 산호가 고친 목걸이를 건네며 문주와 재회하는 버스정류장(세트) 장면",https://blog.naver.com/redmee2/224005749100;https://blog.naver.com/hsc_one1/224004845045
st_08278,금세기빌딩,"1~3화, 준익의 대선 선거사무실로 나오는 장면(서울시청 앞 건물)",https://blog.naver.com/hsc_one1/224005011276;https://blog.naver.com/hsc_one1/224003516212
st_08279,"을지로입구역3,4번출구쪽",,
st_08280,삼풍상가,,
st_08281,동대문디자인플라자,"1~3화, 준익의 대선 선거유세장으로 나오는 장면",https://blog.naver.com/hsc_one1/224005011276;https://blog.naver.com/hsc_one1/224029227514
st_08282,광화문광장,문주가 대선 유세를 하는 광화문광장 유세장 장면,https://blog.naver.com/hsc_one1/224005011276;https://blog.naver.com/hsc_one1/224029227514
st_08283,서울경찰청,,
st_08284,청와대,"6~7화, 채경신 대통령이 전쟁 위기 속 기자회견을 여는 청와대 장면",https://blog.naver.com/hsc_one1/224017364239;https://blog.naver.com/hsc_one1/224003516212
st_08285,평창40길,,
st_08286,평창7길,,
st_08287,이엔갤러리,"5화, 안전가옥에서 문주와 산호의 로맨스가 본격적으로 시작되는 장면",https://blog.naver.com/hsc_one1/224012899955;https://blog.naver.com/hsc_one1/224029227514
st_08288,경희대학교 서울캠퍼스,"1화, 준익이 성당에서 피격당해 숨지고 문주와 산호가 처음 만나는 장면",https://blog.naver.com/redmee2/224004575939;https://blog.naver.com/hsc_one1/224004845045
st_08289,잠수교,,
st_08290,노보텔 앰배서더 서울강남,,
st_08291,강남대로,,
st_08292,윤빌딩,,
st_08293,청담나들목,폭발 사고 이후 산호와 문주가 몸을 피해 달아나는 보도터널 장면,https://blog.naver.com/hsc_one1/224029227514
st_08294,코엑스(아셈타워쪽),,
st_08295,인천공항,문주가 남편의 전화를 받고 한국으로 귀국해 입국하는 공항 장면,https://blog.naver.com/hsc_one1/223988922485
st_08296,조이마당스튜디오,,
