rank,title_en,title_kr,num_votes,rating,source_url
1,Squid Game,,769768,7.9,https://www.imdb.com/title/tt10919420/
2,King the Land,,143108,5.9,https://www.imdb.com/title/tt26693803/
3,All of Us Are Dead,,93263,7.6,https://www.imdb.com/title/tt14169960/
4,When the Phone Rings,,92139,6,https://www.imdb.com/title/tt33503491/
5,Kingdom,,64434,8.3,https://www.imdb.com/title/tt6611916/
6,Crash Landing on You,,60016,8.7,https://www.imdb.com/title/tt10850932/
7,It's Okay to Not Be Okay,,46522,8.5,https://www.imdb.com/title/tt12451520/
8,The Glory,,45685,8.2,https://www.imdb.com/title/tt21344706/
9,My Name,,45322,7.8,https://www.imdb.com/title/tt12940504/
10,Business Proposal,,43226,8.1,https://www.imdb.com/title/tt14819828/
11,Sweet Home,,42895,7.2,https://www.imdb.com/title/tt11612120/
12,Vincenzo,,41563,8.4,https://www.imdb.com/title/tt13433812/
13,When Life Gives You Tangerines,,41353,9,https://www.imdb.com/title/tt26471411/
14,Extraordinary Attorney Woo,,39201,8.5,https://www.imdb.com/title/tt20869502/
15,Guardian: The Lonely and Great God,,38027,8.5,https://www.imdb.com/title/tt5994364/
16,Hellbound,,33446,6.6,https://www.imdb.com/title/tt12235718/
17,Bloodhounds,,30609,8.2,https://www.imdb.com/title/tt26315487/
18,Racket Boys,,30315,5.3,https://www.imdb.com/title/tt14482414/
19,Alchemy of Souls,,30003,8.7,https://www.imdb.com/title/tt20859920/
20,Hometown Cha-Cha-Cha,,29940,8.3,https://www.imdb.com/title/tt14518756/
21,Descendants of the Sun,,29364,8.2,https://www.imdb.com/title/tt4925000/
22,The Silent Sea,,29015,6.9,https://www.imdb.com/title/tt11570202/
23,Weak Hero Class 1,,28589,8.4,https://www.imdb.com/title/tt20234568/
24,Queen of Tears,,28137,8.2,https://www.imdb.com/title/tt27668559/
25,True Beauty,,26133,7.9,https://www.imdb.com/title/tt13274038/
26,What's Wrong with Secretary Kim,,25876,8,https://www.imdb.com/title/tt8242904/
27,Itaewon Class,,25686,8.1,https://www.imdb.com/title/tt11239552/
28,Death's Game,,25008,8.4,https://www.imdb.com/title/tt26225038/
29,Strong Girl Bong-soon,,24252,8.1,https://www.imdb.com/title/tt6263222/
30,Twenty Five Twenty One,,22905,8.6,https://www.imdb.com/title/tt17513352/
31,The 8 Show,,22171,7.2,https://www.imdb.com/title/tt30423279/
32,My Demon,,21531,7.7,https://www.imdb.com/title/tt29569035/
33,The King: Eternal Monarch,,20030,8.1,https://www.imdb.com/title/tt11228748/
34,My Love from Another Star,,19877,8.1,https://www.imdb.com/title/tt3469052/
35,Reply 1988,,19661,9,https://www.imdb.com/title/tt5182866/
36,Flower of Evil,,19627,8.5,https://www.imdb.com/title/tt11691684/
37,Start-Up,,19564,7.9,https://www.imdb.com/title/tt12867810/
38,Mouse,,19443,8.6,https://www.imdb.com/title/tt13634792/
39,Hotel Del Luna,,18732,8.1,https://www.imdb.com/title/tt10220588/
40,W,,18230,8,https://www.imdb.com/title/tt5797194/
41,Weightlifting Fairy Kim Bok-Joo,,17343,8.3,https://www.imdb.com/title/tt6157148/
42,Boys Over Flowers,,17294,7.7,https://www.imdb.com/title/tt1370334/
43,Gyeongseong Creature,,17173,7.4,https://www.imdb.com/title/tt22352854/
44,Parasyte: The Grey,,17074,7.1,https://www.imdb.com/title/tt21874396/
45,Lovely Runner,,16942,8.5,https://www.imdb.com/title/tt31324295/
46,Moving,,16872,8.4,https://www.imdb.com/title/tt24640580/
47,Heirs,,16565,7.5,https://www.imdb.com/title/tt3243098/
48,Tomorrow,,16513,8.1,https://www.imdb.com/title/tt18926162/
49,Snowdrop,,16507,8.1,https://www.imdb.com/title/tt13304700/
50,Legend of the Blue Sea,,16497,8.1,https://www.imdb.com/title/tt5766194/
51,Happiness,,16464,7.7,https://www.imdb.com/title/tt14979052/
52,Teach You a Lesson,,16360,8.5,https://www.imdb.com/title/tt34809853/
53,Mr. Queen,,16120,8.5,https://www.imdb.com/title/tt13400006/
54,My Mister,,15949,9,https://www.imdb.com/title/tt7923710/
55,Moon Lovers: Scarlet Heart Ryeo,,15773,8.6,https://www.imdb.com/title/tt5320412/
56,Twinkling Watermelon,,15580,8.8,https://www.imdb.com/title/tt27446493/
57,The Uncanny Counter,,15353,8,https://www.imdb.com/title/tt13273826/
58,"Bon Appetit, Your Majesty",,15152,8,https://www.imdb.com/title/tt37600136/
59,Our Beloved Summer,,15142,8.1,https://www.imdb.com/title/tt15026724/
60,Vagabond,,15116,8.1,https://www.imdb.com/title/tt8523042/
61,Healer,,14256,8.4,https://www.imdb.com/title/tt4284216/
62,Mr. Sunshine,,14174,8.7,https://www.imdb.com/title/tt7094780/
63,Nevertheless,,13816,7,https://www.imdb.com/title/tt14518284/
64,Physical: 100,,13468,7.7,https://www.imdb.com/title/tt25274446/
65,Tale of the Nine Tailed,,13355,7.9,https://www.imdb.com/title/tt12879418/
66,Move to Heaven,,13206,8.5,https://www.imdb.com/title/tt11052470/
67,While You Were Sleeping,,13129,8.2,https://www.imdb.com/title/tt6256484/
68,The K2,,12843,7.7,https://www.imdb.com/title/tt5966882/
69,Fight for My Way,,12684,8,https://www.imdb.com/title/tt6824234/
70,D.P.,,12575,8.2,https://www.imdb.com/title/tt13024974/
71,Signal,,12390,8.4,https://www.imdb.com/title/tt5332206/
72,Stranger,,12318,8.4,https://www.imdb.com/title/tt6461346/
73,Marry My Husband,,12313,7.8,https://www.imdb.com/title/tt26628595/
74,See You in My 19th Life,,12202,7.7,https://www.imdb.com/title/tt27838483/
75,Extracurricular,,12139,7.5,https://www.imdb.com/title/tt10262630/
76,Doom at Your Service,,11942,7.8,https://www.imdb.com/title/tt13669128/
77,Love Next Door,,11813,7.6,https://www.imdb.com/title/tt30446769/
78,The Trauma Code: Heroes on Call,,11474,8.4,https://www.imdb.com/title/tt28106730/
79,Something in the Rain,,11426,8,https://www.imdb.com/title/tt8078816/
80,Newtopia,,11344,6.6,https://www.imdb.com/title/tt32199328/
81,Because This Is My First Life,,11231,8,https://www.imdb.com/title/tt7278588/
82,Mask Girl,,11066,7.3,https://www.imdb.com/title/tt26258200/
83,Hospital Playlist,,11062,8.7,https://www.imdb.com/title/tt11769304/
84,Pinocchio,,11002,8,https://www.imdb.com/title/tt4201628/
85,Mercy for None,,10930,7.5,https://www.imdb.com/title/tt29650530/
86,A Shop for Killers,,10911,8,https://www.imdb.com/title/tt26450613/
87,"Genie, Make a Wish",,10832,6.6,https://www.imdb.com/title/tt32409807/
88,Hell Is Other People,,10801,7.8,https://www.imdb.com/title/tt10613844/
89,Money Heist: Korea - Joint Economic Area,,10738,5.9,https://www.imdb.com/title/tt13696452/
90,Welcome to Samdalri,,10619,8,https://www.imdb.com/title/tt26653824/
91,Tempest,,10618,6.8,https://www.imdb.com/title/tt27368147/
92,A Killer Paradox,,10572,7.1,https://www.imdb.com/title/tt28642796/
93,Suspicious Partner,,9946,7.7,https://www.imdb.com/title/tt6720154/
94,Love Alarm,,9912,6.5,https://www.imdb.com/title/tt9145880/
95,Mr. Plankton,,9907,8.1,https://www.imdb.com/title/tt27539317/
96,Big Mouth,,9899,7.8,https://www.imdb.com/title/tt21195490/
97,Taxi Driver,,9861,8.1,https://www.imdb.com/title/tt13759970/
98,I'm Not a Robot,,9801,8,https://www.imdb.com/title/tt7521778/
99,Romance Is a Bonus Book,,9694,7.9,https://www.imdb.com/title/tt9130542/
100,Little Women,,9674,7.7,https://www.imdb.com/title/tt21828868/
