rank,title_kr,title_en,wiki_article,views_12m
1,오징어게임,Squid Game,Squid Game,1423906
2,모범택시1,Taxi Driver,Taxi Driver,1300257
3,디어엠,Dear.M,Dear X (TV series),997067
4,친애하는X,Dear X,Dear X (TV series),997067
5,폭싹 속았수다,When Life Gives You Tangerines,When Life Gives You Tangerines,967232
6,북극성,Tempest,Tempest (TV series),758042
7,작은아씨들,Little Women,Little Women,756267
8,다이루어질지니,"Genie, Make a Wish","Genie, Make a Wish",731315
9,오징어게임3,Squid Game Season 3,Squid Game season 3,716828
10,조각도시,The Manipulated,The Manipulated,674666
11,지금우리학교는,All of Us Are Dead,All of Us Are Dead,605106
12,더글로리,The Glory,The Glory (TV series),592331
13,사랑의불시착,Crash Landing on You,Crash Landing on You,566836
14,아이돌아이,I Dol I,I Dol I,529464
15,월간남친,Boyfriend on Demand,Boyfriend on Demand,497577
16,트웰브,Twelve (TV series),Twelve (TV series),484097
17,러브미,Park Ji-hoon,Park Ji-hoon,458779
18,스프링피버,Spring Fever (TV series),Spring Fever (TV series),455432
19,초콜릿,Chocolate,Chocolate,454119
20,S라인,S Line (TV series),S Line (TV series),437261
21,눈물의여왕,Queen of Tears,Queen of Tears,426146
22,사냥개들2,Bloodhounds Season 2,Bloodhounds (TV series),415942
23,오징어게임2,Squid Game Season 2,Squid Game season 2,414893
24,반짝이는워터멜론,Twinkling Watermelon,Twinkling Watermelon,383514
25,선재업고튀어,Lovely Runner,Lovely Runner,373682
26,이상한변호사우영우,Extraordinary Attorney Woo,Extraordinary Attorney Woo,373661
27,신입사원강회장,Korean drama,Korean drama,366014
28,폭군의셰프,Korean drama,Korean drama,366014
29,도깨비,Guardian: The Lonely and Great God,Guardian: The Lonely and Great God,361147
30,사내맞선,Business Proposal,Business Proposal,354121
31,피노키오,Pinocchio,Pinocchio,354009
32,캐셔로,Cashero,Cashero,331768
33,응답하라1988,Reply 1988,Reply 1988,330745
34,내남편과결혼해줘,Marry My Husband,Marry My Husband,329827
35,맨끝줄소년,Choi Hyun-wook,Choi Hyun-wook,328809
36,모자무싸,We Are All Trying Here,We Are All Trying Here,322291
37,일타스캔들,Crash Course in Romance,Crash Course in Romance,319521
38,스위트홈2,Sweet Home Season 2,Sweet Home (TV series),317008
39,스위트홈3,Sweet Home Season 3,Sweet Home (TV series),317008
40,뉴토피아,Newtopia,Newtopia,308451
41,동궁,The East Palace,The East Palace,307490
42,프로보노,Pro Bono,Pro Bono,306815
43,킹더랜드,King the Land,King the Land,306437
44,트리거_넷플릭스,Trigger,Trigger Point (TV series),296126
45,악연,Karma,Karma,292940
46,스터디그룹,Study Group,Study Group (TV series),291233
47,킬러들의쇼핑몰,A Shop for Killers,A Shop for Killers,290514
48,세이렌,Siren's Kiss,Siren's Kiss,276046
49,스물다섯스물하나,Twenty-Five Twenty-One,Twenty-Five Twenty-One,267586
50,사이코지만괜찮아,It's Okay to Not Be Okay,It's Okay to Not Be Okay,264759
51,태양의후예,Descendants of the Sun,Descendants of the Sun,256489
52,연인,My Dearest,My Dearest,255670
