final_rank,title,title_en,in_kdramamap,n_sources,borda,mdl_rank,imdb_rank,pv_rank,match_method
1,폭싹 속았수다,When Life Gives You Tangerines,Y,3,284,1,13,5,별칭매칭
2,사랑의불시착,Crash Landing on You,Y,3,270,14,6,13,별칭매칭
3,더글로리,The Glory,Y,3,258,25,8,12,별칭매칭
4,이상한변호사우영우,Extraordinary Attorney Woo,Y,3,230,33,14,26,별칭매칭
5,응답하라1988,Reply 1988,Y,3,226,9,35,33,별칭매칭
6,반짝이는워터멜론,Twinkling Watermelon,Y,3,221,2,56,24,별칭매칭
7,선재업고튀어,Lovely Runner,Y,3,218,15,45,25,별칭매칭
8,도깨비,Guardian: The Lonely and Great God,Y,3,215,44,15,29,별칭매칭
9,사이코지만괜찮아,It's Okay to Not Be Okay,Y,3,210,36,7,50,별칭매칭
10,지금우리학교는,All of Us Are Dead,Y,3,191,98,3,11,별칭매칭
11,눈물의여왕,Queen of Tears,Y,3,186,72,24,21,별칭매칭
12,사내맞선,Business Proposal,Y,3,179,84,10,30,별칭매칭
13,스물다섯스물하나,Twenty Five Twenty One,Y,3,178,46,30,49,별칭매칭
14,이재곧죽습니다,Death's Game,Y,3,175,42,28,58,별칭매칭
15,모범택시1,Taxi Driver,Y,3,164,40,97,2,별칭매칭
16,나의아저씨,My Mister,Y,3,153,16,54,80,별칭매칭
17,슬기로운의사생활,Hospital Playlist,Y,3,149,11,83,60,별칭매칭
18,중증외상센터,The Trauma Code: Heroes on Call,Y,3,143,6,78,76,별칭매칭
19,킬러들의쇼핑몰,A Shop for Killers,Y,3,119,51,86,47,별칭매칭
20,오징어게임,Squid Game,Y,2,200,,1,1,별칭매칭
21,Alchemy of Souls,Alchemy of Souls,N,2,178,5,19,,미매칭(EN)
22,Weak Hero Class 1,Weak Hero Class 1,N,2,175,4,23,,미매칭(EN)
23,Vincenzo,Vincenzo,N,2,160,30,12,,미매칭(EN)
24,Flower of Evil,Flower of Evil,N,2,158,8,36,,미매칭(EN)
25,킹더랜드,King the Land,Y,2,157,,2,43,별칭매칭
26,Kingdom,Kingdom,N,2,152,45,5,,미매칭(EN)
27,무빙,Moving,Y,2,146,10,46,,별칭매칭
28,Teach You a Lesson,Teach You a Lesson,N,2,138,12,52,,미매칭(EN)
29,Mouse,Mouse,N,2,135,29,38,,미매칭(EN)
30,무브투헤븐,Move to Heaven,Y,2,133,3,66,,별칭매칭
31,Mr. Queen,Mr. Queen,N,2,131,18,53,,미매칭(EN)
32,연인,My Dearest,Y,2,130,20,,52,별칭매칭
33,태양의후예,Descendants of the Sun,Y,2,130,,21,51,별칭매칭
34,Sweet Home,Sweet Home,N,2,129,62,11,,미매칭(EN)
35,스터디그룹,Study Group,Y,2,124,32,,46,별칭매칭
36,Bloodhounds,Bloodhounds,N,2,124,61,17,,미매칭(EN)
37,Tomorrow,Tomorrow,N,2,116,38,48,,미매칭(EN)
38,Happiness,Happiness,N,2,114,37,51,,미매칭(EN)
