id,image_url,matched_name,confidence
st_04137,https://lh3.googleusercontent.com/place-photos/AG9NLjD_Vtzkkh5toYEcasyD6FQs_6vhB4U68k_73jG1uIcbxvsARKSKroerMUKx4NTSJy4cH_Gb32KhBIm0uj6meTAcqokB1Nb7rrPJQNryfSuM5VQpYrO-JB6DsccqHqLrzF9DZQ-2wS_hFIebijg=s4800-w800,현대요트 서울지점,high
st_04143,https://lh3.googleusercontent.com/place-photos/AG9NLjBSpd7iOyNTWw-LkwigKQdFHWd_bCigZ4o7MkaZOiN-ZTnr3m_vC9fOilxoz9efCQxHewfzX4YXnattHRryRbKOdJFjXFOehA-G0uhtYcVi5uJQTnoGrni3_VMeqWgHkXesaliJYvpJkI24GQ=s4800-w800,Mondrian Seoul Itaewon,coord
st_04150,https://lh3.googleusercontent.com/place-photos/AG9NLjCzvyQw3Pg4V9cKWdM1NyPCivw3gzIF98VOK1WGvnY56qUz2Jb49hYD7hVk3AYZ6NxLeARaniB8t9bCi0243LjpU-oQ-zr9nGTU7u5hYXKbgg7MWeaCfOIy4XMuPrXq42UWblF8RJ4xkRrQ-g=s4800-w800,앰버서더 서울 더 라운지&바,coord
st_04157,,서울면남초등학교,high
st_04168,,양주예쓰병원,failed
st_04171,,식현1리마을회관,high
st_04172,,식현1리마을회관,high
st_04173,,예담장례식장,coord
st_04183,https://lh3.googleusercontent.com/place-photos/AG9NLjBY09NmLXU8dv5jQ6ASZj7AKTNNxsvTPb3_BH79CWZ_BeYIziQ16H9QwU-5lx80HfQPgAAakBeX6H3ku7D0T18Tud7M0swjkQFXFS7NZOgWJfv_0zXlExjqiTSUNFEY2blsUpCFYahq7If-INWpQa49HA=s4800-w800,하남돼지집 본점,coord
st_04184,https://lh3.googleusercontent.com/place-photos/AG9NLjBFOLIPQ1c3FtPXQHLPE4z7tuLXE3hc2tlfeROLO4Z2xy2yTj9WU_4t-bF4Z0aBermi4BLEd3clH2zqf8efpsvqKExM-vO3rxKkP6HunffQijmnMk-nC88W0J2QHis6Y4fsz2qo0LR2vMW6vdc=s4800-w800,비전빌리지유스호스텔,coord
st_04186,,동우여자고등학교,high
st_04193,https://lh3.googleusercontent.com/place-photos/AG9NLjDMd7DphJY-OenShBrcSurPzY-FUdKBYvvzT7M8Wfu9JFyO8mL9rJzRoC-ofoZyA1MOTgbLAGCnBytCnllsQfJq_wOhB4WEHNA8y9p8DQz52Wxhg3BsgxGQwy9nTw-WbZQb4g5Ciagvfbaf=s4800-w800,Prestige Biologics Campus 1,coord
st_04197,,내응새마을회관,high
st_04199,,한마음정육식당 충북대점,failed
st_04200,,,failed
st_04201,,,failed
st_04202,,이화동길33번길,high
st_04203,,이화동길33번길,mid
st_04204,,이화동길33번길,mid
st_04210,,용천루 출렁다리,failed
st_04211,,용천루 출렁다리,failed
st_04212,,1,mid
st_04213,,용연리,high
st_04214,,2,mid
st_04215,,2,mid
st_04216,,3,mid
st_04217,,4,mid
st_04218,,5,mid
st_04219,,6,mid
st_04220,,7,mid
st_04221,,8,mid
st_04229,,문희로,high
st_04231,,,failed
st_04235,,장군복싱클럽,high
st_04239,https://lh3.googleusercontent.com/place-photos/AG9NLjDUwx6nVYUKJ1AqjEyPcpf5z9YQXHp0CoBN5-n6-HOqR009_VDi5TFTeZIqfxyUazNzM65i2mgK1AyQ3FsVVNY-adjMPrCJinaBO0K91i6Q8oUB1atOucorD9JxdRCGxNfaD1ZPSDvcvKNqgDvhQ6V1xA=s4800-w800,Neptune Fountain,coord
st_04250,https://lh3.googleusercontent.com/place-photos/AG9NLjD5D2zdYUmYGZRuttse_cDYRmw56VE03-F78opa3n-f1A6RHTUK61IPoH5pgTR_Lz4goHm2JE8x7CFcFgsW9L9FcPBwg6ttieZjwUxTTiWTsG9Yh9skKNHVRUYwHifzRWihGTshWVnOzSILMQ=s4800-w800,Nikolassee,high
