id,title,place_name,place_address,scene_description
st_04123,눈물의 여왕,옹달샘 합정감자탕,서울 마포구 독막로2길 9,3화에서 백현우가 친구 양기와 함께 감자탕집에서 식사하는 장면
st_04125,눈물의 여왕,서강대교,서울 영등포구 여의도동 83-2,15~16화에서 현우와 해인이 예전 데이트 장소로 다시 등장하는 곳
st_04127,눈물의 여왕,여의도공원,서울 영등포구 여의도동 2,백현우가 친구들과 담소를 나누고 해인과 자신에 대한 악플에 화내던 장면
st_04128,눈물의 여왕,콘래드서울,서울 영등포구 국제금융로 10,4화부터 은성 무리가 호텔 스위트룸에 모여 퀸즈그룹을 차지하려 작당모의하는 장면
st_04129,눈물의 여왕,여의도IFC,서울 영등포구 국제금융로 10,16화에서 경영권을 되찾아 퀸즈그룹으로 돌아오는 장면
st_04131,눈물의 여왕,더현대서울 정류장,서울 영등포구 여의대로 108,15~16화에서 퀸즈백화점(더현대서울) 앞 파크원빌딩 횡단보도로 등장
st_04132,눈물의 여왕,더현대서울 YPHAUS라운지,서울 영등포구 여의대로 108,10화에서 해인이 퀸즈그룹 회장 취임 기자회견 전 이곳에서 단장하는 장면
st_04133,눈물의 여왕,더현대서울,서울 영등포구 여의대로 108,홍해인이 사장으로 백현우가 법무팀장으로 근무하는 퀸즈백화점의 배경으로 나오는 곳
st_04134,눈물의 여왕,페어몬트 앰배서더 서울 마리포사 앤 M29,서울 영등포구 여의대로 108,9화에서 수철과 다혜가 마리포사 앤 M29에서 소개팅하는 장면
st_04135,눈물의 여왕,스위치22 여의도점,서울 영등포구 여의대로 108,1화에서 백현우가 홍해인을 기다리는 장면이 촬영된 한강뷰 라운지
st_04136,눈물의 여왕,미림분식,서울 관악구 호암로 553,2화에서 백현우가 친구 양기와 즉석떡볶이를 먹는 장면이 촬영된 곳
st_04137,눈물의 여왕,더리버 옆,서울 용산구 용산동6가 451-1,2화에서 한강 보트 출입장 배경으로 등장한 더리버
st_04138,눈물의 여왕,동작대교 아래,서울 용산구 용산동6가 452-1,윤은성에게 빼앗긴 회사를 되찾기 위해 반격을 시도하는 백현우 장면이 촬영된 동작대교 일대
st_04139,눈물의 여왕,서울드래곤시티 랑데부,서울 용산구 청파로20길 95,10화에서 홍해인이 윤은성의 협박을 폭로하는 기자회견장 장면이 촬영된 곳
st_04140,눈물의 여왕,데이터세이브 용산지점,서울 용산구 청파로 77,6화에서 백현우가 데이터 복구를 요청하는 장면이 촬영된 곳
st_04142,눈물의 여왕,회나무식당,서울 용산구 녹사평대로 238-1,8화에서 백현우와 홍해인이 국밥(두루치기)을 먹는 장면이 촬영된 곳
st_04143,눈물의 여왕,몬드리안서울 이태원,서울 용산구 장문로 23,14화에서 백현우와 홍해인이 독일에서 브런치를 먹는 장면이 촬영된 곳
st_04144,눈물의 여왕,그랜드하얏트서울 테니스장,서울 용산구 소월로 322,4화에서 홍만대 회장과 동거녀 모슬희가 테니스를 치는 장면이 촬영된 곳
st_04145,눈물의 여왕,르가드더메인한남,서울 용산구 한남대로10길 16,5화에서 홀로 독일로 떠나려는 홍해인을 고모 범자가 뒤쫓는 주차장 장면이 촬영된 곳
st_04146,눈물의 여왕,BBM야구장,서울 용산구 한강대로81길 32,백현우와 홍해인이 야구 배팅 연습을 하는 데이트 장면이 촬영된 곳
st_04147,눈물의 여왕,대원정사 주차장,서울 용산구 두텁바위로60길 49,8화에서 서울 도심 야경 장면 촬영에 쓰인 용산 대원정사 옥상주차장
st_04148,눈물의 여왕,소파로,서울 중구 남창동 202-11,CU 뉴명동YWCA점 편의점 장면이 촬영된 곳
st_04149,눈물의 여왕,CU뉴명동YWCA점,서울 중구 명동11길 8-2,1화에서 백현우가 편의점 앞에서 술에 취해 인생이 꼬였다며 우는 장면
st_04150,눈물의 여왕,앰배서더서울풀만 클럽앰배서더라운지,서울 중구 동호로 287,호텔 내 클럽 앰배서더 라운지 장면이 이곳에서 촬영됐다
st_04151,눈물의 여왕,옥토버훼스트 종로점,서울 종로구 종로5길 13,10화 에필로그(4년 전 회상)에서 현우가 해인의 흑기사로 러브샷을 하는 회사 회식 장면
st_04152,눈물의 여왕,광통교,서울 종로구 서린동 1-11,4년 전 회식날 사랑싸움 후 화해하며 현우씨는 술 취하면 너무 귀엽다고 말하는 장면
st_04153,눈물의 여왕,아키라백,서울 종로구 새문안로 97 12층,3화에서 포시즌스 호텔 서울 12층 모던일식당 아키라 백으로 등장
st_04154,눈물의 여왕,찰스H,서울 종로구 새문안로 97 LL층,3화 등에서 재벌가 인물들이 은밀한 대화를 나누는 스피크이지 바 장면
st_04155,눈물의 여왕,우리옛돌박물관,서울 성북구 대사관로13길 66,1화에서 백현우가 홍해인과 다투고 화가 나서 집을 나서는 장면
st_04156,눈물의 여왕,우리옛돌박물관앞,서울 성북구 대사관로13길 77,1화부터 등장하는 홍해인 가문 저택 '퀸즈타운' 배경인 우리옛돌박물관
