id,youtube_url,video_title,channel,thumbnail_url,confidence
st_05198,https://www.youtube.com/watch?v=n3FtrIvDe0A,"EP14-02 첫눈 오는 날 다시 만난 공유❤️김고은, 은탁이의 부름으로 다시 소환된 도깨비 | 도깨비",tvN DRAMA,https://i.ytimg.com/vi/n3FtrIvDe0A/hqdefault.jpg,high
st_05199,https://www.youtube.com/watch?v=fWMXsac8iLQ,"EP14-03 9년 후 다시 만나게 된 공유X이동욱, 900년이 걸린 눈물의 사죄 | 도깨비",tvN DRAMA,https://i.ytimg.com/vi/fWMXsac8iLQ/hqdefault.jpg,mid
st_05201,https://www.youtube.com/watch?v=fWMXsac8iLQ,"EP14-03 9년 후 다시 만나게 된 공유X이동욱, 900년이 걸린 눈물의 사죄 | 도깨비",tvN DRAMA,https://i.ytimg.com/vi/fWMXsac8iLQ/hqdefault.jpg,mid
st_05202,https://www.youtube.com/watch?v=Of4MK4CuGmY,"EP8-14 ""널 좋아하는 나는"" 갑자기 김고은에게 훅~ 고백하는 공유❤️ | 도깨비",tvN DRAMA,https://i.ytimg.com/vi/Of4MK4CuGmY/hqdefault.jpg,mid
st_05206,https://www.youtube.com/watch?v=n3FtrIvDe0A,"EP14-02 첫눈 오는 날 다시 만난 공유❤️김고은, 은탁이의 부름으로 다시 소환된 도깨비 | 도깨비",tvN DRAMA,https://i.ytimg.com/vi/n3FtrIvDe0A/hqdefault.jpg,high
st_05207,https://www.youtube.com/watch?v=n3FtrIvDe0A,"EP14-02 첫눈 오는 날 다시 만난 공유❤️김고은, 은탁이의 부름으로 다시 소환된 도깨비 | 도깨비",tvN DRAMA,https://i.ytimg.com/vi/n3FtrIvDe0A/hqdefault.jpg,mid
st_05209,https://www.youtube.com/watch?v=n3FtrIvDe0A,"EP14-02 첫눈 오는 날 다시 만난 공유❤️김고은, 은탁이의 부름으로 다시 소환된 도깨비 | 도깨비",tvN DRAMA,https://i.ytimg.com/vi/n3FtrIvDe0A/hqdefault.jpg,high
st_05210,https://www.youtube.com/watch?v=eR-vSGqqj64,EP16-05 아이들 죽음을 막기 위한 김고은의 희생 | 도깨비,tvN DRAMA,https://i.ytimg.com/vi/eR-vSGqqj64/hqdefault.jpg,high
st_05216,https://www.youtube.com/watch?v=r9lHR3T-T28,EP8-11 김고은을 살리기 위해 사고 원인인 소매치기범을 제압하는 공유👍 | 도깨비,tvN DRAMA,https://i.ytimg.com/vi/r9lHR3T-T28/hqdefault.jpg,high
st_05219,https://www.youtube.com/watch?v=2WjESuWEf6s,EP7-09 좀비 영화가 무서운 공유와 정말 창피한 김고은ㅋㅋㅋㅋ | 도깨비,tvN DRAMA,https://i.ytimg.com/vi/2WjESuWEf6s/hqdefault.jpg,high
st_05222,https://www.youtube.com/watch?v=YJLYIuJP3_0,"매일 저녁 치킨 사 오는 이동욱, 그대로 우리 집으로 오세요( •͈ᴗ-)ᓂ-ෆ",tvN D ENT,https://i.ytimg.com/vi/YJLYIuJP3_0/hqdefault.jpg,mid
st_05225,https://www.youtube.com/watch?v=B7ZuJRPn0EU,"수능날 안아주는 가족이 나만 없다,, 집에 도착한 은탁이가 눈물 흘린 이유🥺",tvN D ENT,https://i.ytimg.com/vi/B7ZuJRPn0EU/hqdefault.jpg,high
st_05226,https://www.youtube.com/watch?v=5RzyLCkLhz8,EP10-16 💥레전드 장면💥 공유X이동욱의 대파 런웨이 | 도깨비,tvN DRAMA,https://i.ytimg.com/vi/5RzyLCkLhz8/hqdefault.jpg,high
st_05227,https://www.youtube.com/watch?v=5RzyLCkLhz8,EP10-16 💥레전드 장면💥 공유X이동욱의 대파 런웨이 | 도깨비,tvN DRAMA,https://i.ytimg.com/vi/5RzyLCkLhz8/hqdefault.jpg,high
st_05232,https://www.youtube.com/watch?v=g-Yxu4AKx1Y,"누군가의 목숨을 구하는 일, 따뜻한 샌드위치와 함께 명언 폭발하는 도깨비",tvN D ENT,https://i.ytimg.com/vi/g-Yxu4AKx1Y/hqdefault.jpg,mid
st_05239,https://www.youtube.com/watch?v=Wl0L_kKsHTw,"[#도깨비] ""당신은 이렇게라도 해피엔딩이길"" 전생을 떠오르게 하는 저승사자의 키스와 써니의 기억을 지우는 저승이",tvN D ENT,https://i.ytimg.com/vi/Wl0L_kKsHTw/hqdefault.jpg,high
st_05242,https://www.youtube.com/watch?v=2Uz0yD2MKoU,"[#도깨비] 우산을 들춰보니 그 속에 도깨비가,, 지은탁♥김신 슬로우모션 즤대로 걸리는 첫 만남",tvN D ENT,https://i.ytimg.com/vi/2Uz0yD2MKoU/hqdefault.jpg,mid
st_05256,https://www.youtube.com/watch?v=RfyuuYtf4nU,EP11-07 유인나가 내리친 복숭아 나뭇가지에 결국 정체를 들킨 이동욱| 도깨비,tvN DRAMA,https://i.ytimg.com/vi/RfyuuYtf4nU/hqdefault.jpg,mid
