id,place_name,image_url,commons_page,license,author,distance_m
st_04157,서울면남초등학교,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Jungnang_Myeonmok_7-dong_Community_Service_Center.jpg/960px-Jungnang_Myeonmok_7-dong_Community_Service_Center.jpg,https://commons.wikimedia.org/wiki/File%3AJungnang%20Myeonmok%207-dong%20Community%20Service%20Center.jpg,CC0,안우석,206.9
st_04168,양주한국병원,,,,,
st_04171,식현1리,,,,,
st_04172,식현1리 마을회관,,,,,
st_04173,예담원 장례식장,,,,,
st_04186,동우여자고등학교,,,,,
st_04197,내응새마을회관,,,,,
st_04199,인포 정육점식당,,,,,
st_04200,왕지3길 신안농원쪽,,,,,
st_04201,왕지3길 정부지원농산물간이집하장 쪽,,,,,
st_04202,이화동길33번길쪽,,,,,
st_04203,이화동길33번길쪽(2),,,,,
st_04204,이화동길33번길쪽(3),,,,,
st_04210,용연길 다리,,,,,
st_04211,용연길 다리지나서,,,,,
st_04212,용연리(1),,,,,
st_04213,용연리삼거리,,,,,
st_04214,용연리(2),,,,,
st_04215,용연리(2-2),,,,,
st_04216,용연리(3),,,,,
st_04217,용연리(4),,,,,
st_04218,용연리(5),,,,,
st_04219,용연리(6),,,,,
st_04220,용연리(7),,,,,
st_04221,용연리(8),,,,,
st_04229,문희로,,,,,
st_04231,봉득교,,,,,
st_04235,장군복싱클럽,,,,,
st_04266,Dircksenstraße 136-132,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Prussian_military_academy%2C_Berlin_1903.jpg/960px-Prussian_military_academy%2C_Berlin_1903.jpg,https://commons.wikimedia.org/wiki/File%3APrussian%20military%20academy%2C%20Berlin%201903.jpg,Public domain,Hermann Rückwardt,30.9
st_05200,순보석,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Sinpo-market.jpg/960px-Sinpo-market.jpg,https://commons.wikimedia.org/wiki/File%3ASinpo-market.jpg,CC BY-SA 4.0,Mming na,155.1
st_05208,서흥초등학교 버스정류장,,,,,
st_05209,송림휴먼시아,,,,,
st_05210,금벨세탁,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/%EC%9D%B8%EC%B2%9C%EC%9E%AC%EB%8A%A5%EA%B3%A0_%EB%92%A4.jpg/960px-%EC%9D%B8%EC%B2%9C%EC%9E%AC%EB%8A%A5%EA%B3%A0_%EB%92%A4.jpg,https://commons.wikimedia.org/wiki/File%3A%EC%9D%B8%EC%B2%9C%EC%9E%AC%EB%8A%A5%EA%B3%A0%20%EB%92%A4.jpg,CC BY-SA 4.0,인천재능고등학교,238.3
st_05211,파랑새 피아노학원,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/%EC%9D%B8%EC%B2%9C%EC%9E%AC%EB%8A%A5%EA%B3%A0_%EB%92%A4.jpg/960px-%EC%9D%B8%EC%B2%9C%EC%9E%AC%EB%8A%A5%EA%B3%A0_%EB%92%A4.jpg,https://commons.wikimedia.org/wiki/File%3A%EC%9D%B8%EC%B2%9C%EC%9E%AC%EB%8A%A5%EA%B3%A0%20%EB%92%A4.jpg,CC BY-SA 4.0,인천재능고등학교,242.3
st_05221,미광세탁소,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/T1_building_inner_2.jpg/960px-T1_building_inner_2.jpg,https://commons.wikimedia.org/wiki/File%3AT1%20building%20inner%202.jpg,CC BY 4.0,Altostratus,217.7
st_05255,창신동골목,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Seoul%27s_giant%2C_a_fellow_Amazon_Building_63_%286958614704%29.jpg/960px-Seoul%27s_giant%2C_a_fellow_Amazon_Building_63_%286958614704%29.jpg,https://commons.wikimedia.org/wiki/File%3ASeoul%27s%20giant%2C%20a%20fellow%20Amazon%20Building%2063%20%286958614704%29.jpg,CC BY 2.0,"Chelsea Marie Hicks from Nashville, USA",199.2
st_05256,창신동집,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Seoul%27s_giant%2C_a_fellow_Amazon_Building_63_%286958614704%29.jpg/960px-Seoul%27s_giant%2C_a_fellow_Amazon_Building_63_%286958614704%29.jpg,https://commons.wikimedia.org/wiki/File%3ASeoul%27s%20giant%2C%20a%20fellow%20Amazon%20Building%2063%20%286958614704%29.jpg,CC BY 2.0,"Chelsea Marie Hicks from Nashville, USA",175.2
st_20356,용연리마을(용두리),,,,,
st_20358,가람마루 전망대(건지마을 전망대),https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Photo1069_%EC%B6%A9%EC%A3%BC%EB%8C%90_%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4.jpg/960px-Photo1069_%EC%B6%A9%EC%A3%BC%EB%8C%90_%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4.jpg,https://commons.wikimedia.org/wiki/File%3APhoto1069%20%EC%B6%A9%EC%A3%BC%EB%8C%90%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4.jpg,CC BY-SA 4.0,Gcd822,207.9
