id,place_name,image_url,commons_page,license,author,distance_m
st_04168,양주한국병원,,,,,
st_04171,식현1리,,,,,
st_04172,식현1리 마을회관,,,,,
st_04173,예담원 장례식장,,,,,
st_04186,동우여자고등학교,,,,,
st_04197,내응새마을회관,,,,,
st_04199,인포 정육점식당,,,,,
st_04200,왕지3길 신안농원쪽,,,,,
st_04201,왕지3길 정부지원농산물간이집하장 쪽,,,,,
st_04202,이화동길33번길쪽,,,,,
st_04203,이화동길33번길쪽(2),,,,,
st_04204,이화동길33번길쪽(3),,,,,
st_04210,용연길 다리,,,,,
st_04211,용연길 다리지나서,,,,,
st_04212,용연리(1),,,,,
st_04213,용연리삼거리,,,,,
st_04214,용연리(2),,,,,
st_04215,용연리(2-2),,,,,
st_04216,용연리(3),,,,,
st_04217,용연리(4),,,,,
st_04218,용연리(5),,,,,
st_04219,용연리(6),,,,,
st_04220,용연리(7),,,,,
st_04221,용연리(8),,,,,
st_04229,문희로,,,,,
st_04231,봉득교,,,,,
st_04235,장군복싱클럽,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Korail_Gyeongbuk_Line_Jeomchon_Station.jpg/960px-Korail_Gyeongbuk_Line_Jeomchon_Station.jpg,https://commons.wikimedia.org/wiki/File%3AKorail%20Gyeongbuk%20Line%20Jeomchon%20Station.jpg,CC BY 3.0,G43,306.2
st_05208,서흥초등학교 버스정류장,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/%EC%84%B1%EA%B3%B5%ED%9A%8C_%EB%82%B4%EB%8F%99%EA%B5%90%ED%9A%8C_%EC%9E%85%EA%B5%AC.jpg/960px-%EC%84%B1%EA%B3%B5%ED%9A%8C_%EB%82%B4%EB%8F%99%EA%B5%90%ED%9A%8C_%EC%9E%85%EA%B5%AC.jpg,https://commons.wikimedia.org/wiki/File%3A%EC%84%B1%EA%B3%B5%ED%9A%8C%20%EB%82%B4%EB%8F%99%EA%B5%90%ED%9A%8C%20%EC%9E%85%EA%B5%AC.jpg,CC BY-SA 4.0,Logosblf,459.8
st_05209,송림휴먼시아,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/%EC%9D%B8%EC%B2%9C%EC%9E%AC%EB%8A%A5%EA%B3%A0_%EB%92%A4.jpg/960px-%EC%9D%B8%EC%B2%9C%EC%9E%AC%EB%8A%A5%EA%B3%A0_%EB%92%A4.jpg,https://commons.wikimedia.org/wiki/File%3A%EC%9D%B8%EC%B2%9C%EC%9E%AC%EB%8A%A5%EA%B3%A0%20%EB%92%A4.jpg,CC BY-SA 4.0,인천재능고등학교,401.7
st_20356,용연리마을(용두리),,,,,
