id,정정명칭,naver_place_url,lat,lng,scene_description,source_url,비고
st_04124,,,,,,https://blog.naver.com/hs21589/223951759087,hs21589 블로그에서 실제 촬영지로 확인되나 회차/장면 정보 없어 장면설명 미기재
st_04126,,,,,,,마포대교 인근을 다룬 자료는 있으나 이 지점의 구체적 촬영 근거를 찾지 못함
st_04130,,,,,,,여의도환승센터 특정 촬영 근거 자료 없음(인근 여의도공원은 별도로 확인되나 주소가 달라 채택 안 함)
st_04131,,,,,,,실존 버스정류장으로 네이버플레이스 미등록(정류장은 POI 아님). 나무위키 미러 기준 관련 장면은 6화 에필로그로 추정되어 기존 scene_description의 '15~16화' 표기와 화수 불일치 가능성 있음 - 확인 필요
st_04132,,,,,,,"더현대서울 지하2층 내부 VIP라운지, 독립 네이버플레이스 미등록(백화점 본체로만 체크인됨)"
st_04134,페어몬트 앰배서더 서울 마리포사,https://map.naver.com/p/entry/place/1348450428,,,,https://blog.naver.com/vivid_love_life/223395493183,좌표·주소 일치 확인
st_04135,SWITCH22(스위치22),https://map.naver.com/p/entry/place/1298251855,,,,https://blog.naver.com/redmee2/223381586779,파크원타워2 22층
st_04137,THE RIVER 현대요트 서울지점,https://map.naver.com/p/entry/place/1080213899,,,,https://blog.naver.com/rokavirus/224004764297,장소사진 항목은 이번 작업 범위 아님
st_04139,,,,,,,"서울드래곤시티 내부 연회홀(랑데부홀), 독립 네이버플레이스 미등록(호텔 본체로만 체크인)"
st_04141,,,,,,,눈물의 여왕과 연결하는 근거 자료를 찾지 못함
st_04143,,,,,,,장소사진만 필요 - 작업범위 아님
st_04145,르가든더메인한남(기존 '르가드'는 오탈자),https://map.naver.com/p/entry/place/1197950741,,,,https://blog.naver.com/redmee2/223405062178,좌표 일치 확인
st_04148,CU 명동YWCA점(기존 '뉴명동'은 오류),https://map.naver.com/p/entry/place/1008084127,,,,https://blog.naver.com/redmee2/223404160844,네이버플레이스 API 응답 null - 폐업 가능성 있어 사용 전 확인 필요
st_04150,앰배서더 서울 풀만 호텔 클럽 앰배서더 라운지,,,,,,"18층 투숙객 전용 내부시설, 독립 네이버플레이스 미등록"
st_04151,,https://map.naver.com/p/entry/place/11708590,,,,https://blog.naver.com/kiwidaeun/223872618386,2025.5.31 폐업 확인됨(사용 시 폐업 표기 권장). 촬영지 확인 출처: https://blog.naver.com/hs21589/223573828192
st_04157,,,,,,,서울면남초등학교의 눈물의 여왕 관련 회차/장면 근거 자료를 찾지 못함
st_04160,워커힐 호텔앤리조트 애스톤하우스,https://map.naver.com/p/entry/place/18166979,,,,네이버지도 검색결과(주소 일치),네이버지도에 동일 시설이 두 POI로 등록되어 있어 주소 일치도 높은 쪽 채택. 입력좌표와 약 400m 차이 있음(대형 리조트 부지 특성상 정상범위로 판단)
st_04162,MOTT 32 SEOUL(모트 32 서울),https://map.naver.com/p/entry/place/1389562845,,,,네이버지도 검색결과(좌표 일치),"JW메리어트 호텔 서울(센트럴시티) 내 중식당, 현재도 동일 상호로 운영 중"
st_04168,,,,,,,장소사진만 필요 - 작업범위 아님
st_04170,,,,,,,'눈물의여왕 용두리' 세트는 경북 문경 용연리/충북 괴산 연풍면 일대로 확인되어 파주 적성면 주소와의 연결 근거를 찾지 못함(주소 정확성 재검토 필요할 수 있음)
st_04171,,,,,,,상동. 파주 적성면 식현1리 관련 촬영 근거 자료 없음
st_04172,,,,,,,상동. 식현1리 마을회관 관련 촬영 근거 자료 없음
st_04173,,,,,,,장소사진만 필요 - 작업범위 아님
st_04175,,,,,,,눈물의여왕 촬영 근거 자료 없음(같은 권역 '운정블라썸꽃집'이 타 드라마 촬영지로 언급된 사례만 확인되나 블랙리스트 출처라 근거 불가)
st_04177,,,,,,,써브웨이 파주야당역점의 눈물의여왕 촬영 근거 자료 없음
st_04178,,,,,,,서강빌딩 관련 촬영 근거 자료 없음
st_04181,,,,,,https://blog.naver.com/hs21589/223571171673,hs21589가 촬영지로 게시했으나 사진 위주 글이라 회차/장면 텍스트 정보 없어 장면설명 미기재
st_04183,,,,,,,장소사진만 필요 - 작업범위 아님
st_04184,,,,,,,장소사진만 필요 - 작업범위 아님
st_04186,,,,,,,장소사진만 필요 - 작업범위 아님
st_04190,,,,,,,여러 매체에서 눈물의여왕 국내 촬영지 목록에 포함된다고는 하나 회차/장면을 특정한 신뢰 출처를 찾지 못함
st_04193,프레스티지바이오로직스(주) 오송제1캠퍼스,https://map.naver.com/p/entry/place/582107952,,,,https://www.placeview.co.kr/id/NTgyMTA3OTUy,"도로명주소 완전 일치로 신뢰도 높으나 placeview.co.kr(네이버플레이스 미러) 경유로 확보, 네이버지도 자체 직접 확인은 못함"
st_04195,건지마을,https://map.naver.com/p/entry/place/17794222,,,,https://blog.naver.com/joonhobby/223680721337,실제 촬영 포토존('풍경포인트')은 마을 표지에서 약 400~500m 떨어진 지점이라 이 place ID(마을 자체)와 입력좌표 간 오차 있음
st_04196,,,,,,,ktrip.guide(자동생성형 사이트)에서만 언급되며 두루뭉술한 문구뿐이라 신뢰 출처 기준 미달로 장면설명 미기재
st_04197,,,,,,,장소사진만 필요 - 작업범위 아님
st_04199,"안내식당(폐업, '정육점식당' 세트로 사용됨)",,,,,https://blog.naver.com/redmee2/223385248212,폐업한 빈 점포로 별도 네이버플레이스 미등록으로 추정
st_04200,,,,,,https://blog.naver.com/redmee2/223412691437,특정 상호 없는 도로/농경지(배꽃길)로 확인되어 네이버URL 대상 아님(상호 미존재)
st_04201,,,,,,,"'정부지원농산물간이집하장' 관련 등록 업체/장소 확인 안 됨, 특정 상호 없음"
st_04202,,,,,,,장소사진만 필요 - 작업범위 아님
st_04203,,,,,,,장소사진만 필요 - 작업범위 아님
st_04204,,,,,,,장소사진만 필요 - 작업범위 아님
