id,title,place_name,place_address,place_latitude,place_longitude,scene_description,빈칸목록
st_04124,눈물의 여왕,양화대교,서울 마포구 합정동 351-4,37.543565,126.903803,,장면설명
st_04126,눈물의 여왕,마포대교아래,서울 영등포구 여의도동 84,37.530000,126.929941,,장면설명
st_04130,눈물의 여왕,여의도환승센터(3번승강장),서울 영등포구 여의대로 122-2,37.5259892,126.9240591,,장면설명
st_04131,눈물의 여왕,더현대서울 정류장,서울 영등포구 여의대로 108,37.525191,126.929113,15~16화에서 퀸즈백화점(더현대서울) 앞 파크원빌딩 횡단보도로 등장,네이버URL
st_04132,눈물의 여왕,더현대서울 YPHAUS라운지,서울 영등포구 여의대로 108,37.525191,126.929113,10화에서 해인이 퀸즈그룹 회장 취임 기자회견 전 이곳에서 단장하는 장면,네이버URL
st_04134,눈물의 여왕,페어몬트 앰배서더 서울 마리포사 앤 M29,서울 영등포구 여의대로 108,37.525191,126.929113,9화에서 수철과 다혜가 마리포사 앤 M29에서 소개팅하는 장면,네이버URL
st_04135,눈물의 여왕,스위치22 여의도점,서울 영등포구 여의대로 108,37.525191,126.929113,1화에서 백현우가 홍해인을 기다리는 장면이 촬영된 한강뷰 라운지,네이버URL
st_04137,눈물의 여왕,더리버 옆,서울 용산구 용산동6가 451-1,37.506691,126.984900,2화에서 한강 보트 출입장 배경으로 등장한 더리버,네이버URL;장소사진
st_04139,눈물의 여왕,서울드래곤시티 랑데부,서울 용산구 청파로20길 95,37.532168,126.960884,10화에서 홍해인이 윤은성의 협박을 폭로하는 기자회견장 장면이 촬영된 곳,네이버URL
st_04141,눈물의 여왕,용산전자상가 제4공영주차장,서울 용산구 원효로3가 50-2,37.534030,126.960921,,장면설명
st_04143,눈물의 여왕,몬드리안서울 이태원,서울 용산구 장문로 23,37.528566,126.993107,14화에서 백현우와 홍해인이 독일에서 브런치를 먹는 장면이 촬영된 곳,장소사진
st_04145,눈물의 여왕,르가드더메인한남,서울 용산구 한남대로10길 16,37.531551,127.009903,5화에서 홀로 독일로 떠나려는 홍해인을 고모 범자가 뒤쫓는 주차장 장면이 촬영된 곳,네이버URL
st_04148,눈물의 여왕,소파로,서울 중구 남창동 202-11,37.556168,126.979023,CU 뉴명동YWCA점 편의점 장면이 촬영된 곳,네이버URL
st_04150,눈물의 여왕,앰배서더서울풀만 클럽앰배서더라운지,서울 중구 동호로 287,37.560599,127.002136,호텔 내 클럽 앰배서더 라운지 장면이 이곳에서 촬영됐다,네이버URL;장소사진
st_04151,눈물의 여왕,옥토버훼스트 종로점,서울 종로구 종로5길 13,37.571033,126.980465,10화 에필로그(4년 전 회상)에서 현우가 해인의 흑기사로 러브샷을 하는 회사 회식 장면,네이버URL
st_04157,눈물의 여왕,서울면남초등학교,서울 중랑구 면목로30나길 38,37.577260,127.087666,,장면설명;장소사진
st_04160,눈물의 여왕,그랜드워커힐 애스톤하우스,서울 광진구 워커힐로 177,37.558629,127.111707,1화에서 홍해인과 백현우가 한강이 보이는 야외 예식장에서 결혼식을 올리는 장면,네이버URL
st_04162,눈물의 여왕,모트32서울,서울 서초구 신반포로 176,37.503935,127.002413,7화에서 해인과 은성이 식사하며 은성이 이혼하라고 선을 넘는 대화를 나누는 장면,네이버URL
st_04168,눈물의 여왕,양주한국병원,경기 양주시 화합로 1489,37.838900,127.072898,9~10화에서 은성이 몰래 옮긴 홍만대 회장이 병실에서 홀로 깨어나는 예서의료원 장면,장소사진
st_04170,눈물의 여왕,깔끔이슈퍼,경기 파주시 적성면 국사로 61,37.950639,126.890250,,장면설명
st_04171,눈물의 여왕,식현1리,경기 파주시 적성면 국사로54번길 59,37.950656,126.894225,,장면설명;장소사진
st_04172,눈물의 여왕,식현1리 마을회관,경기 파주시 적성면 국사로54번길 72,37.950028,126.894844,,장면설명;장소사진
st_04173,눈물의 여왕,예담원 장례식장,경기 파주시 문산읍 화석정로 31,37.876606,126.804543,7화에서 해인이 현우의 수상한 현금과 꽃다발의 행선지를 추적해 찾아간 장례식장으로 나온다.,장소사진
st_04175,눈물의 여왕,블라썸,경기 파주시 가람로21번길 46,37.736152,126.752498,,장면설명
st_04177,눈물의 여왕,써브웨이 파주야당역점,경기 파주시 경의로 1080,37.713811,126.759953,,장면설명
st_04178,눈물의 여왕,서강빌딩,경기 고양시 일산서구 강성로 239,37.675718,126.750334,,장면설명
st_04181,눈물의 여왕,백합칼국수&보쌈,경기 고양시 일산동구 강촌로12번길 8-6,37.645284,126.777914,,장면설명
st_04183,눈물의 여왕,하남돼지집 풍산 직영점,경기 하남시 미사강변중앙로 43,37.550956,127.192867,4화에서 백현우가 친구 김양기와 하남돼지집에서 삼겹살을 먹는 장면,장소사진
st_04184,눈물의 여왕,마임비전빌리지,경기 여주시 세종대왕면 용은길 28,37.290669,127.540148,"퀸즈타운 저택의 정원과 야외수영장, 해인·현우가 사는 화이트하우스 등 외부 공간이 촬영된 곳",장소사진
st_04186,눈물의 여왕,동우여자고등학교,경기 수원시 장안구 장안로 426-1,37.319874,126.982389,"4화 에필로그 회상, 고교 시절 넘어진 해인에게 현우가 밴드를 붙여주는 첫 만남 장면",장소사진
st_04190,눈물의 여왕,오호항,강원 고성군 죽왕면 심층수길 40-15,38.327144,128.529911,,장면설명
st_04193,눈물의 여왕,오송생명1로(프레스티지바이오로직스앞),충북 청주시 흥덕구 오송읍 오송생명1로 197,36.637413,127.322180,8화에서 프레스티지바이오로직스 앞 도로에서 백현우와 윤은성이 팽팽하게 대립하는 장면,네이버URL;장소사진
st_04195,눈물의 여왕,건지마을 풍경포인트,충북 충주시 동량면 조동리 824-1,37.024237,127.974395,12화에서 백현우와 홍해인이 재회해 두 번째 프로포즈를 하며 감정이 벅차오르는 장면,네이버URL
st_04196,눈물의 여왕,괴산휴게소(양평방향),충북 괴산군 중부내륙고속도로 204,36.831822,127.960203,,장면설명
st_04197,눈물의 여왕,내응새마을회관,충북 괴산군 연풍면 유상3길 6,36.782383,127.981667,충북 괴산 연풍면 내응마을에서 극중 결혼식 피로연 장면을 촬영한 곳,장소사진
st_04199,눈물의 여왕,인포 정육점식당,충북 옥천군 안내면 현리길 86-1,36.393906,127.659741,6화 등에서 백현우 누나 백미선이 운영하는 '퀸즈 헤어살롱' 세트로 쓰인 정육점식당 자리,네이버URL;장소사진
st_04200,눈물의 여왕,왕지3길 신안농원쪽,충남 천안시 서북구 성환읍 왕지3길 50,36.910877,127.096541,홍해인이 헬기를 타고 용두리 마을에 도착해 백현우 부모님과 차량·경운기로 마주치는 장면,네이버URL;장소사진
st_04201,눈물의 여왕,왕지3길 정부지원농산물간이집하장 쪽,충남 천안시 서북구 성환읍 왕지3길 100,36.913849,127.095814,홍해인이 헬기를 타고 용두리 마을에 도착해 백현우 부모님과 차량·경운기로 마주치는 장면,네이버URL;장소사진
