id,title,place_name,place_address,place_latitude,place_longitude,scene_description,빈칸목록
st_05199,도깨비,카페 화요일,인천 제물포구 신포로23번길 80,37.473191,126.621360,이동욱이 공유에게 사과를 한 장소,네이버URL
st_05200,도깨비,순보석,인천 제물포구 신포로 27,37.471420,126.624939,4화 배경에 짧게 등장하는 인천 신포동의 보석상 촬영지다.,장소사진
st_05203,도깨비,인천 중구 전동,인천 제물포구 전동로6번길 2-7,37.476265,126.626805,8화에서 도깨비(공유)가 어느 집 대문을 두드리는 골목 장면 촬영지다.,네이버URL
st_05208,도깨비,서흥초등학교 버스정류장,인천 제물포구 인중로 672,37.480230,126.646336,16화에서 버스정류장에 서 있는 왕여(이동욱) 앞을 지은탁이 지나가는 장면 촬영지.,네이버URL;장소사진
st_05209,도깨비,송림휴먼시아,인천 제물포구 인중로716번길 8-10,37.4801363,126.6511864,14화에서 지은탁(김고은)이 길을 걷다 첫눈을 바라보는 장면의 배경이다.,장소사진
st_05210,도깨비,금벨세탁,인천 제물포구 인중로716번길 1,,,"16화, 지은탁(김고은)이 아이들을 구하려 스스로 죽음을 택하는 골목 장면 배경.",네이버URL;좌표;장소사진
st_05211,도깨비,파랑새 피아노학원,인천 제물포구 인중로716번길 6,,,16화에서 저승사자(이동욱)가 옥상에서 지은탁의 마지막을 지켜보는 장면 촬영지.,네이버URL;좌표;장소사진
st_05212,도깨비,인천의료원,인천 제물포구 방축로 217,37.478797,126.668656,6화에서 삼신할매(이엘)가 병실에 누운 아이를 치료하는 장면 촬영지다.,장소사진
st_05213,도깨비,인천의료원 앞 횡단보도,인천 제물포구 방축로 217,37.478797,126.668656,6화에서 저승사자가 횡단보도에서 망자를 기다리다 삼신할매와 스치는 장면.,네이버URL;장소사진
st_05214,도깨비,투모로우시티 앞,인천 연수구 컨벤시아대로 204,37.388540,126.639957,14화에서 지은탁이 다니는 회사 앞에 벚꽃이 흩날리는 장면 촬영지다.,네이버URL
st_05220,도깨비,홈누리마트 부개점,인천 부평구 수변로57번길 9,,,3화에서 도깨비와 저승사자가 등장하는 배경으로 나온 마트다.,네이버URL;좌표;장소사진
st_05221,도깨비,미광세탁소,서울 강남구 선릉로115길 27,37.511665,127.040779,10화에서 저승사자(이동욱)가 맡겨둔 모자를 찾으러 오는 세탁소로 등장.,장소사진
st_05222,도깨비,BBQ,서울 강남구 일원로9길 8,37.489388,127.082185,2화에 등장하는 도깨비 세계관 속 치킨집 촬영지다.,네이버URL
st_05225,도깨비,환일고등학교,서울 마포구 환일길 48,37.554091,126.960892,7화에서 수능을 마친 지은탁(김고은)이 교문을 내려오는 장면 촬영지다.,네이버URL
st_05226,도깨비,신촌설렁탕앞,서울 서대문구 대신동 143-24,37.560454,126.941431,10화에서 김신(공유)과 저승사자(이동욱)는 지은탁(김고은)을 위해 파(대파)를 사준 뒤 이 터널을 활주로를,네이버URL
st_05227,도깨비,토끼굴,서울 서대문구 신촌동 81-19,37.560241,126.941720,10화에서 김신(공유)과 저승사자(이동욱)는 지은탁(김고은)을 위해 파(대파)를 사준 뒤 이 터널을 활주로를,네이버URL
st_05228,도깨비,베스킨라빈스,서울 서초구 강남대로 331,37.492626,127.029588,7화에서 태희와 데이트하던 지은탁을 저승사자가 찾아오는 아이스크림 가게.,네이버URL
st_05231,도깨비,홍익대부속중고등학교입구,서울 성북구 성북로 66,37.593393,127.001707,2화 배경으로 지은탁(김고은)이 등장하는 버스정류장이다.,네이버URL
st_05232,도깨비,서브웨이,서울 영등포구 국회대로62길 25,37.526320,126.917717,7화에서 도깨비와 지은탁이 샌드위치를 주문해 먹는 장면 촬영지다.,네이버URL
st_05233,도깨비,국회의사당옆길,서울 영등포구 의사당대로 1,37.532912,126.916404,9화에서 지은탁이 도깨비의 집을 나와 빗속 거리를 걷는 장면 촬영지.,네이버URL
st_05235,도깨비,퍼스트루머,서울 종로구 계동길 125,37.582935,126.986776,지은탁(김고은)이 다니던 학교이다.,네이버URL
st_05243,도깨비,덕성여고앞,서울 종로구 안국동 177-2,37.577418,126.982538,"1, 2회에서 지은탁(김고은)이 1화에서 이 골목에서 하교하고 2화에서 율곡로3길에 들어서는 모습이 나온다.",네이버URL
st_05244,도깨비,북촌사진관앞,서울 종로구 윤보선길 65,37.578837,126.983084,"1, 2회에서 지은탁(김고은)이 1화에서 이 골목에서 하교하고 2화에서 율곡로3길에 들어서는 모습이 나온다.",네이버URL
st_05245,도깨비,스튜디오호세앞,서울 종로구 윤보선길 69,37.579087,126.983195,"11화에서 써니(유인나)와 지은탁(김고은)이 이곳에 온다.  써니는 은탁에게 전생을 믿느냐고 물었고, 그녀는",네이버URL
st_05246,도깨비,푸드떼옆,서울 종로구 율곡로1길 40-31,37.577787,126.981358,"11화에서 써니(유인나)와 지은탁(김고은)이 이곳에 온다.  써니는 은탁에게 전생을 믿느냐고 물었고, 그녀는",네이버URL
st_05248,도깨비,이니스프리앞,서울 종로구 율곡로3길 73,37.578822,126.982036,"11화에서 써니(유인나)와 지은탁(김고은)이 이곳에 온다.  써니는 은탁에게 전생을 믿느냐고 물었고, 그녀는",네이버URL
st_05249,도깨비,피케이엠북스앞,서울 종로구 율곡로3길 74-1,37.579013,126.982258,"11화에서 써니(유인나)와 지은탁(김고은)이 이곳에 온다.  써니는 은탁에게 전생을 믿느냐고 물었고, 그녀는",네이버URL
st_05250,도깨비,솔트24앞,서울 종로구 율곡로3길 75,37.578981,126.982068,"11화에서 써니(유인나)와 지은탁(김고은)이 이곳에 온다.  써니는 은탁에게 전생을 믿느냐고 물었고, 그녀는",네이버URL
st_05253,도깨비,달커피앞,서울 종로구 창신6가길 48,37.576082,127.012801,14화에서 비 오는 날 우산 쓴 지은탁을 귀신들이 지켜보는 골목 장면 촬영지.,네이버URL;장소사진
st_05255,도깨비,창신동골목,서울 종로구 창신동 23-407,37.576378,127.012880,12화에서 박중헌(김병철)이 궁녀 앞에 스스로 나타나는 골목 장면 촬영지.,네이버URL;장소사진
st_05256,도깨비,창신동집,서울 종로구 창신동 23-660,37.575972,127.011990,"11·13화에 등장한 써니(유인나)의 집으로, 옥상 등에서 촬영이 이뤄졌다.",네이버URL;장소사진
st_05257,도깨비,BBQ,서울 종로구 청계천로 81,37.568534,126.986587,11회에 사신(이동욱)과 써니(유인나)가 만난다.,네이버URL
st_05258,도깨비,갤러리원,서울 종로구 팔판길 1-12,37.582686,126.980467,11화에서 지은탁을 바라보며 기분 좋아진 도깨비 주변에 벚꽃이 날리는 장면.,네이버URL
st_05260,도깨비,덕수궁돌담길,서울 중구 덕수궁길 116,37.567558,126.973424,저승사자(이동욱) 사무실은 이 곳 궁전 벽 안에 있습니다. 김신(공유)이 1편과 14편에서 이곳을 지나며 잡,네이버URL
st_20429,도깨비,건국대학교(일감호),서울 광진구 능동로 120,37.543536094587516,127.07741635877292,은탁이 첫사랑을 다시 만나는 장면이 촬영된 곳,네이버URL
st_20431,도깨비,삼청동거리,서울 종로구 팔판동 67-1,37.5820641053666,126.981482777468,김신과 지은탁이 삼청동 거리를 함께 걸으며 대화를 나누는 데이트 장면,네이버URL
st_20432,도깨비,반포한강공원,서울 서초구 반포동 115-5,37.51081992690844,126.99716104081192,,장면설명
