id,기존명,정정명칭,네이버URL상태
st_04134,페어몬트 앰배서더 서울 마리포사 앤 M29,페어몬트 앰배서더 서울 마리포사,있음
st_04135,스위치22 여의도점,SWITCH22(스위치22),있음
st_04137,더리버 옆,THE RIVER 현대요트 서울지점,있음
st_04145,르가드더메인한남,르가든더메인한남(기존 '르가드'는 오탈자),있음
st_04148,소파로,CU 명동YWCA점(기존 '뉴명동'은 오류),있음
st_04150,앰배서더서울풀만 클럽앰배서더라운지,앰배서더 서울 풀만 호텔 클럽 앰배서더 라운지,없음
st_04160,그랜드워커힐 애스톤하우스,워커힐 호텔앤리조트 애스톤하우스,있음
st_04162,모트32서울,MOTT 32 SEOUL(모트 32 서울),있음
st_04193,오송생명1로(프레스티지바이오로직스앞),프레스티지바이오로직스(주) 오송제1캠퍼스,있음
st_04195,건지마을 풍경포인트,건지마을,있음
st_04199,인포 정육점식당,"안내식당(폐업, '정육점식당' 세트로 사용됨)",없음
st_04206,장항송림산림욕장,장항송림자연휴양림(장항송림산림욕장),있음
st_04236,엘포리캠핑장,엘포리글램핑,있음
st_04239,Fonte de Neptuno,Neptunbrunnen(넵튠 분수),없음
st_04240,Botanischer Duftgarten,TAOASIS Botanischer Duftgarten,없음
st_04250,Nikolassee,Bahnhof Nikolassee(니콜라쎄역),없음
st_04251,Nervenzentrum Potsdam,L'Osteria Potsdam,없음
st_04260,Rooftop terrace at Hotel de Rome,Hotel de Rome (Rooftop Terrace),없음
st_04264,샤리테병원,"Charité – Universitätsmedizin Berlin, Campus Mitte",없음
st_20355,배팅연습장(남영역),BBM야구장,있음
st_05222,BBQ,BBQ치킨 대청점,있음
st_05228,베스킨라빈스,폐업 - 현재는 광일프라자 건물에 올리브영 서초우성점·손상원클라이밍짐 강남역점 등 입점,없음
st_05231,홍익대부속중고등학교입구,홍익대부속중고등학교입구(버스정류장),있음
st_05232,서브웨이,써브웨이 여의도KBS본관점,있음
st_05233,국회의사당옆길,국회의사당,있음
st_05235,퍼스트루머,하루,있음
st_05245,스튜디오호세앞,희녹 북촌 플래그십 스토어,있음
st_05246,푸드떼옆,푸드떼,있음
st_05248,이니스프리앞,SVA Seoul Office / 앤드류장 갤러리,있음
st_05249,피케이엠북스앞,배스킨라빈스 삼청마당점,있음
st_05250,솔트24앞,솔트24 북촌점,있음
st_05213,인천의료원 앞 횡단보도,인천광역시의료원,있음
st_05214,투모로우시티 앞,인천스타트업파크(구 투모로우시티),있음
st_05220,홈누리마트 부개점,한샘마트(구 홈누리마트 부개점 추정),있음
st_05253,달커피앞,창신동달커피,있음
st_05257,BBQ,할리스 청계천점(구 BBQ 종로관철점 자리),있음
st_05258,갤러리원,갤러리1,있음
st_20431,삼청동거리,삼청동문화거리,있음
st_15313,오토바이사고거리,상암 구름산추어탕(마포구 성암로13길38) 앞 골목,있음
st_15314,장가포차(만만코코로),만만코코로 홍대점,있음
st_15315,코다차야,코다차야 홍대점(폐업 확인),없음
st_15318,녹사평육교,녹사평 육교,있음
st_15321,단밤1호점,"서울밤(구 단밤포차, 한때 '탄밤' 임시간판)",있음
st_15322,디펜스거리,크리스피포크타운(구 겸손한술집),있음
st_15323,노리테이블,"노리테이블(2020년 실제 상호, 현재는 후렌드치킨)",있음
st_15324,마루쿠식당/조이의공간,이태원모먼트(Itaewon Moment),있음
st_15325,수아네집(뉴일무이),뉴일무이,있음
st_15327,단밤2호점(오리올),"어반클리프(구 오리올, 가수 정엽 운영 카페)",있음
st_15328,꿀밤포차,꿀밤(원작자·각본가 운영 실제 상호),있음
st_15330,천사의날개,잭스바(Jack's Bar),있음
st_15331,싸대기골목,프릭스(싸대기골목 앵커 상가),있음
st_15332,라운지클럽(펌킨),어썸스피릿 이태원별밤(구 클럽 펌킨),없음
st_15333,더파이니스트,선셋무드(Sunset Mood·구 더파이니스트 자리 추정),있음
st_15334,놀이터(창의어린이공원),이태원어린이놀이터공원,있음
st_15335,단밤회식장소(더부스 광화문),더부스 광화문점(폐업 추정),없음
st_20821,1기 단밤(언덕집소곱창),서울밤(구 언덕집소곱창·단밤1호점 촬영지),있음
st_20822,클리프 서울(2기 단밤),어반클리프(URBAN CLIFF·구 오리올),있음
st_20823,게우지코지,게우지코지 카페,있음
st_20824,만만코로코로(장가포차),만만코코로 홍대점,있음
mv_6958_04,코엑스 K팝 스퀘어,코엑스 K-POP 광장(K-POP SQUARE MEDIA),없음
mv_6958_07,자양역,자양역(7호선),있음
mv_6958_12,삼청동거리,삼청동길,있음
