id,title,title_aliases,title_category,title_cast,place_name,place_type,place_address,place_latitude,place_longitude,place_image_url,place_naver_url,scene_description,source_url,last_updated
new_킹덤_001,킹덤,Kingdom,drama,주지훈;배두나;류승룡,창경궁,고궁/관광명소,서울 종로구 창경궁로 185,37.579417,126.995200,,,명정전·통명전 등에서 왕비의 침전 장면 등이 촬영됨,https://mediahub.seoul.go.kr/news/article/newsArticlePrintPopup.do?articleNo=2000747,2026-07-30
new_킹덤_002,킹덤,Kingdom,drama,주지훈;배두나;류승룡,창덕궁,고궁/관광명소,서울 종로구 율곡로 99,37.579647,126.991000,,,"시즌1 주요 궁궐 장면, 관람지(연못)가 시신 은닉 장소로 등장",https://thc-masilgada.thehappycircuitgroup.workers.dev/ko/works/kingdom/,2026-07-30
new_킹덤_003,킹덤,Kingdom,drama,주지훈;배두나;류승룡,경복궁,고궁/관광명소,서울 종로구 사직로 161,37.577613,126.976898,,,극중 궁궐 장면 촬영지,https://m.blog.naver.com/violent6249/223635008102,2026-07-30
new_킹덤_004,킹덤,Kingdom,drama,주지훈;배두나;류승룡,문경새재 제1관문 주흘관,관문/유적,경북 문경시 문경읍 상초리 521,36.768441,128.075218,,,"후반부 한양으로 향하는 관문으로 등장, 사극 공성전 촬영에 자주 쓰이는 장소",https://thc-masilgada.thehappycircuitgroup.workers.dev/ko/works/kingdom/,2026-07-30
new_킹덤_005,킹덤,Kingdom,drama,주지훈;배두나;류승룡,문경새재 제2관문 조곡관,관문/유적,경북 문경시 문경읍 상초리 산42-36,36.789583,128.065686,,,제1관문에 이어 한양으로 가는 경로로 등장,https://thc-masilgada.thehappycircuitgroup.workers.dev/ko/works/kingdom/,2026-07-30
new_킹덤_006,킹덤,Kingdom,drama,주지훈;배두나;류승룡,문경새재 오픈세트장,촬영세트장,경북 문경시 문경읍 새재로 1037,36.771400,128.074072,,,"7만㎡ 부지에 130여 동을 지은 사극 세트, 궁궐 외경 촬영에 사용",https://thc-masilgada.thehappycircuitgroup.workers.dev/ko/works/kingdom/,2026-07-30
new_킹덤_007,킹덤,Kingdom,drama,주지훈;배두나;류승룡,부안영상테마파크,촬영세트장,전북 부안군 변산면 격포로 309-64,35.621807,126.485383,,,실제 궁궐의 전기 시설 문제로 대전 내부 장면을 이 세트에서 촬영,https://thc-masilgada.thehappycircuitgroup.workers.dev/ko/works/kingdom/,2026-07-30
new_킹덤_008,킹덤,Kingdom,drama,주지훈;배두나;류승룡,화성행궁,고궁/관광명소,경기 수원시 팔달구 정조로 825,37.281914,127.014041,,,음양 문양이 있는 문이 겹겹이 열리는 장면 촬영,https://thc-masilgada.thehappycircuitgroup.workers.dev/ko/works/kingdom/,2026-07-30
new_킹덤_009,킹덤,Kingdom,drama,주지훈;배두나;류승룡,원대리자작나무숲,숲/자연경관,강원 인제군 인제읍 원대리 산75-22,37.988191,128.198988,,,자작나무숲의 분위기를 활용한 자연 배경 장면,https://thc-masilgada.thehappycircuitgroup.workers.dev/ko/works/kingdom/,2026-07-30
new_킹덤_010,킹덤,Kingdom,drama,주지훈;배두나;류승룡,내연산 12폭포,폭포/자연경관,경북 포항시 북구 송라면 중산리 산97,36.252360,129.311061,,,자연 계곡·폭포 풍경 장면 촬영지,https://m.blog.naver.com/violent6249/223635008102,2026-07-30
new_킹덤_011,킹덤,Kingdom,drama,주지훈;배두나;류승룡,황매산,산/자연경관,경남 합천군 가회면 둔내리 산219,35.494292,127.974661,,,산 능선을 배경으로 한 장면 촬영지,https://m.blog.naver.com/violent6249/223635008102,2026-07-30
new_킹덤_012,킹덤,Kingdom,drama,주지훈;배두나;류승룡,비둘기낭폭포(한탄강),폭포/자연경관,경기 포천시 영북면 대회산리 415-2,38.079883,127.217035,,,한탄강 협곡 바위 지형을 활용한 장면 촬영지,https://m.blog.naver.com/violent6249/223635008102,2026-07-30
new_킹덤_013,킹덤,Kingdom,drama,주지훈;배두나;류승룡,안동 하회마을 부용대,전망지/유적,경북 안동시 풍천면 광덕솔밭길 72,36.542852,128.516615,,,시즌2에서 조씨 가문 사저 배경으로 사용된 하회마을 조망 장면,https://m.blog.naver.com/violent6249/223635008102,2026-07-30
new_킹덤_014,킹덤,Kingdom,drama,주지훈;배두나;류승룡,전주한옥마을,한옥마을/관광지,전북 전주시 완산구 풍남동3가 63-1,35.814777,127.152557,,,시즌1에서 조선시대 도성 풍경으로 활용된 장면,https://m.blog.naver.com/violent6249/223635008102,2026-07-30
new_킹덤_015,킹덤,Kingdom,drama,주지훈;배두나;류승룡,남양주종합촬영소,촬영세트장,경기 남양주시 조안면 북한강로855번길 138,37.604002,127.322515,,,조선시대 왕궁 재현 세트 촬영지,https://m.blog.naver.com/violent6249/223635008102,2026-07-30
new_킹덤_016,킹덤,Kingdom,drama,주지훈;배두나;류승룡,순천드라마촬영장,촬영세트장,전남 순천시 비례골길 24,34.957084,127.538034,,,동래현 감영(선혜청)으로 묘사된 촬영지,https://m.blog.naver.com/violent6249/223635008102,2026-07-30
new_킹덤_017,킹덤,Kingdom,drama,주지훈;배두나;류승룡,화암동굴,동굴/관광지,강원 정선군 화암면 화암리 산213-1,37.349007,128.794188,,,동굴 내부 장면 촬영지,https://m.blog.naver.com/violent6249/223635008102,2026-07-30
new_킹덤_018,킹덤,Kingdom,drama,주지훈;배두나;류승룡,헤이리예술마을,예술마을/관광지,경기 파주시 탄현면 헤이리마을길 70-21,37.788041,126.699304,,,예술마을 배경 촬영지,https://m.blog.naver.com/violent6249/223635008102,2026-07-30
