id,place_name,scene_description,desc_source_url
st_13192,비단길현대시장(호남수산),재래시장 안 수산물 가게가 극 중 '할머니 가게'로 등장하는 장면을 촬영한 곳이다.,https://blog.naver.com/hsc_one1/223705879613
st_13193,신도림로11다길,구로구 신도림동 공장지대 골목길이 딱지남을 쫓는 1화 추격 장면의 배경으로 촬영되었다.,https://blog.naver.com/hsc_one1/223706199861
st_13194,경일워터젯,1화 딱지남 추격 장면에서 구로구 신도림동 경일워터젯 앞 골목이 배경으로 등장한다.,https://blog.naver.com/hsc_one1/223706199861
st_13195,보성금형사,1화 추격 장면에서 구로구 신도림동 공장지대의 보성금형 건물 외관이 배경으로 등장한다.,https://blog.naver.com/hsc_one1/223706199861
st_13196,풍아산업앞,구로구 신도림동 공장지대 골목길이 딱지남을 쫓는 1화 추격 장면의 배경으로 촬영되었다.,https://blog.naver.com/hsc_one1/223706199861
st_13197,서강대교,,
st_13198,가온문화공원 사거리,상암동 가온문화공원 일대가 추격전 장면의 배경으로 촬영된 것으로 확인된다.,https://blog.naver.com/hsc_one1/223705879613
st_13199,월드컵북로60길,월드컵북로 도로변이 추격전 장면의 배경으로 촬영된 것으로 확인된다.,https://blog.naver.com/hsc_one1/223705879613
st_13200,성암로,,
st_13201,양화로,홍대 앞 양화로 일대가 추격전 장면의 배경으로 촬영된 것으로 확인된다.,https://blog.naver.com/hsc_one1/223705879613
st_13202,연세안경앞,,
st_13203,산장앞,프런트맨을 쫓는 인물들이 리무진을 타는 장소로 상수역 인근 전집 '산장' 앞 골목이 등장한다.,https://blog.naver.com/hsc_one1/223705879613
st_13204,엔비,클럽 'CLUB HDH'로 등장하는 촬영지는 서교동의 클럽 NB2(엔비)다.,https://blog.naver.com/location_info/223706850010
st_13205,이태원로,,
st_13206,한강진역,성기훈이 딱지남(공유)을 찾아 여러 지하철역을 헤매는 장면에 한강진역이 등장한다.,https://blog.naver.com/hsc_one1/223706199861
st_13207,버티고개역,성기훈이 딱지남(공유)을 찾아 여러 지하철역을 헤매는 장면에 버티고개역이 등장한다.,https://blog.naver.com/hsc_one1/223705879613
st_13208,23번지 남산돈까스본점 옆건물,,
st_13209,금성루,1화에서 강력계 복귀를 명령받는 황준호의 장면을 충무로 중식당 '금성루'에서 촬영했다.,https://blog.naver.com/hsc_one1/223706199861
st_13210,충무로,교통경찰 황준호가 스티커를 발부하던 충무로 대림상가 우체국 앞 거리가 배경으로 등장한다.,https://blog.naver.com/hsc_one1/223706199861
st_13211,을지로,을지로20길 보도육교 일대가 1화 배경 장면으로 촬영되었다.,https://blog.naver.com/hsc_one1/223706199861
st_13212,약수역,성기훈이 딱지남(공유)을 찾아 여러 지하철역을 헤매는 장면에 약수역이 등장한다.,https://blog.naver.com/hsc_one1/223705879613
st_13213,청구역,성기훈이 딱지남(공유)을 찾아 여러 지하철역을 헤매는 장면에 청구역이 등장한다.,https://blog.naver.com/hsc_one1/223705879613
st_13214,종각역,1화에서 새로운 참가자를 찾는 딱지남(공유)을 발견하는 장면을 종각역에서 촬영했다.,https://blog.naver.com/hsc_one1/223706199861
st_13215,뚜레쥬르 종로점,1화에서 공유가 단팥빵을 사는 장면을 뚜레쥬르 종로점에서 촬영했다.,https://blog.naver.com/location_info/223706850010
st_13216,탑골공원,공유가 단팥빵과 복권을 사서 향하는 장소로 종로 탑골공원이 등장한다.,https://blog.naver.com/location_info/223706850010
st_13217,종로슈퍼,공유가 복권을 사는 복권방으로 나들가게 종로슈퍼가 등장한다.,https://blog.naver.com/location_info/223706850010
st_13218,종로구,,
