id,place_name,scene_description,desc_source_url
st_15250,교대이층집 상암점,,
st_15251,커피빈 앞,극 중 교통사고가 발생하는 장면의 배경이 되는 장소,https://blog.naver.com/hsc_one1/223293857873
st_15252,합정역스퀘어리버뷰어피스텔,,
st_15253,미원빌딩,극 중 이재가 빌딩 옥상에서 투신해 죽음(박소담)을 만나는 장면,https://blog.naver.com/hsc_one1/223293857873
st_15254,연남장,,
st_15255,서소문아파트,,
st_15256,어도횟집,,
st_15257,약현성당,,
st_15258,본동 집,극 중 이재가 홀로 지내는 옥탑방 자취방으로 등장하는 장면,https://blog.naver.com/hsc_one1/223293857873
st_15259,북파크라운지,,
st_15260,중앙고등학교,,
st_15261,종각역4번출구,,
st_15262,동대문종합시장,극 중 오토바이로 건물 옥상을 점프하는 액션 장면의 배경,https://blog.naver.com/hsc_one1/223293857873
st_15263,신설동종합시장 우성빌딩,,
st_15264,서울시립대 경농관 앞,,
st_15265,녹천역,,
st_15266,청담대교,극 중 이재가 부모님을 떠올리며 독백하는 장면의 배경이 되는 다리,https://blog.naver.com/hsc_one1/223293857873
st_15267,파르나스타워,극 중 이재가 대표가 된 태강그룹 본사 빌딩 외경으로 등장하는 장면,https://blog.naver.com/hsc_one1/223293857873
st_15268,테헤란로,,
st_15269,산곡동,극 중 간판 사고가 발생하는 장면의 배경이 되는 곳,https://blog.naver.com/hsc_one1/223293857873
st_15270,파라다이스시티,,
st_15271,인천차이나타운,,
st_15272,인천배다리 헌책방거리,,
st_15273,아로이카,,
st_15274,신명여고,극 중 이재가 다니는 영원고등학교 운동장 배경으로 등장하는 장면,https://blog.naver.com/hsc_one1/223293857873
st_15275,현대프리미엄아울렛 송도점,극 중 오토바이로 질주하는 액션 장면의 배경이 되는 아울렛,https://blog.naver.com/hsc_one1/223293857873
st_15276,의정부공업고등학교,극 중 영원고등학교 정문 배경으로 등장하는 장면,https://blog.naver.com/hsc_one1/223293857873
st_15277,아일랜드캐슬 그랜드볼룸,,
st_15278,아다마스253,극 중 이재가 아르바이트하던 카페에서 지수(고윤정)를 만나는 장면,https://blog.naver.com/hsc_one1/223293857873
st_15279,조이마당스튜디오,극 중 병원·경찰서·법원 세트 배경으로 사용된 스튜디오,https://blog.naver.com/hsc_one1/223293857873
st_15280,시장거리길,,
st_15281,팜스프링아파트 상가,,
st_15282,운정역,,
st_15283,청아공원,극 중 이재의 납골당(추모공원)으로 등장하는 장면,https://blog.naver.com/hsc_one1/223293857873
st_15284,고양종합터미널,,
st_15285,미그웨치 앞,,
st_15286,진솔그린프라자 앞,,
st_15287,백양빌딩,,
st_15288,아쿠아필드 고양,,
st_15289,GS25 김포아라점,,
st_15290,워커힐애스턴하우스,,
st_15291,양평추모공원 더포레,,
st_15292,석현전원마을 주택,,
st_15293,평택역1번출구,극 중 영산역으로 등장하는 장면의 배경이 되는 역 앞 거리,https://blog.naver.com/hsc_one1/223293857873
st_15294,더체어펜션,6화에서 정규철의 작업실 외경으로 등장하는 장면,https://blog.naver.com/dlditgh999/223313727675
st_15295,신남방파제,,
st_15296,제천경찰서,,
st_15297,스카이다이빙센터 충주,2화에서 익스트림 스포츠 선수 송재섭(성훈)이 비행기에서 뛰어내리는 스카이다이빙 장면,https://blog.naver.com/okkorea0/224264769302
st_15298,단양클레이사격장,,
st_15299,보령청보리밭,마지막회에서 엄마가 된 이재가 생을 마감하는 장면의 배경이 된 카페,https://blog.naver.com/uiloveym/223321111059
st_15300,마크원에비뉴,극 중 오토바이로 질주하는 장면의 배경이 되는 복합쇼핑몰,https://blog.naver.com/hsc_one1/223293857873
st_15301,태조로,,
st_15302,태조로(2),,
st_15303,경기전길,,
st_15304,최명희길,극 중 이재와 지수의 추억이 담긴 데이트 골목으로 등장하는 장면,https://blog.naver.com/hsc_one1/223293857873
st_15305,장흥교도소,극 중 교도소 관련 장면의 배경으로 사용된 세트장,https://blog.naver.com/hsc_one1/223293857873
st_15306,경주 오봉산 마당바위,,
st_15307,태화강국가정원,8화에서 이재 어머니(김미경)가 숲길을 걷는 장면,https://blog.naver.com/ulsan_nuri/223365425619
st_15308,울산대교,2화에서 이주훈(장승조)이 오토바이로 추격전을 벌이다 폭발이 일어나는 장면,https://blog.naver.com/ulsan_nuri/223365425619
st_15309,이순신대로,,
st_15310,센텀서로,,
st_15311,센턴시티사거리,극 중 자동차 추격 액션 장면의 배경이 되는 사거리,https://blog.naver.com/hsc_one1/223293857873
