id,place_name,scene_description,desc_source_url
st_12002,헤이더그린,15화에서 모음이 연두에게 엄마가 되고 싶다는 진심을 고백하는 카페 장면,https://kdrama-nation.com/love-next-door-location/
st_12003,다이어메이커 상암,,
st_12004,동교로29길,,
st_12005,키스튜디오,,
st_12006,NGT빌딩,1화에서 귀국한 석류가 어릴 적 친구 승효와 혜릉목욕탕 앞에서 재회하는 장면,https://blog.naver.com/hsc_one1/223551564790
st_12007,NGT빌딩 옆골목,,
st_12008,제일크리닝,,
st_12009,성산로22길,,
st_12010,여의도한강공원,,
st_12011,여의도한강공원,,
st_12012,콘래드호텔,4화에서 아틀리에 인이 미국 그레이프사와 건축 협업 회의를 진행하는 장면,https://kdrama-nation.com/love-next-door-location/
st_12013,남산타워,4화에서 석류와 승효가 남산 사랑의 자물쇠를 함께 채우며 즐거워하는 장면,https://blog.naver.com/hsc_one1/223560757103
st_12014,남산공원길,,
st_12015,충현슈퍼 앞,,
st_12016,백범광장,,
st_12017,혜화경찰서,,
st_12018,감고당길,,
st_12019,감고당길 + 윤보선길,1화에서 석류가 승효의 손을 잡고 골목길을 함께 달리는 장면,https://kdrama-nation.com/love-next-door-location/
st_12020,보뜨 플라워앞,,
st_12021,소허당앞,,
st_12022,삼청로2길,,
st_12023,북촌로5길,,
st_12024,팔판길,,
st_12025,북촌로12길,,
st_12026,창덕궁길,,
st_12027,볼링장 정류장,,
st_12028,하우애니,2화에서 석류가 꽃집 앞에 열린 석류 열매를 가만히 바라보는 장면,https://kdrama-nation.com/love-next-door-location/
st_12029,왕짱구식당,1화에서 미국에서 돌아온 석류가 모음과 식사하고 남동생 동진을 만나는 장면,https://kdrama-nation.com/love-next-door-location/
st_12030,수연홈마트,2화에서 동네 사람들이 석류의 파혼 소식을 두고 수군거리는 장면,https://kdrama-nation.com/love-next-door-location/
st_12031,풍년식품 앞,,
st_12032,창덕궁로5길,,
st_12033,궁중음식연구원,6화에서 석류가 자신의 꿈을 찾아 한식 요리를 배우는 요리학원 장면,https://kdrama-nation.com/love-next-door-location/
st_12034,라파지블,9화에서 승효가 기운 없는 석류를 돕기 위해 찾아가는 꽃집 장면,https://kdrama-nation.com/love-next-door-location/
st_12035,청운공원,2화에서 승효와 석류가 함께 걸으며 옛 추억을 되새기는 공원 데이트 장면,https://blog.naver.com/hsc_one1/223552607281
st_12036,윤동주문학관잎,,
st_12037,한양도성 백악구간(와룡공원쪽),,
st_12038,북악산,,
st_12039,한국문예회관 골목,,
st_12040,낙산길,,
st_12041,마로화적,9화에서 승효가 석류를 데리고 가 함께 죽을 먹는 한옥 식당 장면,https://kdrama-nation.com/love-next-door-location/
st_12042,신전떡볶이 회기점,14화에서 새로 문을 연 떡볶이집의 모습이 나오는 장면,https://kdrama-nation.com/love-next-door-location/
st_12043,삼선교로4길,,
st_12044,구포국수앞,2화에서 승효와 단호가 폐지 수레를 끄는 할머니를 도와주는 장면,https://kdrama-nation.com/love-next-door-location/
st_12045,오동근린공원(월곡산),1화에서 미숙과 혜숙을 비롯한 네 명의 엄마들이 함께 등산하는 장면,https://kdrama-nation.com/love-next-door-location/
st_12046,삼양로141길(1),,
st_12047,우이동 주택,10화에서 모음이 다친 단호를 집에 데려다준 뒤 입맞춤하고 박치기하는 장면,https://blog.naver.com/redmee2/223588808342
st_12048,삼양로141길(2),,
st_12049,서울과학기술대학교 무궁관,11화에서 승효의 부모가 법원에 이혼 신고서를 제출하는 장면,https://kdrama-nation.com/love-next-door-location/
st_12050,대진고등학교,3화에서 석류가 모교 후배들에게 자신의 직장 경험을 들려주며 강연하는 장면,https://blog.naver.com/hsc_one1/223560112586
st_12051,건영스파밸리,"11화에서 모음과 연두, 모음의 엄마가 함께 찜질방을 찾아 시간을 보내는 장면",https://kdrama-nation.com/love-next-door-location/
st_12052,고반식당 수락산점,8화에서 단호와 모음이 소방서 동료들과 함께 술을 마시는 식당 장면,https://kdrama-nation.com/love-next-door-location/
st_12053,메가박스 성수,12화에서 연인이 된 승효와 석류가 함께 영화를 보러 가는 데이트 장면,https://kdrama-nation.com/love-next-door-location/
st_12054,서래섬,,
st_12055,보위그,2화에서 건축가 승효가 기자 단호의 인터뷰를 받는 카페 장면,https://kdrama-nation.com/love-next-door-location/
