id,place_name,scene_description,desc_source_url
st_03627,메이필드호텔,,
st_03628,YES24 강서NC점,극 중 주인공의 일상과 감정선을 보여주는 장면에 등장하는 대형 서점,https://m.blog.naver.com/tlsqhtjs20/224078703875
st_03629,바디프로짐 가양점,,
st_03630,YTN 옥상정원,,
st_03631,CJ ENM 구내식당,,
st_03632,"상암DMC푸르지오시티, S-City",,
st_03633,비엔나커피하우스 상암팬엔터점,,
st_03634,월드컵북로60길,,
st_03635,야식포차,,
st_03636,마포소금구이,,
st_03637,W락볼링장,인물들이 볼링을 치러 가는 장면의 배경으로 등장하는 볼링장,https://m.blog.naver.com/hsc660312/223309778387
st_03638,T12,,
st_03639,미래하이빌,극 중 강지원의 집 앞 벚나무가 있는 골목으로 등장하는 장면,https://m.blog.naver.com/hsc660312/223309778387
st_03640,상수나루소공원,,
st_03641,채그로,,
st_03642,문래동 골목,,
st_03643,일흥정공 앞,,
st_03644,서강대교,,
st_03645,씨티플라자 앞,,
st_03646,콘래드서울,16화(최종회)에서 지원과 지혁이 성대한 결혼식을 올리는 예식장으로 나오는 장면,https://m.blog.naver.com/redmee2/223360074934
st_03647,IFC몰,극 중 지원이 다니는 U&K푸드 회사 사옥으로 등장하는 건물,https://m.blog.naver.com/redmee2/223313674280
st_03648,여의대로 IFC쪽,,
st_03649,마호가니 여의도점,,
st_03650,서울로인 여의도점,3화에서 부산 태하고 동창회 장소 '고슬정' 식당 내부로 나오는 장면,https://m.blog.naver.com/redmee2/223317178885
st_03651,롯데캐슬아이비아파트 앞,,
st_03652,노량진근린공원,,
st_03653,노들섬,,
st_03654,땡땡거리꼬꼬닭,극 중 '튀겨봐치킨'이라는 치킨집 배경으로 등장하는 장면,https://m.blog.naver.com/hsc660312/223309778387
st_03655,모아시스템 앞,,
st_03656,새창로49길 지하도,,
st_03657,아베크부,,
st_03658,서울로 PH,12화에서 지원이 어릴 때 집 나간 엄마와 재회하는 카페 장면,https://m.blog.naver.com/redmee2/223348306250
st_03659,만리재로,,
st_03660,르메르디앙 서울명동,3화에서 부산 태하고 동창회 장소 '고슬정' 건물 입구로 나오는 장면,https://m.blog.naver.com/redmee2/223317178885
st_03661,에스헤어앞,,
st_03662,우리안치킨,,
st_03663,한국의집,극 중 '운청각'이라는 한옥 국밥집 배경으로 등장하는 장면,https://m.blog.naver.com/hsc660312/223309778387
st_03664,들국화떡볶이,,
st_03665,마호가니 광화문 케이스퀘어시티점,,
st_03666,을지로입구역2번출구 앞,,
st_03667,청계천 광통교,두 사람의 감정선이 미묘하게 흐르는 장면에서 등장하는 청계천과 광통교,https://m.blog.naver.com/tlsqhtjs20/224078703875
st_03668,심산애,5화에서 대학 시절 취한 지원과 지혁이 처음 마주치는 거리로 나오는 장면,https://m.blog.naver.com/redmee2/223322661633
st_03669,청운공원,5화에서 지혁이 지원을 위협하는 민환을 제압하고 사랑을 고백하는 놀이터 장면,https://m.blog.naver.com/redmee2/223324500549
st_03670,미쉬매쉬,1화에서 지원이 자신을 구해준 지혁에게 국밥을 대접하는 식당 장면,https://m.blog.naver.com/redmee2/223314601425
st_03671,오공팔샵,,
st_03672,서울시립대학교 자작마루,5화에서 지혁이 운동하는 유도관과 지원이 길고양이를 돌보는 계단 옆으로 나오는 장면,https://m.blog.naver.com/redmee2/223335510265
st_03673,서울시립대학교 대강당앞,8화에서 지혁이 차에 치일 뻔한 고양이를 구하다 다치는 장면의 배경,https://m.blog.naver.com/redmee2/223335510265
st_03674,비스타워커힐서울,12화에서 오유라가 지혁과 지원이 함께 찍힌 사진을 보고 분노하는 호텔 장면,https://m.blog.naver.com/redmee2/223348333441
st_03675,파크캐슬9,극 중 강지원의 집 '뉴스타빌'로 등장하는 아파트,https://m.blog.naver.com/hsc660312/223309778387
st_03676,서울가정법원,,
st_03677,빌라 디 메트로시티,,
st_03678,머스트잇,극 중 인물이 명품 핸드백을 사러 방문하는 장면의 배경,https://m.blog.naver.com/hsc660312/223309778387
st_03679,잠원한강공원 제1주차장,,
st_03680,29펍 4호점,5화에서 지원이 첫사랑 은호를 만나 위조 편지를 확인하는 술집 장면,https://m.blog.naver.com/redmee2/223325376248
st_03681,엘빈에비뉴,15화에서 지혁이 수민에게 접근해 한 팀을 제안하는 호텔 바 장면,https://m.blog.naver.com/redmee2/223359357683
st_03682,복싱인사이드짐 역삼직영점,13화에서 유라가 민환에게 지원을 죽이라고 사주하는 복싱장 장면,https://m.blog.naver.com/redmee2/223347511773
st_03683,미엘,,
st_03684,청담초등학교앞 버스정류장,,
