id,place_name,scene_description,desc_source_url
st_04123,옹달샘 합정감자탕,3화에서 백현우가 친구 양기와 함께 감자탕집에서 식사하는 장면,https://blog.naver.com/wooslov/223941965101
st_04124,양화대교,,
st_04125,서강대교,15~16화에서 현우와 해인이 예전 데이트 장소로 다시 등장하는 곳,https://blog.naver.com/hsc_one1/223422980768
st_04126,마포대교아래,,
st_04127,여의도공원,백현우가 친구들과 담소를 나누고 해인과 자신에 대한 악플에 화내던 장면,https://blog.naver.com/wooslov/223462135663
st_04128,콘래드서울,4화부터 은성 무리가 호텔 스위트룸에 모여 퀸즈그룹을 차지하려 작당모의하는 장면,https://blog.naver.com/redmee2/223403673424
st_04129,여의도IFC,16화에서 경영권을 되찾아 퀸즈그룹으로 돌아오는 장면,https://blog.naver.com/hs21589/223605940780
st_04130,여의도환승센터(3번승강장),,
st_04131,더현대서울 정류장,,
st_04132,더현대서울 YPHAUS라운지,10화에서 해인이 퀸즈그룹 회장 취임 기자회견 전 이곳에서 단장하는 장면,https://blog.naver.com/redmee2/223409870842
st_04133,더현대서울,홍해인이 사장으로 백현우가 법무팀장으로 근무하는 퀸즈백화점의 배경으로 나오는 곳,https://blog.naver.com/redmee2/223377301261
st_04134,페어몬트 앰배서더 서울 마리포사 앤 M29,9화에서 수철과 다혜가 마리포사 앤 M29에서 소개팅하는 장면,https://blog.naver.com/micha_ellla/223422066937
st_04135,스위치22 여의도점,1화에서 백현우가 홍해인을 기다리는 장면이 촬영된 한강뷰 라운지,https://blog.naver.com/dainstar_/223438403207
st_04136,미림분식,2화에서 백현우가 친구 양기와 즉석떡볶이를 먹는 장면이 촬영된 곳,https://blog.naver.com/etcsc469/223704570324
st_04137,더리버 옆,,
st_04138,동작대교 아래,윤은성에게 빼앗긴 회사를 되찾기 위해 반격을 시도하는 백현우 장면이 촬영된 동작대교 일대,https://blog.naver.com/hs21589/223573850940
st_04139,서울드래곤시티 랑데부,10화에서 홍해인이 윤은성의 협박을 폭로하는 기자회견장 장면이 촬영된 곳,https://blog.naver.com/redmee2/223409347126
st_04140,데이터세이브 용산지점,6화에서 백현우가 데이터 복구를 요청하는 장면이 촬영된 곳,https://blog.naver.com/ggemma7/223394925343
st_04141,용산전자상가 제4공영주차장,,
st_04142,회나무식당,8화에서 백현우와 홍해인이 국밥(두루치기)을 먹는 장면이 촬영된 곳,https://blog.naver.com/friendamy/223614505751
st_04143,몬드리안서울 이태원,14화에서 백현우와 홍해인이 독일에서 브런치를 먹는 장면이 촬영된 곳,https://blog.naver.com/etcsc469/223704570324
st_04144,그랜드하얏트서울 테니스장,4화에서 홍만대 회장과 동거녀 모슬희가 테니스를 치는 장면이 촬영된 곳,https://blog.naver.com/redmee2/223405953505
st_04145,르가드더메인한남,5화에서 홀로 독일로 떠나려는 홍해인을 고모 범자가 뒤쫓는 주차장 장면이 촬영된 곳,https://blog.naver.com/redmee2/223405062178
