id,title,title_aliases,title_category,title_cast,place_name,place_type,place_address,place_latitude,place_longitude,place_image_url,place_naver_url,scene_description,source_url,last_updated
,나쁜엄마,The Good Bad Mother,drama,라미란;이도현;안은진,파크준오피스텔 뒷골목,거리,서울 서대문구 이화여대3길 14,,,,,,https://kdramamap.com/location/%eb%82%98%ec%81%9c%ec%97%84%eb%a7%88-%ed%8c%8c%ed%81%ac%ec%a4%80%ec%98%a4%ed%94%bc%ec%8a%a4%ed%85%94-%eb%92%b7%ea%b3%a8%eb%aa%a9-3201/,2026-07-30
,나쁜엄마,The Good Bad Mother,drama,라미란;이도현;안은진,아현시장,시장,서울 마포구 굴레방로9길 8-9,,,,,,https://kdramamap.com/location/%eb%82%98%ec%81%9c%ec%97%84%eb%a7%88-%ec%95%84%ed%98%84%ec%8b%9c%ec%9e%a5-3203/,2026-07-30
,나쁜엄마,The Good Bad Mother,drama,라미란;이도현;안은진,알로프트 서울 명동,호텔/숙박,서울 중구 남대문로 56,,,,,,https://kdramamap.com/location/%eb%82%98%ec%81%9c%ec%97%84%eb%a7%88-%ec%95%8c%eb%a1%9c%ed%94%84%ed%8a%b8-%ec%84%9c%ec%9a%b8%eb%aa%85%eb%8f%99-%eb%a3%a8%ed%94%84%ed%83%91-3205/,2026-07-30
,나쁜엄마,The Good Bad Mother,drama,라미란;이도현;안은진,엘리에나호텔,호텔/숙박,서울 강남구 논현로 645,,,,,,https://kdramamap.com/location/%eb%82%98%ec%81%9c%ec%97%84%eb%a7%88-%ec%97%98%eb%a6%ac%ec%97%90%eb%82%98%ed%98%b8%ed%85%94-3209/,2026-07-30
,나쁜엄마,The Good Bad Mother,drama,라미란;이도현;안은진,그랜드 인터컨티넨탈 서울 파르나스,호텔/숙박,서울 강남구 테헤란로 521,,,,,,https://kdramamap.com/location/%eb%82%98%ec%81%9c%ec%97%84%eb%a7%88-%ea%b7%b8%eb%9e%9c%eb%93%9c-%ec%9d%b8%ed%84%b0%ec%bb%a8%ed%8b%b0%eb%84%a8%ed%83%88-%ec%84%9c%ec%9a%b8-%ed%8c%8c%eb%a5%b4%eb%82%98%ec%8a%a4-3213/,2026-07-30
,나쁜엄마,The Good Bad Mother,drama,라미란;이도현;안은진,인하대학교,학교,인천 미추홀구 인하로 100,,,,,,https://kdramamap.com/location/%eb%82%98%ec%81%9c%ec%97%84%eb%a7%88-%ec%9d%b8%ed%95%98%eb%8c%80%ed%95%99%ea%b5%90-3215/,2026-07-30
,나쁜엄마,The Good Bad Mother,drama,라미란;이도현;안은진,자유로통일리그 성동구장,체육시설,경기 파주시 탄현면 성동리 709,,,,,,https://kdramamap.com/location/%eb%82%98%ec%81%9c%ec%97%84%eb%a7%88-%ec%9e%90%ec%9c%a0%eb%a1%9c%ed%86%b5%ec%9d%bc%eb%a6%ac%ea%b7%b8-%ec%84%b1%eb%8f%99%ea%b5%ac%ec%9e%a5-3220/,2026-07-30
,나쁜엄마,The Good Bad Mother,drama,라미란;이도현;안은진,아쿠아플라넷 일산,관광명소,경기 고양시 일산서구 한류월드로 282,,,,,,https://kdramamap.com/location/%eb%82%98%ec%81%9c%ec%97%84%eb%a7%88-%ec%95%84%ec%bf%a0%ec%95%84%ed%94%8c%eb%9d%bc%eb%84%b7-%ec%9d%bc%ec%82%b0-3224/,2026-07-30
,나쁜엄마,The Good Bad Mother,drama,라미란;이도현;안은진,수원 KT위즈파크,체육시설,경기 수원시 장안구 경수대로 893,,,,,,https://kdramamap.com/location/%eb%82%98%ec%81%9c%ec%97%84%eb%a7%88-%ec%88%98%ec%9b%90kt%ec%9c%84%ec%a6%88%ed%8c%8c%ed%81%ac-3229/,2026-07-30
,나쁜엄마,The Good Bad Mother,drama,라미란;이도현;안은진,오크밸리 피에트분하우스,호텔/숙박,강원특별자치도 원주시 지정면 오크밸리1길 95,,,,,,https://kdramamap.com/location/%eb%82%98%ec%81%9c%ec%97%84%eb%a7%88-%ec%98%a4%ed%81%ac%eb%b0%b8%eb%a6%ac-%ed%94%bc%ec%97%90%ed%8a%b8%eb%b6%84%ed%95%98%ec%9a%b0%ec%8a%a4-3231/,2026-07-30
