id,title,title_aliases,title_category,title_cast,place_name,place_type,place_address,place_latitude,place_longitude,place_image_url,place_naver_url,scene_description,source_url,last_updated
,나의 아저씨,My Mister,drama,이선균;아이유;박호산,백빈건널목(삼각지 철길건널목),철길/건널목,서울 용산구 한강로3가 40-1007,37.525112,126.960790,,,이지안과 박동훈이 자주 오가며 대화를 나누는 철길 건널목 장면,https://mediahub.seoul.go.kr/archives/1261894,2026-07-30
,나의 아저씨,My Mister,drama,이선균;아이유;박호산,신정네거리역(후계역),지하철역,서울 양천구 중앙로 지하 261,37.520223,126.852890,,,극중 후계역 배경으로 등장하는 신정네거리역 인근 거리 장면,https://soo619.tistory.com/513,2026-07-30
,나의 아저씨,My Mister,drama,이선균;아이유;박호산,정희네(정희의 집·편의점),주택/상점,인천 제물포구 제물량로341번길 43,37.482798,126.619095,,,정희의 집이자 편의점으로 등장하는 장면(4화),https://ififollowme.blogspot.com/2019/10/my-mister-jung-hees-house.html,2026-07-30
,나의 아저씨,My Mister,drama,이선균;아이유;박호산,국립중앙도서관,도서관,서울 서초구 반포대로 201,37.497423,127.003227,,,이지안이 박동훈에 대한 정보를 찾기 위해 방문하는 장면,https://walkingnear.com/드라마-나의-아저씨-촬영지-추천-삼각동-골목길/,2026-07-30
,나의 아저씨,My Mister,drama,이선균;아이유;박호산,팔달공원,공원,경기 수원시 팔달구 팔달산로 108,37.277604,127.010365,,,이지안이 할머니가 탄 이동카트를 끌고 지나가는 장면(1화),https://ififollowme.blogspot.com/2019/05/my-mister-paldal-park.html,2026-07-30
,나의 아저씨,My Mister,drama,이선균;아이유;박호산,낙산공원,공원,서울 종로구 낙산길 41,37.580570,127.007522,,,등장인물들이 서울 야경을 보며 대화를 나누는 장면,https://ififollowme.blogspot.com/2019/05/my-mister-filming-locations.html,2026-07-30
,나의 아저씨,My Mister,drama,이선균;아이유;박호산,운현궁,고궁,서울 종로구 삼일대로 464,37.576226,126.987086,,,,https://ififollowme.blogspot.com/2019/05/my-mister-filming-locations.html,2026-07-30
,나의 아저씨,My Mister,drama,이선균;아이유;박호산,세종문화회관,문화시설,서울 종로구 세종대로 175,37.572595,126.975779,,,,https://ififollowme.blogspot.com/2019/05/my-mister-filming-locations.html,2026-07-30
,나의 아저씨,My Mister,drama,이선균;아이유;박호산,광화문광장,광장,서울 종로구 세종로 1-68,37.572603,126.976916,,,,https://ififollowme.blogspot.com/2019/05/my-mister-filming-locations.html,2026-07-30
,나의 아저씨,My Mister,drama,이선균;아이유;박호산,한강대교,대교,서울 용산구 이촌동 327,37.515850,126.957645,,,,https://ififollowme.blogspot.com/2019/05/my-mister-filming-locations.html,2026-07-30
,나의 아저씨,My Mister,drama,이선균;아이유;박호산,정수사(강화),사찰,인천 강화군 화도면 해안남로1258번길 142,37.607782,126.445604,,,,https://ififollowme.blogspot.com/2019/05/my-mister-filming-locations.html,2026-07-30
,나의 아저씨,My Mister,drama,이선균;아이유;박호산,동호대교,대교,서울 성동구 옥수동 487,37.536324,127.021159,,,,https://ififollowme.blogspot.com/2019/05/my-mister-filming-locations.html,2026-07-30
,나의 아저씨,My Mister,drama,이선균;아이유;박호산,국제성모병원 장례식장,장례식장,인천 서구 심곡동 291,37.542743,126.684097,,,장례식장 배경으로 등장하는 장면(9화),https://ififollowme.blogspot.com/2019/05/my-mister-filming-locations.html,2026-07-30
