id,title,title_aliases,title_category,title_cast,place_name,place_type,place_address,place_latitude,place_longitude,place_image_url,place_naver_url,scene_description,source_url,last_updated
,내 남편과 결혼해줘,Marry My Husband,drama,박민영;나인우;송하윤,YES24 강서NC점,서점,서울특별시 강서구 강서로56길 17,37.559976256836194,126.8405121622669,,,지원(박민영)의 일상과 감정선을 보여주는 초반 장면에 등장하는 대형 서점,https://blog.naver.com/tlsqhtjs20/224078703875,2026-07-30
,내 남편과 결혼해줘,Marry My Husband,drama,박민영;나인우;송하윤,미쉬매쉬,레스토랑/카페,서울특별시 종로구 창덕궁길 47,37.579657603374145,126.9891454257945,,,남녀 주인공의 설레는 감정이 담긴 데이트 장면이 촬영된 레스토랑,https://blog.naver.com/tlsqhtjs20/224078703875,2026-07-30
,내 남편과 결혼해줘,Marry My Husband,drama,박민영;나인우;송하윤,청계천,하천/산책로,서울특별시 종로구 서린동 148,37.5691469686793,126.978647068151,,,두 사람의 감정선이 미묘하게 흐르는 장면이 촬영된 도심 하천,https://blog.naver.com/tlsqhtjs20/224078703875,2026-07-30
,내 남편과 결혼해줘,Marry My Husband,drama,박민영;나인우;송하윤,광통교,다리,서울특별시 종로구 서린동 43-3,37.568991500278955,126.98101060005325,,,3화에서 백은호가 강지원에게 고백하는 장면이 촬영된 다리,https://blog.naver.com/tlsqhtjs20/224078703875;https://smap.co.kr/contents/marry-my-husband,2026-07-30
,내 남편과 결혼해줘,Marry My Husband,drama,박민영;나인우;송하윤,일산호수공원,공원/호수,경기도 고양시 일산동구 호수로 595,37.6561360415672,126.764141543966,,,두 주인공의 로맨틱한 분위기를 담은 호수공원 산책 장면,https://blog.naver.com/tlsqhtjs20/224078703875,2026-07-30
,내 남편과 결혼해줘,Marry My Husband,drama,박민영;나인우;송하윤,을지로입구역,지하철역,서울특별시 중구 을지로 지하 42,37.566035517712955,126.9821953112953,,,드라마 속 일상적인 도심 지하철 장면이 촬영된 을지로 인근 역,https://blog.naver.com/tlsqhtjs20/224078703875,2026-07-30
,내 남편과 결혼해줘,Marry My Husband,drama,박민영;나인우;송하윤,IFC서울,오피스/쇼핑몰,서울특별시 영등포구 국제금융로 10,37.5250055230105,126.925874436207,,,지원이 근무하는 U&K푸드 사옥 외관과 로비로 등장하는 장면,https://blog.naver.com/redmee2/223313674280,2026-07-30
,내 남편과 결혼해줘,Marry My Husband,drama,박민영;나인우;송하윤,29펍 Tokyo Elegant 4호점,바/펍,서울특별시 강남구 강남대로110길 14,37.50375500787789,127.02606620105381,,,5화에서 지원이 첫사랑 은호를 만나 위조 편지를 확인하는 바 장면,https://blog.naver.com/redmee2/223325376248,2026-07-30
,내 남편과 결혼해줘,Marry My Husband,drama,박민영;나인우;송하윤,에디스키친(에스키스),레스토랑,경상남도 김해시 대청계곡길 46,35.1855923838434,128.788790318232,,,3화에서 은호가 수석 셰프로 일하는 레스토랑 베르테르로 등장하는 장면,https://blog.naver.com/redmee2/223316630944,2026-07-30
,내 남편과 결혼해줘,Marry My Husband,drama,박민영;나인우;송하윤,법기수원지,저수지/숲길,경상남도 양산시 동면 법기로 198-13,35.3479744338598,129.106296714053,,,7~8화 회사 워크샵 장면이 촬영된 편백나무 숲길 저수지,https://blog.naver.com/melchisedech91/223334906846;https://blog.naver.com/enffl_love/223356311252,2026-07-30
,내 남편과 결혼해줘,Marry My Husband,drama,박민영;나인우;송하윤,옥천횟집,음식점,부산광역시 영도구 중리남로 2-21,35.06776405919275,129.06589985557238,,,11화에서 두 주인공이 바닷가를 배경으로 함께 식사하는 장면,https://blog.naver.com/enffl_love/223356311252,2026-07-30
,내 남편과 결혼해줘,Marry My Husband,drama,박민영;나인우;송하윤,중리항방파제등대,방파제/등대,부산광역시 영도구 중리남로 2-13,35.06800443994839,129.06416750675834,,,11화에서 빨간 등대가 있는 방파제를 배경으로 등장하는 장면,https://blog.naver.com/enffl_love/223356311252,2026-07-30
,내 남편과 결혼해줘,Marry My Husband,drama,박민영;나인우;송하윤,다대포해수욕장,해수욕장,부산광역시 사하구 다대동,35.0465263488422,128.962741189119,,,11화의 바닷가 키스신이 촬영된 해수욕장,https://blog.naver.com/enffl_love/223356311252,2026-07-30
,내 남편과 결혼해줘,Marry My Husband,drama,박민영;나인우;송하윤,지혜의숲,도서관/문화공간,경기도 파주시 회동길 145,37.7084774354879,126.686785287675,,,마지막화에서 이사가 된 지원이 등장하는 다목적홀 장면,https://blog.naver.com/k635613/223360500052,2026-07-30
