id,title,title_aliases,title_category,title_cast,place_name,place_type,place_address,place_latitude,place_longitude,place_image_url,place_naver_url,scene_description,source_url,last_updated
,슬기로운 의사생활,Hospital Playlist,drama,조정석;유연석;전미도,이대서울병원(율제병원),종합병원,서울 강서구 공항대로 260,37.557263,126.836267,,,병원 로비·카페·병동 등이 극중 율제병원 배경으로 등장하는 장면,https://kooking.tistory.com/entry/슬기로운-의사생활-촬영지는-어딜까-바로-이대서울병원;https://mediahub.seoul.go.kr/news/article/newsArticlePrintPopup.do?articleNo=1503695;https://koreandramalocation.com/hospital-playlist,2026-07-30
,슬기로운 의사생활,Hospital Playlist,drama,조정석;유연석;전미도,고바우(칼국수집),음식점,서울 용산구 이촌로 34,37.528818,126.954325,,,이익준 등이 즐겨 찾는 칼국수집으로 등장하는 장면,https://koreandramalocation.com/hospital-playlist,2026-07-30
,슬기로운 의사생활,Hospital Playlist,drama,조정석;유연석;전미도,에그드랍 강남본점,카페/음식점,서울 서초구 강남대로55길 24,37.495672,127.025553,,,아버지와 아들이 샌드위치를 사 먹는 가게로 등장하는 장면,https://koreandramalocation.com/hospital-playlist,2026-07-30
,슬기로운 의사생활,Hospital Playlist,drama,조정석;유연석;전미도,석형 집(밴드연습 장소),주택,서울 서대문구 연희로11바길 24,37.569578,126.927230,,,99즈 밴드가 함께 모여 연습하는 장면,https://koreandramalocation.com/hospital-playlist,2026-07-30
,슬기로운 의사생활,Hospital Playlist,drama,조정석;유연석;전미도,로사의 집,주택,인천 강화군 화도면 신촌길 77-12,37.624572,126.447107,,,,https://koreandramalocation.com/hospital-playlist,2026-07-30
,슬기로운 의사생활,Hospital Playlist,drama,조정석;유연석;전미도,군부대(오음리),군사시설,강원특별자치도 화천군 간동면 오음리 87-3,38.051909,127.830818,,,익순이 군의관으로 복무하는 부대로 등장하는 장면,https://koreandramalocation.com/hospital-playlist,2026-07-30
,슬기로운 의사생활,Hospital Playlist,drama,조정석;유연석;전미도,용마랜드,관광명소(폐놀이공원),서울 광진구 용마산로 127,37.565086,127.085777,,,정원과 현빈이 놀이기구를 타며 대관람차 안에서 대화하는 장면(시즌2 1화),https://walkingnear.com/드라마-슬기로운-의사생활-2-촬영지-추천/,2026-07-30
,슬기로운 의사생활,Hospital Playlist,drama,조정석;유연석;전미도,북악팔각정,전망대,서울 종로구 북악산로 267,37.601590,126.980658,,,연석과 미도가 서울 야경을 보며 진솔한 대화를 나누는 장면(시즌2 6화),https://walkingnear.com/드라마-슬기로운-의사생활-2-촬영지-추천/,2026-07-30
,슬기로운 의사생활,Hospital Playlist,drama,조정석;유연석;전미도,서울식물원,공원/식물원,서울 강서구 마곡동 737,37.567322,126.823817,,,대명과 미도가 힐링숲을 산책하며 쉬는 장면(시즌2 3화),https://walkingnear.com/드라마-슬기로운-의사생활-2-촬영지-추천/,2026-07-30
,슬기로운 의사생활,Hospital Playlist,drama,조정석;유연석;전미도,경인미술관,미술관,서울 종로구 인사동5길 11,37.572653,126.985658,,,준완이 미도와 마당에서 우연히 마주쳐 대화를 나누는 장면(시즌2 2화),https://walkingnear.com/드라마-슬기로운-의사생활-2-촬영지-추천/,2026-07-30
,슬기로운 의사생활,Hospital Playlist,drama,조정석;유연석;전미도,봉산문화회관,문화시설,대구 중구 봉산문화길 77,35.863358,128.596552,,,석형이 아들의 피아노 발표회에 참석하는 장면(시즌2 5화),https://walkingnear.com/드라마-슬기로운-의사생활-2-촬영지-추천/,2026-07-30
,슬기로운 의사생활,Hospital Playlist,drama,조정석;유연석;전미도,쉴낙원 김포장례식장,장례식장,경기 김포시 승가로58번길 7,37.607145,126.715410,,,장례식장 배경으로 등장하는 장면(11화),https://www.stv.or.kr/news/article.html?no=60212;https://m.blog.naver.com/preedlife_official/221987480400,2026-07-30
