id,title,title_aliases,title_category,title_cast,place_name,place_type,place_address,place_latitude,place_longitude,place_image_url,place_naver_url,scene_description,source_url,last_updated
,오징어 게임,Squid Game,drama,이정재;박해수;정호연,양재시민의숲역(신분당선 강남방면 승강장),지하철역,서울 서초구 매헌로 116,37.4701332061395,127.038471341381,,,1화에서 성기훈이 공유가 연기한 남자와 지하철 승강장에서 딱지치기를 하는 장면,https://korean.visitseoul.net/hallyu/%E2%80%98%EC%98%A4%EC%A7%95%EC%96%B4-%EA%B2%8C%EC%9E%84%E2%80%99-%EC%86%8D-%EB%93%B1%EC%9E%A5%ED%95%9C-%EC%84%9C%EC%9A%B8/KON039403;https://opengov.seoul.go.kr/mediahub/24091164;https://star.ytn.co.kr/_sn/0117_202110141538101680,2026-07-30
,오징어 게임,Squid Game,drama,이정재;박해수;정호연,상봉시외버스터미널,버스터미널,서울 중랑구 상봉로 117,,,,,성기훈이 경마에서 돈을 딴 뒤 사채업자에게 쫓기다 새벽을 처음 만나는 장면이 촬영된 곳,https://korean.visitseoul.net/hallyu/%E2%80%98%EC%98%A4%EC%A7%95%EC%96%B4-%EA%B2%8C%EC%9E%84%E2%80%99-%EC%86%8D-%EB%93%B1%EC%9E%A5%ED%95%9C-%EC%84%9C%EC%9A%B8/KON039403;https://opengov.seoul.go.kr/mediahub/24091164,2026-07-30
,오징어 게임,Squid Game,drama,이정재;박해수;정호연,CU 쌍문우이천점,편의점,서울 도봉구 우이천로39길 11,37.64976952734834,127.02005132556158,,,2화에서 성기훈이 편의점 앞 의자에서 오일남과 소주를 마시며 대화하는 장면,https://korean.visitseoul.net/hallyu/%E2%80%98%EC%98%A4%EC%A7%95%EC%96%B4-%EA%B2%8C%EC%9E%84%E2%80%99-%EC%86%8D-%EB%93%B1%EC%9E%A5%ED%95%9C-%EC%84%9C%EC%9A%B8/KON039403;https://www.mk.co.kr/news/culture/10070327;https://star.ytn.co.kr/_sn/0117_202110141538101680,2026-07-30
,오징어 게임,Squid Game,drama,이정재;박해수;정호연,혜화역 달고나 상점,상점,서울 종로구 대학로10길 17,37.5820961487244,127.003178474246,,,드라마 소품으로 쓰인 우산 모양 달고나를 실제로 납품·판매한 상점,https://korean.visitseoul.net/hallyu/%E2%80%98%EC%98%A4%EC%A7%95%EC%96%B4-%EA%B2%8C%EC%9E%84%E2%80%99-%EC%86%8D-%EB%93%B1%EC%9E%A5%ED%95%9C-%EC%84%9C%EC%9A%B8/KON039403;https://opengov.seoul.go.kr/mediahub/24091164,2026-07-30
,오징어 게임,Squid Game,drama,이정재;박해수;정호연,남산공원 산책로,공원,서울 중구 남산공원길 125-54,37.5524979951415,126.989316855952,,,게임 중단 투표 이후 현실로 돌아온 성기훈과 새벽이 마지막 대화를 나누고 헤어지는 장면,https://opengov.seoul.go.kr/mediahub/24091164;https://love.seoul.go.kr/articles/8478,2026-07-30
,오징어 게임,Squid Game,drama,이정재;박해수;정호연,백운시장,전통시장,서울 도봉구 삼양로154길 42,37.6557112804272,127.015598103219,,,조상우의 어머니가 운영하는 생선가게 '상우네 생선가게'가 있는 실제 전통시장,https://star.ytn.co.kr/_sn/0117_202110141538101680;http://www.newspim.com/news/view/20211221000533;http://www.jeonmae.co.kr/news/articleView.html?idxno=860648,2026-07-30
,오징어 게임,Squid Game,drama,이정재;박해수;정호연,월미도 마이랜드,놀이공원,인천 제물포구 월미로234번길 1,37.474982179180806,126.59898876083552,,,2화에서 조직폭력배 장덕수가 조직원과 접선하는 장면이 촬영된 놀이공원 입구,https://www.mk.co.kr/news/culture/10070327;https://star.ytn.co.kr/_sn/0117_202110141538101680;https://www.kyeongin.com/article/1568042,2026-07-30
,오징어 게임,Squid Game,drama,이정재;박해수;정호연,선갑도,섬,인천 옹진군 자월면 승봉리 산 240,37.0922404328576,126.07921129863,,,1화 게임 시작 전 참가자들이 향하는 섬의 전경 장면이 촬영된 곳,https://www.mk.co.kr/news/culture/10070327;https://www.kyeongin.com/article/1568042,2026-07-30
,오징어 게임,Squid Game,drama,이정재;박해수;정호연,강화 교동초등학교,초등학교,인천 강화군 교동면 대룡안길 29,37.7836810115014,126.281719814224,,,1화에서 어린 시절 성기훈과 조상우가 오징어 게임을 하는 회상 장면이 촬영된 곳,https://www.mk.co.kr/news/culture/10070327;https://www.kyeongin.com/article/1568042,2026-07-30
,오징어 게임,Squid Game,drama,이정재;박해수;정호연,공항철도 공항화물청사역,기차역,인천 영종구 공항동로135번길 86,37.459060707641875,126.47751554914322,,,마지막 화에서 기훈이 양복 입은 남자가 다른 사람과 딱지치기하는 모습을 목격하는 장면,https://www.mk.co.kr/news/culture/10070327;https://www.kyeongin.com/article/1568042,2026-07-30
