id,title,title_aliases,title_category,title_cast,place_name,place_type,place_address,place_latitude,place_longitude,place_image_url,place_naver_url,scene_description,source_url,last_updated
,피노키오,Pinocchio,drama,이종석;박신혜;김영광,YTN 상암사옥,방송국,서울 마포구 상암산로 76,,,,,2화에서 가상의 YGN 방송국 내외부와 기자들의 일터로 등장하는 장면,https://www.trazy.com/theme/pinocchio;https://news.nate.com/view/20141115n02830,2026-07-30
,피노키오,Pinocchio,drama,이종석;박신혜;김영광,잠진도 선착장,선착장/해안,인천 중구 덕교동 잠진도 일대,,,,,,https://www.trazy.com/theme/pinocchio;https://ent.sbs.co.kr/news/article.do?article_id=E10005930503;https://www.edaily.co.kr/News/Read?mediaCodeNo=258&newsId=01348086606285064,2026-07-30
,피노키오,Pinocchio,drama,이종석;박신혜;김영광,서울 노원경찰서,경찰서,서울 노원구 노원로 283,,,,,,https://www.trazy.com/theme/pinocchio;https://www.asiatoday.co.kr/kn/view.php?key=20141202010001366,2026-07-30
,피노키오,Pinocchio,drama,이종석;박신혜;김영광,청산도 슬로길 1코스 화랑포길,섬길/산책로,전남 완도군 청산면 당락리 일대,,,,,1~2화에서 어린 달포와 인하가 함께 성장하는 향리도의 마을길로 등장하는 장면,https://blog.naver.com/chungsanhuga/220454209868;https://www.trazy.com/theme/pinocchio;https://www.namdokorea.com/tour/drama/dramaView.do?areaCd=0005&dramaId=0000000017&language=EN&menuCd=TE002001006,2026-07-30
,피노키오,Pinocchio,drama,이종석;박신혜;김영광,청산도 서편제길,섬길/산책로,전남 완도군 청산면 당락리 일대,,,,,1~2화에서 달포와 인하가 손수레 자전거를 타고 등교하는 장면,https://blog.naver.com/chungsanhuga/220454209868;https://www.trazy.com/theme/pinocchio;https://www.namdokorea.com/tour/drama/dramaView.do?areaCd=0005&dramaId=0000000017&language=EN&menuCd=TE002001006,2026-07-30
,피노키오,Pinocchio,drama,이종석;박신혜;김영광,청산도 도락리 포구,포구,전남 완도군 청산면 도청리 일대,,,,,1~2화에서 고장 난 자전거를 탄 인하를 달포가 구해 집으로 돌아가는 장면,https://blog.naver.com/chungsanhuga/220454209868;https://www.trazy.com/theme/pinocchio;https://www.namdokorea.com/tour/drama/dramaView.do?areaCd=0005&dramaId=0000000017&language=EN&menuCd=TE002001006,2026-07-30
,피노키오,Pinocchio,drama,이종석;박신혜;김영광,신세계백화점 본점 앞,백화점/거리,서울 중구 소공로 63 앞,,,,,8화에서 첫눈과 야간 조명을 배경으로 달포와 인하가 첫 키스를 나누는 장면,https://blog.naver.com/nayonayo_/220204518835,2026-07-30
,피노키오,Pinocchio,drama,이종석;박신혜;김영광,인제대학교 일산백병원 인근 거리,거리,경기 고양시 일산서구 주화로 170 일대,,,,,,https://blog.naver.com/luda2014/220240363088,2026-07-30
,피노키오,Pinocchio,drama,이종석;박신혜;김영광,원마운트,복합쇼핑몰,경기 고양시 일산서구 한류월드로 300,,,,,,https://www.yes24.com/Product/Goods/34183700,2026-07-30
,피노키오,Pinocchio,drama,이종석;박신혜;김영광,NC백화점 강서점,백화점,서울 강서구 강서로56길 17,,,,,,https://www.yes24.com/Product/Goods/34183700,2026-07-30
