qid,official_en,alias,type,lat,lon,wikidata_url
Q884,South Korea,Republic of Korea,country,36.0,128.0,http://www.wikidata.org/entity/Q884
Q884,South Korea,Silla,country,36.0,128.0,http://www.wikidata.org/entity/Q884
Q884,South Korea,Choson,country,36.0,128.0,http://www.wikidata.org/entity/Q884
Q884,South Korea,Korea (South),country,36.0,128.0,http://www.wikidata.org/entity/Q884
Q884,South Korea,Hanguk,country,36.0,128.0,http://www.wikidata.org/entity/Q884
Q884,South Korea,Daehan Minguk,country,36.0,128.0,http://www.wikidata.org/entity/Q884
Q884,South Korea,Daehanminguk,country,36.0,128.0,http://www.wikidata.org/entity/Q884
Q884,South Korea,Korea Republic,country,36.0,128.0,http://www.wikidata.org/entity/Q884
Q884,South Korea,Rep. Korea,country,36.0,128.0,http://www.wikidata.org/entity/Q884
Q884,South Korea,S. Korea,country,36.0,128.0,http://www.wikidata.org/entity/Q884
Q50331,Cheongsong County,Cheongsong-gun,county of South Korea,36.432777777,129.06,http://www.wikidata.org/entity/Q50331
Q50340,Hampyeong County,Hampʻyŏng-gun,county of South Korea,35.063888888,126.519444444,http://www.wikidata.org/entity/Q50340
Q50358,Geumjeong District,Geumjeong-gu,district of Busan,35.24166667,129.09166667,http://www.wikidata.org/entity/Q50358
Q50359,Geumcheon District,Geumcheon-gu,district of Seoul,37.451852777,126.902036111,http://www.wikidata.org/entity/Q50359
Q50361,Nam District,Nam-gu,district of South Korea  (autonomous),35.12,126.91,http://www.wikidata.org/entity/Q50361
Q42067,Gwangyang,Gwangyang-si,big city,34.940277777,127.701666666,http://www.wikidata.org/entity/Q42067
Q42074,Gunsan,Gunsan-si,big city,35.978611111,126.711388888,http://www.wikidata.org/entity/Q42074
Q42074,Gunsan,Kunsan,big city,35.978611111,126.711388888,http://www.wikidata.org/entity/Q42074
Q50329,Cheorwon County,Cheolwon,county of South Korea,38.209167,127.2175,http://www.wikidata.org/entity/Q50329
Q50329,Cheorwon County,Cheorwon-gun,county of South Korea,38.209167,127.2175,http://www.wikidata.org/entity/Q50329
Q50329,Cheorwon County,South Cheorwon,county of South Korea,38.209167,127.2175,http://www.wikidata.org/entity/Q50329
Q42075,Gunpo,Kunp'o,big city,37.3675,126.946944444,http://www.wikidata.org/entity/Q42075
Q42077,Gimje,Gimje-si,city of South Korea,35.801666666,126.888888888,http://www.wikidata.org/entity/Q42077
Q50362,Nam District,Nam-gu,district of South Korea  (autonomous),35.85,128.6,http://www.wikidata.org/entity/Q50362
Q50363,Nam District,Nam-gu,district of Busan,35.14,129.08,http://www.wikidata.org/entity/Q50363
Q50364,Nam District,Nam-gu,district of South Korea  (autonomous),35.54,129.33,http://www.wikidata.org/entity/Q50364
Q50365,Michuhol District,Nam-gu,district of Incheon,37.46,126.65,http://www.wikidata.org/entity/Q50365
Q50365,Michuhol District,Michuhol-gu,district of Incheon,37.46,126.65,http://www.wikidata.org/entity/Q50365
Q42061,Goyang,Goyang-si,big city,37.656388888,126.835,http://www.wikidata.org/entity/Q42061
Q42064,Gwacheon,Kwach'ŏn-si,city of South Korea,37.428888888,126.989166666,http://www.wikidata.org/entity/Q42064
Q50422,Yeonje District,Yeonje-gu,district of Busan,35.1756,129.079,http://www.wikidata.org/entity/Q50422
Q50423,Yeongdo District,Yeongdo-gu,district of South Korea  (autonomous),35.07849,129.06483,http://www.wikidata.org/entity/Q50423
Q50420,Yangcheon District,Yangcheon-gu,district of Seoul,37.516872222,126.866397222,http://www.wikidata.org/entity/Q50420
Q50421,Yeonsu District,Yeonsu-gu,district of Incheon,37.409444,126.678333,http://www.wikidata.org/entity/Q50421
Q50431,Yuseong District,Yuseong-gu,district of South Korea  (autonomous),36.362,127.356,http://www.wikidata.org/entity/Q50431
Q50432,Eunpyeong District,Eunpyeong-gu,district of Seoul,37.602697222,126.929111111,http://www.wikidata.org/entity/Q50432
Q50344,Hongcheon County,Hongcheon,county of South Korea,37.6925,127.88,http://www.wikidata.org/entity/Q50344
Q50344,Hongcheon County,Hongchon,county of South Korea,37.6925,127.88,http://www.wikidata.org/entity/Q50344
Q50344,Hongcheon County,Hongcheon-gun,county of South Korea,37.6925,127.88,http://www.wikidata.org/entity/Q50344
Q50367,Namdong District,Namdong-gu,district of Incheon,37.44333333,126.73194444,http://www.wikidata.org/entity/Q50367
Q50368,Nowon District,Nowon-gu,district of Seoul,37.654191666,127.056794444,http://www.wikidata.org/entity/Q50368
Q9680,2018 Winter Olympics,Pyeongchang 2018,Winter Olympic Games edition,37.667,128.706,http://www.wikidata.org/entity/Q9680
Q9680,2018 Winter Olympics,2018 Olympics,Winter Olympic Games edition,37.667,128.706,http://www.wikidata.org/entity/Q9680
Q9680,2018 Winter Olympics,23rd Olympic Winter Games,Winter Olympic Games edition,37.667,128.706,http://www.wikidata.org/entity/Q9680
Q9680,2018 Winter Olympics,23rd Winter Olympics,Winter Olympic Games edition,37.667,128.706,http://www.wikidata.org/entity/Q9680
Q9680,2018 Winter Olympics,PyeongChang 2018,Winter Olympic Games edition,37.667,128.706,http://www.wikidata.org/entity/Q9680
Q9680,2018 Winter Olympics,The XXIII Olympic Winter Games,Winter Olympic Games edition,37.667,128.706,http://www.wikidata.org/entity/Q9680
Q9680,2018 Winter Olympics,XXIII Olympic Winter Games,Winter Olympic Games edition,37.667,128.706,http://www.wikidata.org/entity/Q9680
Q50343,Hongseong County,Gwangcheon,list of capitals in South Korea,36.599444444,126.662777777,http://www.wikidata.org/entity/Q50343
Q50343,Hongseong County,Guhang,list of capitals in South Korea,36.599444444,126.662777777,http://www.wikidata.org/entity/Q50343
Q50343,Hongseong County,Eunha,list of capitals in South Korea,36.599444444,126.662777777,http://www.wikidata.org/entity/Q50343
Q50343,Hongseong County,Gyeolseong,list of capitals in South Korea,36.599444444,126.662777777,http://www.wikidata.org/entity/Q50343
Q42080,Gimpo,Kimpo,human settlement,37.623611111,126.714166666,http://www.wikidata.org/entity/Q42080
