priority_rank,title,place_rows,audience_acc,award,source_url,audience_numeric,has_award,priority_tier,codex_status,codex_notes
1,신과함께-죄와 벌,0,14398110,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20150976,14398110,False,A,partial,검증된 신규 촬영지 3곳을 Codex 마스터 사본에 추가함. 추가 촬영지 계속 조사.
2,국제시장,0,14198690,대종상 최우수작품상(2015),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20137048,14198690,True,A,partial,검증된 신규 촬영지 2곳을 Codex 마스터 사본에 추가함. 추가 촬영지 계속 조사.
3,서울의 봄,0,13114138,청룡영화상 최우수작품상(2024),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20212866,13114138,True,A,partial,검증된 신규 촬영지 2곳을 Codex 마스터 사본에 추가함. 추가 촬영지 계속 조사.
4,도둑들,0,12979237,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20124034,12979237,False,A,partial,검증된 신규 촬영지 2곳을 Codex 마스터 사본에 추가함. 추가 촬영지 계속 조사.
5,7번방의 선물,0,12786081,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20127593,12786081,False,A,partial,검증된 신규 촬영지 2곳을 Codex 마스터 사본에 추가함. 추가 촬영지 계속 조사.
6,범죄도시2,0,12684545,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20204548,12684545,False,A,partial,검증된 신규 촬영지 4곳을 Codex 마스터 사본에 추가함. 추가 촬영지 계속 조사.
7,"광해, 왕이 된 남자",0,12274154,대종상 최우수작품상(2012),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20124079,12274154,True,A,partial,검증된 신규 촬영지 1곳을 Codex 마스터 사본에 추가함. 추가 촬영지 계속 조사.
8,신과함께-인과 연,0,12264813,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20186202,12264813,False,A,partial,검증된 신규 촬영지 1곳을 Codex 마스터 사본에 추가함. 추가 촬영지 계속 조사.
9,파묘,0,11898834,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20234675,11898834,False,A,partial,검증된 신규 촬영지 3곳을 Codex 마스터 사본에 추가함. 추가 촬영지 계속 조사.
10,부산행,0,11531866,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20156564,11531866,False,A,partial,검증된 신규 촬영지 2곳을 Codex 마스터 사본에 추가함. 추가 촬영지 계속 조사.
11,범죄도시4,0,11492094,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20228797,11492094,False,A,researched_no_verified,촬영지 후보는 확인했으나 장면 대응 자료가 커뮤니티성 출처에 치우쳐 현재 검증 기준을 통과한 신규 행은 없음. 후속 교차검증 대상.
12,해운대,0,11276049,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20090074,11276049,False,A,partial,검증된 신규 촬영지 3곳을 Codex 마스터 사본에 추가함. 추가 촬영지 계속 조사.
13,실미도,0,11080000,청룡영화상 최우수작품상(2004),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20030410,11080000,True,A,partial,검증된 신규 촬영지 1곳을 Codex 마스터 사본에 추가함. 추가 촬영지 계속 조사.
14,범죄도시3,0,10673784,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20226411,10673784,False,A,partial,검증된 신규 촬영지 1곳을 Codex 마스터 사본에 추가함. 추가 촬영지 계속 조사.
15,왕의 남자,0,10489308,대종상 최우수작품상(2006),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20050333,10489308,True,A,partial,검증된 신규 촬영지 1곳을 Codex 마스터 사본에 추가함. 추가 촬영지 계속 조사.
16,설국열차,0,9321959,대종상 최우수작품상(2013),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20126674,9321959,True,A,partial,검증된 신규 촬영지 1곳을 Codex 마스터 사본에 추가함. 추가 촬영지 계속 조사.
17,의형제,0,5405194,청룡영화상 최우수작품상(2010),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20090904,5405194,True,A,partial,검증된 신규 촬영지 2곳을 Codex 마스터 사본에 추가함. 추가 촬영지 계속 조사.
18,살인의 추억,0,5250000,대종상 최우수작품상(2003),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20030046,5250000,True,A,partial,검증된 신규 촬영지 1곳을 Codex 마스터 사본에 추가함. 추가 촬영지 계속 조사.
19,밀수,0,5113127,청룡영화상 최우수작품상(2023),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20218541,5113127,True,A,partial,검증된 신규 촬영지 2곳을 Codex 마스터 사본에 추가함. 추가 촬영지 계속 조사.
20,남산의 부장들,0,4748005,청룡영화상 최우수작품상(2020),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20180939,4748005,True,A,partial,검증된 신규 촬영지 1곳을 Codex 마스터 사본에 추가함. 추가 촬영지 계속 조사.
21,집으로...,0,4190000,대종상 최우수작품상(2002),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20020061,4190000,True,A,partial,검증된 신규 촬영지 1곳을 Codex 마스터 사본에 추가함. 추가 촬영지 계속 조사.
22,말아톤,0,4155296,대종상 최우수작품상(2005),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20040785,4155296,True,A,partial,검증된 신규 촬영지 1곳을 Codex 마스터 사본에 추가함. 추가 촬영지 계속 조사.
23,우리 생애 최고의 순간,0,3959087,청룡영화상 최우수작품상(2008),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20070382,3959087,True,A,researched_no_verified,"실제 선수·경기 모티브와 출연진 자료는 확인했으나, 구체 촬영장소와 영화 장면을 함께 입증하는 신뢰도 높은 공개 자료를 찾지 못함. 후속 교차검증 대상."
24,콘크리트 유토피아,0,3840463,대종상 최우수작품상(2023),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20204264,3840463,True,A,partial,검증된 신규 촬영지 1곳을 Codex 마스터 사본에 추가함. 추가 촬영지 계속 조사.
25,모가디슈,0,3604819,청룡영화상 최우수작품상(2021),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20204117,3604819,True,A,partial,검증된 신규 촬영지 1곳을 Codex 마스터 사본에 추가함. 추가 촬영지 계속 조사.
26,고지전,0,2925790,대종상 최우수작품상(2011),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20119515,2925790,True,A,partial,검증된 신규 촬영지 1곳을 Codex 마스터 사본에 추가함. 추가 촬영지 계속 조사.
27,어쩔수가없다,0,2919896,청룡영화상 최우수작품상(2025),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20243561,2919896,True,A,researched_no_verified,"촬영지 목록 후보는 확인했으나 개인 블로그 한 곳에 집중돼 있고, 구체 장소와 장면을 독립 출처로 교차검증하지 못해 신규 행을 보류함."
28,워낭소리,0,2845331,부산국제영화제 비프메세나상(2008),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20081727,2845331,True,A,partial,검증된 신규 촬영지 1곳을 Codex 마스터 사본에 추가함. 추가 촬영지 계속 조사.
29,소원,0,2687628,청룡영화상 최우수작품상(2013),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20134582,2687628,True,A,researched_no_verified,"부산영화촬영스튜디오 세트 촬영과 부산 촬영 횟수는 확인했으나, 공개 자료에서 스튜디오와 구체 영화 장면을 직접 대응하지 못해 신규 행을 보류함."
30,박쥐,0,2199378,칸영화제 심사위원상(2009),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20081003,2199378,True,A,partial,검증된 신규 촬영지 1곳을 Codex 마스터 사본에 추가함. 추가 촬영지 계속 조사.
31,헤어질 결심,0,1860462,대종상 최우수작품상(2022);청룡영화상 최우수작품상(2022);칸영화제 감독상(2022),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20209654,1860462,True,A,partial,검증된 신규 촬영지 3곳을 Codex 마스터 사본에 추가함. 추가 촬영지 계속 조사.
32,브로커,0,1254445,칸영화제 남우주연상(2022),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20206257,1254445,True,A,partial,검증된 신규 촬영지 2곳을 Codex 마스터 사본에 추가함. 추가 촬영지 계속 조사.
33,우아한 세계,0,917031,청룡영화상 최우수작품상(2007),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20070072,917031,True,A,researched_no_verified,부산성모병원 촬영 예정 보도는 확인했으나 실제 촬영 완료 여부와 구체 영화 장면을 함께 입증하는 후속 자료를 찾지 못해 신규 행을 보류함.
34,박하사탕,0,850000,대종상 최우수작품상(2000),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=19990050,850000,True,A,partial,검증된 신규 촬영지 1곳을 Codex 마스터 사본에 추가함. 추가 촬영지 계속 조사.
35,피에타,0,597386,베니스영화제 황금사자상(2012);청룡영화상 최우수작품상(2012),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20124934,597386,True,A,partial,검증된 신규 촬영지 1곳을 Codex 마스터 사본에 추가함. 추가 촬영지 계속 조사.
36,가족의 탄생,0,189785,대종상 최우수작품상(2007),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20060123,189785,True,A,researched_no_verified,"춘천 촬영현장에서 미라·무신·형철의 식사 장면과 경석·채현의 마지막 촬영 장면은 확인했지만, 공개 자료가 구체 건물명·주소를 밝히지 않아 신규 행을 보류함."
37,시,0,187643,대종상 최우수작품상(2010),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20100191,187643,True,A,pending,
38,지슬 - 끝나지 않은 세월2,0,110028,부산국제영화제 넷팩상(2012),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20120108,110028,True,A,pending,
39,빈집,0,66979,베니스영화제 감독상(2004),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20040688,66979,True,A,pending,
40,사마리아,0,41580,베를린영화제 감독상(2004),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20040505,41580,True,A,pending,
41,밤의 해변에서 혼자,0,40725,베를린영화제 여우주연상(2017),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20179442,40725,True,A,pending,
42,도망친 여자,0,4084,베를린영화제 감독상(2020),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20205001,4084,True,A,pending,
43,고양이를 부탁해,0,,부산국제영화제 넷팩상(2001),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010007,-1,True,A,pending,
44,꽃섬,0,,부산국제영화제 뉴커런츠상(2001),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010003,-1,True,A,pending,
