id,title,place_name,place_address,place_latitude,place_longitude,original_source_url,scene_description,proposed_scene_description,evidence_url_1,evidence_url_2,evidence_summary,source_quality,codex_status,codex_notes
st_02408,기생충,스카이피자,서울 동작구 노량진로6길 86,37.509606,126.937053,https://kdramamap.com/location/%ea%b8%b0%ec%83%9d%ec%b6%a9-%ec%8a%a4%ec%b9%b4%ec%9d%b4%ed%94%bc%ec%9e%90-271/,,"기택 가족이 피자 상자를 접는 부업을 하고, 문광을 내보낼 계획을 세우는 장면.",https://english.visitkorea.or.kr/svc/contents/infoBscView.do?menuSn=508&vcontsId=177334,https://www.cntraveller.com/gallery/where-was-parasite-filmed,한국관광공사와 CN Traveller가 스카이피자를 피자 상자 부업 장면의 실제 촬영지로 설명한다.,B+C,verified,
st_02409,기생충,돼지슈퍼,서울 마포구 손기정로 32,37.556808,126.961564,https://kdramamap.com/location/%ea%b8%b0%ec%83%9d%ec%b6%a9-%eb%8f%bc%ec%a7%80%ec%8a%88%ed%8d%bc-272/,,기우가 친구 민혁과 소주를 마시며 박 사장 딸의 과외 자리를 제안받는 장면.,https://english.visitkorea.or.kr/svc/contents/infoBscView.do?menuSn=508&vcontsId=177334,https://www.cntraveller.com/gallery/where-was-parasite-filmed,두 출처가 돼지쌀슈퍼를 민혁이 기우에게 과외 자리를 제안하는 장면의 촬영지로 설명한다.,B+C,verified,
st_02410,기생충,기택동네계단,서울 마포구 손기정로6길,37.556714,126.961299,https://kdramamap.com/location/%ea%b8%b0%ec%83%9d%ec%b6%a9-%ea%b8%b0%ed%83%9d%eb%8f%99%eb%84%a4%ea%b3%84%eb%8b%a8-273/,,기정이 복숭아를 훔친 뒤 박 사장 집으로 향하며 계단을 오르는 장면.,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=645e1de9-97d5-4c64-92a6-831fa424c130,https://www.cntraveller.com/gallery/where-was-parasite-filmed,한국관광공사와 CN Traveller가 돼지쌀슈퍼 인근 계단을 기정의 복숭아 장면으로 설명한다.,B+C,verified,
st_02411,기생충,북아현동계단,서울 서대문구 북아현동 3-560,37.563078,126.958732,https://kdramamap.com/location/%ea%b8%b0%ec%83%9d%ec%b6%a9-%eb%b6%81%ec%95%84%ed%98%84%eb%8f%99%ea%b3%84%eb%8b%a8-274/,,,,,검색되는 ‘북아현동계단’ 공식 설명은 돼지쌀슈퍼 인근 마포구 계단을 가리켜 현재 행의 서대문구 북아현동 3-560 주소와 일치하지 않는다.,,unresolved,동일 명칭의 장소·주소 충돌. 영상 또는 독립 출처로 재확인 전까지 비워 둔다.
st_02412,기생충,박사장집,서울 성북구 선잠로8길 18,37.600190,126.997985,https://kdramamap.com/location/%ea%b8%b0%ec%83%9d%ec%b6%a9-%eb%b0%95%ec%82%ac%ec%9e%a5%ec%a7%91-275/,,기우가 박 사장 딸의 과외 면접을 보러 고급 주택가 골목을 지나가는 장면.,https://english.visitkorea.or.kr/svc/contents/infoBscView.do?menuSn=508&vcontsId=177334,https://www.koreajoongangdaily.com/lifestyle/where-parasite-comes-to-life-a-visit-to-each-of-the-award-winning-films-iconic-filming-locations/11212971,한국관광공사와 Korea JoongAng Daily가 성북동 골목을 기우가 과외 면접을 위해 박 사장 집으로 가는 장면으로 설명한다.,B+C,verified,"박 사장 집 건물은 세트였고, 이 주소는 집으로 향하는 골목 촬영지다."
st_02413,기생충,올가홀푸드,서울 송파구 방이동 185-8,37.510446,127.126462,https://kdramamap.com/location/%ea%b8%b0%ec%83%9d%ec%b6%a9-%ec%98%ac%ea%b0%80%ed%99%80%ed%91%b8%eb%93%9c-276/,,"연교가 아들 다송의 생일파티 음식 재료를 사고, 기택이 짐을 들어주는 장면.",https://news.pulmuone.co.kr/pulmuone/newsroom/viewNewsroom.do?id=1806,https://www.cntraveller.com/gallery/where-was-parasite-filmed,장소 운영사와 CN Traveller가 올가홀푸드 방이점을 연교의 아들 생일파티 장보기 장면으로 설명한다.,D+C,verified,
st_02414,기생충,대호빌라옆다리,서울 용산구 후암동 402-1,37.548222,126.982466,https://kdramamap.com/location/%ea%b8%b0%ec%83%9d%ec%b6%a9-%eb%8c%80%ed%98%b8%eb%b9%8c%eb%9d%bc%ec%98%86%eb%8b%a4%eb%a6%ac-277/,,박 사장 집을 빠져나온 기택 가족이 폭우 속에서 반지하 집으로 달려 내려가는 장면.,https://kdramamap.com/location/%ea%b8%b0%ec%83%9d%ec%b6%a9-%eb%8c%80%ed%98%b8%eb%b9%8c%eb%9d%bc%ec%98%86%eb%8b%a4%eb%a6%ac-277/,https://www.koreajoongangdaily.com/lifestyle/where-parasite-comes-to-life-a-visit-to-each-of-the-award-winning-films-iconic-filming-locations/11212971,기존 장소 출처와 현장 취재 기사가 후암동 구간을 기택 가족의 폭우 속 귀가 동선으로 연결한다.,D+C,verified,
st_02415,기생충,자하문터널계단,서울 종로구 자하문로 219,37.593821,126.963484,https://kdramamap.com/location/%ea%b8%b0%ec%83%9d%ec%b6%a9-%ec%9e%90%ed%95%98%eb%ac%b8%ed%84%b0%eb%84%90%ea%b3%84%eb%8b%a8-278/,,기택 가족이 박 사장 집에서 도망쳐 폭우를 맞으며 터널 계단을 내려가는 장면.,https://english.visitkorea.or.kr/svc/contents/infoBscView.do?menuSn=508&vcontsId=177334,https://english.seoul.go.kr/seoul-promotes-hallyu-korean-wave-with-parasite-tour-course/,한국관광공사와 서울시가 자하문터널 계단을 기택 가족의 폭우 속 귀가 장면 촬영지로 설명한다.,B+A,verified,
st_02416,기생충,높은계단,서울 종로구 지봉로11길 38,37.577092,127.013415,https://kdramamap.com/location/%ea%b8%b0%ec%83%9d%ec%b6%a9-%eb%86%92%ec%9d%80%ea%b3%84%eb%8b%a8-279/,,기택 가족이 폭우 속에서 침수된 반지하 집으로 향하며 가파른 계단을 내려가는 장면.,https://english.visitkorea.or.kr/svc/contents/infoBscView.do?menuSn=508&vcontsId=177334,https://kdramamap.com/location/%ea%b8%b0%ec%83%9d%ec%b6%a9-%eb%86%92%ec%9d%80%ea%b3%84%eb%8b%a8-279/,한국관광공사가 창신동의 가파른 계단을 기택 가족의 폭우 속 귀가 장면으로 설명하고 기존 장소 출처가 해당 주소를 연결한다.,B+D,verified,
st_02496,길복순,노들섬,서울 용산구 양녕로 445,37.517664,126.958036,https://kdramamap.com/location/%ea%b8%b8%eb%b3%b5%ec%88%9c-%eb%85%b8%eb%93%a4%ec%84%ac-3180/,,복순이 노들섬에서 동료 킬러와 남몰래 만나는 장면.,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=341651,https://kdramamap.com/location/%ea%b8%b8%eb%b3%b5%ec%88%9c-%eb%85%b8%eb%93%a4%ec%84%ac-3180/,"한국관광공사가 노들섬을 복순이 동료 킬러와 비밀리에 만나는 촬영지로 명시하고, 기존 장소 출처가 주소를 연결한다.",B+D,verified,
