id,title,place_name,old_scene_description,new_scene_description,action,evidence_url_1,evidence_url_2,source_quality
st_02408,기생충,스카이피자,,"기택 가족이 피자 상자를 접는 부업을 하고, 문광을 내보낼 계획을 세우는 장면.",filled,https://english.visitkorea.or.kr/svc/contents/infoBscView.do?menuSn=508&vcontsId=177334,https://www.cntraveller.com/gallery/where-was-parasite-filmed,B+C
st_02409,기생충,돼지슈퍼,,기우가 친구 민혁과 소주를 마시며 박 사장 딸의 과외 자리를 제안받는 장면.,filled,https://english.visitkorea.or.kr/svc/contents/infoBscView.do?menuSn=508&vcontsId=177334,https://www.cntraveller.com/gallery/where-was-parasite-filmed,B+C
st_02410,기생충,기택동네계단,,기정이 복숭아를 훔친 뒤 박 사장 집으로 향하며 계단을 오르는 장면.,filled,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=645e1de9-97d5-4c64-92a6-831fa424c130,https://www.cntraveller.com/gallery/where-was-parasite-filmed,B+C
st_02412,기생충,박사장집,,기우가 박 사장 딸의 과외 면접을 보러 고급 주택가 골목을 지나가는 장면.,filled,https://english.visitkorea.or.kr/svc/contents/infoBscView.do?menuSn=508&vcontsId=177334,https://www.koreajoongangdaily.com/lifestyle/where-parasite-comes-to-life-a-visit-to-each-of-the-award-winning-films-iconic-filming-locations/11212971,B+C
st_02413,기생충,올가홀푸드,,"연교가 아들 다송의 생일파티 음식 재료를 사고, 기택이 짐을 들어주는 장면.",filled,https://news.pulmuone.co.kr/pulmuone/newsroom/viewNewsroom.do?id=1806,https://www.cntraveller.com/gallery/where-was-parasite-filmed,D+C
st_02414,기생충,대호빌라옆다리,,박 사장 집을 빠져나온 기택 가족이 폭우 속에서 반지하 집으로 달려 내려가는 장면.,filled,https://kdramamap.com/location/%ea%b8%b0%ec%83%9d%ec%b6%a9-%eb%8c%80%ed%98%b8%eb%b9%8c%eb%9d%bc%ec%98%86%eb%8b%a4%eb%a6%ac-277/,https://www.koreajoongangdaily.com/lifestyle/where-parasite-comes-to-life-a-visit-to-each-of-the-award-winning-films-iconic-filming-locations/11212971,D+C
st_02415,기생충,자하문터널계단,,기택 가족이 박 사장 집에서 도망쳐 폭우를 맞으며 터널 계단을 내려가는 장면.,filled,https://english.visitkorea.or.kr/svc/contents/infoBscView.do?menuSn=508&vcontsId=177334,https://english.seoul.go.kr/seoul-promotes-hallyu-korean-wave-with-parasite-tour-course/,B+A
st_02416,기생충,높은계단,,기택 가족이 폭우 속에서 침수된 반지하 집으로 향하며 가파른 계단을 내려가는 장면.,filled,https://english.visitkorea.or.kr/svc/contents/infoBscView.do?menuSn=508&vcontsId=177334,https://kdramamap.com/location/%ea%b8%b0%ec%83%9d%ec%b6%a9-%eb%86%92%ec%9d%80%ea%b3%84%eb%8b%a8-279/,B+D
st_02496,길복순,노들섬,,복순이 노들섬에서 동료 킬러와 남몰래 만나는 장면.,filled,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=341651,https://kdramamap.com/location/%ea%b8%b8%eb%b3%b5%ec%88%9c-%eb%85%b8%eb%93%a4%ec%84%ac-3180/,B+D
st_02497,길복순,철길 떡볶이,,복순과 차민규가 떡볶이를 먹으며 암살 타깃의 프로필을 주고받는 장면.,filled,https://v.daum.net/v/20230406050039710,https://kdramamap.com/location/%ea%b8%b8%eb%b3%b5%ec%88%9c-%ec%b2%a0%ea%b8%b8-%eb%96%a1%eb%b3%b6%ec%9d%b4-3181/,C+D
