rank,title,title_en,tier,reason,location_rows
1,오징어게임,Squid Game,S,넷플릭스 역대 최다 시청 시리즈,21
2,오징어게임2,Squid Game Season 2,S,넷플릭스 글로벌 1위,48
3,오징어게임3,Squid Game Season 3,S,넷플릭스 글로벌 1위,9
4,더글로리,The Glory,S,넷플릭스 글로벌 비영어 1위,108
5,눈물의여왕,Queen of Tears,S,2024 넷플릭스 글로벌 히트·tvN 역대급 화제,145
6,사랑의불시착,Crash Landing on You,S,글로벌 한류 신드롬·일본 4차 한류 견인,17
7,지금우리학교는,All of Us Are Dead,S,넷플릭스 글로벌 1위,6
8,무빙,Moving,S,디즈니+ 글로벌 최고 성과작,53
9,폭싹 속았수다,When Life Gives You Tangerines,S,2025 넷플릭스 글로벌 화제작·해외 평단 극찬,72
10,선재업고튀어,Lovely Runner,S,2024 글로벌 신드롬·해외 팬덤 급증,92
11,중증외상센터,The Trauma Code: Heroes on Call,S,2025 넷플릭스 글로벌 1위,33
12,이상한변호사우영우,Extraordinary Attorney Woo,S,넷플릭스 글로벌 비영어 1위,9
13,도깨비,Guardian: The Lonely and Great God,S,한류 클래식 최상위·아시아권 신드롬,63
14,태양의후예,Descendants of the Sun,S,아시아 전역 신드롬,15
15,별에서온그대,My Love from the Star,S,중화권 신드롬·한류 대표작,20
16,이태원클라쓰,Itaewon Class,S,넷플릭스 글로벌 히트·일본 신드롬,26
17,내남편과결혼해줘,Marry My Husband,S,2024 아마존·넷플릭스 글로벌 히트,117
18,마이데몬,My Demon,S,넷플릭스 글로벌 Top10 장기 진입,58
19,킹더랜드,King the Land,S,넷플릭스 글로벌 비영어 1위,79
20,닥터슬럼프,Doctor Slump,S,넷플릭스 글로벌 Top10,121
21,웰컴투삼달리,Welcome to Samdal-ri,S,넷플릭스 글로벌 Top10,81
22,사내맞선,Business Proposal,S,넷플릭스 글로벌 히트,22
23,김비서가왜그럴까,What's Wrong with Secretary Kim,S,글로벌 스테디 로맨스 히트,16
24,재벌집막내아들,Reborn Rich,S,2022 최고 화제작·해외 동시방영 인기,48
25,호텔델루나,Hotel del Luna,S,글로벌 한류 인기·성지순례 정번,24
26,카지노,Big Bet,A,디즈니+ 글로벌 히트,14
27,스위트홈2,Sweet Home Season 2,A,넷플릭스 글로벌 Top10,6
28,스위트홈3,Sweet Home Season 3,A,넷플릭스 글로벌 Top10,14
29,지옥2,Hellbound Season 2,A,넷플릭스 글로벌 Top10,11
30,디피2,D.P. Season 2,A,넷플릭스 글로벌 Top10,25
31,마스크걸,Mask Girl,A,넷플릭스 글로벌 Top10,50
32,살인자난감,A Killer Paradox,A,넷플릭스 글로벌 Top10,51
33,이두나,Doona!,A,넷플릭스 글로벌 Top10,74
34,정신병동에도아침이와요,Daily Dose of Sunshine,A,넷플릭스 글로벌 Top10,61
35,무인도의디바,Castaway Diva,A,넷플릭스 글로벌 Top10,46
36,일타스캔들,Crash Course in Romance,A,넷플릭스 글로벌 비영어 1위,90
37,닥터차정숙,Doctor Cha,A,넷플릭스 글로벌 Top10,91
38,나쁜엄마,The Good Bad Mother,A,넷플릭스 글로벌 Top10,60
39,이번생도잘부탁해,See You in My 19th Life,A,넷플릭스 글로벌 Top10,90
40,그해우리는,Our Beloved Summer,A,넷플릭스 글로벌 인기·해외 팬덤,18
41,스물다섯스물하나,Twenty-Five Twenty-One,A,넷플릭스 글로벌 Top10,12
42,작은아씨들,Little Women,A,넷플릭스 글로벌 Top10,30
43,사이코지만괜찮아,It's Okay to Not Be Okay,A,넷플릭스 글로벌 인기,17
44,슬기로운의사생활,Hospital Playlist,A,넷플릭스 아시아권 스테디 인기,6
45,슬기로운감빵생활,Prison Playbook,A,넷플릭스 아시아권 인기,12
46,응답하라1988,Reply 1988,A,아시아권 스테디셀러·성지순례 정번,15
47,시그널,Signal,A,K-스릴러 대표작·해외 리메이크,17
48,비밀의숲,Stranger,A,넷플릭스 글로벌 공개·평단 인정,17
49,비밀의숲2,Stranger 2,A,넷플릭스 글로벌 공개,12
50,스카이캐슬,SKY Castle,A,해외 화제·리메이크 다수,8
51,푸른바다의전설,The Legend of the Blue Sea,A,아시아권 인기·전지현 한류,21
52,더킹,The King: Eternal Monarch,A,넷플릭스 글로벌 공개·이민호 글로벌 팬덤,7
53,알함브라궁전의추억,Memories of the Alhambra,A,넷플릭스 글로벌 인기,21
54,여신강림,True Beauty,A,동남아·글로벌 웹툰 팬덤 히트,73
55,알고있지만,Nevertheless,A,넷플릭스 글로벌 공개·송강 팬덤,30
56,좋아하면울리는,Love Alarm,A,넷플릭스 오리지널 글로벌 공개,19
57,어느날우리집현관으로멸망이들어왔다,Doom at Your Service,A,글로벌 OTT 인기·박보영 팬덤,17
58,조명가게,The Light Shop,A,디즈니+ 글로벌 Top,28
59,트렁크,The Trunk,A,넷플릭스 글로벌 Top10,34
60,하이라키,Hierarchy,A,넷플릭스 글로벌 Top10,49
61,피라미드게임,Pyramid Game,A,티빙→글로벌 OTT 화제,45
62,경이로운소문2,The Uncanny Counter 2: Counter Punch,A,넷플릭스 글로벌 Top10,53
63,구미호뎐1938,Tale of the Nine-Tailed 1938,A,아시아권 인기·이동욱 팬덤,15
64,기생수더그레이,Parasyte: The Grey,A,넷플릭스 글로벌 1위,44
65,이재곧죽습니다,Death's Game,A,아마존 글로벌 화제·서인국,62
66,킬러들의쇼핑몰,A Shop for Killers,A,디즈니+ 글로벌 공개·이동욱,7
67,소년시대,Boyhood,A,쿠팡플레이 화제작·해외 입소문,18
68,동백꽃필무렵,When the Camellia Blooms,A,넷플릭스 공개·백상 대상,6
69,굿파트너,Good Partner,A,2024 최고 시청률·넷플릭스 공개,70
70,엄마친구아들,Love Next Door,A,넷플릭스 글로벌 Top10,104
71,조립식가족,Family by Choice,A,글로벌 OTT 인기·해외 팬덤,77
72,지옥에서 온 판사,The Judge from Hell,A,2024 화제작·해외 공개 인기,93
73,정년이,Jeongnyeon: The Star Is Born,A,2024 화제작·넷플릭스 공개,34
74,힘쎈여자강남순,Strong Girl Nam-soon,A,넷플릭스 글로벌 Top10,120
75,힘쎈여자도봉순,Strong Woman Do Bong Soon,A,넷플릭스 스테디 인기,14
76,재벌X형사,Flex X Cop,A,2024 인기·해외 공개,67
77,웨딩임파서블,Wedding Impossible,A,글로벌 OTT 로맨스 인기,102
78,원더풀월드,Wonderful World,A,디즈니+ 글로벌 공개,84
79,계시록,Revelations,A,2025 넷플릭스 글로벌 공개,10
80,세작매혹된자들,Captivating the King,A,넷플릭스 공개·조정석,20
81,밤에피는꽃,Knight Flower,A,2024 MBC 최고 시청률·해외 공개,4
82,폭군의셰프,,A,2025 넷플릭스 글로벌 히트,12
83,다이루어질지니,"Genie, Make a Wish",A,2025 넷플릭스 글로벌 공개·수지 김우빈,68
84,북극성,Tempest,A,2025 디즈니+ 글로벌·전지현 강동원,37
85,굿보이,Good Boy,A,2025 화제작·박보검 글로벌 팬덤,152
86,악연,Karma,A,2025 넷플릭스 글로벌 Top10,38
87,나인퍼즐,Nine Puzzles,A,2025 디즈니+ 화제작,62
88,광장,Mercy for None,A,2025 넷플릭스 글로벌 Top10 (Mercy for None),18
89,약한영웅2,Weak Hero Class 2,A,2025 넷플릭스 글로벌 Top10,40
90,언젠가는 슬기로울 전공의생활,Resident Playbook,A,2025 넷플릭스 글로벌 공개,21
91,미지의서울,Our Unwritten Seoul,A,2025 넷플릭스 글로벌 공개·박보영,139
92,커피프린스,Coffee Prince,B,한류 클래식·성지순례 정번,27
93,시크릿가든,Secret Garden,B,한류 클래식,16
94,드림하이,Dream High,B,K-POP 아이돌 출연 클래식,8
95,미남이시네요,You're Beautiful,B,일본·아시아 한류 클래식,11
96,궁,Princess Hours,B,한류 클래식,9
97,킬미힐미,"Kill Me, Heal Me",B,해외 팬덤 클래식,13
98,힐러,Healer,B,해외 팬덤 클래식·지창욱,13
99,W,W: Two Worlds,B,해외 팬덤 인기·이종석,21
100,피노키오,Pinocchio,B,아시아권 인기·이종석 박신혜,32
101,당신이잠든사이에,While You Were Sleeping,B,아시아권 인기,20
102,미생,Misaeng: Incomplete Life,B,아시아 직장인 드라마 대표작,32
103,나의아저씨,My Mister,B,해외 평단·마니아 대표작,49
