id,place_name,place_type,place_address,place_latitude,place_longitude,phone,opening_hours,break_time,closed_days,featured_count,featured_works,featured_categories,scene_descriptions,source_url,last_updated
food_00001,커피파머,cafe,경기도 고양시 일산서구 대화로 61,37.667523,126.72817,031-1899-8903,매일 09시 - 21시,정보없음,연중무휴,1,(아는 건 별로 없지만) 가족입니다,drama,[(아는 건 별로 없지만) 가족입니다] 6회에서 김은희(한예리)와 안효석(이종원)이 윤태형(김태호)의 은신처에서 서울로 돌아갈 때 이 카페에 들린다.,https://www.data.go.kr/data/15111405/fileData.do,2022-11-25
food_00002,셀렉토커피 남양주호평점,cafe,경기도 남양주시 천마산로 21,37.663558,127.24748,031-511-6362,매일 08시 - 22시,정보없음,연중무휴,1,(아는 건 별로 없지만) 가족입니다,drama,[(아는 건 별로 없지만) 가족입니다] 10회에서 하라(배윤경)는 은희(한예리)에게 이 커피숍에서 만나자고 메시지를 보낸다. 그녀는 은희에게 곧 미국으로 돌아간다고 알리고 건주(신동욱)에 대한 이야기를 이어간다.,https://www.data.go.kr/data/15111405/fileData.do,2022-11-25
food_00003,카페 그루비,cafe,경기도 수원시 영통구 센트럴파크로127번길 148,37.293983,127.05538,031-214-1288,매일 12시 - 22시,정보없음,연중무휴,1,(아는 건 별로 없지만) 가족입니다,drama,"[(아는 건 별로 없지만) 가족입니다] 안효석(이종원)은 바리스타로, 김은주(추자현)는 단골손님이다. 1화에서 이진숙(원미경)이 자녀와 사위에게 폭탄을 떨어뜨리는 장면이 나온다.",https://www.data.go.kr/data/15111405/fileData.do,2022-11-25
food_00004,카페 종이와 나무,cafe,경기도 파주시 회동길 445-1,37.720328,126.69388,031-955-9210,"평일 09시 30분 - 19시 30분, 주말 09시 30분 - 20시",정보없음,연중무휴,6,(아는 건 별로 없지만) 가족입니다 | 간 떨어지는 동거 | 그놈이 그놈이다 | 로맨스는 별책부록 | 사내맞선 | 진심이 닿다,drama,"[(아는 건 별로 없지만) 가족입니다] 다구 회장(이덕화 분)이 가장 좋아하는 일일 드라마의 촬영 장소 중 하나로 등장, 회장 자신이 이곳에서 조유정(서혜원)의 어머니 진채림(김영아)과 만나 조유정(서혜원)의 손자 강태무(안효섭)와 딸이 서로를 만나기 시작했다. || [간 떨어지는 동거] 이담(걸스데이 혜리)은 몰래 친구 최수경(박경혜)과 도재진(김도완)의 조언을 구하려고 한다. || [그놈이 그놈이다] 8회에서 웹툰 작가 조미옥(백주희) PD가 웹툰 작가 '유교걸'을 만나러 왔다. || [로맨스는 별책부록] 11회에서 송해린(정유진)은 지서준(위하준)에게 이곳에서 만나자고 한다, 그의 표지 디자인에 대해 이야기하기로 했습니다. || [사내맞선] 9회에서 강다구 회장(이덕화 분)이 가장 좋아하는 일일 드라마의 촬영 장소 중 하나로 등장 || [진심이 닿다] 14회에 권정록(이동욱)이 출연한다.",https://www.data.go.kr/data/15111405/fileData.do,2022-11-25
food_00005,퀸즈파크 청담점,restaurant,서울특별시 강남구 압구정로60길 22,37.52592,127.04159,02-542-4073,"월-수 11시 - 21시, 목-금 11시 - 22시, 토 10시 - 22시, 일 10시 - 21시",정보없음,연중무휴,9,(아는 건 별로 없지만) 가족입니다 | 경우의 수 | 남자친구 | 멜랑꼴리아 | 밥 잘 사주는 예쁜 누나 | 스토브리그 | 오! 주인님 | 이태원 클라쓰 | 초면에 사랑합니다,drama,"[(아는 건 별로 없지만) 가족입니다] 김은희(한예리), 그녀의 동료 친구 서경옥(가득희), 그리고 그녀의 새로운 지인 전하라(배윤경)는 8회에서 쇼핑을 마치고 이 식당에서 저녁을 먹기로 결정했다. || [경우의 수] 온준수(김동준) 대표는 경우연(신예은)은 4회에서 저녁 데이트를 위해 이 식당을 찾았다. || [남자친구] 차수현(송혜교)은 2회 말미에서 여기에서 비즈니스 미팅을 한다. || [멜랑꼴리아] 2회에서 성민준(장현성) 의원은 노정아 아성고 교장(진경)을 만나 학생 참여 제한 방안을 논의하자고 제안했다. || [밥 잘 사주는 예쁜 누나] 1회에서 윤진아(손예진)이 바람 피운 전남친에게 분노한 레스토랑 || [스토브리그] 이세영(박은빈)과 그녀의 동료 한재희(조병규)는 에필로그에서 집으로 돌아가는 길에 이 식당을 지나며 백승수를 만난다. || [오! 주인님] 3회에서 대영은 어머니 강해진(이휘향)과 함께 이 식당에서 점심을 먹는다. || [이태원 클라쓰] 이 식당은 오수아(권나라)가 장가집을 그만두고 운영하는 식당 '퀸즈팔레'로 등장한다. || [초면에 사랑합니다] 이 식당의 외관은 베로니카 박(김재경)이 있는 식당이며, 15화(전체 8화)에서 고려(구자)와 저녁 식사를 하고 있다.",https://www.data.go.kr/data/15111405/fileData.do,2022-11-25
food_00006,혜심정,restaurant,서울특별시 강북구 삼양로181길 178,37.67139,127.00698,02-993-1550,매일 10시 - 22시,정보없음,연중무휴,1,(아는 건 별로 없지만) 가족입니다,drama,[(아는 건 별로 없지만) 가족입니다] 13회에서 쉬는 날 박찬혁(김지석 분)을 자발적으로 초대해 이 식당에 함께 간다.,https://www.data.go.kr/data/15111405/fileData.do,2022-11-25
food_00007,가든포에트,restaurant,서울특별시 마포구 와우산로14길 12,37.55016,126.9237,0507-1377-0887,화-일 11시 - 21시 30분,정보없음,월요일,8,(아는 건 별로 없지만) 가족입니다 | 구여친클럽 | 그래서 나는 안티팬과 결혼했다 | 눈의 여왕 | 사랑비 | 아홉수 소년 | 역도요정 김복주 | 연애혁명,drama,"[(아는 건 별로 없지만) 가족입니다] 9화에서 이진숙(원미경)과 딸 김은주(추자현)가 찾아온 카페이다 || [구여친클럽] 7회에서 방명수(변요한)는 이 카페에서 도상우(조건)를 처음 만나 김수진(송지효)에게 고백하겠다고 한다. || [그래서 나는 안티팬과 결혼했다] 마지막 16회에서 한재원 감독(동현배)이 예능 프로그램 '그래서 나는 안티팬과 결혼했다'의 노도윤 작가(임도윤)에게 이 카페에서 프러포즈를 한다. || [눈의 여왕] 서건호(임주환)와 김보라(성유리)가 이 카페에서 두 번 만났다. 7화에서 보라는 이곳에서 뜻밖에 엄마를 만나고, 9화에서 건호는 이 카페에서 엄마와 이별한다. || [사랑비] 유기농 카페 제너럴닥터로 등장하는 이곳은 서준(장근석)의 사무실이자 정하나(윤아)의 정원이다. || [아홉수 소년] 여기는 주다인(유다인)의 카페이다. || [역도요정 김복주] 10화에서 김복주(이성경)는 짝사랑하는 정재이(이재윤)에게 사과를 받고 싶어 이곳에서 만나자고 한다. 그것은 그녀에게 완전히 고통스러운 순간이며 그녀는 가능한 한 빨리 떠난다. || [연애혁명] 9회에서 이경영(더보이즈 영훈)이 이 카페에서 아르바이트를 하고 있다.",https://www.data.go.kr/data/15111405/fileData.do,2022-11-25
food_00008,커피한약방 혜화점,cafe,서울특별시 종로구 동숭2길 9,37.580861,127.0048,070-4200-4242,"월-목 12시 - 21시, 금-일 12시 - 22시",정보없음,연중무휴,1,(아는 건 별로 없지만) 가족입니다,drama,[(아는 건 별로 없지만) 가족입니다] 김상식(정진영)은 온라인에서 나이 많은 커플들의 좋은 데이트 장소로 검색해 아내 이진숙(원미경)을 데려왔다. 그는 온라인에서 읽은 데이트 조언에 따라 커피를 마시면서 휴대 전화에 사진을 보여줍니다. (진심어린 대화로 상황이 더 진지해질 때까지.),https://www.data.go.kr/data/15111405/fileData.do,2022-11-25
food_00009,목남갤러리카페,cafe,서울특별시 중구 퇴계로68길 16,37.563753,127.00979,02-2256-9256,정보없음,정보없음,정보없음,2,(아는 건 별로 없지만) 가족입니다 | 너에게 가는 속도 493km,drama,[(아는 건 별로 없지만) 가족입니다] 카페의 옥상(실은 이곳이 옥상)에서 그녀에게 고백을 하고 두 사람은 이별의 키스로 저녁을 마무리한다. 은희는 언니의 차가 도착하는 것을 보고 갑자기 자신의 심장이 방금 키스한 사람이 아니라 다른 사람을 위해 뛰고 있다는 걸 깨닫는다 || [너에게 가는 속도 493km] 4화에서 박태양(박주현)이 박태준(채종협)에게 팀을 떠날지도 모른다고 말하는 카페 앞이다.,https://www.data.go.kr/data/15111405/fileData.do,2022-11-25
food_00010,카우카우펍 합정점,restaurant,서울특별시 마포구 독막로 10,37.548497,126.914483,02-325-5353,매일 15시 - (익일) 05시,정보없음,연중무휴,7,#좋맛탱: 좋은 맛에 취하다 | 김비서가 왜 그럴까 | 세가지 색 판타지 | 슬기로운 의사생활 | 안녕 나야! | 애간장 | 편의점 샛별이,drama,"[#좋맛탱: 좋은 맛에 취하다] 그녀에게 끌리는 오싹한 선배 지수와 함께 밥을 먹는다. 실수로 언니의 셔츠에 소스를 바르고, 동생이 닦자고 손을 뻗기도 전에 같은 반 친구 이연남(김민규)이 그녀를 데리고 화장실로 가자고 한다. 연남은 충남에게 아침 일찍 장난을 쳤던 것에 대해 사과하고, 둘은 서로에게 별 감정 없음을 확인하고 친구가 되기로 한다. || [김비서가 왜 그럴까] 김비서가 왜 그럴까에서 박서준,박민영이 회식한 펍 || [세가지 색 판타지] 박세건(안효섭)의 엄마가 패션쇼에 오지 않을 것이라는 사실을 알게 된 후 그는 강미주(윤소희)는 미니 시리즈/드라마 3부작의 세 번째 이야기인 반지의 여왕(반바지 여왕) 9화에서 술을 마시러 이 술집에 옵니다. 세 가지 빛깔의 판타지 ) (MBC/Naver 2017). || [슬기로운 의사생활] 11회에서 전미도를 두고 진실게임을 한 술집 || [안녕 나야!] 동물보호소에서 봉사활동을 마친 안토니(음문석)는 함께한 모든 이들을 초대한다. 반하니(최강희)와 한유현(김영광) 8화에서 이 술집에서 술 한 잔을 한다. || [애간장] 강신우(씨엔블루 이정신)는 7회에서 고등학교 친구들과 함께 '가람펍'에 온다. 한지수(이열음)에게 모임을 알렸지만 답이 없었다. 그녀가 나타나 그는 기쁨을 나타냈다. 그러나 어린 자신(서지훈)이 그녀와 함께 나타나면서 공포가 된다. || [편의점 샛별이] 편의점샛별이에서 지창욱과 김유정이 맥주를 마신 곳",https://www.data.go.kr/data/15111405/fileData.do,2022-11-25
