id,title,place_name,place_address,scene_description
st_05175,더킹,아그레아블,서울 강남구 역삼로 110,
st_05176,더킹,파리바게트,서울 마포구 와우산로 99,
st_05177,더킹,여의도한강공원,서울 영등포구 여의동로 252,
st_05178,더킹,북촌진곰탕,서울 종로구 북촌로 137-2,
st_05179,더킹,세종문화회관,서울 종로구 세종대로 175,
st_05180,더킹,광화문광장,서울 종로구 세종로 1-68,
st_05181,더킹,한국은행화폐박물관,서울 중구 남대문로 39,
st_08977,사이코지만괜찮아,예전,인천 제물포구 월미문화로 43-2,
st_08978,사이코지만괜찮아,인천아트플랫폼,인천 제물포구 제물량로218번길 3,
st_08982,사이코지만괜찮아,버스정류장,인천 제물포구 화도진로 88,
st_08983,사이코지만괜찮아,샛골설렁탕,인천 제물포구 금곡로82번길 14,
st_08984,사이코지만괜찮아,웰빙쌈밥앤칡불냉면,인천 남동구 남동대로799번길 44,
st_08985,사이코지만괜찮아,서브웨이,인천 남동구 구월남로 153,
st_08986,사이코지만괜찮아,송도아울렛,인천 연수구 송도과학로16번길 33-3,
st_08987,사이코지만괜찮아,서래갈매기,서울 강남구 강남대로96길 17,
st_08989,사이코지만괜찮아,대성관,서울 동작구 여의대방로 204-1,
st_08990,사이코지만괜찮아,엔젤리너스,서울 영등포구 여의도동 61-5,
st_08992,사이코지만괜찮아,노들견우카페,서울 용산구 이촌동 361-1,
st_08993,사이코지만괜찮아,후암동집,서울 용산구 후암로28마길 30,
st_10114,스물다섯스물하나,동일슈퍼,인천 제물포구 월미로 26-1,
st_10115,스물다섯스물하나,서니구락부,인천 제물포구 신포로23번길 80,
st_10120,스물다섯스물하나,삼부조명,서울 용산구 청파로 101,
st_10121,스물다섯스물하나,화신유통,서울 용산구 청파로 91,
st_10123,스물다섯스물하나,교보빌딩앞,서울 종로구 종로 1,
st_10125,스물다섯스물하나,효자분식,서울 종로구 필운대로 108-2,
st_10152,스위트홈2,더현대서울,서울 영등포구 여의대로 108,
st_10153,스위트홈2,강변북로,서울 성동구 금호동4가 1523-2,
st_10154,스위트홈2,"반포대교,잠수교",서울 서초구 반포동 647,
st_10155,스위트홈2,코엑스교차로,서울 강남구 삼성동,
st_10156,스위트홈2,잠실종합운동장,서울 송파구 올림픽로 25,
st_10157,스위트홈2,부천아트벙커 B39,경기 부천시 삼작로 53,
st_10457,슬기로운의사생활,하남돼지/코엑스점,서울 강남구 테헤란로81길 53,
st_14690,응답하라1988,뮈렌,서울 강남구 봉은사로2길 31 2층,
st_14691,응답하라1988,맥도날드,서울 광진구 아차산로 376,
st_14692,응답하라1988,성공회대,서울 구로구 항동 1-1,
st_14694,응답하라1988,그린클라우드,서울 마포구 와우산로 138,
st_14695,응답하라1988,한국기원,서울 성동구 홍익동 315,
st_14696,응답하라1988,내마음의풍차,서울 성북구 종암로 107,
st_14697,응답하라1988,경찰병원,서울 송파구 송이로 123,
st_14698,응답하라1988,공군회관,서울 영등포구 여의대방로 259,
st_14699,응답하라1988,앙카라공원,서울 영등포구 여의도동 56,
st_14700,응답하라1988,후암동 골목,서울 용산구 한강대로102다길 33,
st_14701,응답하라1988,후암동 골목,서울 용산구 한강대로102다길 34,
st_17931,킬러들의쇼핑몰,양평버스터미널,경기 양평군 양평읍 시민로 91,
st_17932,킬러들의쇼핑몰,행운맨션,경기 성남시 중원구 희망로375번길 22,
st_17933,킬러들의쇼핑몰,섬강 수변공원,강원 원주시 부론면 흥호리 664,
st_17934,킬러들의쇼핑몰,제천서울병원,충북 제천시 숭문로 57,
st_17935,킬러들의쇼핑몰,황간초등학교,충북 영동군 황간면 남성1길 25,
st_17936,킬러들의쇼핑몰,놀뫼시민장례원,충남 논산시 원댕이길 12,
st_17937,킬러들의쇼핑몰,상관반점,전북 완주군 상관면 신리로 45,
st_19856,힐러,오렌지힐,서울 강남구 대치동 903-30,
st_19860,힐러,장수갈매기,서울 마포구 도화동 182-11,
st_19861,힐러,누리꿈스퀘어.MBC,서울 마포구 상암동 1605,
st_19862,힐러,누리꿈스퀘어 서쪽,서울 마포구 상암동 1605,
st_19863,힐러,patternETHIOPIA,서울 마포구 서교동 325-16,
st_19864,힐러,CU 서교로점,서울 마포구 서교동 446-42,
st_19865,힐러,상암중고등학교입구버정,서울 마포구 월드컵북로 424,
st_19866,힐러,동진아파트,서울 서대문구 연희동 141-34,
