id,title,place_name,place_address,scene_description
st_10463,시그널,노원경찰서,서울 노원구 노원로 283,
st_10464,시그널,GS25 중계에이스점,서울 노원구 덕릉로 699,
st_10465,시그널,미증유옆,서울 마포구 상암동 2-65,
st_10466,시그널,서브웨이,서울 마포구 와우산로 44,
st_10468,시그널,물빛광장,서울 영등포구 여의도동 84-9,
st_10470,시그널,CU맞은편,서울 은평구 갈현로 326,
st_10471,시그널,은영슈퍼,서울 은평구 증산로13길 32,
st_10477,시그널,전일모터스,서울 종로구 율곡로 269,
st_10478,시그널,남산육교,서울 중구 퇴계로 34,
st_10479,시그널,헬로양꼬치,서울 마포구 동교동 201-20,
st_15665,작은아씨들,광명신우연립,경기 광명시 가림로215번길 19,
st_15666,작은아씨들,동아미디어센터,서울 마포구 매봉산로 75,
st_15667,작은아씨들,마포소금구이,서울 마포구 와우산로32길 38,
st_15668,작은아씨들,에이미,서울 마포구 와우산로27길 62,
st_15669,작은아씨들,성갤러리,서울 마포구 와우산로 124,
st_15670,작은아씨들,기계회관본관앞 횡단보도,서울 영등포구 은행로 37,
st_15671,작은아씨들,녹사평육교,서울 용산구 용산동2가 7-83,
st_15672,작은아씨들,서울루덴스,서울 용산구 회나무로 69,
st_15673,작은아씨들,동자아파트,서울 용산구 한강대로104마길 30,
st_15675,작은아씨들,숭의여대,서울 중구 소파로2길 10,
st_15676,작은아씨들,바캉스커피,서울 중구 남대문로9길 12 9층,
st_15677,작은아씨들,세운대림상가,서울 중구 을지로 157,
st_15678,작은아씨들,광화문역5번출구,서울 종로구 세종대로 152,
st_15679,작은아씨들,보칼리노,서울 종로구 새문안로 97 2층,
st_15680,작은아씨들,서대문형무소,서울 서대문구 통일로 251,
st_15681,작은아씨들,평창동집,서울 종로구 평창6길 91,
st_15682,작은아씨들,충현슈퍼,서울 중구 동호로17길 105,
st_15683,작은아씨들,반얀트리 페스타,서울 중구 장충단로 60,
st_15684,작은아씨들,그옛날 즉석짜장,서울 동대문구 고산자로60길 49,
st_15685,작은아씨들,신답역,서울 성동구 천호대로 232,
st_15686,작은아씨들,아베크청담,서울 강남구 선릉로 823,
st_15687,작은아씨들,아크레도 청담점,서울 강남구 압구정로 410,
st_15688,작은아씨들,MCM,서울 강남구 압구정로 412,
st_15689,작은아씨들,올리브빌딩,서울 강남구 선릉로152길 37,
st_15691,작은아씨들,안동추억박물관,경북 안동시 와룡면 장수골길 17,
st_15692,작은아씨들,울산 대바위공원,울산 울주군 서생면 진하리 57-22,
st_15693,작은아씨들,골프존파크,경남 양산시 물금읍 메기로 190,
st_15694,작은아씨들,영상산업센터,부산 해운대구 센텀서로 39,
st_19046,피노키오,퀸스파크청담점,서울 강남구 압구정로60길 22,
st_19047,피노키오,데이터복구연구소,서울 강남구 언주로133길 28,
st_19048,피노키오,NC백화점,서울 강서구 등촌동 689,
st_19049,피노키오,하계2치안센터,서울 노원구 공릉로55길 96,
st_19050,피노키오,서울노원경찰서,서울 노원구 노원로 283,
st_19051,피노키오,인덕대학앞,서울 노원구 월계동 648,
st_19052,피노키오,동작대교전망대앞,서울 동작구 동작대로 335,
st_19053,피노키오,성산동집,서울 마포구 동교로23길 102,
st_19054,피노키오,새누리어린이공원,서울 마포구 상암동 1619,
st_19055,피노키오,JTBC,서울 마포구 상암동 1651,
st_19059,피노키오,MBC앞,서울 마포구 성암로 267,
st_19060,피노키오,중앙공인중개사사무소,서울 마포구 양화로7길 20,
st_19061,피노키오,누리꿈스퀘어,서울 마포구 월드컵북로 396,
st_19063,피노키오,힐하우스,서울 서대문구 북아현로22마길 47,
st_19064,피노키오,해담는다리,서울 서대문구 불광천길 159,
st_19065,피노키오,연희주택,서울 서대문구 연희동 541-16,
st_19066,피노키오,첼시하우스,서울 서대문구 증가로2길 39,
st_19067,피노키오,연희하이츠빌라,서울 서대문구 증가로2길 56-56,
st_19068,피노키오,만물슈퍼옆,서울 서대문구 홍제천로2길 54-4,
st_19069,피노키오,원진성형외과,서울 서초구 강남대로 419,
st_19070,피노키오,오목공원,서울 양천구 목동서로 159-2,
st_19071,피노키오,SBS,서울 양천구 목동서로 161,
st_19072,피노키오,KDB산업은행앞,서울 영등포구 여의도동 1-6,
st_19073,피노키오,이마트여의도점앞,서울 영등포구 여의도동 47,
st_19074,피노키오,산호아파트C동,서울 용산구 원효로 64,
st_19075,피노키오,서강껍데기,서울 용산구 이촌로 9,
st_19076,피노키오,단군성전앞,서울 종로구 인왕산로 22,
