famous_rank,title,title_en,in_kdramamap,n_sources,borda,mdl_rank,imdb_rank,pv_rank
1,폭싹 속았수다,When Life Gives You Tangerines,Y,3,284,1,13,5
2,사랑의불시착,Crash Landing on You,Y,3,270,14,6,13
3,더글로리,The Glory Part 2,Y,3,266,17,8,12
4,이상한변호사우영우,Extraordinary Attorney Woo,Y,3,230,33,14,26
5,응답하라1988,Reply 1988,Y,3,226,9,35,33
6,반짝이는워터멜론,Twinkling Watermelon,Y,3,221,2,56,24
7,선재업고튀어,Lovely Runner,Y,3,218,15,45,25
8,도깨비,Guardian: The Lonely and Great God,Y,3,215,44,15,29
9,사이코지만괜찮아,It's Okay to Not Be Okay,Y,3,210,36,7,50
10,사냥개들2,Bloodhounds,Y,3,203,61,17,22
11,스위트홈2,Sweet Home,Y,3,192,62,11,38
12,지금우리학교는,All of Us Are Dead,Y,3,191,98,3,11
13,눈물의여왕,Queen of Tears,Y,3,186,72,24,21
14,모범택시1,Taxi Driver Season 2,Y,3,181,23,97,2
15,사내맞선,Business Proposal,Y,3,179,84,10,30
16,이재곧죽습니다,Death's Game Part 2,Y,3,178,39,28,58
17,스물다섯스물하나,Twenty Five Twenty One,Y,3,178,46,30,49
18,슬기로운의사생활,Hospital Playlist Season 2,Y,3,153,7,83,60
19,나의아저씨,My Mister,Y,3,153,16,54,80
20,중증외상센터,The Trauma Code: Heroes on Call,Y,3,143,6,78,76
21,킬러들의쇼핑몰,A Shop for Killers,Y,3,119,51,86,47
22,오징어게임,Squid Game,Y,2,200,,1,1
23,환혼,Alchemy of Souls,N,2,178,5,19,
24,약한영웅2,Weak Hero Class 1,Y,2,175,4,23,
25,킹덤,Kingdom Season 2,N,2,166,31,5,
26,빈센조,Vincenzo,N,2,160,30,12,
27,악의꽃,Flower of Evil,N,2,158,8,36,
28,킹더랜드,King the Land,Y,2,157,,2,43
29,무빙,Moving,Y,2,146,10,46,
30,참교육,Teach You a Lesson,Y,2,138,12,52,
31,마우스,Mouse,N,2,135,29,38,
32,무브투헤븐,Move to Heaven,Y,2,133,3,66,
33,철인왕후,Mr. Queen,N,2,131,18,53,
34,연인,My Dearest,Y,2,130,20,,52
35,태양의후예,Descendants of the Sun,Y,2,130,,21,51
36,스터디그룹,Study Group,Y,2,124,32,,46
37,낭만닥터김사부3,Dr. Romantic Season 3,Y,2,121,28,,53
38,내일,Tomorrow,N,2,116,38,48,
39,해피니스,Happiness,N,2,114,37,51,
40,라켓소년단,Racket Boys,N,2,114,70,18,
41,마이네임,My Name,N,2,113,80,9,
42,마이데몬,My Demon,Y,2,111,,32,59
43,다이루어질지니,"Genie, Make a Wish",Y,2,107,,87,8
44,북극성,Tempest,Y,2,105,,91,6
45,역도요정김복주,Weightlifting Fairy Kim Bok Joo,Y,2,104,57,41,
46,갯마을차차차,Hometown Cha-Cha-Cha,N,2,104,78,20,
47,김비서가왜그럴까,What's Wrong with Secretary Kim,Y,2,103,,26,73
48,경이로운소문2,The Uncanny Counter,Y,2,102,43,57,
49,시그널,Signal,Y,2,97,34,71,
50,내남편과결혼해줘,Marry My Husband,Y,2,95,,73,34
51,작은아씨들,Little Women,Y,2,95,,100,7
52,미스터션샤인,Mr. Sunshine,N,2,93,47,62,
53,힐러,Healer,Y,2,93,48,61,
54,달의연인보보경심려,Moon Lovers: Scarlet Heart Ryeo,N,2,88,59,55,
55,호텔델루나,Hotel Del Luna,Y,2,88,,39,75
56,피노키오,Pinocchio,Y,2,87,,84,31
57,이태원클라쓰,Itaewon Class,Y,2,86,,27,89
58,더킹,The King: Eternal Monarch,Y,2,85,,33,84
59,별에서온그대,My Love from Another Star,Y,2,85,,34,83
60,DP,D.P.,N,2,82,50,70,
61,뉴토피아,Newtopia,Y,2,82,,80,40
62,언젠가는 슬기로울 전공의생활,Resident Playbook,Y,2,80,60,,62
63,비밀의숲,Stranger,Y,2,75,55,72,
64,미지의서울,Our Unwritten Seoul,Y,2,64,69,,69
65,엄마친구아들,Love Next Door,Y,2,62,,77,63
66,광장,Mercy for None,Y,2,61,,85,56
67,당신이잠든사이에,While You Were Sleeping,Y,2,54,81,67,
68,조립식가족,Family by Choice,Y,2,49,83,,70
69,지옥에서 온 판사,The Judge from Hell,Y,2,45,90,,67
70,알고있지만,Nevertheless,Y,2,45,,63,94
71,이번생도잘부탁해,See You in My 19th Life,Y,2,37,,74,91
72,웰컴투삼달리,Welcome to Samdalri,Y,2,26,,90,86
73,마스크걸,Mask Girl,Y,2,21,,82,99
