id,title,place_name,place_address
st_04124,눈물의여왕,양화대교,서울 마포구 합정동 351-4
st_04126,눈물의여왕,마포대교아래,서울 영등포구 여의도동 84
st_04130,눈물의여왕,여의도환승센터(3번승강장),서울 영등포구 여의대로 122-2
st_04131,눈물의여왕,더현대서울 정류장,서울 영등포구 여의대로 108
st_04137,눈물의여왕,더리버 옆,서울 용산구 용산동6가 451-1
st_04141,눈물의여왕,용산전자상가 제4공영주차장,서울 용산구 원효로3가 50-2
st_04147,눈물의여왕,대원정사 주차장,서울 용산구 두텁바위로60길 49
st_04148,눈물의여왕,소파로,서울 중구 남창동 202-11
st_04153,눈물의여왕,아키라백,서울 종로구 새문안로 97 12층
st_04156,눈물의여왕,우리옛돌박물관앞,서울 성북구 대사관로13길 77
st_04157,눈물의여왕,서울면남초등학교,서울 중랑구 면목로30나길 38
st_04158,눈물의여왕,아차산 지하차도 옆,서울 광진구 광장동 399-12
st_04161,눈물의여왕,써브웨이 사당역점,서울 서초구 동작대로 24
st_04164,눈물의여왕,메가커피 역삼GFC점,서울 강남구 논현로 429
st_04170,눈물의여왕,깔끔이슈퍼,경기 파주시 적성면 국사로 61
st_04171,눈물의여왕,식현1리,경기 파주시 적성면 국사로54번길 59
st_04172,눈물의여왕,식현1리 마을회관,경기 파주시 적성면 국사로54번길 72
st_04174,눈물의여왕,조이마당스튜디오,경기 파주시 파주읍 봉서산로 245
st_04175,눈물의여왕,블라썸,경기 파주시 가람로21번길 46
st_04177,눈물의여왕,써브웨이 파주야당역점,경기 파주시 경의로 1080
st_04178,눈물의여왕,서강빌딩,경기 고양시 일산서구 강성로 239
st_04181,눈물의여왕,백합칼국수&보쌈,경기 고양시 일산동구 강촌로12번길 8-6
st_04182,눈물의여왕,강화대교,경기 김포시 월곶면 성동리
st_04190,눈물의여왕,오호항,강원 고성군 죽왕면 심층수길 40-15
st_04196,눈물의여왕,괴산휴게소(양평방향),충북 괴산군 중부내륙고속도로 204
st_04199,눈물의여왕,인포 정육점식당,충북 옥천군 안내면 현리길 86-1
st_04206,눈물의여왕,장항송림산림욕장,충남 서천군 장항읍 송림리 산 65
st_04207,눈물의여왕,서천유스호스텔,충남 서천군 장항읍 장항산단로34번길 72-40
st_04208,눈물의여왕,성일복지원,충남 서천군 장항읍 장항산단로34번길 70
st_04209,눈물의여왕,익산교도소세트장,전북 익산시 성당면 함낭로 207
st_04222,눈물의여왕,위만리(1),경북 문경시 산양면 위만리 86
st_04223,눈물의여왕,위만리(2),경북 문경시 산양면 위만리 440
st_04224,눈물의여왕,위만리(3),경북 문경시 산양면 위만길 26
st_04225,눈물의여왕,위만리(4),경북 문경시 산양면 위만길 1
st_04226,눈물의여왕,위만리(5),경북 문경시 산양면 위만리 산 30
st_04227,눈물의여왕,문경활공랜드,경북 문경시 문경읍 활공장길 80
st_04228,눈물의여왕,문경맛집순대,경북 문경시 문경읍 주흘1길 15
st_04229,눈물의여왕,문희로,경북 문경시 문경읍 문희로 24
