id,place_name,scene_description,desc_source_url
st_06887,디와이피엔에프 마곡사옥,9화에서 로미와 지안이 오디션을 거쳐 옐로스타 엔터테인먼트 연습생이 되는 장면,https://blog.naver.com/redmee2/224116095123
st_06888,소망김밥,,
st_06889,코끼리문방구,,
st_06890,생오리숯불구이(폐업),,
st_06891,야끼니꾸요이땅,,
st_06892,증산동집,,
st_06893,SBS프리즘타워,,
st_06894,매봉산로(월드컵파크3단지쪽),,
st_06895,성산자동차검사소,,
st_06896,야식포차,,
st_06897,카페베이지크,,
st_06898,계림빌딩앞,,
st_06899,명물길,,
st_06900,한강산책로(서울마리나리조트쪽),,
st_06901,서강대교,,
st_06902,에프케이아이타워앞 택시정류장,,
st_06903,원대구탕,,
st_06904,그린코너,,
st_06905,한강대로7길,,
st_06906,서울드래곤시티,,
st_06907,새창로49길,,
st_06908,꾸띠자르당,,
st_06909,뚝섬로,,
st_06910,후암동집,,
st_06911,별장아파트,,
st_06912,모노맨션 동국대점,,
st_06913,세종대로,,
st_06914,알유스포츠 계동점,,
st_06915,선운각,,
st_06916,화랑대 철도공원,,
st_06917,문화교통,3화에서 안고은이 무지개운수 정비실의 최주임과 박주임에게 예전 콜밴을 팔라고 말하는 장면,https://blog.naver.com/redmee2/224091647432
st_06918,독서당로62가길,,
st_06919,생각공장데시앙플렉스,,
st_06920,제일인력개발,,
st_06921,잠수교,,
st_06922,LIE SANGBONG,,
st_06923,하이테이블 차병원사거리점,,
st_06924,대진디자인고등학교,9화에서 로미와 지안이 학교 운동장에서 아이돌 오디션용 댄스 영상을 촬영하는 장면,https://blog.naver.com/redmee2/224116095123
st_06925,인천서구 장애인종합복지관,,
st_06926,원창로,,
st_06927,인천서구견인보관소,,
st_06928,인천서구가족센터,,
st_06929,인천공항,,
st_06930,영종대로(1),,
st_06931,영종대로(2),,
st_06932,은하수로75번길,,
st_06933,자연대로,,
st_06934,문테라스,,
st_06935,어촌로,,
st_06937,만수주공3단지,,
st_06938,더엘엑스 솔라가드 프리미엄 논현동 본점,,
st_06939,테크노파크로,,
st_06940,블리스버거 연천점,,
st_06941,두리랜드,,
st_06942,의정부버스터미널,,
st_06943,이비가짬뽕 의정부용현점,,
st_06944,조이마당스튜디오,,
st_06945,크리스찬메모리얼파크,,
st_06946,효자그린빌,,
st_06947,로터스 공식 서비스센터,,
st_06948,바버샵 웰던 맨즈헤어,,
st_06949,긴자 일산점,,
st_06950,일상피트니스 삼송역점,,
st_06951,삼송마을LH16단지아파트,,
st_06952,오엘크루 행신점,,
st_06953,피스키스 뮤직스튜디오,,
st_06954,바그 서오릉 직영점,,
st_06955,강매석교공원 주차장,,
st_06956,얼반웍스 스튜디오,,
st_06957,더작심스터디카페 김포걸포점,,
st_06958,서울여성병원 부천점,,
st_06959,이비가짬뽕 부천까치울역점,,
st_06960,암사대교아래,,
st_06961,늘푸른자연학교,,
st_06962,대성사,,
st_06963,안성장례식장(폐업),,
st_06964,춘천대교,,
st_06965,돌모루하우스낚시터,,
st_06966,폐리조트,,
st_06967,부남해변,,
st_06968,정북동 토성,,
st_06970,디오토몰,,
st_06971,수청중앙로,,
st_06972,천안서북경찰서,,
st_06973,오토메카 부설주차장,,
st_06974,천안G1비즈캠퍼스,,
st_06975,천안교도소,,
st_06976,서혜원,,
st_06977,세종충남대학교병원,,
st_06978,군산초등학교,,
st_06979,월명로,,
st_06980,전북특별자치도종합사격장,,
st_06981,청웅저수지,,
st_06982,창제리,,
st_06983,천사대교,,
st_06984,자은고교여객선터미널,,
st_06985,자은고교선착장,,
st_06986,한운길,,
st_06987,둔장어촌체험휴양마을,,
st_06988,사월포길,,
st_06989,송공여객선터미널,,
st_06990,로또분식,,
st_06991,부산항연안여객터미널,,
st_06992,반도보라할인마트,,
st_06993,신선중학교,,
st_06994,흰여울길,,
st_06995,흰여울마을 해안산책로,,
st_06996,감지해변,,
st_06997,해양힐링로,,
st_06998,미나토카시이도로,,
st_06999,하카타항국제터미널 주차장,,
st_07000,C.Sビル,,
st_07001,多門ビル,,
st_07002,多門通り,,
st_07003,강변한신코아아파트,,
st_07004,多門Build’83,,
st_07005,パパヒロヤ 中洲のドラッグストア,,
st_07006,ラインビル,,
st_07007,Nakagawa St,,
st_07008,大丸別荘,,
st_07009,ブラザーズジム,,
st_07010,照葉浅部クリニック,,
st_07011,Kashiiteriha St,,
st_07012,はかた近代ビル,,
st_07013,高橋ビル옆주차장,,
st_07014,タイムスペース 今泉第9,,
st_07015,高祖神社,,
st_07016,宝来軒,,
st_07017,후쿠오카 컨벤션 센터앞 주차장,,
st_07018,児童会館通り,,
st_07019,金田駅,,
st_07020,唐津市歴史民俗資料館,,
st_07021,ベスト電器みすず庵共同ビル,,
st_20485,주원산업(부지),,
st_00021,마곡중앙로(1),,
st_00022,마곡중앙로(2),,
st_00023,마곡중앙로(3),,
st_00024,월드컵북로(5단지앞),,
st_00025,MBC,,
st_00026,누리꿈스퀘어,,
st_00027,당산철교,,
st_00028,서강대교,,
st_00029,마포대교,,
st_00030,여의대로,,
st_00031,IFC,,
st_00032,스위치22 여의도점,,
st_00033,국제금융로,,
st_00034,고척스카이돔,,
st_00035,고려대학교 구로병원,,
st_00036,올림픽대로,,
st_00037,노량대교,,
st_00038,노들로,,
st_00039,강변북로,,
st_00040,동작대교,,
st_00041,녹트,,
st_00042,국립서울현충원,,
st_00043,국립중앙박물관,12화에서 왕이 된 이안이 전시된 왕실 유물을 보며 지난 일을 회상하는 장면,https://blog.naver.com/foreveredc/224289205524
st_00044,르가드더메인한남,,
st_00045,그랜드하얏트 서울,,
st_00046,나라약국,,
st_00047,청춘식당(폐업),,
st_00048,신세계백화점 본점,,
st_00049,대한민국역사박물관,,
st_00050,경복궁,,
st_00051,"경복궁,국립민속박물관 정류장(01540)",,
st_00052,삼청로,,
st_00053,서울경찰청,,
st_00054,서순라길,,
st_00055,종묘,,
st_00056,써브웨이 종암점,,
st_00057,경희대학교,,
st_00058,성신여자대학교 운정그린캠퍼스,,
st_00059,응봉산,,
st_00060,청담대교,,
st_00061,캐틀앤비(폐업),,
st_00062,시티악기,,
st_00063,잠수교,,
st_00064,서초대로,,
st_00065,럭셔리판다,,
st_00066,0914 도산공원 플래그십 스토어,,
st_00067,CGV청담씨네시티,,
st_00068,테헤란로,,
st_00069,조선팰리스 강남,,
st_00070,제이에스티나빌딩,,
st_00071,웰킵스타워,,
st_00072,온수리성공회,,
st_00073,파라다이스시티호텔,,
st_00074,인천문학경기장,,
st_00075,써브웨이 인천송도8공구점,,
st_00076,경원재 바이 워커힐,,
st_00077,오크우드프리미어 인천 파노라믹65,,
st_00078,라운지25,,
st_00079,양주한국병원,,
st_00080,모터리,,
st_00081,조이마당스튜디오,,
st_00082,로케이션 이음,,
st_00083,얼반웍스 스튜디오,,
st_00084,오르다온,,
st_00085,하남돼지집 본점,,
st_00086,화서문,,
st_00087,보바스기념병원,,
st_00088,경희대학교 국제캠퍼스,,
st_00089,용인대장금파크,,
st_00090,광주경찰서,,
st_00091,선향재 한옥 스튜디오,,
st_00092,당남리섬,,
st_00093,마임비전빌리지,,
st_00094,세트장(치악산드림랜드부지),,
st_00097,우암산로,,
st_00098,수암골전망대,,
st_00099,청남대,,
st_00100,백제문화단지,,
st_00101,아원고택,극 중 이안대군이 휴가 중 비 오는 한옥에 앉아 책을 읽는 장면,https://blog.naver.com/kn99011/224273055461
st_00102,소양고택,,
st_00103,광한루원,,
st_00104,경상북도청,극 중 총리 관저와 국회의사당의 앞마당과 회랑이 등장하는 장면,https://www.wikitree.co.kr/articles/1134056
st_00105,마성오픈세트장,극 중 궁궐에 큰 화재가 발생해 인물들이 위기에 놓이는 장면,https://www.wikitree.co.kr/articles/1134056
st_00106,예천진호국제양궁장,극 중 성희주와 이안대군이 팽팽한 심리전 속에서 국궁 대결을 펼치는 장면,https://www.wikitree.co.kr/articles/1134056
st_00108,이순신대로(1),,
st_00109,이순신대로(2),,
st_00110,센텀서로(1),,
st_00111,센텀서로(2),,
st_00112,케이엔엔타워,,
st_00113,부산요트투어,,
st_02512,DDMC,,
st_02513,마포소금구이,,
st_02514,대성정밀,,
st_02515,세검정초등학교 정류장(01133),,
st_02516,세검정초등학교 정류장(01144),,
st_02517,평창사 세탁,,
st_02518,동문열쇠건물,,
st_02519,정릉로8길,,
st_02520,강북해병대전우회,,
st_02522,대웅빌딩,,
st_02523,서울과학기술대학교 창학관,,
st_02524,아난티 앳 강남,,
st_02525,미카도스시 둔촌포레온점,,
st_02526,길주로,,
st_02527,백산인력,,
st_02528,개항로통닭,,
st_02529,제물포시장,,
st_02530,동남태권도장,,
st_02531,송도국제대로,,
st_02532,남계로,,
st_02533,남계대교,,
st_02534,양주한국병원,,
st_02535,행복로,,
st_02536,아이요안경원,,
st_02537,크리스찬메모리얼파크,,
st_02538,광탄셀프주유소,,
st_02539,새한오토바이,,
st_02540,혜음로,,
st_02541,등원로,,
st_02542,옥계동 정류장(31600),,
st_02543,팔송로(1),,
st_02544,팔송로(2),,
st_02545,문발초등학교앞,,
st_02546,파주출판도시 자유로휴게소,,
st_02547,목동동집,,
st_02548,SBS일산제작센터,,
st_02549,얼반웍스스튜디오,,
st_02550,덕은로,,
st_02551,진주1차아파트,,
st_02552,포유포레,,
st_02553,북한강로,,
st_02554,가평 백둔리,,
st_02555,에덴시아펜션,,
st_02556,풀바리,,
st_02557,북한강변,,
st_02558,북한강로,,
st_02559,수대울길,,
st_02560,북한강로,,
st_02561,원미로149번길,,
st_02562,원미지구대,,
st_02563,원미로155번길,,
st_02564,대한특공무술,,
st_02565,심곡본동집,,
st_02566,정왕역2번출구,,
st_02567,더헤븐 리조트,,
st_02568,민들레어린이집,,
st_02569,부림공원,,
st_02570,신세대상가앞,,
st_02571,롯데프리미엄아울렛 의왕점,,
st_02572,세람저축은행 본점,,
st_02574,신현동집,,
st_02575,명동타운 정류장(32092),,
st_02576,인제스피디움 호텔,,
st_02577,기린면집,,
st_02578,고성 폐리조트,,
st_02579,설악금강대교로,,
st_02580,가톨릭관동대학교 양양캠퍼스(폐교),,
st_02581,녹원갈비,,
st_02582,선사유적로,,
st_02583,본아미,,
st_02584,내장산문화광장,,
st_02585,내장호반로(1),,
st_02586,내장호반로(2),,
st_02587,캐슬라콘티넨탈,,
st_02588,항만9로,,
st_02589,항만9로(2),,
st_02590,이화석재무역,,
st_02593,소낭구펜션,,
st_02594,캄보디아 프놈펜,,
st_20308,세검정초등학교 버스정류장,,
st_20309,산본제일병원,,
st_20310,로미코리아 클래식카 차고,,
st_11215,이노시뮬레이션,,
st_11216,마곡중앙14로,,
st_11217,제넥신,,
st_11218,대상 마곡연구소,,
st_11219,LG사이언스파크 정류장(16108),,
st_11220,증산동집(1),,
st_11221,증산동집(2),,
st_11222,증산로13가길(1),,
st_11223,증산로13가길(2),,
st_11224,증산로13가길(3),,
st_11225,엄마손떡볶이,,
st_11226,YTN본사,,
st_11227,희우정로,,
st_11228,광신빌딩,,
st_11229,서강로,,
st_11230,경의선숲길,,
st_11231,서강대교,,
st_11232,마포대교,,
st_11233,슈치쿠,,
st_11234,타임스퀘어,,
st_11235,영등포역 육교,,
st_11236,경인로94길,,
st_11237,행운다방,,
st_11238,대원정사 주차장,,
st_11239,세운나다방,,
st_11240,두가헌,,
st_11241,경희초등학교,,
st_11242,성신여자대학교 운정그린캠퍼스,,
st_11243,매봉18길,,
st_11244,잠수교북단,,
st_11245,잠수교,,
st_11246,반포한강공원,,
st_11247,서울중앙지방법원,,
st_11248,안다즈 서울 강남,,
st_11249,청담대교,,
st_11250,압구정로,,
st_11251,도산대로,,
st_11252,인천공항,,
st_11253,영종순환로,,
st_11254,너와집노래방,,
st_11255,차이나타운로,,
st_11256,제물량로,,
st_11257,용일시장,,
st_11258,경인상가,,
st_11259,송도센트럴파크,,
st_11260,조이마당스튜디오,,
st_11261,다운데어,,
st_11262,도담터스튜디오,,
st_11263,엠아이 폴리스 스튜디오,,
st_11264,아쿠아플라넷 일산,,
st_11265,월드고양로,,
st_11266,일산호수공원,,
st_11267,신도공영주차장,,
st_11268,드메인,,
st_11269,스카이캐슬,,
st_11270,청심평화월드센터,,
st_11271,가평 자라섬,,
st_11272,부천대학교,,
st_11273,관악성당,,
st_11274,힌터하우스,,
st_11275,한양대학교 에리카캠퍼스,,
st_11276,우봉집 위례,,
st_11277,사랑마트,,
st_11278,코오롱 린든 그로브,,
st_11279,분당추모공원 휴,,
st_11280,자하연 분당,,
st_11281,세븐일레븐 봉담푸른점,,
st_11282,장안대학교,,
st_11283,대전광역시청,,
st_11284,서일여자고등학교,,
st_11285,광한루주차장,,
st_11286,광한루원,,
