id,place_name,scene_description,desc_source_url
st_18427,홍지문길,,
st_18428,연안리버빌 골목(추정),,
st_18429,홍지문길 놀이터,,
st_18430,홍지문2길(좌우반전),,
st_18431,개미마을,,
st_18432,월드컵북로(상암고앞),,
st_18433,월드컵북로(4단지앞),,
st_18434,YTN본사,,
st_18435,난지한강공원,,
st_18436,호텔 나루 서울 레스토랑 부아쟁,극 중 이한영이 아내와 저녁 식사를 하며 이혼을 이야기하는 장면,https://blog.naver.com/ryu71s/224137515957
st_18437,서강대교,,
st_18438,국회의사당,,
st_18439,의사당대로,,
st_18440,여의도공원,,
st_18442,대륭포스트타워7차,,
st_18443,영등포고등학교,,
st_18444,노량진로26길,,
st_18445,용양봉저정공원,,
st_18446,노량진로32길(1),,
st_18447,노량진로30길,,
st_18448,노량진로32길,,
st_18449,녹트,,
st_18450,용산역 달주차장,,
st_18452,기찻길주점(폐업),,
st_18453,세종대로,,
st_18454,센트레빌아스테리움서울,,
st_18455,서울역앞,,
st_18456,남산공원,,
st_18457,삼순이계단,,
st_18458,한국의집,,
st_18459,KT 광화문 빌딩 West,,
st_18460,필운대로,,
st_18461,"부암동주민센터,무계원 정류장(01138)",,
st_18462,성신여자대학교 운정그린캠퍼스,,
st_18463,대도식당 왕십리본점,,
st_18464,아차산지하차도,,
st_18465,아차산로,,
st_18466,자양로,,
st_18467,곱창이야기 강변점,,
st_18468,비스타워커힐,,
st_18469,한강공원서래섬나들목 진출입로1,,
st_18470,서래섬,,
st_18471,잠수교,,
st_18472,반포한강공원,극 중 이한영이 혼자 조깅하며 생각을 정리하는 한강변 장면,https://blog.naver.com/ryu71s/224137515957
st_18473,역삼역사거리,,
st_18474,역삼빌딩,1화에서 에스그룹 전광판이 설치된 건물 외관으로 등장하는 장면,https://blog.naver.com/hsc_one1/224130074299
st_18475,브그즈트컬렉션,,
st_18476,선릉역사거리,,
st_18477,아셈타워,,
st_18479,올림픽대교,,
st_18480,천호대교,,
st_18482,CU 만수사랑점,극 중 나영이 아르바이트하는 석정호 소유 건물의 편의점 장면,https://blog.naver.com/redmee2/224159447692
st_18483,대림자원,,
st_18484,복개동로 주차장,,
st_18485,장승백이전통시장,,
st_18486,역무선방파제등대,,
st_18487,위크엔드 라운지,,
st_18488,중앙옥,,
st_18489,동국빌리지,,
st_18490,해양센타,,
st_18491,인항파출소 만석출장소,,
st_18492,송현근린공원 인라인스케이트장,,
st_18493,현대시장입구,,
st_18494,현대시장,극 중 이한영과 판벤져스 원팀이 함께 회식하는 시장 장면,https://blog.naver.com/redmee2/224169384623
st_18495,또와분식,,
st_18496,용일시장,14화에서 이한영 일행이 순이네 식당의 신장개업을 축하하는 마지막 장면,https://blog.naver.com/redmee2/224185503052
st_18497,친구네포차,,
st_18498,로지모텔,,
st_18499,인형문구완구,,
st_18500,알짜마트,,
st_18501,신영아트빌,,
st_18502,대승주택,,
st_18503,용현시민유통,,
st_18504,긴자 송도유원지점,,
st_18505,양주한국병원,,
st_18506,신안물류,,
st_18507,파리바게뜨 덕계역점,,
st_18508,회천중앙로,,
st_18509,덕계로,,
st_18510,호맥 양주옥정점,,
st_18512,조이마당스튜디오,극 중 회귀한 이한영이 연쇄살인범 김상진을 판결하는 법정 장면,https://blog.naver.com/ryu71s/224137515957
st_18513,애룡저수지,,
st_18514,화이트블럭,,
st_18515,에델바움 카페 파주점,,
st_18516,문발로,,
st_18517,파주리조트골프클럽,,
st_18518,하우스 오브 컨티뉴,,
st_18519,주엽로,,
st_18520,킨텍스로,,
st_18521,한류월드로(1),,
st_18522,한류월드로(2),,
st_18523,월드고양로,,
st_18524,MBC드림센터,,
st_18525,베베,,
st_18526,고양관광정보센터,,
st_18527,중앙로 육교,,
st_18528,무봉리토종순대국 일산라페스타점,,
st_18529,카페앤,,
st_18530,무궁화로,,
st_18531,청담한식 식사점,,
st_18532,주인,,
st_18533,고양시청로,,
st_18534,힐스테이트 라피아노 삼송,,
st_18535,강마루,,
st_18536,얼반웍스 스튜디오,,
st_18537,옛날국밥&갈비한판,,
st_18538,한국항공대학교,,
st_18539,구해줘 부동산,,
st_18540,부환복집,,
st_18541,무궁화공원묘원,,
st_18542,라센트라,1화에서 이한영의 아버지가 입원해 있는 요양원으로 등장하는 장면,https://blog.naver.com/ryu71s/224137515957;https://blog.naver.com/hsc_one1/224130074299
st_18543,선향재 한옥 스튜디오,,
st_18545,블루포트 장안대학교점,,
st_18547,선문대학교 아산캠퍼스,2화에서 회귀한 이한영이 단독판사로 근무하는 충남지방법원 장면,https://blog.naver.com/redmee2/224134294304
st_18549,천안시청,,
st_18550,익산교도소세트장,14화에서 박광토와 강신진이 수감된 교도소로 등장하는 장면,https://blog.naver.com/redmee2/224185503052
st_18551,망양로689번길,,
st_17432,도원장,,
st_17433,북가좌파출소,,
st_17434,연희상가아파트,,
st_17435,연희상가아파트옆 놀이터,,
st_17436,마포월드컵공영주차장,,
st_17437,월드컵북로(5단지앞),,
st_17438,월드컵북로(4단지앞),,
st_17439,월드컵북로58길,,
st_17440,상암산로,,
st_17441,CJ ENM 엔터테인먼트,,
st_17442,브레드캐스트,,
st_17443,DDMC앞,,
st_17444,상암파출소앞,,
st_17445,빠레트,극 중 준서가 레나와 술을 마시다 백아진을 욕하는 행인들과 싸우는 장면,https://blog.naver.com/ryu71s/224307902954
st_17446,카페 오로라,,
st_17447,와우산로27길,,
st_17448,양화로,,
st_17449,코너136,,
st_17450,월드컵로 횡단보도,,
st_17451,월드컵로5길,,
st_17452,47625커피,3화에서 백아진이 카페 사장 최정호를 제물로 삼고 아르바이트하는 장면,https://blog.naver.com/redmee2/224074134977;https://blog.naver.com/ryu71s/224307902954
st_17453,여의도IFC,,
st_17454,스위치22 여의도점,극 중 백아진이 소속된 롱스타 엔터테인먼트 사무실 장면,https://blog.naver.com/ryu71s/224307902954
st_17455,타임스퀘어,,
st_17456,동작대교,,
st_17457,녹사평대로,,
st_17458,푸시풋살룬,,
st_17459,르가드더메인한남,,
st_17460,엘비비 쇼룸,,
st_17461,노들섬,,
st_17462,리버힐스파 웰니스센터,,
st_17463,한강대로62길,,
st_17464,서빙고로,,
st_17465,새창로,,
st_17466,새창로50길,,
st_17467,충정로 육교,,
st_17468,충정로,,
st_17469,평안교회,극 중 백아진의 옥탑방 옆에 붉은 벽돌 교회가 보이는 장면,https://blog.naver.com/ryu71s/224307902954
st_17470,신세계백화점,,
st_17471,소공로 횡단보도,,
st_17472,퇴계로 횡단보도,,
st_17473,스테이트타워남산앞,,
st_17474,스테이트타워 남산,,
st_17475,소공로(남산오르미쪽),,
st_17476,서울경찰청,,
st_17477,팜시티,,
st_17478,리제로 서울,,
st_17479,중앙고등학교,극 중 백아진이 친구들과 여러 학창 시절을 보내는 고등학교 장면,https://blog.naver.com/ryu71s/224307902954
st_17480,창덕궁길,,
st_17481,경희대학교,극 중 영화제 시상식에서 백아진이 스포트라이트를 받는 장면,https://blog.naver.com/ryu71s/224307902954
st_17482,장군뽈따구,,
st_17483,삼육서울병원추모관,,
st_17484,반포한강공원,,
st_17485,잠수교,,
st_17486,보타닉 청담,,
st_17487,미미미가든,,
st_17488,메종바카라서울,극 중 백아진이 허인강을 유혹하기 위해 만나기로 약속한 장면,https://blog.naver.com/ryu71s/224307902954
st_17489,에르메스 메종 도산,극 중 재오가 허인강의 약속을 막으려 오토바이 사고를 내는 장면,https://blog.naver.com/ryu71s/224307902954
st_17490,테헤란로,,
st_17491,삼성역주변,,
st_17492,파크하얏트 서울,,
st_17493,이여곰탕 역삼점,,
st_17494,강남대로,,
st_17495,부띠크 모나코,,
st_17496,국제성모병원 장례식장,,
st_17497,인천공항,,
st_17498,크로마클럽,,
st_17499,선녀바위해수욕장,극 중 백아진과 허인강이 바닷가에서 데이트하는 장면,https://blog.naver.com/ryu71s/224307902954
st_17500,연안아파트 상가,,
st_17501,세이브모텔,,
st_17502,일해냉동,,
st_17503,인천내동교회,,
st_17504,도성사,,
st_17505,단궁,,
st_17506,의정부성모병원,,
st_17507,조이마당스튜디오,,
st_17508,크리스찬메모리얼파크,,
st_17509,미메시스아트뮤지엄,,
st_17510,지혜의숲,,
st_17511,템스커피,극 중 준서가 출소한 재오를 만나 조용히 대화하는 카페 장면,https://blog.naver.com/ryu71s/224307902954
st_17512,로스팅하우스 커피탄생,,
