id,place_name,scene_description,desc_source_url
st_06370,부안영상테마파크,1화에서 조선의 강희빈이 사약을 받고 죽은 뒤 현대의 사극 촬영장에서 눈뜨는 장면,https://blog.naver.com/hsc_one1/224279065113;https://blog.naver.com/ryu71s/224285834372
st_06371,마곡중앙로,,
st_06372,놋다리문화공원,,
st_06373,디와이피엔에프 마곡사옥,,
st_06374,월드컵북로(4단지앞),,
st_06375,서강대교,,
st_06376,켄싱턴호텔 여의도 뉴욕뉴욕,,
st_06377,의사당대로,,
st_06378,파리바게뜨 KBS여의도점,,
st_06379,여의도IFC,,
st_06380,스위치22 여의도점,,
st_06381,여의도한강공원,극 중 차일그룹 회장이 한강변에 앉아 낚싯대를 드리우고 생각에 잠기는 장면,https://blog.naver.com/ryu71s/224285834372
st_06382,여의도한강공원,,
st_06383,한강에서만난인어공주,,
st_06384,영문빌딩,2화에서 강단심의 영혼이 깃든 신서리가 대박고시원에서 현대 생활을 시작하는 장면,https://blog.naver.com/hsc_one1/224280473659;https://blog.naver.com/ryu71s/224285834372
st_06385,GS25 문래승호점,,
st_06386,경인로74길,,
st_06387,대림동 우리시장,,
st_06388,SBS,2화에서 신서리가 홈쇼핑 먹방 아르바이트로 상품을 완판하고 차세계가 찾아오는 장면,https://blog.naver.com/hsc_one1/224280473659;https://blog.naver.com/ryu71s/224285834372
st_06389,아울렛DC백화점,,
st_06390,현충로 육교,,
st_06391,르다,,
st_06392,리버힐스파 웰니스센터,,
st_06393,아이파크몰 용산점,2화에서 신서리가 차문도를 발견하고 놀라 홈쇼핑 건물 옥상에서 달아나는 장면,https://blog.naver.com/hsc_one1/224280473659;https://blog.naver.com/ryu71s/224285834372
st_06394,용산아이파크몰 달주차장,,
st_06395,열정갈비 본점,,
st_06396,남산타워,,
st_06397,반얀트리 클럽 앤 스파 서울,,
st_06398,숭례문,1화에서 라디오가 여우비의 의미를 설명하는 동안 숭례문 전경이 비치는 장면,https://blog.naver.com/ryu71s/224285834372
st_06399,덕수궁,,
st_06400,덕수궁돌담길,,
st_06401,스테이트타워 남산,,
st_06402,남산케이블카,,
st_06403,삼순이계단,,
st_06404,어글리베이커스베이글 신당 본점,,
st_06405,종로12길,,
st_06406,장통교,1화에서 신서리가 청계천의 장통교 위에서 현대의 무당을 만나 대화하는 장면,https://blog.naver.com/ryu71s/224285834372
st_06407,청계천,1화에서 신서리가 무당을 만난 뒤 일식이 시작된 청계천을 쓸쓸히 걷는 장면,https://blog.naver.com/ryu71s/224285834372
st_06408,서울역사박물관,1화에서 신서리가 조선 전시를 보다가 강단심 시절 자신이 그린 꽃그림을 발견하는 장면,https://blog.naver.com/hsc_one1/224279065113;https://blog.naver.com/ryu71s/224285834372
st_06409,세종대로 사거리,,
st_06410,KT광화문빌딩,,
st_06411,편안한집,,
st_06412,경복궁,1화에서 조선에서 온 신서리가 광화문 밖 자동차와 고층 빌딩을 보고 충격받는 장면,https://blog.naver.com/hsc_one1/224279065113;https://blog.naver.com/ryu71s/224285834372
st_06413,창덕궁,1화에서 여우비가 내린다는 소식이 전해지는 동안 창덕궁 전경이 비치는 장면,https://blog.naver.com/hsc_one1/224279065113;https://blog.naver.com/ryu71s/224285834372
st_06414,이노88타워,1화에서 차세계가 운영하는 화장품 기업 BIOJEI 본사 건물로 등장하는 장면,https://blog.naver.com/hsc_one1/224279065113;https://blog.naver.com/ryu71s/224285834372
st_06415,서순라길,,
st_06416,약령중앙로,,
st_06417,인생한의원,,
st_06418,약령중앙로4길,,
st_06419,그랜드 워커힐 서울 더파빌리온,1화에서 차세계가 호텔 라운지에 앉아 여러 여성과 차례로 맞선을 보는 장면,https://blog.naver.com/hsc_one1/224279065113;https://blog.naver.com/ryu71s/224285834372
st_06420,달공칠 에비뉴,극 중 차문도가 차세계 친구의 정신병원에 도청장치가 든 화분을 선물하는 장면,https://blog.naver.com/ryu71s/224285834372
st_06421,벨레어 청담,,
st_06422,오프닝,,
st_06423,브링턴,,
st_06424,파크 하얏트 서울,,
st_06425,파크 하얏트 서울 더 팀버 하우스,,
st_06426,메종 드 플래터 스타시티서울 레스토랑,,
st_06427,인천공항,,
st_06428,인천공항 2터미널,,
st_06429,파라다이스시티 아트파라디소,1화에서 차세계가 고급 호텔 레스토랑에서 업체 대표와 식사하며 인수를 협상하는 장면,https://blog.naver.com/hsc_one1/224279065113;https://blog.naver.com/ryu71s/224285834372
st_06430,네스트호텔,,
st_06431,인천시민애집,,
st_06432,서울이엔지 삼월주유소,,
st_06433,하얀김,,
st_06434,계산시장입구,,
st_06435,계산시장,2화에서 신서리가 건산시장 상인들 앞에서 음식을 맛있게 먹으며 먹방쇼를 펼치는 장면,https://blog.naver.com/hsc_one1/224280473659;https://blog.naver.com/ryu71s/224285834372
st_06436,히든가든,,
st_06437,인천타워대로,,
st_06438,컨벤시아대로,,
st_06439,샤머니짐 송도점,,
st_06440,센트럴로,,
st_06441,양주한국병원,,
st_06442,MBC문화동산,,
st_06443,명가,,
st_06444,조이마당스튜디오,,
st_06445,홍원연수원,극 중 차문도가 후원 행사에 참석해 어린이들에게 동화책을 읽어 주는 장면,https://blog.naver.com/ryu71s/224285834372
st_06446,크리스찬메모리얼파크,,
st_06447,이마트 파주운정점,,
st_06448,SBS 일산제작센터,,
st_06450,얼반웍스 스튜디오,,
st_06451,가평대교,,
st_06452,아난티코드,,
st_06453,HJ매그놀리아국제병원,,
st_06454,화성행궁,1화에서 신서리가 소속사 대표와 라이벌 배우 윤지효를 만나 이야기를 나누는 장면,https://blog.naver.com/hsc_one1/224279065113;https://blog.naver.com/ryu71s/224285834372
st_06455,메종디탈리,,
st_06456,느린마을양조장 야탑점,,
st_06458,새말길329번길,,
st_06459,선향재 한옥 스튜디오,,
st_06460,광주경찰서,,
st_06461,더한옥헤리티지,2화에서 차일그룹 회장과 가족들이 생활하는 전통 한옥 저택으로 등장하는 장면,https://blog.naver.com/hsc_one1/224280473659;https://blog.naver.com/ryu71s/224285834372
st_06462,BTS버스정류장,,
st_06463,향호해변,,
st_06464,경포생태저류지,,
st_06465,콩두부한식(재개발),,
st_06466,신두리해수욕장,,
st_06467,마도 해안절벽,,
st_06468,홍산현관아,,
st_06469,전주향교,1화에서 조선의 무당이 성수청 앞마당에서 비가 내리기를 비는 기우제를 지내는 장면,https://blog.naver.com/hsc_one1/224279065113;https://blog.naver.com/ryu71s/224285834372
st_06470,도청리쉼터,,
st_06471,요천로(광한루원앞),1화에서 신서리가 차세계의 차 앞에 쓰러진 뒤 꽃을 들고 그와 몸싸움을 벌이는 장면,https://blog.naver.com/hsc_one1/224279065113;https://blog.naver.com/ryu71s/224285834372
st_06472,대산동한주종택,2화에서 조선의 강희빈이 뒤주에 갇히고 청헌대군 이현이 문을 열어 구해 주는 장면,https://blog.naver.com/hsc_one1/224280473659;https://blog.naver.com/ryu71s/224285834372
st_06473,제주대학교병원,,
st_06474,엠버퓨어힐 호텔&리조트 제주,,
st_06475,엠버리조트,,
st_06476,산굼부리 주차장,,
st_06477,산굼부리,,
st_06478,신창풍차해안도로,,
st_06479,토끼섬,7화에서 제주 무인도에 갇힌 신서리와 차세계가 밤을 보낸 뒤 바닷가에서 눈뜨는 장면,https://blog.naver.com/hsc_one1/224300648179;https://blog.naver.com/redmee2/224301994141
st_06480,굴동포구,,
st_06481,성읍녹차동굴,극 중 신서리가 BIOJEI 화장품 홍보 광고를 촬영하기 위해 용암동굴에 서는 장면,https://blog.naver.com/hsc_one1/224300648179
st_10274,삼진제약 마곡연구센터,,
st_10275,누리꿈스퀘어,,
st_10276,해피베어데이 합정 본점,,
st_10277,마포대교,,
st_10278,여의도환승센터 횡단보도,,
st_10279,여의도한강공원,,
st_10280,여의나루로,,
st_10281,부국증권사거리,,
st_10282,여의나루로2길,,
st_10283,대륭포스트타워8차,,
st_10284,동작대교,,
st_10285,이태원지하차도,,
st_10286,몬드리안 서울이태원,,
