id,place_name,scene_description,desc_source_url
st_13947,차돌그릴 마곡,,
st_13948,마곡역4번출구 정류장(16387),,
st_13949,마곡중앙6로,,
st_13950,이노시뮬레이션,,
st_13951,마곡중앙8로7길(1),,
st_13952,마곡중앙8로7길(2),,
st_13953,밀화당 강서직영점(폐업),,
st_13954,마곡동로,,
st_13955,매하,,
st_13956,월드컵북로(5단지앞),,
st_13957,월드컵북로58길,,
st_13958,난지한강공원,,
st_13959,연희로11가길,,
st_13960,WWL스튜디오,,
st_13961,락휴코인노래연습장 홍대본점,,
st_13962,합정역,,
st_13963,서강팔경,,
st_13964,한강,,
st_13965,시선 당산역점(폐점),,
st_13966,현대백화점 목동점,,
st_13967,맷돌로만 구로점,,
st_13968,98도씨국밥 보라매점,,
st_13969,프레임676,,
st_13970,삼각지 고가차도,,
st_13971,한국SGI용산문화회관,,
st_13972,백범로90길,,
st_13973,지오베르크,,
st_13974,백범로90다길,,
st_13975,효창공원앞역 4번출구,,
st_13976,백범로,,
st_13977,소월로,,
st_13978,만리재 비스트로,,
st_13979,만리199,,
st_13980,서소문로11길,,
st_13981,서애로,,
st_13982,필동로,,
st_13983,디디피,,
st_13984,세종대로23길,,
st_13985,GS25 계동중앙점,,
st_13986,계동길,,
st_13987,부암동돈가스집1979,,
st_13988,서울과학기술대학교,,
st_13989,삼육대학교,,
st_13990,전풍호텔 경양식당 본점,,
st_13991,메가박스 성수점(폐점),,
st_13992,조선팰리스 강남,,
st_13993,코엑스몰,,
st_13994,클로리스 코엑스몰(폐업),,
st_13995,메종 드 플래터 스타시티서울 레스토랑,,
st_13996,불타는조개구이 을왕리점,,
st_13997,상차이 청라점,,
st_13998,선학국제빙상경기장,,
st_13999,송도 센트럴파크,,
st_14000,조선왕가,,
st_14001,숲길정원,,
st_14002,서계 박세당 사랑채,,
st_14003,조이마당스튜디오,,
st_14004,헤이리마을,,
st_14005,미메시스아트뮤지엄,,
st_14006,아쿠아플라넷 일산,,
st_14007,CU 일산대화공원점,,
st_14008,고봉로,,
st_14009,지느러미,,
st_14010,일산호수공원,,
st_14011,교보문고 일산점,,
st_14012,37.5 일산식사점,,
st_14013,놀숲 부천중동점,,
st_14014,신양수대교,,
st_14015,빌리드지디 안산,,
st_14016,파미어스몰,,
st_14017,어울 어린이공원,,
st_14018,서현170,,
st_14019,성남대로287번길,,
st_14020,꽃집 테라스공일오,,
st_14021,탑스텐리조트 동강시스타,,
st_14022,별마로천문대,,
st_14023,부산타워,,
st_14024,샘라이언스,,
st_14025,해운대,,
st_14026,그랜드 조선 부산,,
st_14027,그랜드 조선 부산앞,,
st_14028,누리마루 APEC 하우스,,
st_14029,벡스코 구름다리,,
st_14030,광안대교,,
st_14031,제주 드림타워 스카이뷰 라운지 38,,
st_14032,그랜드 하얏트 제주,,
st_14033,넌나에포차,,
st_14034,제주 도원가든,,
st_14035,오드랑베이커리 앤 카페 신촌점,,
st_14036,김녕해수욕장,,
st_14037,구좌체육관,,
st_14038,천미천,,
st_14039,ICC 제주국제컴벤션센터,,
st_14040,보롬왓,,
st_14041,NUSTAR Resort & Casino,,
st_14042,샹그릴라 비치사이드,극 중 서미래가 최시우와 바다에서 서핑을 즐기고 해변에서 저녁 식사를 하는 장면,https://traveltodrama.com/boyfriend-on-demand-netflix-review-locations/
st_14043,Docking Bridge,,
st_14044,The Ocean Pavilion at Shangri-La’s Mactan Resort,,
st_14045,Fiddler’s Cebu,,
st_14046,Bluewater Garden,,
st_14047,Oyster Bar,,
st_14048,The Old Angler House,,
st_20784,남산서울타워,,
st_20786,헤이리예술마을,,
st_20787,해운대해수욕장,,
st_18072,스위스그랜드호텔,,
st_18073,연희숲속쉼터,,
st_18074,북아현치안센터,,
st_18075,새문순대국,,
st_18076,정우빌딩,,
st_18077,대오빌딩,,
st_18078,여의도따로국밥,,
st_18079,여의도광장,,
st_18081,노량진역,,
st_18082,본동철물종합설비,,
st_18083,우슬재옆 계단,,
st_18084,마포최대포숯불갈매기돼지갈비,,
st_18085,양평감자탕,,
st_18086,동작대교,,
st_18087,원효전자상가뒤,,
st_18088,제이알펍,,
st_18089,공간두두,,
st_18090,충무로역7번출구앞,,
st_18091,국민기획,,
st_18092,청계상가,,
st_18093,청계5가지하쇼핑센터,,
st_18094,종로2가교차로,,
st_18095,종로3가역12번출구앞,,
st_18096,경일의료기,,
st_18097,종로22길,극 중 1990년대 을지로 상가 골목의 배경으로 등장하는 장면,https://blog.naver.com/hsc_one1/224054842865
st_18098,한성전자,극 중 1990년대 을지로 전자상가 골목으로 등장하는 장면,https://blog.naver.com/hsc_one1/224054842865
st_18099,돈화문로4길,,
st_18100,동대문 밀리오레,,
st_18101,수진사,,
st_18102,태광상사,,
st_18103,신설종합시장,,
st_18104,해동꽃조경,,
st_18105,수도학원,,
st_18106,고려대학교,,
st_18107,고산자로58길,,
st_18108,고산자로56길,,
st_18109,정릉동집,극 중 오미선 가족이 사는 달동네 집으로 등장하는 장면,https://blog.naver.com/hsc_one1/224054842865
st_18110,월곡산,,
st_18111,서울고속버스터미널,6화에서 사무실에서 자던 슈박 사장이 완도로 떠나려 버스터미널을 찾는 장면,https://blog.naver.com/hsc_one1/224054842865
st_18112,통일연구원,,
st_18113,효령로31길,,
st_18114,엘루크방배서리풀,,
st_18115,현대14차아파트,,
st_18116,금강아케이드,,
st_18117,노블발렌티 삼성점,,
st_18118,수도전기공업고등학교,,
st_18119,천호대교,,
st_18120,강동경희대학교의대병원,,
st_18121,인천강화경찰서,,
st_18122,경인항인천컨테이너부두,,
st_18123,부평구의회,극 중 태풍이 종로세무서를 찾아가 업무를 보는 장면,https://blog.naver.com/location_info/224046388725;https://blog.naver.com/hsc_one1/224054842865
st_18124,제주로지스틱스 서울지점,,
st_18125,인천역,,
st_18126,홍예문아파트앞,,
st_18128,우현로62길,,
st_18130,남동공단 산업용품상가,,
st_18131,포천우체국,,
st_18132,강변로,,
st_18133,안흥교,,
st_18134,동두천큰시장,,
st_18135,의정부시외버스터미널,,
st_18136,조이마당스튜디오,,
st_18137,킨텍스로 횡단보도,,
st_18138,롯데백화점 일산점,3화에서 오미호가 일하는 밸루아백화점으로 등장하는 장면,https://blog.naver.com/location_info/224046388725;https://blog.naver.com/hsc_one1/224054842865
st_18139,정발산역 육교,,
st_18140,일산호수공원,,
st_18141,문촌마을15단지부영아파트,,
st_18142,한국한공대역,,
st_18143,양평 폐공장,,
st_18144,동아육운,,
st_18145,더포레,극 중 강태풍이 운영하는 장미 꽃화원으로 등장하는 장면,https://blog.naver.com/hsc_one1/224054842865
st_18146,안성주물,,
st_18147,MBC 원주문화방송,,
st_18148,헌화로,,
st_18149,부남해변,14화에서 태풍과 미선 가족이 피서를 가서 바다 조개를 잡는 장면,https://blog.naver.com/redmee2/224086009850
st_18150,세일제화,6화에서 슈박 안전화를 만드는 부산 신발공장으로 등장하는 장면,https://blog.naver.com/hsc_one1/224054842865
st_18151,부산역,,
st_18152,미포방파제,,
st_18153,송정항서방파제,,
st_18154,영도,,
st_18155,대평남로,6화에서 태풍이 부산 사채업자와 위험한 거래를 벌이는 항구 장면,https://blog.naver.com/hsc_one1/224054842865
st_18156,혜인선박,6화에서 태풍이 부산 사채업자를 찾아가 담판을 벌이는 장면,https://blog.naver.com/hsc_one1/224054842865
st_18157,남부민동,,
st_18158,송도해수욕장,,
st_18159,부산감천항 수산물시장,,
st_18160,부산시수협 다대위판장,6화에서 태풍과 미선이 어판장에서 외항선 정보를 얻는 장면,https://blog.naver.com/hsc_one1/224054842865
st_18161,더 페닌슐라 방콕,7~8화에서 태풍 일행이 태국 출장 중 머무는 호텔로 등장하는 장면,https://blog.naver.com/hsc_one1/224062603095
st_18162,Abandoned Mansion,7~8화에서 태풍 일행이 태국 출장 중 찾는 재즈 라이브바 장면,https://blog.naver.com/hsc_one1/224062603095
st_18163,방콕차이나타운(1),,
st_18164,방콕차이나타운(2),,
st_18165,방콕차이나타운(3),,
st_18166,방콕차이나타운(4),,
st_18167,595 Mittraphan Rd,,
st_18168,103 Rama IV Rd,,
st_18169,126 Rama IV Rd,,
st_18170,Laem Chabang Port,7~8화에서 태풍 일행이 헬멧 수출 거래를 위해 찾는 태국 무역항 장면,https://blog.naver.com/hsc_one1/224062603095
st_18171,차트리움 호텔 리버사이드 방콕,,
st_18172,Minburi Criminal Court,,
st_18173,담넌싸두억 수상시장,,
st_18174,Thetsaban Bang Pu 74 Alley,,
st_20901,경동 골목,,
st_14903,서부트럭터미널,,
st_14904,마포대교,,
st_14905,여의도환승센터,,
st_14906,위플168,,
st_14907,서강대교 북단,,
st_14908,서교가든숯불갈비,,
st_14909,네버마인드,,
