id,title,place_name,place_address
st_13947,월간남친,차돌그릴 마곡,서울 강서구 마곡중앙6로 16
st_13948,월간남친,마곡역4번출구 정류장(16387),서울 강서구 공항대로 190
st_13949,월간남친,마곡중앙6로,서울 강서구 강서로 391
st_13950,월간남친,이노시뮬레이션,서울 강서구 마곡중앙8로7길 5
st_13951,월간남친,마곡중앙8로7길(1),서울 강서구 마곡동 792-12
st_13952,월간남친,마곡중앙8로7길(2),서울 강서구 강서로 419
st_13953,월간남친,밀화당 강서직영점(폐업),서울 강서구 공항대로 236
st_13954,월간남친,마곡동로,서울 강서구 공항대로 236
st_13955,월간남친,매하,서울 은평구 통일로66길 11
st_13956,월간남친,월드컵북로(5단지앞),서울 마포구 상암동 1715
st_13957,월간남친,월드컵북로58길,서울 마포구 상암동 1701
st_13958,월간남친,난지한강공원,서울 마포구 상암동 487-254
st_13959,월간남친,연희로11가길,서울 서대문구 연희로11가길 35
st_13960,월간남친,WWL스튜디오,서울 서대문구 연희로27다길 10-15
st_13961,월간남친,락휴코인노래연습장 홍대본점,서울 마포구 어울마당로 74
st_13962,월간남친,합정역,서울 마포구 양화로 55
st_13963,월간남친,서강팔경,서울 마포구 토정로 128
st_13964,월간남친,한강,서울 영등포구 여의도동 85-2
st_13965,월간남친,시선 당산역점(폐점),서울 영등포구 양평로 53
st_13966,월간남친,현대백화점 목동점,서울 양천구 목동동로 257
st_13967,월간남친,맷돌로만 구로점,서울 구로구 디지털로31길 38-21
st_13968,월간남친,98도씨국밥 보라매점,서울 동작구 보라매로5길 43
st_13969,월간남친,프레임676,서울 동작구 시흥대로 676
st_13970,월간남친,삼각지 고가차도,서울 용산구 한강로1가 78-6
st_13971,월간남친,한국SGI용산문화회관,서울 용산구 백범로90길 82
st_13972,월간남친,백범로90길,서울 용산구 백범로 341
st_13973,월간남친,지오베르크,서울 용산구 백범로 346
st_13974,월간남친,백범로90다길,서울 용산구 문배동 31-2
st_13975,월간남친,효창공원앞역 4번출구,서울 용산구 용문동 5-99
st_13976,월간남친,백범로,서울 용산구 백범로 320
st_13977,월간남친,소월로,서울 용산구 이태원동 262-73
st_13978,월간남친,만리재 비스트로,서울 중구 만리재로 201
st_13979,월간남친,만리199,서울 중구 만리재로 199
st_13980,월간남친,서소문로11길,서울 중구 정동 34-29
st_13981,월간남친,서애로,서울 중구 필동3가 29-6
st_13982,월간남친,필동로,서울 중구 필동로 25
st_13983,월간남친,디디피,서울 중구 을지로 281
st_13984,월간남친,세종대로23길,서울 종로구 세종로 81-13
st_13985,월간남친,GS25 계동중앙점,서울 종로구 계동길 61
st_13986,월간남친,계동길,서울 종로구 계동길 89
st_13987,월간남친,부암동돈가스집1979,서울 종로구 백석동길 5
st_13988,월간남친,서울과학기술대학교,서울 노원구 공릉로 232
st_13989,월간남친,삼육대학교,서울 노원구 화랑로 815
st_13990,월간남친,전풍호텔 경양식당 본점,서울 성동구 무학봉28길 7
st_13991,월간남친,메가박스 성수점(폐점),서울 성동구 왕십리로 50
st_13992,월간남친,조선팰리스 강남,서울 강남구 테헤란로 231
st_13993,월간남친,코엑스몰,서울 강남구 영동대로 513
st_13994,월간남친,클로리스 코엑스몰(폐업),서울 강남구 영동대로 513
st_13995,월간남친,메종 드 플래터 스타시티서울 레스토랑,서울 강동구 구천면로 140
st_13996,월간남친,불타는조개구이 을왕리점,인천 제물포구 을왕로13번길 9
st_13997,월간남친,상차이 청라점,인천 서해구 청라라임로 85
st_13998,월간남친,선학국제빙상경기장,인천 연수구 경원대로 526
st_13999,월간남친,송도 센트럴파크,인천 연수구 송도동 24-5
st_14000,월간남친,조선왕가,경기 연천군 연천읍 현문로 339-10
st_14001,월간남친,숲길정원,경기 양주시 장흥면 일영로 346-26
st_14002,월간남친,서계 박세당 사랑채,경기 의정부시 동일로128번길 36
st_14003,월간남친,조이마당스튜디오,경기 파주시 파주읍 봉서산로 245
st_14004,월간남친,헤이리마을,경기 파주시 탄현면 헤이리마을길 29
st_14005,월간남친,미메시스아트뮤지엄,경기 파주시 문발로 253
st_14006,월간남친,아쿠아플라넷 일산,경기 고양시 일산서구 한류월드로 282
