id,place_name,scene_description,desc_source_url
st_02512,DDMC,9-10화에서 주강찬의 주학건설 맞은편 옥상으로 등장하는 촬영지,https://blog.naver.com/redmee2/224358833699
st_02513,마포소금구이,"김부장, 성한수, 박진철이 함께 고기를 먹다 싸움이 나는 대포집 촬영지",https://blog.naver.com/redmee2/224328862595;https://blog.naver.com/ryu71s/224334664141
st_02514,대성정밀,,
st_02515,세검정초등학교 정류장(01133),,
st_02516,세검정초등학교 정류장(01144),김부장이 퇴근할 때 내리는 버스정류장(상명대입구·석파랑 방면) 촬영지,https://blog.naver.com/ryu71s/224334664141;https://haechi-travel.tistory.com/769
st_02517,평창사 세탁,김부장 집 아래층 세탁소로 도원세탁소로 등장하는 촬영지,https://blog.naver.com/redmee2/224328862595
st_02518,동문열쇠건물,,
st_02519,정릉로8길,깡패들이 차량으로 길을 막고 행패를 부리는 장면(레스고케이펍 앞) 촬영지,https://blog.naver.com/ryu71s/224334664141;https://blog.naver.com/hsc_one1/224328611720
st_02520,강북해병대전우회,박진철이 있는 해병전우연합회 컨테이너 박스 촬영지,https://blog.naver.com/redmee2/224328862595;https://blog.naver.com/ryu71s/224334664141
st_02522,대웅빌딩,깡패들이 민지를 유인하려 김남훈을 기다리던 학원 건물 촬영지,https://blog.naver.com/ryu71s/224334664141
st_02523,서울과학기술대학교 창학관,성한수와 박진철이 잡혀간 도원경찰서 외관 촬영지,https://blog.naver.com/ryu71s/224334664141;https://blog.naver.com/hsc_one1/224336037024
st_02524,아난티 앳 강남,주강찬이 업체 사장을 만나던 호텔 사우나 촬영지,https://blog.naver.com/ryu71s/224334664141
st_02525,미카도스시 둔촌포레온점,,
st_02526,길주로,,
st_02527,백산인력,9-10화에서 김부장이 새 직장 백호인력에 면접 보러 가는 촬영지,https://blog.naver.com/redmee2/224358833699
st_02528,개항로통닭,"회상 장면에서 진철과 한수가 대결하는 국밥집, 극중 삼거리옛날국밥집 촬영지",https://blog.naver.com/redmee2/224349632956;https://blog.naver.com/hsc_one1/224350213824
st_02529,제물포시장,"1화에서 양아치가 시비 걸다 김부장에게 맞고, 딸의 사고 현장을 발견하는 촬영지",https://blog.naver.com/redmee2/224328862595;https://blog.naver.com/ryu71s/224334664141;https://blog.naver.com/cheezes2/224336861993
st_02530,동남태권도장,3-4화에서 성한수가 운영하는 하얀태권도장으로 등장하는 촬영지,https://blog.naver.com/redmee2/224337547807;https://blog.naver.com/hsc_one1/224336037024;https://blog.naver.com/cheezes2/224336861993
st_02531,송도국제대로,,
st_02532,남계로,성한수가 땅거지와 함께 다리 아래로 떨어지는 장면 촬영지,https://blog.naver.com/redmee2/224337547807
st_02533,남계대교,특임국장 강국철의 차량이 폭파되는 다리 장면 촬영지,https://blog.naver.com/hsc_one1/224337672870
st_02534,양주한국병원,9-10화에서 리응령이 입원해 치료받고 주강찬이 금이빨에게 습격당하는 병원 촬영지,https://blog.naver.com/redmee2/224358833699
st_02535,행복로,,
st_02536,아이요안경원,"9-10화에서 김부장, 박진철, 성한수가 함께 안경을 맞추는 안경원 촬영지",https://blog.naver.com/redmee2/224358833699
st_02537,크리스찬메모리얼파크,7화에서 민지 엄마의 유골이 안치된 납골당으로 등장하는 촬영지,https://blog.naver.com/redmee2/224351185158;https://blog.naver.com/ryu71s/224334664141
st_02538,광탄셀프주유소,,
st_02539,새한오토바이,,
st_02540,혜음로,,
st_02541,등원로,,
st_02542,옥계동 정류장(31600),,
st_02543,팔송로(1),,
st_02544,팔송로(2),,
st_02545,문발초등학교앞,9-10화에서 박진철이 등굣길 교통정리 봉사를 하는 초등학교 앞 촬영지,https://blog.naver.com/redmee2/224358833699;https://blog.naver.com/ryu71s/224334664141;https://blog.naver.com/cheezes2/224336861993
st_02546,파주출판도시 자유로휴게소,7-8화에서 극중 '덕전휴게소'로 등장하는 자유로휴게소 촬영지,https://blog.naver.com/hsc_one1/224350213824
st_02547,목동동집,8화에서 박진철의 집으로 등장하는 파주 운정 목동동 단독주택 촬영지,https://blog.naver.com/redmee2/224354242765
st_02548,SBS일산제작센터,7화에서 천산부대 특임국 건물로 등장하는 촬영지,https://blog.naver.com/redmee2/224351185158;https://blog.naver.com/ryu71s/224334664141;https://blog.naver.com/cheezes2/224336861993
st_02549,얼반웍스스튜디오,김부장이 조사를 받던 경찰서 세트로 쓰인 스튜디오 촬영지,https://blog.naver.com/ryu71s/224334664141
st_02550,덕은로,,
st_02551,진주1차아파트,과거 금이빨이 조직 보스에게 밀려 추락해 다치는 재개발 아파트 촬영지,https://blog.naver.com/redmee2/224337547807;https://blog.naver.com/redmee2/224346045245
st_02552,포유포레,주강찬과 딸 주혜리 가족이 사는 집으로 등장하는 촬영지,https://blog.naver.com/ryu71s/224334664141;https://blog.naver.com/hsc_one1/224336037024
st_02553,북한강로,,
st_02554,가평 백둔리,,
st_02555,에덴시아펜션,8화에서 리응령을 숨긴 안전가옥으로 등장하는 펜션 촬영지,https://blog.naver.com/redmee2/224354242765
st_02556,풀바리,"7화에서 주강찬이 참교육받는 별장, 명선아트홀로 등장하는 촬영지",https://blog.naver.com/redmee2/224351185158
st_02557,북한강변,,
st_02558,북한강로,,
st_02559,수대울길,,
st_02560,북한강로,,
st_02561,원미로149번길,,
st_02562,원미지구대,,
st_02563,원미로155번길,,
st_02564,대한특공무술,,
st_02565,심곡본동집,,
st_02566,정왕역2번출구,,
st_02567,더헤븐 리조트,8화에서 주강찬이 심의원과 라운딩하는 골프장 촬영지,https://blog.naver.com/redmee2/224354242765
st_02568,민들레어린이집,김부장의 딸 민지가 어릴 때 다니던 어린이집 촬영지,https://blog.naver.com/ryu71s/224334664141
st_02569,부림공원,,
st_02570,신세대상가앞,,
st_02571,롯데프리미엄아울렛 의왕점,김부장이 딸 민지의 생일선물을 사러 간 상생백화점 촬영지,https://blog.naver.com/ryu71s/224334664141
st_02572,세람저축은행 본점,김부장이 근무하는 상생저축은행으로 등장하는 촬영지,https://blog.naver.com/redmee2/224328862595;https://blog.naver.com/ryu71s/224334664141;https://blog.naver.com/location_info/224328727408
st_02574,신현동집,,
st_02575,명동타운 정류장(32092),,
st_02576,인제스피디움 호텔,8화에서 북한 사절단 숙소인 주학헤리티지 리조트로 등장하는 촬영지,https://blog.naver.com/redmee2/224354242765
st_02577,기린면집,,
st_02578,고성 폐리조트,9-10화에서 주강찬이 진철·성한수의 아이들을 인질로 격투시키는 폐리조트 촬영지,https://blog.naver.com/redmee2/224358833699
st_02579,설악금강대교로,김부장의 차량 추격 장면이 펼쳐지는 설악대교·금강대교 촬영지,https://blog.naver.com/hsc_one1/224337672870
st_02580,가톨릭관동대학교 양양캠퍼스(폐교),7화에서 김부장이 전역 축하를 받는 부대로 등장하는 폐교 촬영지,https://blog.naver.com/redmee2/224351185158
st_02581,녹원갈비,7-8화에서 극중 '금비장어' 식당으로 등장하는 촬영지,https://blog.naver.com/hsc_one1/224350213824
st_02582,선사유적로,7-8화에서 인물들이 달리는 바닷가 해변도로로 등장하는 촬영지,https://blog.naver.com/hsc_one1/224350213824
st_02583,본아미,10화 최종화에서 김부장과 딸 민지가 커피를 마시는 카페로 등장하는 촬영지,https://blog.naver.com/sinisini76/224358286003
st_02584,내장산문화광장,9-10화에서 김부장과 민지가 걷는 납골공원 안 철길로 등장하는 촬영지,https://blog.naver.com/redmee2/224358833699
st_02585,내장호반로(1),9-10화에서 김부장과 민지가 차로 달리는 벚꽃길로 등장하는 촬영지,https://blog.naver.com/redmee2/224358833699
st_02586,내장호반로(2),9-10화에서 김부장과 민지가 차로 달리는 벚꽃길로 등장하는 촬영지,https://blog.naver.com/redmee2/224358833699
st_02587,캐슬라콘티넨탈,3-4화에서 민지 휴대폰을 찾은 양아치 소굴 폐호텔로 등장하는 촬영지,https://blog.naver.com/redmee2/224337547807;https://blog.naver.com/hsc_one1/224336037024
st_02588,항만9로,"냉동창고가 있는 명포항, 수산물유통센터 일대로 등장하는 촬영지",https://blog.naver.com/cheezes2/224336861993
st_02589,항만9로(2),"냉동창고가 있는 명포항, 수산물유통센터 일대로 등장하는 촬영지",https://blog.naver.com/cheezes2/224336861993
st_02590,이화석재무역,민지가 갇힌 명포항 냉동창고로 등장하는 촬영지,https://blog.naver.com/redmee2/224337547807
st_02593,소낭구펜션,66번 박영광이 폭발사고로 죽는 한옥으로 등장하는 펜션 촬영지,https://blog.naver.com/redmee2/224337547807
st_02594,캄보디아 프놈펜,10화에서 주강찬 구속 뉴스를 보고 절망하는 딸 주혜리가 숨어 지내는 거처 인근 촬영지,https://blog.naver.com/redmee2/224358833699
st_20308,세검정초등학교 버스정류장,김부장이 출근할 때 버스를 타는 정류장(화정박물관 방면) 촬영지,https://blog.naver.com/ryu71s/224334664141;https://haechi-travel.tistory.com/769
st_20309,산본제일병원,,
st_20310,로미코리아 클래식카 차고,,
