id,place_name,scene_description,desc_source_url
st_11215,이노시뮬레이션,,
st_11216,마곡중앙14로,,
st_11217,제넥신,밴드 소속사 골드엔터테인먼트와 로펌 '천운' 사옥으로 함께 쓰인 마곡 제넥신 빌딩,https://blog.naver.com/hsc_one1/224127348700
st_11218,대상 마곡연구소,,
st_11219,LG사이언스파크 정류장(16108),,
st_11220,증산동집(1),변호사 맹세나(최수영)의 집으로 나온 은평구 증산 주택재개발구역,https://blog.naver.com/hsc_one1/224119416295;https://blog.naver.com/hsc_one1/224127348700
st_11221,증산동집(2),변호사 맹세나(최수영)의 집으로 나온 은평구 증산 주택재개발구역,https://blog.naver.com/hsc_one1/224119416295;https://blog.naver.com/hsc_one1/224127348700
st_11222,증산로13가길(1),맹세나(최수영)의 집 앞 골목길로 나온 은평구 증산 주택재개발구역,https://blog.naver.com/hsc_one1/224119416295;https://blog.naver.com/hsc_one1/224127348700
st_11223,증산로13가길(2),맹세나(최수영)의 집 앞 골목길로 나온 은평구 증산 주택재개발구역,https://blog.naver.com/hsc_one1/224119416295;https://blog.naver.com/hsc_one1/224127348700
st_11224,증산로13가길(3),맹세나(최수영)의 집 앞 골목길로 나온 은평구 증산 주택재개발구역,https://blog.naver.com/hsc_one1/224119416295;https://blog.naver.com/hsc_one1/224127348700
st_11225,엄마손떡볶이,,
st_11226,YTN본사,,
st_11227,희우정로,,
st_11228,광신빌딩,,
st_11229,서강로,,
st_11230,경의선숲길,,
st_11231,서강대교,,
st_11232,마포대교,,
st_11233,슈치쿠,,
st_11234,타임스퀘어,,
st_11235,영등포역 육교,,
st_11236,경인로94길,,
st_11237,행운다방,,
st_11238,대원정사 주차장,,
st_11239,세운나다방,,
st_11240,두가헌,,
st_11241,경희초등학교,,
st_11242,성신여자대학교 운정그린캠퍼스,,
st_11243,매봉18길,,
st_11244,잠수교북단,,
st_11245,잠수교,,
st_11246,반포한강공원,,
st_11247,서울중앙지방법원,,
st_11248,안다즈 서울 강남,,
st_11249,청담대교,,
st_11250,압구정로,,
st_11251,도산대로,,
st_11252,인천공항,,
st_11253,영종순환로,,
st_11254,너와집노래방,,
st_11255,차이나타운로,,
st_11256,제물량로,,
st_11257,용일시장,,
st_11258,경인상가,,
st_11259,송도센트럴파크,,
st_11260,조이마당스튜디오,법원 촬영 세트장으로 쓰인 파주 조이마당스튜디오,https://blog.naver.com/hsc_one1/224119416295;https://blog.naver.com/hsc_one1/224127348700
st_11261,다운데어,,
st_11262,도담터스튜디오,,
st_11263,엠아이 폴리스 스튜디오,경찰서 지구대 세트장으로 쓰인 일산 엠아이 폴리스 스튜디오,https://blog.naver.com/hsc_one1/224127348700
st_11264,아쿠아플라넷 일산,,
st_11265,월드고양로,,
st_11266,일산호수공원,,
st_11267,신도공영주차장,,
st_11268,드메인,,
st_11269,스카이캐슬,,
st_11270,청심평화월드센터,골드보이즈의 콘서트 장면 배경으로 나온 가평 청심평화월드센터,https://blog.naver.com/hsc_one1/224119416295
st_11271,가평 자라섬,,
st_11272,부천대학교,,
st_11273,관악성당,,
st_11274,힌터하우스,,
st_11275,한양대학교 에리카캠퍼스,,
st_11276,우봉집 위례,,
st_11277,사랑마트,,
st_11278,코오롱 린든 그로브,골드보이즈 멤버 도라익(김재영)의 아파트 겸 숙소로 나온 성남 코오롱 린든 그로브,https://blog.naver.com/hsc_one1/224119416295;https://blog.naver.com/hsc_one1/224127348700;https://blog.naver.com/location_info/224121061127
st_11279,분당추모공원 휴,,
st_11280,자하연 분당,,
st_11281,세븐일레븐 봉담푸른점,,
st_11282,장안대학교,,
st_11283,대전광역시청,,
st_11284,서일여자고등학교,,
st_11285,광한루주차장,,
st_11286,광한루원,,
st_11287,켄싱턴리조트 지리산남원,,
st_11288,카페게이트 남원점,,
st_11289,천개의향나무숲,,
st_11830,다원레스토랑,미쓰홍과 알벗오 등 주인공들이 돈까스·스테이크를 먹으며 데이트하는 경양식 레스토랑으로 나온 다원레스토랑,https://blog.naver.com/liebedance/224175230431;https://blog.naver.com/younkim07/224181722490
st_11831,스위스그랜드호텔,,
st_11832,뱅센느,"6화, 알벗오가 데이트 전 미쓰홍을 기다리며 만나던 카페로 나온 뱅센느",https://blog.naver.com/recordaday_/224167978819;https://blog.naver.com/liebedance/224175230431
st_11833,판자집,,
st_11834,대포막창,퇴근 후 막창에 소주 한잔하는 회식 장면으로 나온 마포 대포막창,https://blog.naver.com/liebedance/224175230431;https://blog.naver.com/younkim07/224181722490
st_11835,강변한신코아아파트,,
st_11836,서울마리나뒤쪽,,
st_11838,국회의사당,,
st_11839,글래드여의도,여의도 야경이 내려다보이는 루프탑 장면으로 나온 글래드 여의도,https://blog.naver.com/liebedance/224175230431;https://blog.naver.com/younkim07/224181722490
st_11840,미켈레커피 여의도점,,
st_11841,켄싱턴호텔 여의도 뉴욕뉴욕,,
st_11842,여의도일대&마포대교,,
st_11843,여의도순복음교회 제2교육관,,
st_11844,엄마손감자탕,,
st_11845,국회앞 지하보도,,
st_11846,정우빌딩앞,,
st_11847,한국수출입은행본점 옆,,
st_11848,백원,,
st_11849,여의공원로,,
st_11850,대오빌딩앞,,
st_11852,여의주,,
st_11853,리버타워 맞은편,,
st_11854,장미의집,,
st_11856,서글렁탕,퇴근 후 회식 장소로 나온 여의도 우정빌딩의 서글렁탕,https://blog.naver.com/liebedance/224175230431
st_11857,여의도한강공원(오리배),주인공들이 오리배 선착장 앞 한강변을 걷는 장면으로 나온 여의도한강공원,https://blog.naver.com/younkim07/224181722490
st_11858,여의도한강공원,,
st_11859,덕원,,
st_11861,한강대교 아래,,
st_11862,서호교 아래,,
st_11863,이촌한강공원,"8화, 금보가 예삐를 만나 증거 수집을 설득하는 장면의 배경으로 나온 이촌한강공원",https://blog.naver.com/recordaday_/224176512024
st_11864,홍돈 용산점,,
st_11865,대원정사 주차장,,
st_11867,남대문시장 E동,,
st_11868,남대문시장2길,,
st_11869,명동예술극장,,
st_11870,로얄호텔서울,"8화, 정부와 기업의 IMF 긴급 회의가 열리는 회의장으로 나온 로얄호텔서울",https://blog.naver.com/redmee2/224177712934
