id,title,place_name,place_address
st_06888,모범택시3,소망김밥,서울 강서구 강서로 429
st_06889,모범택시3,코끼리문방구,서울 은평구 연서로41길 11
st_06890,모범택시3,생오리숯불구이(폐업),서울 은평구 증산로11길 14
st_06891,모범택시3,야끼니꾸요이땅,서울 은평구 응암로13길 11
st_06892,모범택시3,증산동집,서울 은평구 증산로13가길 9-12
st_06893,모범택시3,SBS프리즘타워,서울 마포구 상암산로 82
st_06894,모범택시3,매봉산로(월드컵파크3단지쪽),서울 마포구 상암동 1718
st_06895,모범택시3,성산자동차검사소,서울 마포구 월드컵로 220
st_06896,모범택시3,야식포차,서울 서대문구 성산로 337
st_06897,모범택시3,카페베이지크,서울 서대문구 연희로15길 31
st_06898,모범택시3,계림빌딩앞,서울 서대문구 연세로5가길 1
st_06899,모범택시3,명물길,서울 서대문구 창천동 31-94
st_06900,모범택시3,한강산책로(서울마리나리조트쪽),서울 영등포구 여의도동 81-8
st_06901,모범택시3,서강대교,서울 영등포구 여의도동 83-1
st_06902,모범택시3,에프케이아이타워앞 택시정류장,서울 영등포구 여의대로 24
st_06903,모범택시3,원대구탕,서울 용산구 한강대로62가길 8
st_06904,모범택시3,그린코너,서울 용산구 한강대로11길 26
st_06905,모범택시3,한강대로7길,서울 용산구 한강대로7길 30-39
st_06906,모범택시3,서울드래곤시티,서울 용산구 청파로20길 95
st_06907,모범택시3,새창로49길,서울 용산구 새창로49길 3
st_06908,모범택시3,꾸띠자르당,서울 용산구 보광로 122-1
st_06909,모범택시3,뚝섬로,서울 용산구 한남동 773-17
st_06910,모범택시3,후암동집,서울 용산구 두텁바위로60길 78
st_06911,모범택시3,별장아파트,서울 중구 퇴계로12길 88
st_06912,모범택시3,모노맨션 동국대점,서울 중구 서애로 13
st_06913,모범택시3,세종대로,서울 중구 태평로2가 17-3
st_06914,모범택시3,알유스포츠 계동점,서울 종로구 창덕궁길 19
st_06915,모범택시3,선운각,서울 강북구 삼양로173길 223
st_06916,모범택시3,화랑대 철도공원,서울 노원구 공릉동 29-4
st_06918,모범택시3,독서당로62가길,서울 성동구 독서당로62가길 66
st_06919,모범택시3,생각공장데시앙플렉스,서울 성동구 아차산로17길 49
st_06920,모범택시3,제일인력개발,서울 성동구 광나루로 337
st_06921,모범택시3,잠수교,서울 서초구 반포동 649
st_06922,모범택시3,LIE SANGBONG,서울 강남구 도산대로 451
st_06923,모범택시3,하이테이블 차병원사거리점,서울 강남구 논현로 604
st_06925,모범택시3,인천서구 장애인종합복지관,인천 검단구 드림로 284-8
st_06926,모범택시3,원창로,인천 서해구 원창로 92
st_06927,모범택시3,인천서구견인보관소,인천 서해구 경명대로 265
st_06928,모범택시3,인천서구가족센터,인천 서해구 경명대로693번길 6
st_06929,모범택시3,인천공항,인천 영종구 공항로 272
st_06930,모범택시3,영종대로(1),인천 영종구 은하수로 104
st_06931,모범택시3,영종대로(2),인천 영종구 중산동 1994
st_06932,모범택시3,은하수로75번길,인천 영종구 중산동 2000
st_06933,모범택시3,자연대로,인천 영종구 자연대로 47
st_06934,모범택시3,문테라스,인천 제물포구 월미로 219
st_06935,모범택시3,어촌로,인천 제물포구 만석동 36-11
st_06937,모범택시3,만수주공3단지,인천 남동구 백범로124번길 16
st_06938,모범택시3,더엘엑스 솔라가드 프리미엄 논현동 본점,인천 남동구 에코중앙로150번길 19
st_06939,모범택시3,테크노파크로,인천 연수구 송도동 78-1
st_06940,모범택시3,블리스버거 연천점,경기 연천군 군남면 청정로 2281
st_06941,모범택시3,두리랜드,경기 양주시 장흥면 권율로 120
st_06942,모범택시3,의정부버스터미널,경기 의정부시 동일로 640
st_06943,모범택시3,이비가짬뽕 의정부용현점,경기 의정부시 시민로 440
st_06944,모범택시3,조이마당스튜디오,경기 파주시 파주읍 봉서산로 245
st_06945,모범택시3,크리스찬메모리얼파크,경기 파주시 조리읍 홀작로 164
st_06946,모범택시3,효자그린빌,경기 파주시 탄현면 여치길 77
st_06947,모범택시3,로터스 공식 서비스센터,경기 고양시 일산서구 덕이로 40
st_06948,모범택시3,바버샵 웰던 맨즈헤어,경기 고양시 일산동구 중앙로1275번길 38-31
st_06949,모범택시3,긴자 일산점,경기 고양시 일산동구 무궁화로 359
st_06950,모범택시3,일상피트니스 삼송역점,경기 고양시 덕양구 통일로214번길 6
st_06951,모범택시3,삼송마을LH16단지아파트,경기 고양시 덕양구 세솔로 149
st_06952,모범택시3,오엘크루 행신점,경기 고양시 덕양구 행신로 266
st_06953,모범택시3,피스키스 뮤직스튜디오,경기 고양시 덕양구 삼원로 83
st_06954,모범택시3,바그 서오릉 직영점,경기 고양시 덕양구 용두로121번길 110
st_06955,모범택시3,강매석교공원 주차장,경기 고양시 덕양구 강매동 652-6
st_06956,모범택시3,얼반웍스 스튜디오,경기 고양시 덕양구 호원길 3-2
st_06957,모범택시3,더작심스터디카페 김포걸포점,경기 김포시 걸포2로 33
st_06958,모범택시3,서울여성병원 부천점,경기 부천시 원미구 길주로 84
st_06959,모범택시3,이비가짬뽕 부천까치울역점,경기 부천시 오정구 까치로74번길 27
st_06960,모범택시3,암사대교아래,경기 구리시 아천동 1
st_06961,모범택시3,늘푸른자연학교,경기 여주시 점동면 성주로 946
st_06962,모범택시3,대성사,경기 여주시 금사면 외평리 454
st_06963,모범택시3,안성장례식장(폐업),경기 안성시 능길 35-1
st_06964,모범택시3,춘천대교,강원 춘천시 근화동 609
st_06965,모범택시3,돌모루하우스낚시터,강원 원주시 소초면 흥양리 1649-3
st_06966,모범택시3,폐리조트,강원 고성군 간성읍 흘리령길 52
st_06967,모범택시3,부남해변,강원 삼척시 근덕면 부남리 84
st_06968,모범택시3,정북동 토성,충북 청주시 청원구 정북동 353-2
st_06970,모범택시3,디오토몰,대전 유성구 복용동로 35
st_06971,모범택시3,수청중앙로,충남 당진시 수청동 2281
st_06972,모범택시3,천안서북경찰서,충남 천안시 서북구 번영로 705
st_06973,모범택시3,오토메카 부설주차장,충남 천안시 서북구 2공단4로 40-6
st_06974,모범택시3,천안G1비즈캠퍼스,충남 천안시 서북구 2공단4로 40-11
st_06975,모범택시3,천안교도소,충남 천안시 서북구 성거읍 상고1길 127
st_06976,모범택시3,서혜원,충남 태안군 이원면 발전로 939
st_06977,모범택시3,세종충남대학교병원,세종 보듬7로 20
st_06978,모범택시3,군산초등학교,전북 군산시 중앙로 170
st_06979,모범택시3,월명로,전북 군산시 수송동 52-21
st_06980,모범택시3,전북특별자치도종합사격장,전북 임실군 청웅면 청운로 168-46
st_06981,모범택시3,청웅저수지,전북 임실군 청웅면 두복리 산 86-8
st_06982,모범택시3,창제리,전북 김제시 광활면 창제리 1097-2
st_06983,모범택시3,천사대교,전남광주통합특별시 신안군 암태면 당사리 산 129
st_06984,모범택시3,자은고교여객선터미널,전남광주통합특별시 신안군 자은면 중부로 3627-49
st_06985,모범택시3,자은고교선착장,전남광주통합특별시 신안군 자은면 한운리
st_06986,모범택시3,한운길,전남광주통합특별시 신안군 자은면 한운리 307-11
st_06987,모범택시3,둔장어촌체험휴양마을,전남광주통합특별시 신안군 자은면 둔장길 47-47
st_06988,모범택시3,사월포길,전남광주통합특별시 신안군 자은면 고장리 426-6
st_06989,모범택시3,송공여객선터미널,전남광주통합특별시 신안군 압해읍 압해로 1846-1
st_06990,모범택시3,로또분식,부산 서구 망양로175번길 13-12
st_06991,모범택시3,부산항연안여객터미널,부산 중구 충장대로 24
st_06992,모범택시3,반도보라할인마트,부산 영도구 해안산책길 20
st_06993,모범택시3,신선중학교,부산 영도구 복지관길 40
st_06994,모범택시3,흰여울길,부산 영도구 흰여울길 53
st_06995,모범택시3,흰여울마을 해안산책로,부산 영도구 영선동4가 605-6
st_06996,모범택시3,감지해변,부산 영도구 동삼동 1052-3
st_06997,모범택시3,해양힐링로,부산 영도구 동삼동 산33-6
st_06998,모범택시3,미나토카시이도로,"2-chōme-1 Minatokashii, Higashi Ward, Fukuoka, 813-0019 일본"
st_06999,모범택시3,하카타항국제터미널 주차장,"14 Okihamamachi, Hakata Ward, Fukuoka, 812-0031 일본"
st_07000,모범택시3,C.Sビル,"Fukuoka, Chuo Ward, Daimyo, 2 Chome-1-57"
st_07001,모범택시3,多門ビル,"3-chōme-4 Nakasu, Hakata Ward, Fukuoka, 810-0801 일본"
st_07002,모범택시3,多門通り,"Fukuoka, Hakata Ward, Nakasu, 3 Chome-3-8"
st_07003,모범택시3,강변한신코아아파트,서울 마포구 마포대로4다길 18
st_07004,모범택시3,多門Build’83,"3-chōme-3 Nakasu, Hakata Ward, Fukuoka"
st_07005,모범택시3,パパヒロヤ 中洲のドラッグストア,"Fukuoka, Hakata Ward, Nakasu, 2 Chome-5-18 20ラインビル 1階"
st_07006,모범택시3,ラインビル,"2-chōme-5 Nakasu, Hakata Ward, Fukuoka"
st_07007,모범택시3,Nakagawa St,"2 Chome-3-11 Nakasu, Hakata Ward, Fukuoka, 810-0801 일본"
st_07008,모범택시3,大丸別荘,"1 Chome-20-1 Yumachi, Chikushino, Fukuoka 818-0058 일본"
st_07009,모범택시3,ブラザーズジム,"4 Chome-3-12 Nabeshima, Saga, 849-0937 일본"
st_07010,모범택시3,照葉浅部クリニック,"2 Chome-2-7 Kashiiteriha, Higashi Ward, Fukuoka"
st_07011,모범택시3,Kashiiteriha St,"7-chōme-1 Kashiiteriha, Higashi Ward, Fukuoka"
st_07012,모범택시3,はかた近代ビル,"1-chōme-1 Hakataekihigashi, Hakata Ward, Fukuoka"
st_07013,모범택시3,高橋ビル옆주차장,"2-chōme-5-7 Ropponmatsu, Chuo Ward, Fukuoka"
st_07014,모범택시3,タイムスペース 今泉第9,"1 Chome-18-45 Imaizumi, Chuo Ward, Fukuoka"
st_07015,모범택시3,高祖神社,"1240 Takasu, Itoshima, Fukuoka"
st_07016,모범택시3,宝来軒,"20-21 Shinmachi, Tagawa, Fukuoka"
st_07017,모범택시3,후쿠오카 컨벤션 센터앞 주차장,"2-2 Sekijomachi, Hakata Ward, Fukuoka"
st_07018,모범택시3,児童会館通り,"1 Chome-16-12 Imaizumi, Chuo Ward, Fukuoka"
st_07019,모범택시3,金田駅,"후쿠오카현 Tagawa District, 후쿠치마치 가나다"
st_07020,모범택시3,唐津市歴史民俗資料館,"7181 Kaigandori, Karatsu, Saga"
st_07021,모범택시3,ベスト電器みすず庵共同ビル,"1 Chome-9-1 Tenjin, Chuo Ward, Fukuoka"
st_18427,판사이한영,홍지문길,서울 서대문구 홍은동 5-98
st_18428,판사이한영,연안리버빌 골목(추정),서울 서대문구 홍지문2길 18
st_18429,판사이한영,홍지문길 놀이터,서울 서대문구 홍은동 5-93
st_18430,판사이한영,홍지문2길(좌우반전),서울 서대문구 홍지문2길 31
st_18431,판사이한영,개미마을,서울 서대문구 세검정로4길 127
st_18432,판사이한영,월드컵북로(상암고앞),서울 마포구 상암동 1715
st_18433,판사이한영,월드컵북로(4단지앞),서울 마포구 상암동 1715
st_18434,판사이한영,YTN본사,서울 마포구 상암산로 76
st_18435,판사이한영,난지한강공원,서울 마포구 상암동 482-271
st_18437,판사이한영,서강대교,서울 영등포구 여의도동 83-1
st_18438,판사이한영,국회의사당,서울 영등포구 여의도동 의사당대로 1
st_18439,판사이한영,의사당대로,서울 영등포구 여의도동 1-6
st_18440,판사이한영,여의도공원,서울 영등포구 여의공원로 68
st_18442,판사이한영,대륭포스트타워7차,서울 구로구 디지털로33길 48
st_18443,판사이한영,영등포고등학교,서울 동작구 등용로8길 5-13
st_18444,판사이한영,노량진로26길,서울 동작구 노량진로26길 16-6
st_18445,판사이한영,용양봉저정공원,서울 동작구 본동 산 3-9
st_18446,판사이한영,노량진로32길(1),서울 동작구 본동 17-2
st_18447,판사이한영,노량진로30길,서울 동작구 노량진로32길 68
st_18448,판사이한영,노량진로32길,서울 동작구 노량진로26길 65
st_18449,판사이한영,녹트,서울 용산구 올림픽대로 2085-96
st_18450,판사이한영,용산역 달주차장,서울 용산구 한강대로23길 55
st_18452,판사이한영,기찻길주점(폐업),서울 용산구 이촌로29길 35
st_18453,판사이한영,세종대로,서울 중구 남대문로5가 84-15
st_18454,판사이한영,센트레빌아스테리움서울,서울 용산구 동자동 49
st_18455,판사이한영,서울역앞,서울 중구 한강대로 405
st_18456,판사이한영,남산공원,서울 중구 남창동 205-4
st_18457,판사이한영,삼순이계단,서울 중구 소파로 46
st_18458,판사이한영,한국의집,서울 중구 퇴계로36길 10
st_18459,판사이한영,KT 광화문 빌딩 West,서울 종로구 세종대로 178
st_18460,판사이한영,필운대로,서울 종로구 필운대로 15
st_18461,판사이한영,"부암동주민센터,무계원 정류장(01138)",서울 종로구 창의문로 145
st_18462,판사이한영,성신여자대학교 운정그린캠퍼스,서울 강북구 도봉로76가길 55
st_18463,판사이한영,대도식당 왕십리본점,서울 성동구 무학로12길 3
st_18464,판사이한영,아차산지하차도,서울 광진구 광장동 399-12
st_18465,판사이한영,아차산로,서울 광진구 아차산로 546
st_18466,판사이한영,자양로,서울 광진구 자양로 112
st_18467,판사이한영,곱창이야기 강변점,서울 광진구 구의강변로7길 3
st_18468,판사이한영,비스타워커힐,서울 광진구 워커힐로 177
st_18469,판사이한영,한강공원서래섬나들목 진출입로1,서울 서초구 반포동 1338
st_18470,판사이한영,서래섬,서울 서초구 반포동 137-41
st_18471,판사이한영,잠수교,서울 서초구 반포동 649
st_18473,판사이한영,역삼역사거리,서울 강남구 테헤란로 152
st_18475,판사이한영,브그즈트컬렉션,서울 강남구 테헤란로 231
st_18476,판사이한영,선릉역사거리,서울 강남구 테헤란로 401
st_18477,판사이한영,아셈타워,서울 강남구 영동대로 517
st_18479,판사이한영,올림픽대교,서울 송파구 신천동 253
st_18480,판사이한영,천호대교,서울 송파구 풍납동 383
st_18483,판사이한영,대림자원,인천 남동구 용천로4번길 43-6
st_18484,판사이한영,복개동로 주차장,인천 남동구 복개동로 48
st_18485,판사이한영,장승백이전통시장,인천 남동구 장승로 17
st_18486,판사이한영,역무선방파제등대,인천 제물포구 연안동 82-11
st_18487,판사이한영,위크엔드 라운지,인천 제물포구 송학로 63
st_18488,판사이한영,중앙옥,인천 제물포구 신포로15번길 34-1
st_18489,판사이한영,동국빌리지,인천 제물포구 신포로35번길 54
st_18490,판사이한영,해양센타,인천 제물포구 연안부두로 16
st_18491,판사이한영,인항파출소 만석출장소,인천 제물포구 만석부두로 43
st_18492,판사이한영,송현근린공원 인라인스케이트장,인천 제물포구 송현동 23-62
st_18493,판사이한영,현대시장입구,인천 제물포구 샛골로 162
st_18495,판사이한영,또와분식,인천 제물포구 송림로99번길 21
st_18497,판사이한영,친구네포차,인천 미추홀구 인주대로 184
st_18498,판사이한영,로지모텔,인천 미추홀구 주안중로 32
st_18499,판사이한영,인형문구완구,인천 미추홀구 경인로354번길 54
st_18500,판사이한영,알짜마트,인천 미추홀구 경인로 51
st_18501,판사이한영,신영아트빌,인천 미추홀구 독정안길 55-4
st_18502,판사이한영,대승주택,인천 미추홀구 독정안길 55-5
st_18503,판사이한영,용현시민유통,인천 미추홀구 독정이로16번길 14
st_18504,판사이한영,긴자 송도유원지점,인천 연수구 청량로120번길 10
st_18505,판사이한영,양주한국병원,경기 양주시 화합로 1489
st_18506,판사이한영,신안물류,경기 양주시 백석읍 고릉말로 117-10
st_18507,판사이한영,파리바게뜨 덕계역점,경기 양주시 회천중앙로 248
st_18508,판사이한영,회천중앙로,경기 양주시 회천중앙로 236
st_18509,판사이한영,덕계로,경기 양주시 덕계동 899
st_18510,판사이한영,호맥 양주옥정점,경기 양주시 옥정동로7나길 15
st_18513,판사이한영,애룡저수지,경기 파주시 법원읍 애룡길 182
st_18514,판사이한영,화이트블럭,경기 파주시 탄현면 헤이리마을길 72
st_18515,판사이한영,에델바움 카페 파주점,경기 파주시 산남로 5-64
st_18516,판사이한영,문발로,경기 파주시 문발로 137
st_18517,판사이한영,파주리조트골프클럽,경기 파주시 교하로 1097-33
st_18518,판사이한영,하우스 오브 컨티뉴,경기 파주시 송학말길 34-3
st_18519,판사이한영,주엽로,경기 고양시 일산서구 한류월드로 300
st_18520,판사이한영,킨텍스로,경기 고양시 일산서구 대화동 2729
st_18521,판사이한영,한류월드로(1),경기 고양시 일산동구 장항동 1763-1
st_18522,판사이한영,한류월드로(2),경기 고양시 일산동구 장항동 1770
st_18523,판사이한영,월드고양로,경기 고양시 일산동구 장항동 1811
st_18524,판사이한영,MBC드림센터,경기 고양시 일산동구 호수로 596
st_18525,판사이한영,베베,경기 고양시 일산동구 무궁화로 31-17
st_18526,판사이한영,고양관광정보센터,경기 고양시 일산동구 중앙로 1271-1
st_18527,판사이한영,중앙로 육교,경기 고양시 일산동구 중앙로 1271-1
st_18528,판사이한영,무봉리토종순대국 일산라페스타점,경기 고양시 일산동구 무궁화로 20-38
st_18529,판사이한영,카페앤,경기 고양시 일산동구 무궁화로 25-3
st_18530,판사이한영,무궁화로,경기 고양시 일산동구 무궁화로 11
st_18531,판사이한영,청담한식 식사점,경기 고양시 일산동구 무궁화로 370
st_18532,판사이한영,주인,경기 고양시 일산동구 중앙로 1123
st_18533,판사이한영,고양시청로,경기 고양시 덕양구 고양시청로 18
st_18534,판사이한영,힐스테이트 라피아노 삼송,경기 고양시 덕양구 오금로 193
st_18535,판사이한영,강마루,경기 고양시 덕양구 행주산성로 99
st_18536,판사이한영,얼반웍스 스튜디오,경기 고양시 덕양구 호원길 3-2
st_18537,판사이한영,옛날국밥&갈비한판,경기 고양시 덕양구 지도로49번길 7-21
st_18538,판사이한영,한국항공대학교,경기 고양시 덕양구 항공대학로 76
st_18539,판사이한영,구해줘 부동산,경기 고양시 덕양구 청초로 10
st_18540,판사이한영,부환복집,경기 김포시 양촌읍 누산로 12
st_18541,판사이한영,무궁화공원묘원,경기 양평군 서종면 도장리 산26
st_18543,판사이한영,선향재 한옥 스튜디오,경기 광주시 새말길329번길 17
st_18545,판사이한영,블루포트 장안대학교점,경기 화성시 효행구 봉담읍 삼천병마로 1182
st_18549,판사이한영,천안시청,충남 천안시 서북구 번영로 156
st_18551,판사이한영,망양로689번길,부산 동구 망양로689번길 3
st_20485,모범택시3,주원산업(부지),전남 진도군 군내면 녹진리 1224-15
