id,place_name,kakao_place_id,kakao_url,kakao_lat,kakao_lng,match_confidence,matched_name,matched_address
st_00021,마곡중앙로(1),,,,,low,,
st_00022,마곡중앙로(2),,,,,low,,
st_00023,마곡중앙로(3),,,,,low,,
st_00024,월드컵북로(5단지앞),,,,,failed,,
st_00025,MBC,20504067,http://place.map.kakao.com/20504067,37.5811785278,126.8903697575,high,MBC상암사옥,서울 마포구 성암로 267
st_00026,누리꿈스퀘어,26562331,http://place.map.kakao.com/26562331,37.5794921091,126.8896612733,high,누리꿈스퀘어,서울 마포구 월드컵북로 396
st_00027,당산철교,1381960885,http://place.map.kakao.com/1381960885,37.5408638894,126.9077545344,high,당산철교,서울 영등포구 여의도동 80-3
st_00028,서강대교,8369237,http://place.map.kakao.com/8369237,37.5373109762,126.9252071423,high,서강대교,서울 영등포구 여의도동 83-1
st_00029,마포대교,7864538,http://place.map.kakao.com/7864538,37.5332302073,126.9356823022,high,마포대교,서울 영등포구 여의도동 85-2
st_00030,여의대로,,,,,low,,
st_00031,IFC,18203409,http://place.map.kakao.com/18203409,37.5250415766,126.9258958947,high,IFC몰,서울 영등포구 국제금융로 10
st_00032,스위치22 여의도점,1125743198,http://place.map.kakao.com/1125743198,37.5270340671,126.9279585535,high,스위치22 여의도점,서울 영등포구 여의대로 108
st_00033,국제금융로,,,,,low,,
st_00034,고척스카이돔,7890664,http://place.map.kakao.com/7890664,37.4982122076,126.8670889679,high,고척스카이돔,서울 구로구 경인로 430
st_00035,고려대학교 구로병원,17570811,http://place.map.kakao.com/17570811,37.4919597876,126.8847853576,high,고려대학교구로병원 본관,서울 구로구 구로동로 148
st_00036,올림픽대로,,,,,failed,,
st_00037,노량대교,,,,,failed,,
st_00038,노들로,,,,,low,,
st_00039,강변북로,,,,,failed,,
st_00040,동작대교,10286428,http://place.map.kakao.com/10286428,37.5106149541,126.9819449476,high,동작대교,서울 용산구 이촌동 385
st_00041,녹트,1224876346,http://place.map.kakao.com/1224876346,37.5071338648,126.9847314485,high,녹트,서울 용산구 올림픽대로 2085-96
st_00042,국립서울현충원,8829033,http://place.map.kakao.com/8829033,37.5025550182,126.9746218244,high,국립서울현충원,서울 동작구 동작동 212-6
st_00043,국립중앙박물관,8830150,http://place.map.kakao.com/8830150,37.5239224936,126.9801871613,high,국립중앙박물관,서울 용산구 서빙고로 137
st_00044,르가드더메인한남,,,,,failed,,
st_00045,그랜드하얏트 서울,18661190,http://place.map.kakao.com/18661190,37.5394447675,126.9970807515,high,그랜드 하얏트 서울,서울 용산구 소월로 322
st_00046,나라약국,1299313786,http://place.map.kakao.com/1299313786,37.5447704459,126.9701581792,high,나라약국,서울 용산구 청파로47길 7
st_00047,청춘식당(폐업),,,,,failed,,
st_00048,신세계백화점 본점,504509273,http://place.map.kakao.com/504509273,37.5609194704,126.9809786944,high,살로몬 신세계백화점본점,서울 중구 소공로 63
st_00049,대한민국역사박물관,15104327,http://place.map.kakao.com/15104327,37.5739869693,126.9778578045,high,대한민국역사박물관,서울 종로구 세종대로 198
st_00050,경복궁,18619553,http://place.map.kakao.com/18619553,37.5776132883,126.9768978683,high,경복궁,서울 종로구 사직로 161
st_00051,"경복궁,국립민속박물관 정류장(01540)",,,,,failed,,
st_00052,삼청로,,,,,low,,
st_00053,서울경찰청,10499532,http://place.map.kakao.com/10499532,37.574814655,126.9720615833,high,서울경찰청,서울 종로구 사직로8길 31
st_00054,서순라길,2088609864,http://place.map.kakao.com/2088609864,37.5728085419,126.9931174628,mid,픽닷 서순라길점,서울 종로구 서순라길 51
st_00055,종묘,8075132,http://place.map.kakao.com/8075132,37.574911512,126.9940002511,high,종묘 정전,서울 종로구 종로 157
st_00056,써브웨이 종암점,1517037264,http://place.map.kakao.com/1517037264,37.6000677936,127.0343346443,high,써브웨이 종암점,서울 성북구 종암로 110
st_00057,경희대학교,13503224,http://place.map.kakao.com/13503224,37.5941142458,127.0532223837,high,경희대학교치과병원,서울 동대문구 경희대로 26
st_00058,성신여자대학교 운정그린캠퍼스,17811289,http://place.map.kakao.com/17811289,37.6319520109,127.0272709943,high,성신여자대학교 운정그린캠퍼스 대강당,서울 강북구 도봉로76가길 55
st_00059,응봉산,10666639,http://place.map.kakao.com/10666639,37.5482528089,127.029834156,high,응봉산,서울 성동구 응봉동
st_00060,청담대교,15150412,http://place.map.kakao.com/15150412,37.5258943676,127.0641077676,high,청담대교,서울 광진구 자양동 824
st_00061,캐틀앤비(폐업),,,,,failed,,
st_00062,시티악기,9226126,http://place.map.kakao.com/9226126,37.482211327,127.0135030908,high,시티악기,서울 서초구 남부순환로323길 25
st_00063,잠수교,17350404,http://place.map.kakao.com/17350404,37.5138923429,126.9968283793,high,잠수교,서울 서초구 반포동 649
st_00064,서초대로,,,,,low,,
st_00065,럭셔리판다,652710203,http://place.map.kakao.com/652710203,37.5217307041,127.0307964451,high,럭셔리판다,서울 강남구 논현로152길 33
st_00066,0914 도산공원 플래그십 스토어,,,,,failed,,
st_00067,CGV청담씨네시티,14718298,http://place.map.kakao.com/14718298,37.5229506731,127.0370323551,high,CGV 청담씨네시티,서울 강남구 도산대로 323
st_00068,테헤란로,8021085,http://place.map.kakao.com/8021085,37.4987738332,127.0314666722,mid,우리은행 테헤란로금융센터,서울 강남구 테헤란로 124
st_00069,조선팰리스 강남,1671545166,http://place.map.kakao.com/1671545166,37.5028748702,127.0413471499,high,조선팰리스 강남,서울 강남구 테헤란로 231
st_00070,제이에스티나빌딩,7864931,http://place.map.kakao.com/7864931,37.4956261505,127.1213471095,high,제이에스티나빌딩,서울 송파구 양재대로62길 53
st_00071,웰킵스타워,1442053313,http://place.map.kakao.com/1442053313,37.567444886,127.158612944,high,웰킵스타워,서울 강동구 고덕비즈밸리로 54
st_00072,온수리성공회,,,,,low,,
st_00073,파라다이스시티호텔,527592042,http://place.map.kakao.com/527592042,37.437245732,126.4557814712,high,파라다이스시티호텔,인천 영종구 영종해안남로321번길 186
st_00074,인천문학경기장,11470762,http://place.map.kakao.com/11470762,37.4361521017,126.6906513611,high,인천문학경기장,인천 미추홀구 매소홀로 618
st_00075,써브웨이 인천송도8공구점,1087751957,http://place.map.kakao.com/1087751957,37.4160821372,126.6238723814,high,써브웨이 인천송도8공구점,인천 연수구 랜드마크로 20
st_00076,경원재 바이 워커힐,26636723,http://place.map.kakao.com/26636723,37.3914752754,126.637684222,high,경원재 바이 워커힐,인천 연수구 테크노파크로 200
st_00077,오크우드프리미어 인천 파노라믹65,492426337,http://place.map.kakao.com/492426337,37.3891398486,126.6442167242,high,오크우드프리미어인천 파노라믹65,인천 연수구 컨벤시아대로 165
st_00078,라운지25,1227723274,http://place.map.kakao.com/1227723274,37.3967753921,126.6369110886,high,라운지25,인천 연수구 센트럴로 232
st_00079,양주한국병원,622095104,http://place.map.kakao.com/622095104,37.8389043542,127.0728912722,high,양주한국병원 장례문화원,경기 양주시 화합로 1489
st_00080,모터리,1149373259,http://place.map.kakao.com/1149373259,37.8323108874,127.0747772763,high,모터리,경기 양주시 고암길 154-54
st_00081,조이마당스튜디오,1470063247,http://place.map.kakao.com/1470063247,37.8332950762,126.8034873155,high,조이마당스튜디오,경기 파주시 파주읍 봉서산로 245
st_00082,로케이션 이음,26169665,http://place.map.kakao.com/26169665,37.804034067,126.6931157526,high,로케이션 이음,경기 파주시 탄현면 새오리로286번길 48-70
st_00083,얼반웍스 스튜디오,2006994958,http://place.map.kakao.com/2006994958,37.5859562616,126.8755944031,high,얼반웍스 스튜디오,경기 고양시 덕양구 호원길 3-2
st_00084,오르다온,703697055,http://place.map.kakao.com/703697055,37.5611823123,127.4109992662,high,오르다온,경기 양평군 서종면 송골길 233
st_00085,하남돼지집 본점,26784268,http://place.map.kakao.com/26784268,37.5509732628,127.1928584141,high,하남돼지집 본점,경기 하남시 미사강변중앙로 43
st_00086,화서문,27511915,http://place.map.kakao.com/27511915,37.2850971854,127.0120841372,mid,화서문점집골목,경기 수원시 팔달구 신풍동 345
st_00087,보바스기념병원,10372942,http://place.map.kakao.com/10372942,37.3561041346,127.0985632784,high,보바스기념병원,경기 성남시 분당구 대왕판교로 155-7
st_00088,경희대학교 국제캠퍼스,25682793,http://place.map.kakao.com/25682793,37.2386982436,127.0818819114,high,경희대학교 국제캠퍼스 천문대,경기 용인시 기흥구 덕영대로 1732
st_00089,용인대장금파크,26923236,http://place.map.kakao.com/26923236,37.1216024818,127.3376127617,high,용인대장금파크 관가,경기 용인시 처인구 백암면 용천드라마길 25
st_00090,광주경찰서,8660454,http://place.map.kakao.com/8660454,37.4082672731,127.2395836909,high,광주경찰서,경기 광주시 포돌이로 135
st_00091,선향재 한옥 스튜디오,487376348,http://place.map.kakao.com/487376348,37.3828074594,127.1763932253,high,선향재 한옥 스튜디오,경기 광주시 새말길329번길 17
st_00092,당남리섬,18095904,http://place.map.kakao.com/18095904,37.395050977,127.5425716892,high,당남리섬,경기 여주시 대신면 천서리 545-5
st_00093,마임비전빌리지,12692014,http://place.map.kakao.com/12692014,37.2901943488,127.5385372244,high,마임비전빌리지,경기 여주시 세종대왕면 용은길 28
st_00094,세트장(치악산드림랜드부지),,,,,failed,,
st_00095,뮤지엄산,21674777,http://place.map.kakao.com/21674777,37.415353343,127.8237130789,high,뮤지엄산,강원특별자치도 원주시 지정면 오크밸리2길 260
st_00096,더한옥헤리티지,1742543299,http://place.map.kakao.com/1742543299,37.1994119382,128.4265862252,high,더한옥헤리티지하우스,강원특별자치도 영월군 남면 문개실길 37-200
st_00097,우암산로,,,,,low,,
st_00098,수암골전망대,26781692,http://place.map.kakao.com/26781692,36.6459384786,127.495554794,high,수암골전망대,충북 청주시 상당구 수동 81-245
st_00099,청남대,8090982,http://place.map.kakao.com/8090982,36.4628460751,127.4917653634,high,청남대,충북 청주시 상당구 문의면 청남대길 646
st_00100,백제문화단지,11447521,http://place.map.kakao.com/11447521,36.3063152681,126.9066735114,high,백제문화단지,충남 부여군 규암면 백제문로 455
