recent_rank,title_kr,title_en,first_aired,in_kdramamap,kr_title_needs_check,also_in_top100,basis
1,참교육,Teach You a Lesson,2026-06,Y,,Y,"Netflix 비영어권 역대 Top10 진입(스퀴드게임 이어 두 번째 한국작), 공개 8주만 6020만 뷰,"
2,김부장,Agent Kim Reactivated,2026-06,Y,,,"Netflix 글로벌 비영어 TV Top10 4주 연속 1위, 820만 시청, 7200만 시청시간"
3,멋진 신세계,My Royal Nemesis,2026-05,Y,,,"Netflix 글로벌 비영어 TV 차트 1위, 57개국 Top10 진입, 국내 시청률 11.8%"
4,사냥개들 2,Bloodhounds 2,2026-04,Y,,,"Netflix 글로벌 비영어 TV 차트 2주차 1위(740만 뷰), 한국 Top10 7일 연속 1위"
5,동궁,The East Palace,2026-07,Y,,,"Netflix 글로벌 비영어 TV Top10 데뷔 2위, 490만 시청, 3290만 시청시간"
6,월간 남자친구,Boyfriend on Demand,2026-03,N,,,"Netflix 주간 차트 1위, 480만 뷰, 47개국 차트 1위"
7,모범택시3,Taxi Driver 3,2025-11,Y,,,"Netflix 글로벌 비영어 TV Top10 9위(11/24-30), 한국 Netflix 일간 차트 반복 1"
8,폭군의 셰프,"Bon Appétit, Your Majesty",2025-08,Y,,,"Netflix 글로벌 비영어 차트 2주 연속 1위, Netflix 2025년 연간 일간 Top10 집계 2위"
9,키스는 괜히 해서!,Dynamite Kiss,2025-11,Y,,,Netflix 2025년 연간 일간 Top10 집계 3위
10,오싹한 연애,Spooky in Love,2026-07,N,,,Netflix 글로벌 비영어 TV 주간 차트 5위(7/13-19)
11,아파트,The Apartment Job,2026-07,N,,,Netflix 글로벌 비영어 TV 주간 차트 6위(7/13-19)
12,언더커버 미쓰홍,Undercover Miss Hong,2026-01,Y,,,"국내 시청률 13.1%, Netflix 비영어 Top10 진입"
13,에스콰이어: 변호사를 꿈꾸는 변호사들,Beyond the Bar,2025-08,N,,,Netflix 2025년 연간 일간 Top10 집계 5위
14,21세기 대군부인,Perfect Crown,2026-04,Y,,,국내 시청률 종영 13.8%(최고 16%대)
15,판사 이한영,The Judge Returns,2026-01,Y,,,국내 시청률 종영 13.6%
16,신입사원 강회장,Reborn Rookie,2026-05,Y,,,국내 시청률 11.0%대 상승세
17,태풍상사,Typhoon Family,2025-10,Y,,,Netflix 글로벌 비영어 Top10 7위(10/20-26)·9위(11/3-9)
18,맨 끝줄 소년,Notes from the Last Row,2026-06,Y,,,"Netflix 공식 발표 비영어 TV 세계 8위, '2026년 최고의 한국 드라마' 평가"
19,유미의 세포들 3,Yumi's Cells 3,2026-04,Y,,,"라쿠텐 비키 81개국 1위, TVING 3주 연속 1위"
20,다이루어질지니,"Genie, Make a Wish",2025-10,Y,Y,Y,Netflix 2025년 연간 일간 Top10 집계 순위권 진입
